time,enrolled,available,waitlisted,total
2023-05-25T01:13:24,0,75,0,75
2023-05-25T01:25:01,0,75,0,75
2023-05-25T01:36:36,0,75,0,75
2023-05-25T01:48:21,0,75,0,75
2023-05-25T01:59:56,0,75,0,75
2023-05-25T02:11:32,0,75,0,75
2023-05-25T02:23:09,0,75,0,75
2023-05-25T02:34:43,0,75,0,75
2023-05-25T02:46:16,0,75,0,75
2023-05-25T02:57:49,0,75,0,75
2023-05-25T03:09:24,0,75,0,75
2023-05-25T03:21:03,0,75,0,75
2023-05-25T03:33:01,0,75,0,75
2023-05-25T03:44:37,0,75,0,75
2023-05-25T03:56:13,0,75,0,75
2023-05-25T04:15:34,0,75,0,75
2023-05-25T04:27:36,0,75,0,75
2023-05-25T04:39:13,0,75,0,75
2023-05-25T04:50:49,0,75,0,75
2023-05-25T05:02:25,0,75,0,75
2023-05-25T05:14:02,0,75,0,75
2023-05-25T05:25:38,0,75,0,75
2023-05-25T05:37:14,0,75,0,75
2023-05-25T05:48:50,0,75,0,75
2023-05-25T06:00:27,0,75,0,75
2023-05-25T06:12:03,0,75,0,75
2023-05-25T06:23:38,0,75,0,75
2023-05-25T06:35:12,0,75,0,75
2023-05-25T06:46:48,0,75,0,75
2023-05-25T06:58:23,0,75,0,75
2023-05-25T07:09:59,0,75,0,75
2023-05-25T07:21:33,0,75,0,75
2023-05-25T07:33:07,0,75,0,75
2023-05-25T07:44:43,0,75,0,75
2023-05-25T07:56:19,0,75,0,75
2023-05-25T08:07:54,0,75,0,75
2023-05-25T08:19:29,0,75,0,75
2023-05-25T08:31:13,0,75,0,75
2023-05-25T08:42:46,0,75,0,75
2023-05-25T08:54:18,0,75,0,75
2023-05-25T09:05:52,0,75,0,75
2023-05-25T09:17:24,0,75,0,75
2023-05-25T09:28:57,0,75,0,75
2023-05-25T09:40:29,0,75,0,75
2023-05-25T09:52:02,0,75,0,75
2023-05-25T10:03:36,0,75,0,75
2023-05-25T10:15:20,0,75,0,75
2023-05-25T10:26:53,0,75,0,75
2023-05-25T10:38:26,0,75,0,75
2023-05-25T10:49:58,0,75,0,75
2023-05-25T11:01:41,0,75,0,75
2023-05-25T11:13:13,0,75,0,75
2023-05-25T11:24:46,0,75,0,75
2023-05-25T11:36:19,0,75,0,75
2023-05-25T11:47:52,0,75,0,75
2023-05-25T11:59:36,0,75,0,75
2023-05-25T12:11:09,0,75,0,75
2023-05-25T12:22:42,0,75,0,75
2023-05-25T12:34:15,0,75,0,75
2023-05-25T12:45:48,0,75,0,75
2023-05-25T12:57:21,0,75,0,75
2023-05-25T13:09:03,0,75,0,75
2023-05-25T13:20:36,0,75,0,75
2023-05-25T13:32:10,0,75,0,75
2023-05-25T13:43:43,0,75,0,75
2023-05-25T13:55:16,0,75,0,75
2023-05-25T14:07:01,0,75,0,75
2023-05-25T14:18:34,0,75,0,75
2023-05-25T14:30:07,0,75,0,75
2023-05-25T14:41:40,0,75,0,75
2023-05-25T14:53:14,0,75,0,75
2023-05-25T15:04:57,0,75,0,75
2023-05-25T15:16:32,0,75,0,75
2023-05-25T15:28:06,0,75,0,75
2023-05-25T15:39:41,0,75,0,75
2023-05-25T15:51:15,0,75,0,75
2023-05-25T16:02:50,0,75,0,75
2023-05-25T16:14:35,0,75,0,75
2023-05-25T16:26:10,0,75,0,75
2023-05-25T16:37:45,0,75,0,75
2023-05-25T16:49:21,0,75,0,75
2023-05-25T17:00:57,0,75,0,75
2023-05-25T17:12:34,0,75,0,75
2023-05-25T17:24:20,0,75,0,75
2023-05-25T17:35:56,0,75,0,75
2023-05-25T17:47:32,0,75,0,75
2023-05-25T17:59:07,0,75,0,75
2023-05-25T18:10:44,0,75,0,75
2023-05-25T18:22:20,0,75,0,75
2023-05-25T18:33:55,0,75,0,75
2023-05-25T18:45:40,0,75,0,75
2023-05-25T18:57:16,0,75,0,75
2023-05-25T19:08:53,0,75,0,75
2023-05-25T19:20:29,0,75,0,75
2023-05-25T19:32:04,0,75,0,75
2023-05-25T19:43:41,0,75,0,75
2023-05-25T19:55:26,0,75,0,75
2023-05-25T20:07:01,0,75,0,75
2023-05-25T20:18:37,0,75,0,75
2023-05-25T20:30:14,0,75,0,75
2023-05-25T20:41:49,0,75,0,75
2023-05-25T20:53:25,0,75,0,75
2023-05-25T21:05:00,0,75,0,75
2023-05-25T21:16:37,0,75,0,75
2023-05-25T21:28:23,0,75,0,75
2023-05-25T21:39:59,0,75,0,75
2023-05-25T21:51:35,0,75,0,75
2023-05-25T22:03:10,0,75,0,75
2023-05-25T22:14:45,0,75,0,75
2023-05-25T22:26:21,0,75,0,75
2023-05-25T22:37:56,0,75,0,75
2023-05-25T22:49:42,0,75,0,75
2023-05-25T23:01:18,0,75,0,75
2023-05-25T23:12:56,0,75,0,75
2023-05-25T23:24:32,0,75,0,75
2023-05-25T23:36:08,0,75,0,75
2023-05-25T23:47:44,0,75,0,75
2023-05-25T23:59:20,0,75,0,75
2023-05-26T00:11:17,0,75,0,75
2023-05-26T00:22:57,0,75,0,75
2023-05-26T00:34:36,0,75,0,75
2023-05-26T00:46:15,0,75,0,75
2023-05-26T00:57:54,0,75,0,75
2023-05-26T01:09:33,0,75,0,75
