time,enrolled,available,waitlisted,total
2023-05-25T01:14:11,0,56,0,56
2023-05-25T01:25:47,0,56,0,56
2023-05-25T01:37:23,0,56,0,56
2023-05-25T01:49:07,0,56,0,56
2023-05-25T02:00:43,0,56,0,56
2023-05-25T02:12:19,0,56,0,56
2023-05-25T02:23:55,0,56,0,56
2023-05-25T02:35:29,0,56,0,56
2023-05-25T02:47:02,0,56,0,56
2023-05-25T02:58:35,0,56,0,56
2023-05-25T03:10:11,0,56,0,56
2023-05-25T03:21:50,0,56,0,56
2023-05-25T03:33:48,0,56,0,56
2023-05-25T03:45:24,0,56,0,56
2023-05-25T03:57:00,0,56,0,56
2023-05-25T04:16:22,0,56,0,56
2023-05-25T04:28:23,0,56,0,56
2023-05-25T04:39:59,0,56,0,56
2023-05-25T04:51:35,0,56,0,56
2023-05-25T05:03:11,0,56,0,56
2023-05-25T05:14:49,0,56,0,56
2023-05-25T05:26:24,0,56,0,56
2023-05-25T05:38:01,0,56,0,56
2023-05-25T05:49:37,0,56,0,56
2023-05-25T06:01:14,0,56,0,56
2023-05-25T06:12:50,0,56,0,56
2023-05-25T06:24:24,0,56,0,56
2023-05-25T06:35:59,0,56,0,56
2023-05-25T06:47:34,0,56,0,56
2023-05-25T06:59:10,0,56,0,56
2023-05-25T07:10:45,0,56,0,56
2023-05-25T07:22:20,0,56,0,56
2023-05-25T07:33:54,0,56,0,56
2023-05-25T07:45:30,0,56,0,56
2023-05-25T07:57:06,0,56,0,56
2023-05-25T08:08:41,0,56,0,56
2023-05-25T08:20:15,0,56,0,56
2023-05-25T08:31:59,0,56,0,56
2023-05-25T08:43:32,0,56,0,56
2023-05-25T08:55:04,0,56,0,56
2023-05-25T09:06:38,0,56,0,56
2023-05-25T09:18:11,0,56,0,56
2023-05-25T09:29:43,0,56,0,56
2023-05-25T09:41:16,0,56,0,56
2023-05-25T09:52:49,0,56,0,56
2023-05-25T10:04:22,0,56,0,56
2023-05-25T10:16:07,0,56,0,56
2023-05-25T10:27:40,0,56,0,56
2023-05-25T10:39:12,0,56,0,56
2023-05-25T10:50:45,0,56,0,56
2023-05-25T11:02:27,0,56,0,56
2023-05-25T11:14:00,0,56,0,56
2023-05-25T11:25:33,0,56,0,56
2023-05-25T11:37:06,0,56,0,56
2023-05-25T11:48:39,0,56,0,56
2023-05-25T12:00:23,0,56,0,56
2023-05-25T12:11:55,0,56,0,56
2023-05-25T12:23:28,0,56,0,56
2023-05-25T12:35:01,0,56,0,56
2023-05-25T12:46:34,0,56,0,56
2023-05-25T12:58:07,0,56,0,56
2023-05-25T13:09:50,0,56,0,56
2023-05-25T13:21:23,0,56,0,56
2023-05-25T13:32:56,0,56,0,56
2023-05-25T13:44:29,0,56,0,56
2023-05-25T13:56:03,0,56,0,56
2023-05-25T14:07:47,0,56,0,56
2023-05-25T14:19:20,0,56,0,56
2023-05-25T14:30:53,0,56,0,56
2023-05-25T14:42:26,0,56,0,56
2023-05-25T14:54:00,0,56,0,56
2023-05-25T15:05:44,0,56,0,56
2023-05-25T15:17:18,0,56,0,56
2023-05-25T15:28:53,0,56,0,56
2023-05-25T15:40:27,0,56,0,56
2023-05-25T15:52:01,0,56,0,56
2023-05-25T16:03:36,0,56,0,56
2023-05-25T16:15:22,0,56,0,56
2023-05-25T16:26:57,0,56,0,56
2023-05-25T16:38:32,0,56,0,56
2023-05-25T16:50:07,0,56,0,56
2023-05-25T17:01:43,0,56,0,56
2023-05-25T17:13:20,0,56,0,56
2023-05-25T17:25:07,0,56,0,56
2023-05-25T17:36:42,0,56,0,56
2023-05-25T17:48:18,0,56,0,56
2023-05-25T17:59:54,0,56,0,56
2023-05-25T18:11:31,0,56,0,56
2023-05-25T18:23:06,0,56,0,56
2023-05-25T18:34:41,0,56,0,56
2023-05-25T18:46:27,0,56,0,56
2023-05-25T18:58:03,0,56,0,56
2023-05-25T19:09:39,0,56,0,56
2023-05-25T19:21:15,0,56,0,56
2023-05-25T19:32:50,0,56,0,56
2023-05-25T19:44:27,0,56,0,56
2023-05-25T19:56:12,0,56,0,56
2023-05-25T20:07:48,0,56,0,56
2023-05-25T20:19:24,0,56,0,56
2023-05-25T20:31:00,0,56,0,56
2023-05-25T20:42:35,0,56,0,56
2023-05-25T20:54:11,0,56,0,56
2023-05-25T21:05:46,0,56,0,56
2023-05-25T21:17:23,0,56,0,56
2023-05-25T21:29:09,0,56,0,56
2023-05-25T21:40:45,0,56,0,56
2023-05-25T21:52:21,0,56,0,56
2023-05-25T22:03:56,0,56,0,56
2023-05-25T22:15:32,0,56,0,56
2023-05-25T22:27:07,0,56,0,56
2023-05-25T22:38:43,0,56,0,56
2023-05-25T22:50:29,0,56,0,56
2023-05-25T23:02:05,0,56,0,56
2023-05-25T23:13:43,0,56,0,56
2023-05-25T23:25:18,0,56,0,56
2023-05-25T23:36:54,0,56,0,56
2023-05-25T23:48:30,0,56,0,56
2023-05-26T00:00:07,0,56,0,56
2023-05-26T00:12:04,0,56,0,56
2023-05-26T00:23:44,0,56,0,56
2023-05-26T00:35:23,0,56,0,56
2023-05-26T00:47:02,0,56,0,56
2023-05-26T00:58:41,0,56,0,56
2023-05-26T01:10:20,0,56,0,56
2023-05-26T01:21:58,0,56,0,56
2023-05-26T01:33:36,0,56,0,56
2023-05-26T01:45:24,0,56,0,56
2023-05-26T01:57:03,0,56,0,56
2023-05-26T02:08:45,0,56,0,56
2023-05-26T02:20:22,0,56,0,56
2023-05-26T02:31:59,0,56,0,56
2023-05-26T02:43:48,0,56,0,56
2023-05-26T02:55:28,0,56,0,56
2023-05-26T03:07:09,0,56,0,56
2023-05-26T03:18:50,0,56,0,56
2023-05-26T03:30:28,0,56,0,56
2023-05-26T03:42:07,0,56,0,56
2023-05-26T03:53:45,0,56,0,56
2023-05-26T04:05:23,0,56,0,56
2023-05-26T04:27:32,0,56,0,56
2023-05-26T04:39:36,0,56,0,56
2023-05-26T04:51:18,0,56,0,56
2023-05-26T05:02:58,0,56,0,56
2023-05-26T05:14:39,0,56,0,56
2023-05-26T05:26:18,0,56,0,56
2023-05-26T05:37:56,0,56,0,56
2023-05-26T05:49:36,0,56,0,56
2023-05-26T06:01:14,0,56,0,56
2023-05-26T06:12:53,0,56,0,56
