time,enrolled,available,waitlisted,total
2023-05-25T01:14:13,0,297,0,297
2023-05-25T01:25:49,0,297,0,297
2023-05-25T01:37:24,0,297,0,297
2023-05-25T01:49:09,0,297,0,297
2023-05-25T02:00:44,0,297,0,297
2023-05-25T02:12:20,0,297,0,297
2023-05-25T02:23:57,0,297,0,297
2023-05-25T02:35:30,0,297,0,297
2023-05-25T02:47:04,0,297,0,297
2023-05-25T02:58:37,0,297,0,297
2023-05-25T03:10:12,0,297,0,297
2023-05-25T03:21:51,0,297,0,297
2023-05-25T03:33:49,0,297,0,297
2023-05-25T03:45:25,0,297,0,297
2023-05-25T03:57:01,0,297,0,297
2023-05-25T04:16:23,0,297,0,297
2023-05-25T04:28:24,0,297,0,297
2023-05-25T04:40:01,0,297,0,297
2023-05-25T04:51:37,0,297,0,297
2023-05-25T05:03:13,0,297,0,297
2023-05-25T05:14:50,0,297,0,297
2023-05-25T05:26:26,0,297,0,297
2023-05-25T05:38:02,0,297,0,297
2023-05-25T05:49:38,0,297,0,297
2023-05-25T06:01:15,0,297,0,297
2023-05-25T06:12:51,0,297,0,297
2023-05-25T06:24:26,0,297,0,297
2023-05-25T06:36:00,0,297,0,297
2023-05-25T06:47:36,0,297,0,297
2023-05-25T06:59:11,0,297,0,297
2023-05-25T07:10:47,0,297,0,297
2023-05-25T07:22:21,0,297,0,297
2023-05-25T07:33:55,0,297,0,297
2023-05-25T07:45:32,0,297,0,297
2023-05-25T07:57:07,0,297,0,297
2023-05-25T08:08:42,0,297,0,297
2023-05-25T08:20:16,0,297,0,297
2023-05-25T08:32:01,0,297,0,297
2023-05-25T08:43:33,0,297,0,297
2023-05-25T08:55:05,0,297,0,297
2023-05-25T09:06:39,0,297,0,297
2023-05-25T09:18:12,0,297,0,297
2023-05-25T09:29:45,0,297,0,297
2023-05-25T09:41:17,0,297,0,297
2023-05-25T09:52:50,0,297,0,297
2023-05-25T10:04:23,0,297,0,297
2023-05-25T10:16:08,0,297,0,297
2023-05-25T10:27:41,0,297,0,297
2023-05-25T10:39:13,0,297,0,297
2023-05-25T10:50:46,0,297,0,297
2023-05-25T11:02:29,0,297,0,297
2023-05-25T11:14:01,0,297,0,297
2023-05-25T11:25:34,0,297,0,297
2023-05-25T11:37:07,0,297,0,297
2023-05-25T11:48:40,0,297,0,297
2023-05-25T12:00:24,0,297,0,297
2023-05-25T12:11:57,0,297,0,297
2023-05-25T12:23:30,0,297,0,297
2023-05-25T12:35:02,0,297,0,297
2023-05-25T12:46:35,0,297,0,297
2023-05-25T12:58:08,0,297,0,297
2023-05-25T13:09:51,0,297,0,297
2023-05-25T13:21:24,0,297,0,297
2023-05-25T13:32:57,0,297,0,297
2023-05-25T13:44:30,0,297,0,297
2023-05-25T13:56:04,0,297,0,297
2023-05-25T14:07:48,0,297,0,297
2023-05-25T14:19:22,0,297,0,297
2023-05-25T14:30:55,0,297,0,297
2023-05-25T14:42:28,0,297,0,297
2023-05-25T14:54:01,0,297,0,297
2023-05-25T15:05:45,0,297,0,297
2023-05-25T15:17:19,0,297,0,297
2023-05-25T15:28:54,0,297,0,297
2023-05-25T15:40:28,0,297,0,297
2023-05-25T15:52:03,0,297,0,297
2023-05-25T16:03:38,0,297,0,297
2023-05-25T16:15:23,0,297,0,297
2023-05-25T16:26:58,0,297,0,297
2023-05-25T16:38:33,0,297,0,297
2023-05-25T16:50:09,0,297,0,297
2023-05-25T17:01:44,0,297,0,297
2023-05-25T17:13:21,0,297,0,297
2023-05-25T17:25:08,0,297,0,297
2023-05-25T17:36:43,0,297,0,297
2023-05-25T17:48:19,0,297,0,297
2023-05-25T17:59:55,0,297,0,297
2023-05-25T18:11:32,0,297,0,297
2023-05-25T18:23:07,0,297,0,297
2023-05-25T18:34:42,0,297,0,297
2023-05-25T18:46:28,0,297,0,297
2023-05-25T18:58:04,0,297,0,297
2023-05-25T19:09:40,0,297,0,297
2023-05-25T19:21:16,0,297,0,297
2023-05-25T19:32:52,0,297,0,297
2023-05-25T19:44:28,0,297,0,297
2023-05-25T19:56:13,0,297,0,297
2023-05-25T20:07:49,0,297,0,297
2023-05-25T20:19:25,0,297,0,297
2023-05-25T20:31:01,0,297,0,297
2023-05-25T20:42:37,0,297,0,297
2023-05-25T20:54:12,0,297,0,297
2023-05-25T21:05:48,0,297,0,297
2023-05-25T21:17:24,0,297,0,297
2023-05-25T21:29:11,0,297,0,297
2023-05-25T21:40:47,0,297,0,297
2023-05-25T21:52:22,0,297,0,297
2023-05-25T22:03:58,0,297,0,297
2023-05-25T22:15:33,0,297,0,297
2023-05-25T22:27:08,0,297,0,297
2023-05-25T22:38:44,0,297,0,297
2023-05-25T22:50:30,0,297,0,297
2023-05-25T23:02:06,0,297,0,297
2023-05-25T23:13:44,0,297,0,297
2023-05-25T23:25:20,0,297,0,297
2023-05-25T23:36:56,0,297,0,297
2023-05-25T23:48:31,0,297,0,297
2023-05-26T00:00:08,0,297,0,297
2023-05-26T00:12:05,0,297,0,297
2023-05-26T00:23:45,0,297,0,297
2023-05-26T00:35:25,0,297,0,297
2023-05-26T00:47:03,0,297,0,297
2023-05-26T00:58:42,0,297,0,297
2023-05-26T01:10:21,0,297,0,297
2023-05-26T01:22:00,0,297,0,297
2023-05-26T01:33:38,0,297,0,297
2023-05-26T01:45:26,0,297,0,297
2023-05-26T01:57:05,0,297,0,297
2023-05-26T02:08:46,0,297,0,297
2023-05-26T02:20:23,0,297,0,297
2023-05-26T02:32:01,0,297,0,297
2023-05-26T02:43:49,0,297,0,297
2023-05-26T02:55:30,0,297,0,297
2023-05-26T03:07:10,0,297,0,297
2023-05-26T03:18:51,0,297,0,297
2023-05-26T03:30:30,0,297,0,297
2023-05-26T03:42:08,0,297,0,297
2023-05-26T03:53:46,0,297,0,297
2023-05-26T04:05:35,0,297,0,297
2023-05-26T04:27:33,0,297,0,297
2023-05-26T04:39:37,0,297,0,297
2023-05-26T04:51:19,0,297,0,297
2023-05-26T05:02:59,0,297,0,297
2023-05-26T05:14:40,0,297,0,297
2023-05-26T05:26:19,0,297,0,297
2023-05-26T05:37:58,0,297,0,297
2023-05-26T05:49:37,0,297,0,297
2023-05-26T06:01:15,0,297,0,297
2023-05-26T06:12:55,0,297,0,297
2023-05-26T06:24:34,0,297,0,297
2023-05-26T06:36:12,0,297,0,297
2023-05-26T06:47:51,0,297,0,297
2023-05-26T06:59:29,0,297,0,297
2023-05-26T07:11:08,0,297,0,297
2023-05-26T07:22:46,0,297,0,297
2023-05-26T07:34:32,0,297,0,297
2023-05-26T07:46:09,0,297,0,297
2023-05-26T07:57:46,0,297,0,297
2023-05-26T08:09:22,0,297,0,297
2023-05-26T08:20:58,0,297,0,297
2023-05-26T08:32:34,0,297,0,297
2023-05-26T08:44:11,0,297,0,297
2023-05-26T08:55:47,0,297,0,297
2023-05-26T09:07:23,0,297,0,297
2023-05-26T09:18:59,0,297,0,297
2023-05-26T09:30:46,0,297,0,297
2023-05-26T09:42:22,1,296,0,297
2023-05-26T09:53:59,1,296,0,297
2023-05-26T10:05:34,3,294,0,297
2023-05-26T10:17:11,3,294,0,297
2023-05-26T10:28:48,5,292,0,297
2023-05-26T10:40:36,8,289,0,297
2023-05-26T10:52:12,8,289,0,297
2023-05-26T11:03:48,9,288,0,297
2023-05-26T11:15:25,11,286,0,297
2023-05-26T11:27:01,11,286,0,297
2023-05-26T11:38:48,12,285,0,297
2023-05-26T11:50:24,12,285,0,297
2023-05-26T12:02:00,12,285,0,297
2023-05-26T12:13:36,12,285,0,297
2023-05-26T12:25:12,12,285,0,297
2023-05-26T12:36:48,12,285,0,297
2023-05-26T12:48:36,12,285,0,297
2023-05-26T13:00:12,12,285,0,297
2023-05-26T13:11:47,12,285,0,297
2023-05-26T13:23:23,12,285,0,297
2023-05-26T13:35:10,12,285,0,297
2023-05-26T13:46:45,14,283,0,297
2023-05-26T13:58:21,14,283,0,297
2023-05-26T14:09:57,14,283,0,297
2023-05-26T14:21:44,15,282,0,297
2023-05-26T14:33:20,15,282,0,297
2023-05-26T14:44:56,16,281,0,297
2023-05-26T14:56:32,16,281,0,297
2023-05-26T15:08:11,16,281,0,297
2023-05-26T15:19:46,16,281,0,297
2023-05-26T15:31:33,16,281,0,297
2023-05-26T15:43:08,16,281,0,297
2023-05-26T15:54:44,17,280,0,297
2023-05-26T16:06:21,17,280,0,297
2023-05-26T16:17:56,17,280,0,297
2023-05-26T16:29:31,18,279,0,297
2023-05-26T16:41:18,18,279,0,297
2023-05-26T16:52:53,18,279,0,297
2023-05-26T17:04:29,18,279,0,297
2023-05-26T17:16:06,18,279,0,297
2023-05-26T17:27:42,19,278,0,297
2023-05-26T17:39:17,19,278,0,297
2023-05-26T17:51:03,19,278,0,297
2023-05-26T18:02:39,19,278,0,297
2023-05-26T18:14:14,20,277,0,297
2023-05-26T18:25:50,20,277,0,297
2023-05-26T18:37:26,22,275,0,297
2023-05-26T18:49:12,22,275,0,297
2023-05-26T19:00:47,22,275,0,297
2023-05-26T19:12:24,22,275,0,297
2023-05-26T19:24:00,22,275,0,297
2023-05-26T19:35:36,22,275,0,297
2023-05-26T19:47:11,22,275,0,297
2023-05-26T19:58:47,22,275,0,297
2023-05-26T20:10:23,22,275,0,297
2023-05-26T20:22:08,22,275,0,297
2023-05-26T20:33:44,22,275,0,297
2023-05-26T20:45:19,22,275,0,297
2023-05-26T20:56:55,22,275,0,297
2023-05-26T21:08:30,22,275,0,297
2023-05-26T21:20:08,23,274,0,297
2023-05-26T21:31:44,23,274,0,297
2023-05-26T21:43:30,23,274,0,297
2023-05-26T21:55:06,25,272,0,297
2023-05-26T22:06:42,25,272,0,297
2023-05-26T22:18:18,25,272,0,297
2023-05-26T22:29:54,25,272,0,297
2023-05-26T22:41:30,25,272,0,297
2023-05-26T22:53:05,25,272,0,297
2023-05-26T23:04:45,25,272,0,297
2023-05-26T23:16:31,25,272,0,297
2023-05-26T23:28:07,25,272,0,297
2023-05-26T23:39:43,25,272,0,297
2023-05-26T23:51:20,25,272,0,297
2023-05-27T00:02:56,25,272,0,297
2023-05-27T00:14:36,25,272,0,297
2023-05-27T00:26:15,25,272,0,297
2023-05-27T00:37:54,25,272,0,297
2023-05-27T00:49:33,25,272,0,297
2023-05-27T01:01:12,25,272,0,297
2023-05-27T01:12:51,25,272,0,297
2023-05-27T01:24:40,25,272,0,297
2023-05-27T01:36:19,25,272,0,297
2023-05-27T01:47:58,25,272,0,297
2023-05-27T01:59:36,25,272,0,297
2023-05-27T02:11:15,25,272,0,297
2023-05-27T02:22:52,25,272,0,297
2023-05-27T02:34:29,25,272,0,297
2023-05-27T02:46:06,25,272,0,297
2023-05-27T02:57:41,25,272,0,297
2023-05-27T03:09:19,25,272,0,297
2023-05-27T03:20:57,25,272,0,297
2023-05-27T03:32:34,25,272,0,297
2023-05-27T03:44:11,25,272,0,297
2023-05-27T03:55:49,25,272,0,297
2023-05-27T04:07:29,25,272,0,297
2023-05-27T04:19:32,25,272,0,297
2023-05-27T04:29:02,25,272,0,297
2023-05-27T04:41:58,25,272,0,297
2023-05-27T04:53:54,25,272,0,297
2023-05-27T05:05:34,25,272,0,297
2023-05-27T05:17:13,25,272,0,297
2023-05-27T05:28:52,25,272,0,297
2023-05-27T05:40:32,25,272,0,297
2023-05-27T05:52:10,25,272,0,297
2023-05-27T06:03:49,25,272,0,297
2023-05-27T06:15:27,25,272,0,297
2023-05-27T06:27:08,25,272,0,297
2023-05-27T06:38:47,25,272,0,297
2023-05-27T06:50:25,25,272,0,297
2023-05-27T07:02:03,25,272,0,297
2023-05-27T07:13:41,25,272,0,297
2023-05-27T07:25:20,25,272,0,297
2023-05-27T07:36:57,25,272,0,297
2023-05-27T07:48:35,25,272,0,297
2023-05-27T08:00:25,25,272,0,297
2023-05-27T08:12:03,25,272,0,297
2023-05-27T08:23:40,25,272,0,297
2023-05-27T08:35:19,25,272,0,297
2023-05-27T08:46:57,25,272,0,297
2023-05-27T08:58:35,25,272,0,297
2023-05-27T09:10:13,25,272,0,297
2023-05-27T09:21:50,25,272,0,297
2023-05-27T09:33:30,26,271,0,297
2023-05-27T09:45:08,26,271,0,297
2023-05-27T09:56:45,26,271,0,297
2023-05-27T10:08:40,27,270,0,297
2023-05-27T10:20:16,27,270,0,297
2023-05-27T10:31:54,27,270,0,297
2023-05-27T10:43:31,27,270,0,297
2023-05-27T10:55:08,27,270,0,297
2023-05-27T11:06:44,27,270,0,297
2023-05-27T11:18:19,27,270,0,297
2023-05-27T11:29:54,27,270,0,297
2023-05-27T11:41:29,27,270,0,297
2023-05-27T11:53:04,28,269,0,297
2023-05-27T12:04:48,28,269,0,297
