time,enrolled,available,waitlisted,total
2023-05-25T01:14:16,0,64,0,64
2023-05-25T01:25:52,0,64,0,64
2023-05-25T01:37:27,0,64,0,64
2023-05-25T01:49:12,0,64,0,64
2023-05-25T02:00:47,0,64,0,64
2023-05-25T02:12:23,0,64,0,64
2023-05-25T02:24:00,0,64,0,64
2023-05-25T02:35:33,0,64,0,64
2023-05-25T02:47:07,0,64,0,64
2023-05-25T02:58:40,0,64,0,64
2023-05-25T03:10:15,0,64,0,64
2023-05-25T03:21:54,0,64,0,64
2023-05-25T03:33:52,0,64,0,64
2023-05-25T03:45:28,0,64,0,64
2023-05-25T03:57:04,0,64,0,64
2023-05-25T04:16:26,0,64,0,64
2023-05-25T04:28:27,0,64,0,64
2023-05-25T04:40:04,0,64,0,64
2023-05-25T04:51:40,0,64,0,64
2023-05-25T05:03:16,0,64,0,64
2023-05-25T05:14:53,0,64,0,64
2023-05-25T05:26:29,0,64,0,64
2023-05-25T05:38:05,0,64,0,64
2023-05-25T05:49:41,0,64,0,64
2023-05-25T06:01:18,0,64,0,64
2023-05-25T06:12:54,0,64,0,64
2023-05-25T06:24:29,0,64,0,64
2023-05-25T06:36:03,0,64,0,64
2023-05-25T06:47:39,0,64,0,64
2023-05-25T06:59:14,0,64,0,64
2023-05-25T07:10:50,0,64,0,64
2023-05-25T07:22:24,0,64,0,64
2023-05-25T07:33:58,0,64,0,64
2023-05-25T07:45:35,0,64,0,64
2023-05-25T07:57:10,0,64,0,64
2023-05-25T08:08:45,0,64,0,64
2023-05-25T08:20:19,0,64,0,64
2023-05-25T08:32:04,0,64,0,64
2023-05-25T08:43:36,0,64,0,64
2023-05-25T08:55:08,0,64,0,64
2023-05-25T09:06:42,0,64,0,64
2023-05-25T09:18:15,0,64,0,64
2023-05-25T09:29:48,0,64,0,64
2023-05-25T09:41:20,0,64,0,64
2023-05-25T09:52:53,0,64,0,64
2023-05-25T10:04:26,0,64,0,64
2023-05-25T10:16:11,0,64,0,64
2023-05-25T10:27:44,0,64,0,64
2023-05-25T10:39:16,0,64,0,64
2023-05-25T10:50:49,0,64,0,64
2023-05-25T11:02:32,0,64,0,64
2023-05-25T11:14:04,0,64,0,64
2023-05-25T11:25:37,0,64,0,64
2023-05-25T11:37:10,0,64,0,64
2023-05-25T11:48:43,0,64,0,64
2023-05-25T12:00:27,0,64,0,64
2023-05-25T12:12:00,0,64,0,64
2023-05-25T12:23:32,0,64,0,64
2023-05-25T12:35:05,0,64,0,64
2023-05-25T12:46:38,0,64,0,64
2023-05-25T12:58:11,0,64,0,64
2023-05-25T13:09:54,0,64,0,64
2023-05-25T13:21:27,0,64,0,64
2023-05-25T13:33:00,0,64,0,64
2023-05-25T13:44:33,0,64,0,64
2023-05-25T13:56:07,0,64,0,64
2023-05-25T14:07:51,0,64,0,64
2023-05-25T14:19:25,0,64,0,64
2023-05-25T14:30:58,0,64,0,64
2023-05-25T14:42:30,0,64,0,64
2023-05-25T14:54:04,0,64,0,64
2023-05-25T15:05:48,0,64,0,64
2023-05-25T15:17:22,0,64,0,64
2023-05-25T15:28:57,0,64,0,64
2023-05-25T15:40:31,0,64,0,64
2023-05-25T15:52:06,0,64,0,64
2023-05-25T16:03:41,0,64,0,64
2023-05-25T16:15:26,0,64,0,64
2023-05-25T16:27:01,0,64,0,64
2023-05-25T16:38:36,0,64,0,64
2023-05-25T16:50:12,0,64,0,64
2023-05-25T17:01:47,0,64,0,64
2023-05-25T17:13:24,0,64,0,64
2023-05-25T17:25:11,0,64,0,64
2023-05-25T17:36:46,0,64,0,64
2023-05-25T17:48:22,0,64,0,64
2023-05-25T17:59:58,0,64,0,64
2023-05-25T18:11:35,0,64,0,64
2023-05-25T18:23:10,0,64,0,64
2023-05-25T18:34:45,0,64,0,64
2023-05-25T18:46:31,0,64,0,64
2023-05-25T18:58:07,0,64,0,64
2023-05-25T19:09:43,0,64,0,64
2023-05-25T19:21:19,0,64,0,64
2023-05-25T19:32:55,0,64,0,64
2023-05-25T19:44:31,0,64,0,64
2023-05-25T19:56:16,0,64,0,64
2023-05-25T20:07:52,0,64,0,64
2023-05-25T20:19:28,0,64,0,64
2023-05-25T20:31:04,0,64,0,64
2023-05-25T20:42:40,0,64,0,64
2023-05-25T20:54:15,0,64,0,64
2023-05-25T21:05:51,0,64,0,64
2023-05-25T21:17:27,0,64,0,64
2023-05-25T21:29:14,0,64,0,64
2023-05-25T21:40:50,0,64,0,64
2023-05-25T21:52:25,0,64,0,64
2023-05-25T22:04:01,0,64,0,64
2023-05-25T22:15:36,0,64,0,64
2023-05-25T22:27:11,0,64,0,64
2023-05-25T22:38:47,0,64,0,64
2023-05-25T22:50:33,0,64,0,64
2023-05-25T23:02:09,0,64,0,64
2023-05-25T23:13:47,0,64,0,64
2023-05-25T23:25:23,0,64,0,64
2023-05-25T23:36:59,0,64,0,64
2023-05-25T23:48:34,0,64,0,64
2023-05-26T00:00:12,0,64,0,64
2023-05-26T00:12:08,0,64,0,64
2023-05-26T00:23:48,0,64,0,64
2023-05-26T00:35:28,0,64,0,64
2023-05-26T00:47:06,0,64,0,64
2023-05-26T00:58:45,0,64,0,64
2023-05-26T01:10:24,0,64,0,64
2023-05-26T01:22:03,0,64,0,64
2023-05-26T01:33:41,0,64,0,64
2023-05-26T01:45:28,0,64,0,64
2023-05-26T01:57:08,0,64,0,64
2023-05-26T02:08:49,0,64,0,64
2023-05-26T02:20:26,0,64,0,64
2023-05-26T02:32:04,0,64,0,64
2023-05-26T02:43:52,0,64,0,64
2023-05-26T02:55:33,0,64,0,64
2023-05-26T03:07:13,0,64,0,64
2023-05-26T03:18:54,0,64,0,64
2023-05-26T03:30:33,0,64,0,64
2023-05-26T03:42:11,0,64,0,64
2023-05-26T03:53:49,0,64,0,64
2023-05-26T04:05:38,0,64,0,64
2023-05-26T04:27:36,0,64,0,64
2023-05-26T04:39:40,0,64,0,64
2023-05-26T04:51:22,0,64,0,64
2023-05-26T05:03:02,0,64,0,64
2023-05-26T05:14:43,0,64,0,64
2023-05-26T05:26:22,0,64,0,64
2023-05-26T05:38:01,0,64,0,64
2023-05-26T05:49:40,0,64,0,64
2023-05-26T06:01:18,0,64,0,64
2023-05-26T06:12:58,0,64,0,64
2023-05-26T06:24:37,0,64,0,64
2023-05-26T06:36:15,0,64,0,64
2023-05-26T06:47:54,0,64,0,64
2023-05-26T06:59:32,0,64,0,64
2023-05-26T07:11:11,0,64,0,64
2023-05-26T07:22:49,0,64,0,64
2023-05-26T07:34:35,0,64,0,64
2023-05-26T07:46:12,0,64,0,64
2023-05-26T07:57:49,0,64,0,64
2023-05-26T08:09:25,0,64,0,64
