time,enrolled,available,waitlisted,total
2023-05-25T01:14:22,0,135,0,135
2023-05-25T01:25:59,0,135,0,135
2023-05-25T01:37:34,0,135,0,135
2023-05-25T01:49:19,0,135,0,135
2023-05-25T02:00:54,0,135,0,135
2023-05-25T02:12:30,0,135,0,135
2023-05-25T02:24:07,0,135,0,135
2023-05-25T02:35:40,0,135,0,135
2023-05-25T02:47:14,0,135,0,135
2023-05-25T02:58:46,0,135,0,135
2023-05-25T03:10:22,0,135,0,135
2023-05-25T03:22:01,0,135,0,135
2023-05-25T03:33:59,0,135,0,135
2023-05-25T03:45:35,0,135,0,135
2023-05-25T03:57:11,0,135,0,135
2023-05-25T04:16:33,0,135,0,135
2023-05-25T04:28:34,0,135,0,135
2023-05-25T04:40:11,0,135,0,135
2023-05-25T04:51:47,0,135,0,135
2023-05-25T05:03:23,0,135,0,135
2023-05-25T05:15:00,0,135,0,135
2023-05-25T05:26:36,0,135,0,135
2023-05-25T05:38:12,0,135,0,135
2023-05-25T05:49:48,0,135,0,135
2023-05-25T06:01:25,0,135,0,135
2023-05-25T06:13:01,0,135,0,135
2023-05-25T06:24:36,0,135,0,135
2023-05-25T06:36:10,0,135,0,135
2023-05-25T06:47:46,0,135,0,135
2023-05-25T06:59:21,0,135,0,135
2023-05-25T07:10:56,0,135,0,135
2023-05-25T07:22:31,0,135,0,135
2023-05-25T07:34:05,0,135,0,135
2023-05-25T07:45:41,0,135,0,135
2023-05-25T07:57:17,0,135,0,135
2023-05-25T08:08:52,0,135,0,135
2023-05-25T08:20:36,0,135,0,135
2023-05-25T08:32:11,0,135,0,135
2023-05-25T08:43:43,0,135,0,135
2023-05-25T08:55:15,0,135,0,135
2023-05-25T09:06:49,0,135,0,135
2023-05-25T09:18:22,0,135,0,135
2023-05-25T09:29:54,0,135,0,135
2023-05-25T09:41:27,0,135,0,135
2023-05-25T09:53:00,0,135,0,135
2023-05-25T10:04:33,0,135,0,135
2023-05-25T10:16:18,0,135,0,135
2023-05-25T10:27:51,0,135,0,135
2023-05-25T10:39:23,0,135,0,135
2023-05-25T10:50:56,0,135,0,135
2023-05-25T11:02:39,0,135,0,135
2023-05-25T11:14:11,0,135,0,135
2023-05-25T11:25:44,0,135,0,135
2023-05-25T11:37:17,0,135,0,135
2023-05-25T11:48:50,0,135,0,135
2023-05-25T12:00:34,0,135,0,135
2023-05-25T12:12:07,0,135,0,135
2023-05-25T12:23:39,0,135,0,135
2023-05-25T12:35:12,0,135,0,135
2023-05-25T12:46:45,0,135,0,135
2023-05-25T12:58:29,0,135,0,135
2023-05-25T13:10:01,0,135,0,135
2023-05-25T13:21:34,0,135,0,135
2023-05-25T13:33:07,0,135,0,135
2023-05-25T13:44:40,0,135,0,135
2023-05-25T13:56:14,0,135,0,135
2023-05-25T14:07:58,0,135,0,135
2023-05-25T14:19:32,0,135,0,135
2023-05-25T14:31:04,0,135,0,135
2023-05-25T14:42:37,0,135,0,135
2023-05-25T14:54:11,0,135,0,135
2023-05-25T15:05:55,0,135,0,135
2023-05-25T15:17:29,0,135,0,135
2023-05-25T15:29:04,0,135,0,135
2023-05-25T15:40:38,0,135,0,135
2023-05-25T15:52:12,0,135,0,135
2023-05-25T16:03:47,0,135,0,135
2023-05-25T16:15:33,0,135,0,135
2023-05-25T16:27:08,0,135,0,135
2023-05-25T16:38:43,0,135,0,135
2023-05-25T16:50:18,0,135,0,135
2023-05-25T17:01:54,0,135,0,135
2023-05-25T17:13:31,0,135,0,135
2023-05-25T17:25:18,0,135,0,135
2023-05-25T17:36:53,0,135,0,135
2023-05-25T17:48:29,0,135,0,135
2023-05-25T18:00:05,0,135,0,135
2023-05-25T18:11:42,0,135,0,135
2023-05-25T18:23:17,0,135,0,135
2023-05-25T18:34:52,0,135,0,135
2023-05-25T18:46:38,0,135,0,135
2023-05-25T18:58:14,0,135,0,135
2023-05-25T19:09:50,0,135,0,135
2023-05-25T19:21:26,0,135,0,135
2023-05-25T19:33:01,0,135,0,135
2023-05-25T19:44:38,0,135,0,135
2023-05-25T19:56:23,0,135,0,135
2023-05-25T20:07:59,0,135,0,135
2023-05-25T20:19:35,0,135,0,135
2023-05-25T20:31:11,0,135,0,135
2023-05-25T20:42:47,0,135,0,135
2023-05-25T20:54:22,0,135,0,135
2023-05-25T21:05:57,0,135,0,135
2023-05-25T21:17:34,0,135,0,135
2023-05-25T21:29:20,0,135,0,135
2023-05-25T21:40:57,0,135,0,135
2023-05-25T21:52:32,0,135,0,135
2023-05-25T22:04:07,0,135,0,135
2023-05-25T22:15:43,0,135,0,135
2023-05-25T22:27:18,0,135,0,135
2023-05-25T22:38:54,0,135,0,135
2023-05-25T22:50:40,0,135,0,135
2023-05-25T23:02:17,0,135,0,135
2023-05-25T23:13:54,0,135,0,135
2023-05-25T23:25:29,0,135,0,135
2023-05-25T23:37:06,0,135,0,135
2023-05-25T23:48:41,0,135,0,135
2023-05-26T00:00:18,0,135,0,135
2023-05-26T00:12:15,0,135,0,135
2023-05-26T00:23:55,0,135,0,135
2023-05-26T00:35:34,0,135,0,135
2023-05-26T00:47:13,0,135,0,135
2023-05-26T00:58:52,0,135,0,135
2023-05-26T01:10:31,0,135,0,135
2023-05-26T01:22:10,0,135,0,135
2023-05-26T01:33:48,0,135,0,135
2023-05-26T01:45:35,0,135,0,135
2023-05-26T01:57:15,0,135,0,135
2023-05-26T02:08:56,0,135,0,135
2023-05-26T02:20:33,0,135,0,135
2023-05-26T02:32:10,0,135,0,135
2023-05-26T02:43:59,0,135,0,135
2023-05-26T02:55:40,0,135,0,135
2023-05-26T03:07:20,0,135,0,135
2023-05-26T03:19:01,0,135,0,135
2023-05-26T03:30:40,0,135,0,135
2023-05-26T03:42:18,0,135,0,135
2023-05-26T03:53:56,0,135,0,135
2023-05-26T04:05:44,0,135,0,135
2023-05-26T04:27:43,0,135,0,135
2023-05-26T04:39:47,0,135,0,135
2023-05-26T04:51:29,0,135,0,135
2023-05-26T05:03:09,0,135,0,135
2023-05-26T05:14:50,0,135,0,135
2023-05-26T05:26:29,0,135,0,135
2023-05-26T05:38:08,0,135,0,135
2023-05-26T05:49:47,0,135,0,135
2023-05-26T06:01:25,0,135,0,135
2023-05-26T06:13:04,0,135,0,135
2023-05-26T06:24:44,0,135,0,135
2023-05-26T06:36:22,0,135,0,135
2023-05-26T06:48:01,0,135,0,135
2023-05-26T06:59:38,0,135,0,135
2023-05-26T07:11:17,0,135,0,135
2023-05-26T07:22:56,0,135,0,135
2023-05-26T07:34:42,0,135,0,135
2023-05-26T07:46:19,0,135,0,135
2023-05-26T07:57:56,0,135,0,135
2023-05-26T08:09:32,0,135,0,135
2023-05-26T08:21:08,0,135,0,135
2023-05-26T08:32:44,0,135,0,135
2023-05-26T08:44:20,0,135,0,135
2023-05-26T08:55:56,0,135,0,135
2023-05-26T09:07:33,0,135,0,135
2023-05-26T09:19:09,0,135,0,135
2023-05-26T09:30:56,0,135,0,135
2023-05-26T09:42:32,0,135,0,135
2023-05-26T09:54:08,0,135,0,135
2023-05-26T10:05:44,0,135,0,135
2023-05-26T10:17:21,1,134,0,135
2023-05-26T10:28:57,1,134,0,135
2023-05-26T10:40:45,2,133,0,135
2023-05-26T10:52:22,2,133,0,135
2023-05-26T11:03:58,2,133,0,135
2023-05-26T11:15:35,2,133,0,135
2023-05-26T11:27:11,2,133,0,135
2023-05-26T11:38:58,2,133,0,135
2023-05-26T11:50:34,2,133,0,135
2023-05-26T12:02:10,2,133,0,135
2023-05-26T12:13:46,2,133,0,135
2023-05-26T12:25:22,2,133,0,135
2023-05-26T12:36:58,3,132,0,135
2023-05-26T12:48:45,3,132,0,135
2023-05-26T13:00:22,3,132,0,135
2023-05-26T13:11:57,3,132,0,135
2023-05-26T13:23:33,3,132,0,135
2023-05-26T13:35:19,3,132,0,135
2023-05-26T13:46:55,3,132,0,135
2023-05-26T13:58:31,3,132,0,135
2023-05-26T14:10:07,3,132,0,135
2023-05-26T14:21:54,3,132,0,135
2023-05-26T14:33:30,3,132,0,135
2023-05-26T14:45:06,4,131,0,135
2023-05-26T14:56:42,4,131,0,135
2023-05-26T15:08:20,4,131,0,135
2023-05-26T15:19:56,4,131,0,135
2023-05-26T15:31:43,4,131,0,135
2023-05-26T15:43:18,4,131,0,135
2023-05-26T15:54:54,4,131,0,135
2023-05-26T16:06:30,4,131,0,135
2023-05-26T16:18:06,4,131,0,135
2023-05-26T16:29:41,4,131,0,135
2023-05-26T16:41:27,5,130,0,135
2023-05-26T16:53:03,5,130,0,135
2023-05-26T17:04:39,6,129,0,135
2023-05-26T17:16:16,6,129,0,135
2023-05-26T17:27:52,7,128,0,135
2023-05-26T17:39:27,7,128,0,135
2023-05-26T17:51:13,7,128,0,135
2023-05-26T18:02:48,7,128,0,135
2023-05-26T18:14:24,7,128,0,135
2023-05-26T18:26:00,7,128,0,135
2023-05-26T18:37:36,8,127,0,135
2023-05-26T18:49:22,9,126,0,135
2023-05-26T19:00:57,9,126,0,135
2023-05-26T19:12:34,9,126,0,135
2023-05-26T19:24:10,11,124,0,135
2023-05-26T19:35:46,11,124,0,135
2023-05-26T19:47:21,11,124,0,135
2023-05-26T19:58:56,11,124,0,135
2023-05-26T20:10:33,11,124,0,135
2023-05-26T20:22:18,11,124,0,135
2023-05-26T20:33:54,11,124,0,135
2023-05-26T20:45:29,11,124,0,135
2023-05-26T20:57:05,12,123,0,135
2023-05-26T21:08:40,12,123,0,135
2023-05-26T21:20:18,12,123,0,135
2023-05-26T21:31:53,12,123,0,135
2023-05-26T21:43:40,14,121,0,135
2023-05-26T21:55:16,14,121,0,135
2023-05-26T22:06:52,14,121,0,135
2023-05-26T22:18:28,14,121,0,135
2023-05-26T22:30:03,14,121,0,135
2023-05-26T22:41:40,14,121,0,135
2023-05-26T22:53:15,14,121,0,135
2023-05-26T23:04:54,15,120,0,135
2023-05-26T23:16:40,15,120,0,135
2023-05-26T23:28:16,15,120,0,135
2023-05-26T23:39:53,16,119,0,135
2023-05-26T23:51:30,16,119,0,135
2023-05-27T00:03:06,16,119,0,135
2023-05-27T00:14:46,16,119,0,135
2023-05-27T00:26:25,16,119,0,135
2023-05-27T00:38:04,16,119,0,135
2023-05-27T00:49:43,16,119,0,135
2023-05-27T01:01:22,16,119,0,135
2023-05-27T01:13:01,16,119,0,135
2023-05-27T01:24:49,16,119,0,135
2023-05-27T01:36:29,16,119,0,135
2023-05-27T01:48:08,16,119,0,135
2023-05-27T01:59:46,16,119,0,135
2023-05-27T02:11:25,16,119,0,135
2023-05-27T02:23:02,16,119,0,135
2023-05-27T02:34:39,16,119,0,135
2023-05-27T02:46:15,16,119,0,135
2023-05-27T02:57:51,16,119,0,135
2023-05-27T03:09:29,16,119,0,135
2023-05-27T03:21:07,16,119,0,135
2023-05-27T03:32:44,16,119,0,135
2023-05-27T03:44:21,16,119,0,135
2023-05-27T03:55:59,16,119,0,135
2023-05-27T04:07:39,16,119,0,135
2023-05-27T04:19:42,16,119,0,135
2023-05-27T04:29:12,16,119,0,135
2023-05-27T04:42:08,17,118,0,135
2023-05-27T04:54:04,17,118,0,135
2023-05-27T05:05:44,17,118,0,135
2023-05-27T05:17:23,17,118,0,135
2023-05-27T05:29:02,17,118,0,135
2023-05-27T05:40:42,17,118,0,135
2023-05-27T05:52:20,17,118,0,135
2023-05-27T06:03:58,17,118,0,135
2023-05-27T06:15:37,17,118,0,135
2023-05-27T06:27:18,17,118,0,135
2023-05-27T06:38:57,17,118,0,135
2023-05-27T06:50:35,17,118,0,135
2023-05-27T07:02:13,17,118,0,135
2023-05-27T07:13:51,17,118,0,135
2023-05-27T07:25:30,17,118,0,135
2023-05-27T07:37:07,17,118,0,135
2023-05-27T07:48:45,17,118,0,135
2023-05-27T08:00:35,17,118,0,135
2023-05-27T08:12:12,17,118,0,135
2023-05-27T08:23:50,17,118,0,135
2023-05-27T08:35:29,17,118,0,135
2023-05-27T08:47:07,20,115,0,135
2023-05-27T08:58:45,21,114,0,135
2023-05-27T09:10:23,21,114,0,135
2023-05-27T09:22:00,21,114,0,135
2023-05-27T09:33:40,21,114,0,135
2023-05-27T09:45:18,21,114,0,135
2023-05-27T09:56:55,22,113,0,135
2023-05-27T10:08:50,23,112,0,135
2023-05-27T10:20:26,23,112,0,135
2023-05-27T10:32:04,23,112,0,135
2023-05-27T10:43:41,23,112,0,135
2023-05-27T10:55:18,24,111,0,135
2023-05-27T11:06:53,24,111,0,135
2023-05-27T11:18:29,25,110,0,135
2023-05-27T11:30:04,26,109,0,135
2023-05-27T11:41:39,27,108,0,135
2023-05-27T11:53:14,28,107,0,135
2023-05-27T12:04:58,30,105,0,135
2023-05-27T12:16:33,30,105,0,135
2023-05-27T12:28:08,31,104,0,135
2023-05-27T12:39:44,32,103,0,135
2023-05-27T12:51:20,33,102,0,135
2023-05-27T13:02:55,34,101,0,135
2023-05-27T13:14:30,36,99,0,135
2023-05-27T13:26:05,36,99,0,135
2023-05-27T13:38:00,35,100,0,135
2023-05-27T13:49:35,35,100,0,135
2023-05-27T14:01:11,37,98,0,135
2023-05-27T14:12:46,37,98,0,135
2023-05-27T14:24:22,38,97,0,135
2023-05-27T14:35:57,39,96,0,135
2023-05-27T14:47:32,39,96,0,135
2023-05-27T14:59:18,40,95,0,135
2023-05-27T15:10:53,40,95,0,135
2023-05-27T15:22:28,40,95,0,135
2023-05-27T15:34:03,41,94,0,135
2023-05-27T15:45:38,42,93,0,135
2023-05-27T15:57:13,43,92,0,135
2023-05-27T16:08:48,44,91,0,135
2023-05-27T16:20:23,45,90,0,135
2023-05-27T16:32:08,46,89,0,135
2023-05-27T16:43:44,46,89,0,135
2023-05-27T16:55:19,47,88,0,135
2023-05-27T17:06:56,47,88,0,135
2023-05-27T17:18:33,49,86,0,135
2023-05-27T17:30:09,50,85,0,135
2023-05-27T17:41:54,50,85,0,135
2023-05-27T17:53:29,50,85,0,135
2023-05-27T18:05:04,50,85,0,135
2023-05-27T18:16:40,50,85,0,135
2023-05-27T18:28:16,50,85,0,135
2023-05-27T18:39:51,50,85,0,135
2023-05-27T18:51:25,53,82,0,135
2023-05-27T19:03:02,53,82,0,135
2023-05-27T19:14:57,54,81,0,135
2023-05-27T19:26:32,54,81,0,135
2023-05-27T19:38:08,54,81,0,135
2023-05-27T19:49:44,55,80,0,135
2023-05-27T20:01:19,56,79,0,135
2023-05-27T20:12:54,57,78,0,135
2023-05-27T20:24:30,60,75,0,135
