time,enrolled,available,waitlisted,total
2023-05-25T01:14:23,0,35,0,35
2023-05-25T01:25:59,0,35,0,35
2023-05-25T01:37:35,0,35,0,35
2023-05-25T01:49:19,0,35,0,35
2023-05-25T02:00:55,0,35,0,35
2023-05-25T02:12:31,0,35,0,35
2023-05-25T02:24:07,0,35,0,35
2023-05-25T02:35:41,0,35,0,35
2023-05-25T02:47:14,0,35,0,35
2023-05-25T02:58:47,0,35,0,35
2023-05-25T03:10:23,0,35,0,35
2023-05-25T03:22:02,0,35,0,35
2023-05-25T03:34:00,0,35,0,35
2023-05-25T03:45:36,0,35,0,35
2023-05-25T03:57:12,0,35,0,35
2023-05-25T04:16:34,0,35,0,35
2023-05-25T04:28:35,0,35,0,35
2023-05-25T04:40:11,0,35,0,35
2023-05-25T04:51:47,0,35,0,35
2023-05-25T05:03:23,0,35,0,35
2023-05-25T05:15:01,0,35,0,35
2023-05-25T05:26:36,0,35,0,35
2023-05-25T05:38:13,0,35,0,35
2023-05-25T05:49:49,0,35,0,35
2023-05-25T06:01:26,0,35,0,35
2023-05-25T06:13:01,0,35,0,35
2023-05-25T06:24:36,0,35,0,35
2023-05-25T06:36:11,0,35,0,35
2023-05-25T06:47:46,0,35,0,35
2023-05-25T06:59:22,0,35,0,35
2023-05-25T07:10:57,0,35,0,35
2023-05-25T07:22:32,0,35,0,35
2023-05-25T07:34:06,0,35,0,35
2023-05-25T07:45:42,0,35,0,35
2023-05-25T07:57:18,0,35,0,35
2023-05-25T08:08:53,0,35,0,35
2023-05-25T08:20:37,0,35,0,35
2023-05-25T08:32:11,0,35,0,35
2023-05-25T08:43:44,0,35,0,35
2023-05-25T08:55:16,0,35,0,35
2023-05-25T09:06:50,0,35,0,35
2023-05-25T09:18:23,0,35,0,35
2023-05-25T09:29:55,0,35,0,35
2023-05-25T09:41:28,0,35,0,35
2023-05-25T09:53:01,0,35,0,35
2023-05-25T10:04:34,0,35,0,35
2023-05-25T10:16:18,0,35,0,35
2023-05-25T10:27:52,0,35,0,35
2023-05-25T10:39:24,0,35,0,35
2023-05-25T10:50:57,0,35,0,35
2023-05-25T11:02:39,0,35,0,35
2023-05-25T11:14:12,0,35,0,35
2023-05-25T11:25:45,0,35,0,35
2023-05-25T11:37:17,0,35,0,35
2023-05-25T11:48:51,0,35,0,35
2023-05-25T12:00:35,0,35,0,35
2023-05-25T12:12:07,0,35,0,35
2023-05-25T12:23:40,0,35,0,35
2023-05-25T12:35:13,0,35,0,35
2023-05-25T12:46:46,0,35,0,35
2023-05-25T12:58:29,0,35,0,35
2023-05-25T13:10:02,0,35,0,35
2023-05-25T13:21:35,0,35,0,35
2023-05-25T13:33:08,0,35,0,35
2023-05-25T13:44:41,0,35,0,35
2023-05-25T13:56:15,0,35,0,35
2023-05-25T14:07:59,0,35,0,35
2023-05-25T14:19:32,0,35,0,35
2023-05-25T14:31:05,0,35,0,35
2023-05-25T14:42:38,0,35,0,35
2023-05-25T14:54:12,0,35,0,35
2023-05-25T15:05:56,0,35,0,35
2023-05-25T15:17:30,0,35,0,35
2023-05-25T15:29:05,0,35,0,35
2023-05-25T15:40:39,0,35,0,35
2023-05-25T15:52:13,0,35,0,35
2023-05-25T16:03:48,0,35,0,35
2023-05-25T16:15:34,0,35,0,35
2023-05-25T16:27:09,0,35,0,35
2023-05-25T16:38:44,0,35,0,35
2023-05-25T16:50:19,0,35,0,35
2023-05-25T17:01:55,0,35,0,35
2023-05-25T17:13:32,0,35,0,35
2023-05-25T17:25:19,0,35,0,35
2023-05-25T17:36:54,0,35,0,35
2023-05-25T17:48:30,0,35,0,35
2023-05-25T18:00:06,0,35,0,35
2023-05-25T18:11:42,0,35,0,35
2023-05-25T18:23:18,0,35,0,35
2023-05-25T18:34:53,0,35,0,35
2023-05-25T18:46:39,0,35,0,35
2023-05-25T18:58:15,0,35,0,35
2023-05-25T19:09:51,0,35,0,35
2023-05-25T19:21:27,0,35,0,35
2023-05-25T19:33:02,0,35,0,35
2023-05-25T19:44:39,0,35,0,35
2023-05-25T19:56:24,0,35,0,35
2023-05-25T20:08:00,0,35,0,35
2023-05-25T20:19:36,0,35,0,35
2023-05-25T20:31:12,0,35,0,35
2023-05-25T20:42:47,0,35,0,35
2023-05-25T20:54:23,0,35,0,35
2023-05-25T21:05:58,0,35,0,35
2023-05-25T21:17:35,0,35,0,35
2023-05-25T21:29:21,0,35,0,35
2023-05-25T21:40:57,0,35,0,35
2023-05-25T21:52:33,0,35,0,35
2023-05-25T22:04:08,0,35,0,35
2023-05-25T22:15:44,0,35,0,35
2023-05-25T22:27:19,0,35,0,35
2023-05-25T22:38:55,0,35,0,35
2023-05-25T22:50:41,0,35,0,35
2023-05-25T23:02:18,0,35,0,35
2023-05-25T23:13:55,0,35,0,35
2023-05-25T23:25:30,0,35,0,35
2023-05-25T23:37:06,0,35,0,35
2023-05-25T23:48:42,0,35,0,35
2023-05-26T00:00:19,0,35,0,35
2023-05-26T00:12:16,0,35,0,35
2023-05-26T00:23:56,0,35,0,35
2023-05-26T00:35:35,0,35,0,35
2023-05-26T00:47:14,0,35,0,35
2023-05-26T00:58:53,0,35,0,35
2023-05-26T01:10:32,0,35,0,35
2023-05-26T01:22:10,0,35,0,35
2023-05-26T01:33:48,0,35,0,35
2023-05-26T01:45:36,0,35,0,35
2023-05-26T01:57:15,0,35,0,35
2023-05-26T02:08:57,0,35,0,35
2023-05-26T02:20:34,0,35,0,35
2023-05-26T02:32:11,0,35,0,35
2023-05-26T02:44:00,0,35,0,35
2023-05-26T02:55:40,0,35,0,35
2023-05-26T03:07:21,0,35,0,35
2023-05-26T03:19:02,0,35,0,35
2023-05-26T03:30:40,0,35,0,35
2023-05-26T03:42:19,0,35,0,35
2023-05-26T03:53:57,0,35,0,35
2023-05-26T04:05:45,0,35,0,35
2023-05-26T04:27:44,0,35,0,35
2023-05-26T04:39:48,0,35,0,35
2023-05-26T04:51:30,0,35,0,35
2023-05-26T05:03:10,0,35,0,35
2023-05-26T05:14:51,0,35,0,35
2023-05-26T05:26:30,0,35,0,35
2023-05-26T05:38:08,0,35,0,35
2023-05-26T05:49:48,0,35,0,35
2023-05-26T06:01:26,0,35,0,35
2023-05-26T06:13:05,0,35,0,35
2023-05-26T06:24:44,0,35,0,35
2023-05-26T06:36:23,0,35,0,35
2023-05-26T06:48:02,0,35,0,35
2023-05-26T06:59:39,0,35,0,35
2023-05-26T07:11:18,0,35,0,35
2023-05-26T07:22:57,0,35,0,35
2023-05-26T07:34:42,0,35,0,35
2023-05-26T07:46:19,0,35,0,35
2023-05-26T07:57:57,0,35,0,35
2023-05-26T08:09:33,0,35,0,35
2023-05-26T08:21:09,0,35,0,35
2023-05-26T08:32:45,0,35,0,35
2023-05-26T08:44:21,0,35,0,35
2023-05-26T08:55:57,0,35,0,35
2023-05-26T09:07:33,0,35,0,35
2023-05-26T09:19:10,0,35,0,35
2023-05-26T09:30:57,0,35,0,35
2023-05-26T09:42:33,0,35,0,35
2023-05-26T09:54:09,0,35,0,35
2023-05-26T10:05:45,0,35,0,35
2023-05-26T10:17:22,0,35,0,35
2023-05-26T10:28:58,0,35,0,35
2023-05-26T10:40:46,0,35,0,35
2023-05-26T10:52:23,0,35,0,35
2023-05-26T11:03:59,0,35,0,35
2023-05-26T11:15:36,0,35,0,35
2023-05-26T11:27:12,0,35,0,35
2023-05-26T11:38:59,0,35,0,35
2023-05-26T11:50:34,0,35,0,35
2023-05-26T12:02:11,0,35,0,35
2023-05-26T12:13:47,0,35,0,35
2023-05-26T12:25:23,0,35,0,35
2023-05-26T12:36:59,0,35,0,35
2023-05-26T12:48:46,0,35,0,35
2023-05-26T13:00:22,0,35,0,35
2023-05-26T13:11:58,0,35,0,35
2023-05-26T13:23:34,0,35,0,35
2023-05-26T13:35:20,0,35,0,35
2023-05-26T13:46:56,0,35,0,35
2023-05-26T13:58:32,0,35,0,35
2023-05-26T14:10:08,0,35,0,35
2023-05-26T14:21:55,0,35,0,35
2023-05-26T14:33:31,0,35,0,35
2023-05-26T14:45:07,0,35,0,35
2023-05-26T14:56:43,0,35,0,35
2023-05-26T15:08:21,0,35,0,35
2023-05-26T15:19:57,0,35,0,35
2023-05-26T15:31:44,0,35,0,35
2023-05-26T15:43:19,0,35,0,35
2023-05-26T15:54:55,0,35,0,35
2023-05-26T16:06:31,0,35,0,35
2023-05-26T16:18:07,0,35,0,35
2023-05-26T16:29:42,0,35,0,35
2023-05-26T16:41:28,0,35,0,35
2023-05-26T16:53:04,0,35,0,35
2023-05-26T17:04:40,0,35,0,35
2023-05-26T17:16:17,0,35,0,35
2023-05-26T17:27:52,0,35,0,35
2023-05-26T17:39:28,0,35,0,35
2023-05-26T17:51:14,0,35,0,35
2023-05-26T18:02:49,0,35,0,35
2023-05-26T18:14:25,0,35,0,35
2023-05-26T18:26:01,0,35,0,35
2023-05-26T18:37:36,0,35,0,35
2023-05-26T18:49:22,0,35,0,35
2023-05-26T19:00:58,0,35,0,35
2023-05-26T19:12:35,0,35,0,35
2023-05-26T19:24:11,0,35,0,35
2023-05-26T19:35:47,0,35,0,35
2023-05-26T19:47:22,0,35,0,35
2023-05-26T19:58:57,0,35,0,35
2023-05-26T20:10:33,0,35,0,35
2023-05-26T20:22:19,0,35,0,35
2023-05-26T20:33:55,0,35,0,35
2023-05-26T20:45:30,0,35,0,35
2023-05-26T20:57:05,0,35,0,35
2023-05-26T21:08:41,0,35,0,35
2023-05-26T21:20:19,0,35,0,35
2023-05-26T21:31:54,0,35,0,35
2023-05-26T21:43:40,0,35,0,35
2023-05-26T21:55:17,0,35,0,35
2023-05-26T22:06:53,0,35,0,35
2023-05-26T22:18:28,0,35,0,35
2023-05-26T22:30:04,0,35,0,35
2023-05-26T22:41:41,0,35,0,35
2023-05-26T22:53:16,0,35,0,35
2023-05-26T23:04:55,0,35,0,35
2023-05-26T23:16:41,0,35,0,35
2023-05-26T23:28:17,0,35,0,35
2023-05-26T23:39:54,0,35,0,35
2023-05-26T23:51:31,0,35,0,35
2023-05-27T00:03:07,0,35,0,35
2023-05-27T00:14:47,0,35,0,35
2023-05-27T00:26:26,0,35,0,35
2023-05-27T00:38:04,0,35,0,35
2023-05-27T00:49:44,0,35,0,35
2023-05-27T01:01:23,0,35,0,35
2023-05-27T01:13:01,0,35,0,35
2023-05-27T01:24:50,0,35,0,35
2023-05-27T01:36:30,0,35,0,35
2023-05-27T01:48:09,0,35,0,35
2023-05-27T01:59:47,0,35,0,35
2023-05-27T02:11:25,0,35,0,35
2023-05-27T02:23:03,0,35,0,35
2023-05-27T02:34:39,0,35,0,35
2023-05-27T02:46:16,0,35,0,35
2023-05-27T02:57:52,0,35,0,35
2023-05-27T03:09:30,0,35,0,35
2023-05-27T03:21:08,0,35,0,35
2023-05-27T03:32:45,0,35,0,35
2023-05-27T03:44:22,0,35,0,35
2023-05-27T03:56:00,0,35,0,35
2023-05-27T04:07:40,0,35,0,35
2023-05-27T04:19:43,0,35,0,35
2023-05-27T04:29:13,0,35,0,35
2023-05-27T04:42:08,0,35,0,35
2023-05-27T04:54:05,0,35,0,35
2023-05-27T05:05:44,0,35,0,35
2023-05-27T05:17:24,0,35,0,35
2023-05-27T05:29:02,0,35,0,35
2023-05-27T05:40:42,0,35,0,35
2023-05-27T05:52:21,0,35,0,35
2023-05-27T06:03:59,0,35,0,35
2023-05-27T06:15:37,0,35,0,35
2023-05-27T06:27:19,0,35,0,35
2023-05-27T06:38:57,0,35,0,35
2023-05-27T06:50:36,0,35,0,35
2023-05-27T07:02:14,0,35,0,35
2023-05-27T07:13:52,0,35,0,35
2023-05-27T07:25:30,0,35,0,35
2023-05-27T07:37:08,0,35,0,35
2023-05-27T07:48:45,0,35,0,35
2023-05-27T08:00:36,0,35,0,35
2023-05-27T08:12:13,0,35,0,35
2023-05-27T08:23:51,0,35,0,35
2023-05-27T08:35:29,0,35,0,35
2023-05-27T08:47:08,0,35,0,35
2023-05-27T08:58:45,0,35,0,35
2023-05-27T09:10:23,0,35,0,35
2023-05-27T09:22:01,0,35,0,35
2023-05-27T09:33:41,0,35,0,35
2023-05-27T09:45:19,0,35,0,35
2023-05-27T09:56:56,0,35,0,35
2023-05-27T10:08:51,0,35,0,35
2023-05-27T10:20:27,0,35,0,35
2023-05-27T10:32:05,0,35,0,35
2023-05-27T10:43:41,0,35,0,35
2023-05-27T10:55:18,0,35,0,35
2023-05-27T11:06:54,0,35,0,35
2023-05-27T11:18:30,0,35,0,35
2023-05-27T11:30:05,0,35,0,35
2023-05-27T11:41:40,0,35,0,35
2023-05-27T11:53:15,0,35,0,35
2023-05-27T12:04:59,0,35,0,35
2023-05-27T12:16:34,0,35,0,35
2023-05-27T12:28:09,0,35,0,35
2023-05-27T12:39:45,0,35,0,35
2023-05-27T12:51:20,0,35,0,35
2023-05-27T13:02:56,0,35,0,35
2023-05-27T13:14:31,0,35,0,35
2023-05-27T13:26:06,0,35,0,35
2023-05-27T13:38:01,0,35,0,35
2023-05-27T13:49:36,0,35,0,35
2023-05-27T14:01:11,0,35,0,35
2023-05-27T14:12:47,0,35,0,35
2023-05-27T14:24:23,0,35,0,35
2023-05-27T14:35:58,0,35,0,35
2023-05-27T14:47:33,0,35,0,35
2023-05-27T14:59:19,0,35,0,35
2023-05-27T15:10:54,0,35,0,35
2023-05-27T15:22:29,0,35,0,35
2023-05-27T15:34:04,0,35,0,35
2023-05-27T15:45:39,0,35,0,35
2023-05-27T15:57:14,0,35,0,35
2023-05-27T16:08:49,0,35,0,35
2023-05-27T16:20:24,0,35,0,35
2023-05-27T16:32:09,0,35,0,35
2023-05-27T16:43:45,0,35,0,35
2023-05-27T16:55:20,0,35,0,35
2023-05-27T17:06:57,0,35,0,35
2023-05-27T17:18:34,0,35,0,35
