time,enrolled,available,waitlisted,total
2023-08-22T10:07:12,0,0,0,0
2023-08-22T10:19:56,0,0,0,0
2023-08-22T10:32:40,0,0,0,0
2023-08-22T10:45:24,0,0,0,0
2023-08-22T10:58:07,0,0,0,0
2023-08-22T11:11:01,0,0,1,0
2023-08-22T11:23:45,0,0,1,0
2023-08-22T11:36:28,0,0,1,0
2023-08-22T11:49:12,0,0,1,0
2023-08-22T12:01:55,0,0,1,0
2023-08-22T12:14:38,0,0,1,0
2023-08-22T12:27:22,0,0,1,0
2023-08-22T12:40:07,0,0,1,0
2023-08-22T12:53:02,0,0,1,0
2023-08-22T13:05:46,0,0,1,0
2023-08-22T13:18:28,0,0,1,0
2023-08-22T13:31:11,0,0,1,0
2023-08-22T13:43:57,0,0,1,0
2023-08-22T13:56:40,0,0,1,0
2023-08-22T14:09:24,0,0,1,0
2023-08-22T14:22:20,0,12,1,12
2023-08-22T14:35:03,0,12,1,12
2023-08-22T14:47:47,0,12,1,12
2023-08-22T15:00:31,0,12,1,12
2023-08-22T15:13:15,0,12,1,12
2023-08-22T15:25:59,0,12,1,12
2023-08-22T15:38:52,0,12,1,12
2023-08-22T15:51:35,0,12,1,12
2023-08-22T16:04:18,0,12,1,12
2023-08-22T16:17:02,0,12,1,12
2023-08-22T16:29:45,0,12,1,12
2023-08-22T16:42:28,0,12,1,12
2023-08-22T16:55:11,0,12,1,12
2023-08-22T17:07:57,0,12,1,12
2023-08-22T17:20:42,0,12,1,12
2023-08-22T17:33:37,0,12,1,12
2023-08-22T17:46:20,0,12,1,12
2023-08-22T17:59:04,0,12,1,12
2023-08-22T18:11:47,0,12,1,12
2023-08-22T18:24:30,0,12,1,12
2023-08-22T18:37:14,0,12,1,12
2023-08-22T18:49:58,0,12,1,12
2023-08-22T19:02:43,0,12,1,12
2023-08-22T19:15:27,0,12,1,12
2023-08-22T19:28:10,0,12,1,12
2023-08-22T19:41:05,0,12,1,12
2023-08-22T19:53:47,0,12,1,12
2023-08-22T20:06:30,0,12,1,12
2023-08-22T20:19:13,0,12,1,12
2023-08-22T20:31:57,0,12,1,12
2023-08-22T20:44:40,0,12,1,12
2023-08-22T20:57:34,0,12,1,12
2023-08-22T21:10:18,0,12,1,12
2023-08-22T21:23:01,0,12,1,12
2023-08-22T21:35:45,0,12,1,12
2023-08-22T21:48:28,0,12,1,12
2023-08-22T22:01:12,0,12,1,12
2023-08-22T22:13:54,0,12,1,12
2023-08-22T22:26:38,0,12,1,12
2023-08-22T22:39:22,0,12,1,12
2023-08-22T22:52:15,0,12,1,12
2023-08-22T23:05:00,0,12,1,12
2023-08-22T23:17:46,0,12,1,12
2023-08-22T23:30:29,0,12,1,12
2023-08-22T23:43:13,0,12,1,12
2023-08-22T23:55:57,0,12,1,12
2023-08-23T00:08:42,0,12,1,12
2023-08-23T00:21:27,0,12,1,12
2023-08-23T00:34:14,0,12,1,12
2023-08-23T00:47:02,0,12,1,12
2023-08-23T00:59:49,0,12,1,12
2023-08-23T01:12:37,0,12,1,12
2023-08-23T01:25:30,0,12,1,12
2023-08-23T01:38:18,0,12,1,12
2023-08-23T01:51:06,0,12,1,12
2023-08-23T02:03:53,0,12,1,12
2023-08-23T02:16:48,0,12,1,12
2023-08-23T02:29:32,0,12,1,12
2023-08-23T02:42:28,0,12,1,12
2023-08-23T02:55:21,0,12,1,12
2023-08-23T03:08:09,0,12,1,12
2023-08-23T03:21:06,0,12,1,12
2023-08-23T03:34:04,0,12,1,12
2023-08-23T03:46:50,0,12,1,12
2023-08-23T03:59:37,0,12,1,12
2023-08-23T04:12:24,0,12,1,12
2023-08-23T04:24:55,0,12,1,12
2023-08-23T04:37:44,0,12,1,12
2023-08-23T04:52:11,0,12,1,12
2023-08-23T05:05:00,0,12,1,12
2023-08-23T05:17:50,0,12,1,12
2023-08-23T05:30:38,0,12,1,12
2023-08-23T05:43:32,0,12,1,12
2023-08-23T05:56:20,0,12,1,12
2023-08-23T06:09:06,0,12,1,12
2023-08-23T06:22:02,0,12,1,12
2023-08-23T06:34:49,0,12,1,12
2023-08-23T06:47:36,0,12,1,12
2023-08-23T07:00:22,0,12,1,12
2023-08-23T07:13:17,0,12,1,12
2023-08-23T07:26:00,0,12,1,12
2023-08-23T07:38:45,0,12,1,12
2023-08-23T07:51:29,0,12,1,12
2023-08-23T08:04:12,0,12,1,12
2023-08-23T08:16:55,0,12,1,12
2023-08-23T08:29:39,0,12,1,12
2023-08-23T08:42:22,0,12,1,12
2023-08-23T08:55:16,0,12,1,12
2023-08-23T09:08:00,0,12,1,12
2023-08-23T09:20:44,0,12,1,12
2023-08-23T09:33:28,0,12,1,12
2023-08-23T09:46:11,0,12,1,12
2023-08-23T09:58:54,0,12,1,12
2023-08-23T10:11:37,0,12,1,12
2023-08-23T10:24:20,0,12,1,12
2023-08-23T10:37:04,0,12,1,12
2023-08-23T10:49:47,0,12,1,12
2023-08-23T11:02:42,0,12,1,12
2023-08-23T11:15:26,0,12,1,12
2023-08-23T11:28:17,0,12,1,12
2023-08-23T11:41:01,0,12,1,12
2023-08-23T11:53:45,0,12,1,12
2023-08-23T12:06:30,0,12,1,12
2023-08-23T12:19:14,0,12,1,12
2023-08-23T12:31:58,0,12,1,12
2023-08-23T12:44:55,0,12,1,12
2023-08-23T12:57:39,0,12,1,12
2023-08-23T13:10:24,0,12,1,12
2023-08-23T13:23:07,0,12,1,12
2023-08-23T13:35:51,0,12,1,12
2023-08-23T13:48:34,0,12,1,12
2023-08-23T14:01:18,0,12,1,12
2023-08-23T14:14:03,0,12,1,12
2023-08-23T14:26:47,0,12,1,12
2023-08-23T14:39:41,0,12,1,12
2023-08-23T14:52:26,0,12,1,12
2023-08-23T15:05:10,0,12,1,12
2023-08-23T15:17:54,0,12,1,12
2023-08-23T15:30:38,0,12,1,12
2023-08-23T15:43:23,0,12,1,12
2023-08-23T15:56:08,0,12,1,12
2023-08-23T16:08:51,0,12,1,12
2023-08-23T16:21:36,0,12,1,12
