time,enrolled,available,waitlisted,total
2023-05-25T01:14:34,0,280,0,280
2023-05-25T01:26:11,0,280,0,280
2023-05-25T01:37:46,0,280,0,280
2023-05-25T01:49:31,0,280,0,280
2023-05-25T02:01:06,0,280,0,280
2023-05-25T02:12:42,0,280,0,280
2023-05-25T02:24:19,0,280,0,280
2023-05-25T02:35:52,0,280,0,280
2023-05-25T02:47:26,0,280,0,280
2023-05-25T02:58:58,0,280,0,280
2023-05-25T03:10:34,0,280,0,280
2023-05-25T03:22:13,0,280,0,280
2023-05-25T03:34:11,0,280,0,280
2023-05-25T03:45:47,0,280,0,280
2023-05-25T03:57:23,0,280,0,280
2023-05-25T04:16:45,0,280,0,280
2023-05-25T04:28:46,0,280,0,280
2023-05-25T04:40:23,0,280,0,280
2023-05-25T04:51:59,0,280,0,280
2023-05-25T05:03:35,0,280,0,280
2023-05-25T05:15:12,0,280,0,280
2023-05-25T05:26:48,0,280,0,280
2023-05-25T05:38:24,0,280,0,280
2023-05-25T05:50:00,0,280,0,280
2023-05-25T06:01:37,0,280,0,280
2023-05-25T06:13:13,0,280,0,280
2023-05-25T06:24:47,0,280,0,280
2023-05-25T06:36:22,0,280,0,280
2023-05-25T06:47:58,0,280,0,280
2023-05-25T06:59:33,0,280,0,280
2023-05-25T07:11:08,0,280,0,280
2023-05-25T07:22:43,0,280,0,280
2023-05-25T07:34:17,0,280,0,280
2023-05-25T07:45:53,0,280,0,280
2023-05-25T07:57:29,0,280,0,280
2023-05-25T08:09:04,0,280,0,280
2023-05-25T08:20:48,0,280,0,280
2023-05-25T08:32:22,0,280,0,280
2023-05-25T08:43:55,0,280,0,280
2023-05-25T08:55:27,0,280,0,280
2023-05-25T09:07:01,0,280,0,280
2023-05-25T09:18:34,0,280,0,280
2023-05-25T09:30:06,0,280,0,280
2023-05-25T09:41:39,0,280,0,280
2023-05-25T09:53:12,0,280,0,280
2023-05-25T10:04:45,0,280,0,280
2023-05-25T10:16:30,0,280,0,280
2023-05-25T10:28:03,0,280,0,280
2023-05-25T10:39:35,0,280,0,280
2023-05-25T10:51:08,0,280,0,280
2023-05-25T11:02:50,0,280,0,280
2023-05-25T11:14:23,0,280,0,280
2023-05-25T11:25:56,0,280,0,280
2023-05-25T11:37:28,0,280,0,280
2023-05-25T11:49:02,0,280,0,280
2023-05-25T12:00:46,0,280,0,280
2023-05-25T12:12:18,0,280,0,280
2023-05-25T12:23:51,0,280,0,280
2023-05-25T12:35:24,0,280,0,280
2023-05-25T12:46:57,0,280,0,280
2023-05-25T12:58:40,0,280,0,280
2023-05-25T13:10:13,0,280,0,280
2023-05-25T13:21:46,0,280,0,280
2023-05-25T13:33:19,0,280,0,280
2023-05-25T13:44:52,0,280,0,280
2023-05-25T13:56:26,0,280,0,280
2023-05-25T14:08:10,0,280,0,280
2023-05-25T14:19:43,0,280,0,280
2023-05-25T14:31:16,0,280,0,280
2023-05-25T14:42:49,0,280,0,280
2023-05-25T14:54:23,0,280,0,280
2023-05-25T15:06:07,0,280,0,280
2023-05-25T15:17:41,0,280,0,280
2023-05-25T15:29:16,0,280,0,280
2023-05-25T15:40:50,0,280,0,280
2023-05-25T15:52:24,0,280,0,280
2023-05-25T16:03:59,0,280,0,280
2023-05-25T16:15:45,0,280,0,280
2023-05-25T16:27:20,0,280,0,280
2023-05-25T16:38:55,0,280,0,280
2023-05-25T16:50:30,0,280,0,280
2023-05-25T17:02:06,0,280,0,280
2023-05-25T17:13:43,0,280,0,280
2023-05-25T17:25:30,0,280,0,280
2023-05-25T17:37:05,0,280,0,280
2023-05-25T17:48:41,0,280,0,280
2023-05-25T18:00:17,0,280,0,280
2023-05-25T18:11:54,0,280,0,280
2023-05-25T18:23:29,0,280,0,280
2023-05-25T18:35:04,0,280,0,280
2023-05-25T18:46:50,0,280,0,280
2023-05-25T18:58:26,0,280,0,280
2023-05-25T19:10:02,0,280,0,280
2023-05-25T19:21:38,0,280,0,280
2023-05-25T19:33:13,0,280,0,280
2023-05-25T19:44:50,0,280,0,280
2023-05-25T19:56:35,0,280,0,280
2023-05-25T20:08:11,0,280,0,280
2023-05-25T20:19:47,0,280,0,280
2023-05-25T20:31:23,0,280,0,280
2023-05-25T20:42:58,0,280,0,280
2023-05-25T20:54:34,0,280,0,280
2023-05-25T21:06:09,0,280,0,280
2023-05-25T21:17:46,0,280,0,280
2023-05-25T21:29:32,0,280,0,280
2023-05-25T21:41:09,0,280,0,280
2023-05-25T21:52:44,0,280,0,280
2023-05-25T22:04:19,0,280,0,280
2023-05-25T22:15:55,0,280,0,280
2023-05-25T22:27:30,0,280,0,280
2023-05-25T22:39:06,0,280,0,280
2023-05-25T22:50:52,0,280,0,280
2023-05-25T23:02:29,0,280,0,280
2023-05-25T23:14:06,0,280,0,280
2023-05-25T23:25:41,0,280,0,280
2023-05-25T23:37:17,0,280,0,280
2023-05-25T23:48:53,0,280,0,280
2023-05-26T00:00:31,0,280,0,280
2023-05-26T00:12:27,0,280,0,280
2023-05-26T00:24:07,0,280,0,280
2023-05-26T00:35:46,0,280,0,280
2023-05-26T00:47:25,0,280,0,280
2023-05-26T00:59:04,0,280,0,280
2023-05-26T01:10:43,0,280,0,280
2023-05-26T01:22:21,0,280,0,280
2023-05-26T01:34:00,0,280,0,280
2023-05-26T01:45:47,0,280,0,280
2023-05-26T01:57:27,0,280,0,280
2023-05-26T02:09:08,0,280,0,280
2023-05-26T02:20:45,0,280,0,280
2023-05-26T02:32:22,0,280,0,280
2023-05-26T02:44:11,0,280,0,280
2023-05-26T02:55:52,0,280,0,280
2023-05-26T03:07:32,0,280,0,280
2023-05-26T03:19:13,0,280,0,280
2023-05-26T03:30:51,0,280,0,280
2023-05-26T03:42:30,0,280,0,280
2023-05-26T03:54:08,0,280,0,280
2023-05-26T04:05:56,0,280,0,280
2023-05-26T04:27:55,0,280,0,280
2023-05-26T04:39:59,0,280,0,280
2023-05-26T04:51:41,0,280,0,280
2023-05-26T05:03:21,0,280,0,280
2023-05-26T05:15:02,0,280,0,280
2023-05-26T05:26:41,0,280,0,280
2023-05-26T05:38:20,0,280,0,280
2023-05-26T05:49:59,0,280,0,280
2023-05-26T06:01:37,0,280,0,280
2023-05-26T06:13:16,0,280,0,280
2023-05-26T06:24:56,0,280,0,280
2023-05-26T06:36:34,0,280,0,280
2023-05-26T06:48:13,0,280,0,280
2023-05-26T06:59:50,0,280,0,280
2023-05-26T07:11:29,0,280,0,280
2023-05-26T07:23:08,0,280,0,280
2023-05-26T07:34:54,0,280,0,280
2023-05-26T07:46:31,0,280,0,280
2023-05-26T07:58:08,0,280,0,280
2023-05-26T08:09:44,0,280,0,280
2023-05-26T08:21:20,0,280,0,280
2023-05-26T08:32:56,0,280,0,280
2023-05-26T08:44:32,0,280,0,280
2023-05-26T08:56:08,0,280,0,280
2023-05-26T09:07:44,0,280,0,280
2023-05-26T09:19:21,0,280,0,280
2023-05-26T09:31:08,0,280,0,280
2023-05-26T09:42:44,0,280,0,280
2023-05-26T09:54:20,0,280,0,280
2023-05-26T10:05:56,0,280,0,280
2023-05-26T10:17:33,0,280,0,280
2023-05-26T10:29:09,0,280,0,280
2023-05-26T10:40:57,0,280,0,280
2023-05-26T10:52:34,0,280,0,280
2023-05-26T11:04:10,0,280,0,280
2023-05-26T11:15:47,0,280,0,280
2023-05-26T11:27:23,1,279,0,280
2023-05-26T11:39:10,1,279,0,280
2023-05-26T11:50:46,2,278,0,280
2023-05-26T12:02:22,2,278,0,280
2023-05-26T12:13:58,2,278,0,280
2023-05-26T12:25:34,2,278,0,280
2023-05-26T12:37:10,2,278,0,280
2023-05-26T12:48:57,2,278,0,280
2023-05-26T13:00:33,3,277,0,280
2023-05-26T13:12:09,3,277,0,280
2023-05-26T13:23:45,3,277,0,280
2023-05-26T13:35:31,5,275,0,280
2023-05-26T13:47:07,5,275,0,280
2023-05-26T13:58:43,5,275,0,280
2023-05-26T14:10:19,5,275,0,280
2023-05-26T14:22:06,5,275,0,280
2023-05-26T14:33:42,5,275,0,280
2023-05-26T14:45:18,5,275,0,280
2023-05-26T14:56:54,5,275,0,280
2023-05-26T15:08:32,5,275,0,280
2023-05-26T15:20:08,5,275,0,280
2023-05-26T15:31:55,5,275,0,280
2023-05-26T15:43:30,6,274,0,280
2023-05-26T15:55:06,6,274,0,280
2023-05-26T16:06:42,6,274,0,280
2023-05-26T16:18:18,6,274,0,280
2023-05-26T16:29:53,6,274,0,280
2023-05-26T16:41:39,8,272,0,280
2023-05-26T16:53:15,8,272,0,280
2023-05-26T17:04:51,8,272,0,280
2023-05-26T17:16:28,8,272,0,280
