time,enrolled,available,waitlisted,total
2023-08-15T13:54:44,0,35,0,35
2023-08-15T14:07:24,0,35,0,35
2023-08-15T14:20:03,0,35,0,35
2023-08-15T14:32:43,0,35,0,35
2023-08-15T14:45:22,0,35,0,35
2023-08-15T14:58:01,0,35,0,35
2023-08-15T15:10:41,0,35,0,35
2023-08-15T15:23:29,0,35,0,35
2023-08-15T15:36:08,0,35,0,35
2023-08-15T15:48:47,0,35,0,35
2023-08-15T16:01:27,0,35,0,35
2023-08-15T16:14:06,0,35,0,35
2023-08-15T16:26:46,0,35,0,35
2023-08-15T16:39:25,0,35,0,35
2023-08-15T16:52:04,0,35,0,35
2023-08-15T17:04:55,0,35,0,35
2023-08-15T17:17:35,0,35,0,35
2023-08-15T17:30:14,0,35,0,35
2023-08-15T17:42:52,0,35,0,35
2023-08-15T17:55:31,0,35,0,35
2023-08-15T18:08:10,0,35,0,35
2023-08-15T18:20:48,0,35,0,35
2023-08-15T18:33:27,0,35,0,35
2023-08-15T18:46:06,0,35,0,35
2023-08-15T18:58:53,0,35,0,35
2023-08-15T19:11:33,0,35,0,35
2023-08-15T19:24:12,0,35,0,35
2023-08-15T19:36:51,0,35,0,35
2023-08-15T19:49:30,0,35,0,35
2023-08-15T20:02:08,0,35,0,35
2023-08-15T20:14:47,0,35,0,35
2023-08-15T20:27:25,0,35,0,35
2023-08-15T20:40:04,0,35,0,35
2023-08-15T20:52:42,0,35,0,35
2023-08-15T21:05:31,0,35,0,35
2023-08-15T21:18:09,0,35,0,35
2023-08-15T21:30:47,0,35,0,35
2023-08-15T21:43:26,0,35,0,35
2023-08-15T21:56:05,0,35,0,35
2023-08-15T22:08:44,0,35,0,35
2023-08-15T22:21:23,0,35,0,35
2023-08-15T22:34:01,0,35,0,35
2023-08-15T22:46:40,0,35,0,35
2023-08-15T22:59:30,0,35,0,35
2023-08-15T23:12:10,0,35,0,35
2023-08-15T23:24:49,0,35,0,35
2023-08-15T23:37:28,0,35,0,35
2023-08-15T23:50:08,0,35,0,35
2023-08-16T00:02:47,0,35,0,35
2023-08-16T00:15:30,0,35,0,35
2023-08-16T00:28:13,0,35,0,35
2023-08-16T00:40:56,0,35,0,35
2023-08-16T00:53:39,0,35,0,35
2023-08-16T01:06:34,0,35,0,35
2023-08-16T01:19:17,0,35,0,35
2023-08-16T01:32:00,0,35,0,35
2023-08-16T01:44:44,0,35,0,35
2023-08-16T01:57:27,0,35,0,35
2023-08-16T02:10:18,0,35,0,35
2023-08-16T02:22:58,0,35,0,35
2023-08-16T02:35:37,0,35,0,35
2023-08-16T02:48:16,0,35,0,35
2023-08-16T03:01:07,0,35,0,35
2023-08-16T03:13:46,0,35,0,35
2023-08-16T03:26:25,0,35,0,35
2023-08-16T03:39:05,0,35,0,35
2023-08-16T03:51:46,0,35,0,35
2023-08-16T04:04:28,0,35,0,35
2023-08-16T04:25:47,0,35,0,35
2023-08-16T04:38:55,0,35,0,35
2023-08-16T04:51:44,0,35,0,35
2023-08-16T05:04:27,0,35,0,35
2023-08-16T05:17:09,0,35,0,35
2023-08-16T05:29:59,0,35,0,35
2023-08-16T05:42:43,0,35,0,35
2023-08-16T05:55:26,0,35,0,35
2023-08-16T06:08:18,0,35,0,35
2023-08-16T06:21:01,0,35,0,35
2023-08-16T06:33:44,0,35,0,35
2023-08-16T06:46:26,0,35,0,35
2023-08-16T06:59:08,0,35,0,35
2023-08-16T07:12:00,0,35,0,35
2023-08-16T07:24:41,0,35,0,35
2023-08-16T07:37:21,0,35,0,35
2023-08-16T07:50:02,0,35,0,35
2023-08-16T08:02:52,0,35,0,35
2023-08-16T08:15:32,0,35,0,35
2023-08-16T08:28:13,0,35,0,35
2023-08-16T08:40:53,0,35,0,35
2023-08-16T08:53:44,0,35,0,35
2023-08-16T09:06:23,0,35,0,35
2023-08-16T09:19:05,0,35,0,35
2023-08-16T09:31:52,0,35,0,35
2023-08-16T09:44:31,0,35,0,35
2023-08-16T09:57:09,0,35,0,35
2023-08-16T10:09:48,0,35,0,35
2023-08-16T10:22:36,0,35,0,35
2023-08-16T10:35:14,0,35,0,35
2023-08-16T10:47:53,0,35,0,35
2023-08-16T11:00:40,0,35,0,35
2023-08-16T11:13:19,0,35,0,35
2023-08-16T11:25:57,0,35,0,35
2023-08-16T11:38:45,0,35,0,35
2023-08-16T11:51:23,0,35,0,35
2023-08-16T12:04:02,0,35,0,35
2023-08-16T12:16:51,0,35,0,35
2023-08-16T12:29:29,0,35,0,35
2023-08-16T12:42:07,0,35,0,35
2023-08-16T12:54:55,0,35,0,35
2023-08-16T13:07:34,0,35,0,35
