time,enrolled,available,waitlisted,total
2023-05-25T01:14:40,0,25,0,25
2023-05-25T01:26:16,0,25,0,25
2023-05-25T01:37:52,0,25,0,25
2023-05-25T01:49:36,0,25,0,25
2023-05-25T02:01:12,0,25,0,25
2023-05-25T02:12:47,0,25,0,25
2023-05-25T02:24:24,0,25,0,25
2023-05-25T02:35:58,0,25,0,25
2023-05-25T02:47:31,0,25,0,25
2023-05-25T02:59:04,0,25,0,25
2023-05-25T03:10:40,0,25,0,25
2023-05-25T03:22:19,0,25,0,25
2023-05-25T03:34:16,0,25,0,25
2023-05-25T03:45:53,0,25,0,25
2023-05-25T03:57:28,0,25,0,25
2023-05-25T04:16:50,0,25,0,25
2023-05-25T04:28:52,0,25,0,25
2023-05-25T04:40:28,0,25,0,25
2023-05-25T04:52:04,0,25,0,25
2023-05-25T05:03:40,0,25,0,25
2023-05-25T05:15:17,0,25,0,25
2023-05-25T05:26:53,0,25,0,25
2023-05-25T05:38:30,0,25,0,25
2023-05-25T05:50:06,0,25,0,25
2023-05-25T06:01:43,0,25,0,25
2023-05-25T06:13:18,0,25,0,25
2023-05-25T06:24:53,0,25,0,25
2023-05-25T06:36:28,0,25,0,25
2023-05-25T06:48:03,0,25,0,25
2023-05-25T06:59:38,0,25,0,25
2023-05-25T07:11:14,0,25,0,25
2023-05-25T07:22:49,0,25,0,25
2023-05-25T07:34:22,0,25,0,25
2023-05-25T07:45:59,0,25,0,25
2023-05-25T07:57:35,0,25,0,25
2023-05-25T08:09:09,0,25,0,25
2023-05-25T08:20:54,0,25,0,25
2023-05-25T08:32:28,0,25,0,25
2023-05-25T08:44:01,0,25,0,25
2023-05-25T08:55:32,0,25,0,25
2023-05-25T09:07:07,0,25,0,25
2023-05-25T09:18:39,0,25,0,25
2023-05-25T09:30:12,0,25,0,25
2023-05-25T09:41:44,0,25,0,25
2023-05-25T09:53:17,0,25,0,25
2023-05-25T10:04:51,0,25,0,25
2023-05-25T10:16:35,0,25,0,25
2023-05-25T10:28:08,0,25,0,25
2023-05-25T10:39:41,0,25,0,25
2023-05-25T10:51:13,0,25,0,25
2023-05-25T11:02:56,0,25,0,25
2023-05-25T11:14:28,0,25,0,25
2023-05-25T11:26:01,0,25,0,25
2023-05-25T11:37:34,0,25,0,25
2023-05-25T11:49:07,0,25,0,25
2023-05-25T12:00:51,0,25,0,25
2023-05-25T12:12:24,0,25,0,25
2023-05-25T12:23:57,0,25,0,25
2023-05-25T12:35:30,0,25,0,25
2023-05-25T12:47:03,0,25,0,25
2023-05-25T12:58:46,0,25,0,25
2023-05-25T13:10:19,0,25,0,25
2023-05-25T13:21:51,0,25,0,25
2023-05-25T13:33:25,0,25,0,25
2023-05-25T13:44:58,0,25,0,25
2023-05-25T13:56:31,0,25,0,25
2023-05-25T14:08:16,0,25,0,25
2023-05-25T14:19:49,0,25,0,25
2023-05-25T14:31:22,0,25,0,25
2023-05-25T14:42:55,0,25,0,25
2023-05-25T14:54:29,0,25,0,25
2023-05-25T15:06:12,0,25,0,25
2023-05-25T15:17:47,0,25,0,25
2023-05-25T15:29:21,0,25,0,25
2023-05-25T15:40:56,0,25,0,25
2023-05-25T15:52:30,0,25,0,25
2023-05-25T16:04:05,0,25,0,25
2023-05-25T16:15:50,0,25,0,25
2023-05-25T16:27:25,0,25,0,25
2023-05-25T16:39:00,0,25,0,25
2023-05-25T16:50:36,0,25,0,25
2023-05-25T17:02:12,0,25,0,25
2023-05-25T17:13:49,0,25,0,25
2023-05-25T17:25:35,0,25,0,25
2023-05-25T17:37:11,0,25,0,25
2023-05-25T17:48:47,0,25,0,25
2023-05-25T18:00:22,0,25,0,25
2023-05-25T18:11:59,0,25,0,25
2023-05-25T18:23:35,0,25,0,25
2023-05-25T18:35:10,0,25,0,25
2023-05-25T18:46:55,0,25,0,25
2023-05-25T18:58:31,0,25,0,25
2023-05-25T19:10:08,0,25,0,25
2023-05-25T19:21:44,0,25,0,25
2023-05-25T19:33:19,0,25,0,25
2023-05-25T19:44:56,0,25,0,25
2023-05-25T19:56:41,0,25,0,25
2023-05-25T20:08:17,0,25,0,25
2023-05-25T20:19:52,0,25,0,25
2023-05-25T20:31:29,0,25,0,25
2023-05-25T20:43:04,0,25,0,25
2023-05-25T20:54:40,0,25,0,25
2023-05-25T21:06:15,0,25,0,25
2023-05-25T21:17:52,0,25,0,25
2023-05-25T21:29:38,0,25,0,25
2023-05-25T21:41:14,0,25,0,25
2023-05-25T21:52:50,0,25,0,25
2023-05-25T22:04:25,0,25,0,25
2023-05-25T22:16:00,0,25,0,25
2023-05-25T22:27:36,0,25,0,25
2023-05-25T22:39:11,0,25,0,25
2023-05-25T22:50:57,0,25,0,25
2023-05-25T23:02:34,0,25,0,25
2023-05-25T23:14:11,0,25,0,25
2023-05-25T23:25:47,0,25,0,25
2023-05-25T23:37:23,0,25,0,25
2023-05-25T23:48:59,0,25,0,25
2023-05-26T00:00:36,0,25,0,25
2023-05-26T00:12:33,0,25,0,25
2023-05-26T00:24:13,0,25,0,25
2023-05-26T00:35:52,0,25,0,25
2023-05-26T00:47:30,0,25,0,25
2023-05-26T00:59:10,0,25,0,25
2023-05-26T01:10:49,0,25,0,25
2023-05-26T01:22:27,0,25,0,25
2023-05-26T01:34:05,0,25,0,25
2023-05-26T01:45:53,0,25,0,25
2023-05-26T01:57:32,0,25,0,25
2023-05-26T02:09:13,0,25,0,25
2023-05-26T02:20:51,0,25,0,25
2023-05-26T02:32:28,0,25,0,25
2023-05-26T02:44:17,0,25,0,25
2023-05-26T02:55:57,0,25,0,25
2023-05-26T03:07:37,0,25,0,25
2023-05-26T03:19:19,0,25,0,25
2023-05-26T03:30:57,0,25,0,25
2023-05-26T03:42:35,0,25,0,25
2023-05-26T03:54:14,0,25,0,25
2023-05-26T04:06:02,0,25,0,25
2023-05-26T04:28:01,0,25,0,25
2023-05-26T04:40:05,0,25,0,25
2023-05-26T04:51:46,0,25,0,25
2023-05-26T05:03:27,0,25,0,25
2023-05-26T05:15:08,0,25,0,25
2023-05-26T05:26:46,0,25,0,25
2023-05-26T05:38:25,0,25,0,25
2023-05-26T05:50:04,0,25,0,25
2023-05-26T06:01:43,0,25,0,25
2023-05-26T06:13:22,0,25,0,25
2023-05-26T06:25:01,0,25,0,25
2023-05-26T06:36:40,0,25,0,25
2023-05-26T06:48:18,0,25,0,25
2023-05-26T06:59:56,0,25,0,25
2023-05-26T07:11:35,0,25,0,25
2023-05-26T07:23:14,0,25,0,25
2023-05-26T07:34:59,0,25,0,25
2023-05-26T07:46:36,0,25,0,25
2023-05-26T07:58:14,0,25,0,25
2023-05-26T08:09:49,0,25,0,25
2023-05-26T08:21:25,0,25,0,25
2023-05-26T08:33:02,0,25,0,25
2023-05-26T08:44:38,0,25,0,25
2023-05-26T08:56:14,0,25,0,25
2023-05-26T09:07:50,0,25,0,25
2023-05-26T09:19:27,0,25,0,25
2023-05-26T09:31:14,0,25,0,25
2023-05-26T09:42:50,0,25,0,25
2023-05-26T09:54:26,0,25,0,25
2023-05-26T10:06:02,0,25,0,25
2023-05-26T10:17:39,0,25,0,25
2023-05-26T10:29:15,0,25,0,25
2023-05-26T10:41:03,0,25,0,25
2023-05-26T10:52:39,0,25,0,25
2023-05-26T11:04:16,0,25,0,25
2023-05-26T11:15:52,0,25,0,25
2023-05-26T11:27:29,0,25,0,25
2023-05-26T11:39:15,0,25,0,25
2023-05-26T11:50:51,0,25,0,25
2023-05-26T12:02:27,0,25,0,25
2023-05-26T12:14:03,0,25,0,25
2023-05-26T12:25:39,1,24,0,25
2023-05-26T12:37:15,1,24,0,25
2023-05-26T12:49:03,1,24,0,25
2023-05-26T13:00:39,1,24,0,25
2023-05-26T13:12:15,1,24,0,25
2023-05-26T13:23:50,1,24,0,25
2023-05-26T13:35:37,1,24,0,25
2023-05-26T13:47:13,1,24,0,25
2023-05-26T13:58:48,1,24,0,25
2023-05-26T14:10:24,1,24,0,25
2023-05-26T14:22:11,1,24,0,25
2023-05-26T14:33:47,1,24,0,25
2023-05-26T14:45:24,1,24,0,25
2023-05-26T14:57:00,1,24,0,25
2023-05-26T15:08:38,1,24,0,25
2023-05-26T15:20:13,1,24,0,25
2023-05-26T15:32:00,1,24,0,25
2023-05-26T15:43:36,1,24,0,25
2023-05-26T15:55:12,1,24,0,25
2023-05-26T16:06:48,1,24,0,25
2023-05-26T16:18:23,1,24,0,25
2023-05-26T16:29:59,1,24,0,25
2023-05-26T16:41:45,1,24,0,25
2023-05-26T16:53:20,1,24,0,25
2023-05-26T17:04:56,1,24,0,25
2023-05-26T17:16:33,1,24,0,25
2023-05-26T17:28:09,1,24,0,25
2023-05-26T17:39:44,1,24,0,25
2023-05-26T17:51:30,1,24,0,25
2023-05-26T18:03:06,1,24,0,25
2023-05-26T18:14:42,1,24,0,25
2023-05-26T18:26:17,1,24,0,25
2023-05-26T18:37:53,1,24,0,25
2023-05-26T18:49:39,1,24,0,25
2023-05-26T19:01:15,1,24,0,25
2023-05-26T19:12:51,1,24,0,25
2023-05-26T19:24:27,1,24,0,25
2023-05-26T19:36:03,1,24,0,25
2023-05-26T19:47:39,1,24,0,25
2023-05-26T19:59:14,1,24,0,25
2023-05-26T20:11:00,1,24,0,25
2023-05-26T20:22:36,1,24,0,25
2023-05-26T20:34:11,1,24,0,25
2023-05-26T20:45:47,1,24,0,25
2023-05-26T20:57:22,1,24,0,25
2023-05-26T21:08:58,1,24,0,25
2023-05-26T21:20:35,1,24,0,25
2023-05-26T21:32:11,1,24,0,25
2023-05-26T21:43:57,1,24,0,25
2023-05-26T21:55:34,1,24,0,25
2023-05-26T22:07:09,1,24,0,25
2023-05-26T22:18:45,1,24,0,25
2023-05-26T22:30:21,1,24,0,25
2023-05-26T22:41:57,1,24,0,25
2023-05-26T22:53:33,1,24,0,25
2023-05-26T23:05:12,1,24,0,25
2023-05-26T23:16:58,1,24,0,25
2023-05-26T23:28:34,1,24,0,25
2023-05-26T23:40:11,1,24,0,25
2023-05-26T23:51:47,1,24,0,25
2023-05-27T00:03:24,1,24,0,25
2023-05-27T00:15:04,1,24,0,25
2023-05-27T00:26:43,1,24,0,25
2023-05-27T00:38:21,1,24,0,25
2023-05-27T00:50:00,1,24,0,25
2023-05-27T01:01:40,1,24,0,25
2023-05-27T01:13:18,1,24,0,25
2023-05-27T01:25:07,1,24,0,25
2023-05-27T01:36:46,1,24,0,25
2023-05-27T01:48:25,1,24,0,25
2023-05-27T02:00:04,1,24,0,25
2023-05-27T02:11:42,1,24,0,25
2023-05-27T02:23:20,1,24,0,25
2023-05-27T02:34:56,1,24,0,25
2023-05-27T02:46:33,1,24,0,25
2023-05-27T02:58:09,1,24,0,25
2023-05-27T03:09:46,1,24,0,25
2023-05-27T03:21:24,1,24,0,25
2023-05-27T03:33:01,1,24,0,25
2023-05-27T03:44:39,1,24,0,25
2023-05-27T03:56:17,1,24,0,25
2023-05-27T04:08:03,1,24,0,25
2023-05-27T04:29:30,1,24,0,25
2023-05-27T04:42:25,1,24,0,25
2023-05-27T04:54:22,1,24,0,25
2023-05-27T05:06:01,1,24,0,25
2023-05-27T05:17:40,1,24,0,25
2023-05-27T05:29:19,1,24,0,25
2023-05-27T05:40:59,1,24,0,25
2023-05-27T05:52:37,1,24,0,25
2023-05-27T06:04:16,1,24,0,25
2023-05-27T06:15:54,1,24,0,25
2023-05-27T06:27:35,1,24,0,25
2023-05-27T06:39:14,1,24,0,25
2023-05-27T06:50:52,1,24,0,25
2023-05-27T07:02:31,1,24,0,25
2023-05-27T07:14:09,1,24,0,25
2023-05-27T07:25:47,1,24,0,25
2023-05-27T07:37:24,1,24,0,25
2023-05-27T07:49:02,1,24,0,25
2023-05-27T08:00:52,1,24,0,25
2023-05-27T08:12:30,1,24,0,25
2023-05-27T08:24:07,1,24,0,25
2023-05-27T08:35:46,1,24,0,25
2023-05-27T08:47:25,1,24,0,25
2023-05-27T08:59:02,1,24,0,25
2023-05-27T09:10:40,1,24,0,25
2023-05-27T09:22:17,1,24,0,25
2023-05-27T09:33:57,1,24,0,25
2023-05-27T09:45:35,1,24,0,25
2023-05-27T09:57:12,1,24,0,25
2023-05-27T10:09:07,1,24,0,25
2023-05-27T10:20:43,1,24,0,25
2023-05-27T10:32:21,1,24,0,25
2023-05-27T10:43:58,1,24,0,25
2023-05-27T10:55:35,1,24,0,25
2023-05-27T11:07:11,1,24,0,25
2023-05-27T11:18:46,1,24,0,25
2023-05-27T11:30:21,1,24,0,25
2023-05-27T11:41:56,1,24,0,25
2023-05-27T11:53:31,1,24,0,25
2023-05-27T12:05:15,1,24,0,25
2023-05-27T12:16:51,1,24,0,25
2023-05-27T12:28:26,1,24,0,25
2023-05-27T12:40:02,1,24,0,25
2023-05-27T12:51:37,1,24,0,25
2023-05-27T13:03:12,1,24,0,25
2023-05-27T13:14:47,1,24,0,25
2023-05-27T13:26:22,1,24,0,25
2023-05-27T13:38:17,1,24,0,25
2023-05-27T13:49:52,1,24,0,25
2023-05-27T14:01:28,1,24,0,25
2023-05-27T14:13:04,1,24,0,25
2023-05-27T14:24:40,1,24,0,25
2023-05-27T14:36:15,1,24,0,25
2023-05-27T14:47:49,1,24,0,25
2023-05-27T14:59:35,1,24,0,25
2023-05-27T15:11:10,1,24,0,25
2023-05-27T15:22:45,1,24,0,25
2023-05-27T15:34:20,1,24,0,25
2023-05-27T15:45:56,1,24,0,25
2023-05-27T15:57:31,1,24,0,25
2023-05-27T16:09:05,1,24,0,25
2023-05-27T16:20:41,1,24,0,25
2023-05-27T16:32:26,1,24,0,25
2023-05-27T16:44:01,1,24,0,25
2023-05-27T16:55:36,1,24,0,25
2023-05-27T17:07:13,1,24,0,25
2023-05-27T17:18:50,1,24,0,25
2023-05-27T17:30:26,1,24,0,25
2023-05-27T17:42:11,1,24,0,25
2023-05-27T17:53:47,1,24,0,25
2023-05-27T18:05:22,1,24,0,25
