time,enrolled,available,waitlisted,total
2023-05-25T01:14:45,0,15,0,15
2023-05-25T01:26:21,0,15,0,15
2023-05-25T01:37:56,0,15,0,15
2023-05-25T01:49:41,0,15,0,15
2023-05-25T02:01:16,0,15,0,15
2023-05-25T02:12:52,0,15,0,15
2023-05-25T02:24:29,0,15,0,15
2023-05-25T02:36:02,0,15,0,15
2023-05-25T02:47:36,0,15,0,15
2023-05-25T02:59:08,0,15,0,15
2023-05-25T03:10:45,0,15,0,15
2023-05-25T03:22:24,0,15,0,15
2023-05-25T03:34:21,0,15,0,15
2023-05-25T03:45:57,0,15,0,15
2023-05-25T03:57:33,0,15,0,15
2023-05-25T04:16:55,0,15,0,15
2023-05-25T04:28:56,0,15,0,15
2023-05-25T04:40:33,0,15,0,15
2023-05-25T04:52:09,0,15,0,15
2023-05-25T05:03:45,0,15,0,15
2023-05-25T05:15:22,0,15,0,15
2023-05-25T05:26:58,0,15,0,15
2023-05-25T05:38:35,0,15,0,15
2023-05-25T05:50:11,0,15,0,15
2023-05-25T06:01:47,0,15,0,15
2023-05-25T06:13:23,0,15,0,15
2023-05-25T06:24:58,0,15,0,15
2023-05-25T06:36:32,0,15,0,15
2023-05-25T06:48:08,0,15,0,15
2023-05-25T06:59:43,0,15,0,15
2023-05-25T07:11:19,0,15,0,15
2023-05-25T07:22:53,0,15,0,15
2023-05-25T07:34:27,0,15,0,15
2023-05-25T07:46:04,0,15,0,15
2023-05-25T07:57:39,0,15,0,15
2023-05-25T08:09:14,0,15,0,15
2023-05-25T08:20:58,0,15,0,15
2023-05-25T08:32:33,0,15,0,15
2023-05-25T08:44:05,0,15,0,15
2023-05-25T08:55:37,0,15,0,15
2023-05-25T09:07:11,0,15,0,15
2023-05-25T09:18:44,0,15,0,15
2023-05-25T09:30:17,0,15,0,15
2023-05-25T09:41:49,0,15,0,15
2023-05-25T09:53:22,0,15,0,15
2023-05-25T10:04:55,0,15,0,15
2023-05-25T10:16:40,0,15,0,15
2023-05-25T10:28:13,0,15,0,15
2023-05-25T10:39:45,0,15,0,15
2023-05-25T10:51:18,0,15,0,15
2023-05-25T11:03:01,0,15,0,15
2023-05-25T11:14:33,0,15,0,15
2023-05-25T11:26:06,0,15,0,15
2023-05-25T11:37:39,0,15,0,15
2023-05-25T11:49:12,0,15,0,15
2023-05-25T12:00:56,0,15,0,15
2023-05-25T12:12:29,0,15,0,15
2023-05-25T12:24:01,0,15,0,15
2023-05-25T12:35:34,0,15,0,15
2023-05-25T12:47:07,0,15,0,15
2023-05-25T12:58:51,0,15,0,15
2023-05-25T13:10:23,0,15,0,15
