time,enrolled,available,waitlisted,total
2023-05-25T01:14:54,0,210,0,210
2023-05-25T01:26:30,0,210,0,210
2023-05-25T01:38:05,0,210,0,210
2023-05-25T01:49:50,0,210,0,210
2023-05-25T02:01:25,0,210,0,210
2023-05-25T02:13:02,0,210,0,210
2023-05-25T02:24:38,0,210,0,210
2023-05-25T02:36:11,0,210,0,210
2023-05-25T02:47:45,0,210,0,210
2023-05-25T02:59:18,0,210,0,210
2023-05-25T03:10:54,0,210,0,210
2023-05-25T03:22:33,0,210,0,210
2023-05-25T03:34:30,0,210,0,210
2023-05-25T03:46:06,0,210,0,210
2023-05-25T03:57:42,0,210,0,210
2023-05-25T04:17:04,0,210,0,210
2023-05-25T04:29:05,0,210,0,210
2023-05-25T04:40:42,0,210,0,210
2023-05-25T04:52:18,0,210,0,210
2023-05-25T05:03:54,0,210,0,210
2023-05-25T05:15:31,0,210,0,210
2023-05-25T05:27:07,0,210,0,210
2023-05-25T05:38:44,0,210,0,210
2023-05-25T05:50:20,0,210,0,210
2023-05-25T06:01:56,0,210,0,210
2023-05-25T06:13:32,0,210,0,210
2023-05-25T06:25:07,0,210,0,210
2023-05-25T06:36:41,0,210,0,210
2023-05-25T06:48:17,0,210,0,210
2023-05-25T06:59:52,0,210,0,210
2023-05-25T07:11:28,0,210,0,210
2023-05-25T07:23:02,0,210,0,210
2023-05-25T07:34:36,0,210,0,210
2023-05-25T07:46:13,0,210,0,210
2023-05-25T07:57:48,0,210,0,210
2023-05-25T08:09:23,0,210,0,210
2023-05-25T08:21:07,0,210,0,210
2023-05-25T08:32:42,0,210,0,210
2023-05-25T08:44:14,0,210,0,210
2023-05-25T08:55:46,0,210,0,210
2023-05-25T09:07:20,0,210,0,210
2023-05-25T09:18:53,0,210,0,210
2023-05-25T09:30:26,0,210,0,210
2023-05-25T09:41:58,0,210,0,210
2023-05-25T09:53:31,0,210,0,210
2023-05-25T10:05:04,0,210,0,210
2023-05-25T10:16:49,0,210,0,210
2023-05-25T10:28:22,0,210,0,210
2023-05-25T10:39:54,0,210,0,210
2023-05-25T10:51:27,0,210,0,210
2023-05-25T11:03:10,0,210,0,210
2023-05-25T11:14:42,0,210,0,210
2023-05-25T11:26:15,0,210,0,210
2023-05-25T11:37:48,0,210,0,210
2023-05-25T11:49:21,0,210,0,210
2023-05-25T12:01:05,0,210,0,210
2023-05-25T12:12:38,0,210,0,210
2023-05-25T12:24:10,0,210,0,210
2023-05-25T12:35:43,0,210,0,210
2023-05-25T12:47:16,0,210,0,210
2023-05-25T12:59:00,0,210,0,210
2023-05-25T13:10:32,0,210,0,210
2023-05-25T13:22:05,0,210,0,210
2023-05-25T13:33:38,0,210,0,210
2023-05-25T13:45:11,0,210,0,210
2023-05-25T13:56:45,0,210,0,210
2023-05-25T14:08:29,0,210,0,210
2023-05-25T14:20:03,0,210,0,210
2023-05-25T14:31:36,0,210,0,210
2023-05-25T14:43:08,0,210,0,210
2023-05-25T14:54:42,0,210,0,210
2023-05-25T15:06:26,0,210,0,210
2023-05-25T15:18:00,0,210,0,210
2023-05-25T15:29:35,0,210,0,210
2023-05-25T15:41:09,0,210,0,210
2023-05-25T15:52:44,0,210,0,210
2023-05-25T16:04:19,0,210,0,210
2023-05-25T16:16:04,0,210,0,210
2023-05-25T16:27:39,0,210,0,210
2023-05-25T16:39:14,0,210,0,210
2023-05-25T16:50:49,0,210,0,210
2023-05-25T17:02:25,0,210,0,210
2023-05-25T17:14:13,0,210,0,210
2023-05-25T17:25:49,0,210,0,210
2023-05-25T17:37:24,0,210,0,210
2023-05-25T17:49:00,0,210,0,210
2023-05-25T18:00:36,0,210,0,210
2023-05-25T18:12:13,0,210,0,210
2023-05-25T18:23:48,0,210,0,210
2023-05-25T18:35:34,0,210,0,210
2023-05-25T18:47:09,0,210,0,210
2023-05-25T18:58:45,0,210,0,210
2023-05-25T19:10:21,0,210,0,210
2023-05-25T19:21:57,0,210,0,210
2023-05-25T19:33:33,0,210,0,210
2023-05-25T19:45:09,0,210,0,210
2023-05-25T19:56:54,0,210,0,210
2023-05-25T20:08:30,0,210,0,210
2023-05-25T20:20:06,0,210,0,210
2023-05-25T20:31:42,0,210,0,210
2023-05-25T20:43:18,0,210,0,210
2023-05-25T20:54:53,0,210,0,210
2023-05-25T21:06:29,0,210,0,210
2023-05-25T21:18:05,0,210,0,210
2023-05-25T21:29:52,0,210,0,210
2023-05-25T21:41:28,0,210,0,210
2023-05-25T21:53:03,0,210,0,210
2023-05-25T22:04:39,0,210,0,210
2023-05-25T22:16:14,0,210,0,210
2023-05-25T22:27:49,0,210,0,210
2023-05-25T22:39:25,0,210,0,210
2023-05-25T22:51:11,0,210,0,210
2023-05-25T23:02:48,0,210,0,210
2023-05-25T23:14:25,0,210,0,210
2023-05-25T23:26:01,0,210,0,210
2023-05-25T23:37:37,0,210,0,210
2023-05-25T23:49:12,0,210,0,210
2023-05-26T00:00:50,0,210,0,210
2023-05-26T00:12:46,0,210,0,210
2023-05-26T00:24:27,0,210,0,210
2023-05-26T00:36:06,0,210,0,210
2023-05-26T00:47:44,0,210,0,210
2023-05-26T00:59:23,0,210,0,210
2023-05-26T01:11:02,0,210,0,210
2023-05-26T01:22:41,0,210,0,210
2023-05-26T01:34:19,0,210,0,210
2023-05-26T01:46:07,0,210,0,210
2023-05-26T01:57:46,0,210,0,210
2023-05-26T02:09:27,0,210,0,210
2023-05-26T02:21:04,0,210,0,210
2023-05-26T02:32:42,0,210,0,210
2023-05-26T02:44:30,0,210,0,210
2023-05-26T02:56:11,0,210,0,210
2023-05-26T03:07:51,0,210,0,210
2023-05-26T03:19:32,0,210,0,210
2023-05-26T03:31:11,0,210,0,210
2023-05-26T03:42:49,0,210,0,210
2023-05-26T03:54:28,0,210,0,210
2023-05-26T04:06:16,0,210,0,210
2023-05-26T04:28:15,0,210,0,210
2023-05-26T04:40:19,0,210,0,210
2023-05-26T04:52:00,0,210,0,210
2023-05-26T05:03:41,0,210,0,210
2023-05-26T05:15:21,0,210,0,210
2023-05-26T05:27:00,0,210,0,210
2023-05-26T05:38:39,0,210,0,210
2023-05-26T05:50:18,0,210,0,210
2023-05-26T06:01:57,0,210,0,210
2023-05-26T06:13:36,0,210,0,210
2023-05-26T06:25:15,0,210,0,210
2023-05-26T06:36:53,0,210,0,210
2023-05-26T06:48:32,0,210,0,210
2023-05-26T07:00:10,0,210,0,210
2023-05-26T07:11:49,0,210,0,210
2023-05-26T07:23:27,0,210,0,210
2023-05-26T07:35:13,0,210,0,210
2023-05-26T07:46:50,0,210,0,210
2023-05-26T07:58:27,0,210,0,210
2023-05-26T08:10:03,0,210,0,210
2023-05-26T08:21:39,0,210,0,210
2023-05-26T08:33:15,0,210,0,210
2023-05-26T08:44:51,0,210,0,210
2023-05-26T08:56:28,0,210,0,210
2023-05-26T09:08:04,0,210,0,210
2023-05-26T09:19:40,0,210,0,210
2023-05-26T09:31:27,0,210,0,210
2023-05-26T09:43:04,1,209,0,210
2023-05-26T09:54:40,1,209,0,210
2023-05-26T10:06:16,1,209,0,210
2023-05-26T10:17:52,1,209,0,210
2023-05-26T10:29:29,1,209,0,210
2023-05-26T10:41:17,1,209,0,210
2023-05-26T10:52:53,1,209,0,210
2023-05-26T11:04:29,3,207,0,210
2023-05-26T11:16:06,7,203,0,210
2023-05-26T11:27:42,7,203,0,210
2023-05-26T11:39:29,7,203,0,210
2023-05-26T11:51:05,8,202,0,210
2023-05-26T12:02:41,12,198,0,210
2023-05-26T12:14:17,12,198,0,210
2023-05-26T12:25:53,12,198,0,210
2023-05-26T12:37:29,14,196,0,210
2023-05-26T12:49:16,14,196,0,210
2023-05-26T13:00:53,14,196,0,210
2023-05-26T13:12:28,14,196,0,210
2023-05-26T13:24:04,14,196,0,210
2023-05-26T13:35:50,14,196,0,210
2023-05-26T13:47:26,14,196,0,210
2023-05-26T13:59:02,15,195,0,210
2023-05-26T14:10:38,15,195,0,210
2023-05-26T14:22:25,15,195,0,210
2023-05-26T14:34:01,15,195,0,210
2023-05-26T14:45:37,15,195,0,210
2023-05-26T14:57:13,15,195,0,210
2023-05-26T15:08:52,15,195,0,210
2023-05-26T15:20:27,15,195,0,210
2023-05-26T15:32:14,15,195,0,210
2023-05-26T15:43:49,15,195,0,210
2023-05-26T15:55:25,15,195,0,210
2023-05-26T16:07:02,15,195,0,210
2023-05-26T16:18:37,15,195,0,210
2023-05-26T16:30:12,15,195,0,210
2023-05-26T16:41:58,15,195,0,210
2023-05-26T16:53:34,16,194,0,210
2023-05-26T17:05:10,16,194,0,210
2023-05-26T17:16:47,16,194,0,210
2023-05-26T17:28:23,16,194,0,210
2023-05-26T17:39:58,16,194,0,210
2023-05-26T17:51:44,16,194,0,210
