time,enrolled,available,waitlisted,total
2023-08-23T14:02:30,0,15,0,15
2023-08-23T14:15:15,0,15,0,15
2023-08-23T14:28:00,0,15,0,15
2023-08-23T14:40:54,0,15,0,15
2023-08-23T14:53:38,0,15,0,15
2023-08-23T15:06:22,0,15,0,15
2023-08-23T15:19:06,0,15,0,15
2023-08-23T15:31:51,0,15,0,15
2023-08-23T15:44:35,0,15,0,15
2023-08-23T15:57:20,0,15,0,15
2023-08-23T16:10:04,0,15,0,15
2023-08-23T16:22:48,0,15,0,15
2023-08-23T16:35:45,0,15,0,15
2023-08-23T16:48:30,0,15,0,15
2023-08-23T17:01:13,0,15,0,15
2023-08-23T17:13:58,0,15,0,15
2023-08-23T17:26:42,0,15,0,15
2023-08-23T17:39:27,0,15,0,15
2023-08-23T17:52:10,0,15,0,15
2023-08-23T18:04:55,0,15,0,15
2023-08-23T18:17:39,0,15,0,15
2023-08-23T18:30:33,0,15,0,15
2023-08-23T18:43:17,0,15,0,15
2023-08-23T18:56:00,0,15,0,15
2023-08-23T19:08:45,0,15,0,15
2023-08-23T19:21:29,0,15,0,15
2023-08-23T19:34:13,0,15,0,15
2023-08-23T19:46:57,0,15,0,15
2023-08-23T19:59:41,0,15,0,15
2023-08-23T20:12:25,0,15,0,15
2023-08-23T20:25:19,0,15,0,15
2023-08-23T20:38:02,0,15,0,15
2023-08-23T20:50:46,0,15,0,15
2023-08-23T21:03:30,0,15,0,15
2023-08-23T21:16:15,0,15,0,15
2023-08-23T21:28:59,0,15,0,15
2023-08-23T21:41:42,0,15,0,15
2023-08-23T21:54:26,0,15,0,15
2023-08-23T22:07:10,0,15,0,15
2023-08-23T22:19:54,0,15,0,15
2023-08-23T22:32:48,0,15,0,15
2023-08-23T22:45:32,0,15,0,15
2023-08-23T22:58:15,0,15,0,15
2023-08-23T23:11:04,0,15,0,15
2023-08-23T23:23:49,0,15,0,15
2023-08-23T23:36:35,0,15,0,15
2023-08-23T23:49:19,0,15,0,15
2023-08-24T00:02:05,0,15,0,15
2023-08-24T00:14:54,0,15,0,15
2023-08-24T00:27:43,0,15,0,15
2023-08-24T00:40:31,0,15,0,15
2023-08-24T00:53:20,0,15,0,15
2023-08-24T01:06:09,0,15,0,15
2023-08-24T01:18:57,0,15,0,15
2023-08-24T01:31:56,0,15,0,15
2023-08-24T01:44:44,0,15,0,15
2023-08-24T01:57:32,0,15,0,15
2023-08-24T02:10:19,0,15,0,15
2023-08-24T02:23:05,0,15,0,15
2023-08-24T02:35:52,0,15,0,15
2023-08-24T02:48:38,0,15,0,15
2023-08-24T03:01:35,0,15,0,15
2023-08-24T03:14:24,0,15,0,15
2023-08-24T03:27:13,0,15,0,15
2023-08-24T03:40:01,0,15,0,15
2023-08-24T03:52:49,0,15,0,15
2023-08-24T04:05:36,0,15,0,15
2023-08-24T04:22:28,0,15,0,15
2023-08-24T04:36:47,0,15,0,15
2023-08-24T04:49:37,0,15,0,15
2023-08-24T05:02:25,0,15,0,15
2023-08-24T05:15:15,0,15,0,15
2023-08-24T05:28:04,0,15,0,15
2023-08-24T05:40:53,0,15,0,15
2023-08-24T05:53:42,0,15,0,15
2023-08-24T06:06:30,0,15,0,15
2023-08-24T06:19:17,0,15,0,15
2023-08-24T06:32:04,0,15,0,15
2023-08-24T06:44:51,0,15,0,15
2023-08-24T06:57:39,0,15,0,15
2023-08-24T07:10:26,0,15,0,15
2023-08-24T07:23:11,0,15,0,15
2023-08-24T07:35:55,0,15,0,15
2023-08-24T07:48:38,0,15,0,15
2023-08-24T08:01:22,0,15,0,15
2023-08-24T08:14:06,0,15,0,15
2023-08-24T08:26:52,0,15,0,15
2023-08-24T08:39:35,0,15,0,15
2023-08-24T08:52:19,0,15,0,15
2023-08-24T09:05:13,0,15,0,15
2023-08-24T09:17:56,0,15,0,15
2023-08-24T09:30:50,0,15,0,15
2023-08-24T09:43:34,0,15,0,15
2023-08-24T09:56:18,0,15,0,15
2023-08-24T10:09:12,0,15,0,15
2023-08-24T10:22:05,0,15,0,15
2023-08-24T10:34:49,0,15,0,15
2023-08-24T10:47:41,0,15,0,15
2023-08-24T11:00:26,0,15,0,15
2023-08-24T11:13:19,0,15,0,15
2023-08-24T11:26:13,0,15,0,15
2023-08-24T11:39:08,0,15,0,15
2023-08-24T11:51:53,0,15,0,15
2023-08-24T12:04:50,0,15,0,15
2023-08-24T12:17:44,0,15,0,15
2023-08-24T12:30:28,0,15,0,15
2023-08-24T12:43:21,0,15,0,15
2023-08-24T12:56:05,0,15,0,15
2023-08-24T13:08:59,0,15,0,15
2023-08-24T13:21:42,0,15,0,15
2023-08-24T13:34:38,0,15,0,15
2023-08-24T13:47:22,0,15,0,15
2023-08-24T14:00:16,0,15,0,15
2023-08-24T14:13:01,1,14,0,15
2023-08-24T14:25:54,1,14,0,15
2023-08-24T14:38:47,1,14,0,15
2023-08-24T14:51:42,1,14,0,15
2023-08-24T15:04:27,1,14,0,15
2023-08-24T15:17:11,1,14,0,15
2023-08-24T15:30:05,1,14,0,15
2023-08-24T15:42:49,1,14,0,15
2023-08-24T15:55:34,1,14,0,15
2023-08-24T16:08:29,1,14,0,15
2023-08-24T16:21:13,1,14,0,15
2023-08-24T16:33:57,1,14,0,15
2023-08-24T16:46:41,1,14,0,15
2023-08-24T16:59:24,1,14,0,15
2023-08-24T17:12:11,1,14,0,15
2023-08-24T17:24:56,1,14,0,15
2023-08-24T17:37:40,1,14,0,15
2023-08-24T17:50:34,1,14,0,15
2023-08-24T18:03:19,1,14,0,15
2023-08-24T18:16:03,1,14,0,15
2023-08-24T18:28:48,1,14,0,15
2023-08-24T18:41:33,1,14,0,15
2023-08-24T18:54:18,1,14,0,15
2023-08-24T19:07:04,1,14,0,15
2023-08-24T19:19:48,1,14,0,15
2023-08-24T19:32:32,1,14,0,15
2023-08-24T19:45:29,1,14,0,15
2023-08-24T19:58:13,1,14,0,15
2023-08-24T20:10:57,1,14,0,15
2023-08-24T20:23:41,1,14,0,15
2023-08-24T20:36:25,1,14,0,15
2023-08-24T20:49:11,1,14,0,15
2023-08-24T21:01:55,1,14,0,15
2023-08-24T21:14:40,1,14,0,15
2023-08-24T21:27:24,1,14,0,15
2023-08-24T21:40:09,1,14,0,15
2023-08-24T21:53:03,1,14,0,15
2023-08-24T22:05:47,1,14,0,15
2023-08-24T22:18:44,1,14,0,15
2023-08-24T22:31:29,1,14,0,15
2023-08-24T22:44:14,1,14,0,15
2023-08-24T22:56:58,1,14,0,15
2023-08-24T23:09:46,1,14,0,15
2023-08-24T23:22:30,1,14,0,15
2023-08-24T23:35:15,1,14,0,15
2023-08-24T23:48:09,1,14,0,15
2023-08-25T00:00:53,1,14,0,15
2023-08-25T00:13:42,1,14,0,15
2023-08-25T00:26:31,1,14,0,15
2023-08-25T00:39:19,1,14,0,15
2023-08-25T00:52:08,1,14,0,15
2023-08-25T01:04:57,1,14,0,15
2023-08-25T01:17:47,1,14,0,15
2023-08-25T01:30:37,1,14,0,15
2023-08-25T01:43:26,1,14,0,15
2023-08-25T01:56:14,1,14,0,15
2023-08-25T02:09:03,1,14,0,15
2023-08-25T02:22:00,1,14,0,15
2023-08-25T02:34:50,1,14,0,15
2023-08-25T02:47:47,1,14,0,15
2023-08-25T03:00:34,1,14,0,15
2023-08-25T03:13:22,1,14,0,15
2023-08-25T03:26:10,1,14,0,15
2023-08-25T03:38:57,1,14,0,15
2023-08-25T03:51:45,1,14,0,15
2023-08-25T04:04:33,1,14,0,15
2023-08-25T04:17:20,1,14,0,15
2023-08-25T04:28:37,1,14,0,15
2023-08-25T04:41:27,1,14,0,15
2023-08-25T04:55:59,1,14,0,15
2023-08-25T05:08:52,1,14,0,15
2023-08-25T05:21:40,1,14,0,15
2023-08-25T05:34:29,1,14,0,15
2023-08-25T05:47:18,1,14,0,15
2023-08-25T06:00:07,1,14,0,15
2023-08-25T06:12:56,1,14,0,15
2023-08-25T06:25:44,1,14,0,15
2023-08-25T06:38:32,1,14,0,15
2023-08-25T06:51:18,1,14,0,15
2023-08-25T07:04:02,1,14,0,15
2023-08-25T07:16:47,1,14,0,15
2023-08-25T07:29:31,1,14,0,15
2023-08-25T07:42:24,1,14,0,15
2023-08-25T07:55:09,1,14,0,15
2023-08-25T08:07:55,1,14,0,15
2023-08-25T08:20:39,1,14,0,15
2023-08-25T08:33:23,1,14,0,15
2023-08-25T08:46:07,1,14,0,15
2023-08-25T08:58:51,1,14,0,15
2023-08-25T09:11:37,1,14,0,15
2023-08-25T09:24:21,1,14,0,15
2023-08-25T09:37:16,1,14,0,15
2023-08-25T09:50:01,1,14,0,15
2023-08-25T10:02:45,1,14,0,15
2023-08-25T10:15:29,1,14,0,15
2023-08-25T10:28:13,1,14,0,15
2023-08-25T10:40:57,1,14,0,15
2023-08-25T10:53:42,1,14,0,15
2023-08-25T11:06:27,1,14,0,15
2023-08-25T11:19:21,1,14,0,15
2023-08-25T11:32:05,1,14,0,15
2023-08-25T11:44:49,1,14,0,15
2023-08-25T11:57:33,1,14,0,15
2023-08-25T12:10:17,1,14,0,15
2023-08-25T12:23:01,1,14,0,15
2023-08-25T12:35:46,1,14,0,15
2023-08-25T12:48:41,1,14,0,15
2023-08-25T13:01:26,1,14,0,15
2023-08-25T13:14:11,1,14,0,15
2023-08-25T13:26:55,1,14,0,15
2023-08-25T13:39:40,1,14,0,15
2023-08-25T13:52:24,1,14,0,15
2023-08-25T14:05:08,1,14,0,15
2023-08-25T14:18:02,1,14,0,15
2023-08-25T14:30:47,1,14,0,15
2023-08-25T14:43:34,1,14,0,15
2023-08-25T14:56:18,1,14,0,15
2023-08-25T15:09:03,1,14,0,15
2023-08-25T15:21:47,1,14,0,15
2023-08-25T15:34:34,1,14,0,15
2023-08-25T15:47:26,1,14,0,15
2023-08-25T16:00:10,1,14,0,15
2023-08-25T16:12:54,1,14,0,15
2023-08-25T16:25:38,1,14,0,15
2023-08-25T16:38:22,1,14,0,15
2023-08-25T16:51:07,1,14,0,15
2023-08-25T17:03:51,1,14,0,15
2023-08-25T17:16:47,1,14,0,15
2023-08-25T17:29:31,1,14,0,15
2023-08-25T17:42:15,1,14,0,15
2023-08-25T17:54:59,1,14,0,15
2023-08-25T18:07:42,1,14,0,15
2023-08-25T18:20:26,1,14,0,15
2023-08-25T18:33:10,1,14,0,15
2023-08-25T18:45:53,1,14,0,15
2023-08-25T18:58:47,1,14,0,15
2023-08-25T19:11:32,1,14,0,15
2023-08-25T19:24:16,1,14,0,15
2023-08-25T19:37:03,1,14,0,15
2023-08-25T19:49:48,1,14,0,15
2023-08-25T20:02:31,1,14,0,15
2023-08-25T20:15:15,1,14,0,15
2023-08-25T20:28:00,1,14,0,15
2023-08-25T20:40:44,1,14,0,15
2023-08-25T20:53:37,1,14,0,15
2023-08-25T21:06:21,1,14,0,15
2023-08-25T21:19:05,1,14,0,15
2023-08-25T21:31:49,1,14,0,15
2023-08-25T21:44:33,1,14,0,15
2023-08-25T21:57:17,1,14,0,15
2023-08-25T22:10:02,1,14,0,15
2023-08-25T22:22:45,1,14,0,15
2023-08-25T22:35:29,1,14,0,15
2023-08-25T22:48:13,1,14,0,15
2023-08-25T23:01:08,1,14,0,15
2023-08-25T23:13:54,1,14,0,15
2023-08-25T23:26:39,1,14,0,15
2023-08-25T23:39:24,1,14,0,15
2023-08-25T23:52:09,1,14,0,15
2023-08-26T00:04:56,1,14,0,15
2023-08-26T00:17:46,1,14,0,15
2023-08-26T00:30:36,1,14,0,15
2023-08-26T00:43:24,1,14,0,15
2023-08-26T00:56:24,1,14,0,15
2023-08-26T01:09:12,2,13,0,15
2023-08-26T01:22:01,2,13,0,15
2023-08-26T01:34:50,2,13,0,15
2023-08-26T01:47:38,2,13,0,15
2023-08-26T02:00:26,2,13,0,15
2023-08-26T02:13:11,2,13,0,15
2023-08-26T02:25:56,2,13,0,15
2023-08-26T02:38:41,2,13,0,15
2023-08-26T02:51:26,2,13,0,15
2023-08-26T03:04:10,2,13,0,15
2023-08-26T03:16:58,2,13,0,15
2023-08-26T03:29:46,2,13,0,15
2023-08-26T03:42:45,2,13,0,15
2023-08-26T03:55:33,2,13,0,15
2023-08-26T04:08:20,2,13,0,15
2023-08-26T04:28:31,2,13,0,15
2023-08-26T04:42:56,2,13,0,15
2023-08-26T04:55:48,2,13,0,15
2023-08-26T05:08:37,2,13,0,15
2023-08-26T05:21:25,2,13,0,15
2023-08-26T05:34:15,2,13,0,15
2023-08-26T05:47:02,2,13,0,15
2023-08-26T05:59:49,2,13,0,15
2023-08-26T06:12:38,2,13,0,15
2023-08-26T06:25:26,2,13,0,15
2023-08-26T06:38:16,2,13,0,15
2023-08-26T06:51:05,2,13,0,15
2023-08-26T07:04:07,2,13,0,15
2023-08-26T07:16:54,2,13,0,15
2023-08-26T07:29:41,2,13,0,15
2023-08-26T07:42:28,2,13,0,15
2023-08-26T07:55:16,2,13,0,15
2023-08-26T08:08:03,2,13,0,15
2023-08-26T08:20:51,2,13,0,15
2023-08-26T08:33:39,2,13,0,15
2023-08-26T08:46:26,2,13,0,15
2023-08-26T08:59:28,2,13,0,15
2023-08-26T09:12:14,2,13,0,15
2023-08-26T09:25:01,2,13,0,15
2023-08-26T09:37:48,2,13,0,15
2023-08-26T09:50:35,2,13,0,15
2023-08-26T10:03:21,2,13,0,15
2023-08-26T10:16:06,2,13,0,15
2023-08-26T10:28:52,2,13,0,15
2023-08-26T10:41:37,2,13,0,15
2023-08-26T10:54:22,2,13,0,15
2023-08-26T11:07:06,2,13,0,15
2023-08-26T11:19:50,2,13,0,15
2023-08-26T11:32:34,2,13,0,15
2023-08-26T11:45:27,2,13,0,15
2023-08-26T11:58:10,2,13,0,15
2023-08-26T12:10:54,2,13,0,15
2023-08-26T12:23:37,2,13,0,15
2023-08-26T12:36:22,2,13,0,15
2023-08-26T12:49:05,2,13,0,15
2023-08-26T13:01:49,2,13,0,15
2023-08-26T13:14:33,2,13,0,15
2023-08-26T13:27:17,2,13,0,15
2023-08-26T13:40:00,2,13,0,15
2023-08-26T13:53:08,2,13,0,15
2023-08-26T14:05:52,2,13,0,15
2023-08-26T14:18:35,2,13,0,15
2023-08-26T14:31:20,2,13,0,15
2023-08-26T14:44:05,2,13,0,15
2023-08-26T14:56:48,2,13,0,15
2023-08-26T15:09:32,2,13,0,15
2023-08-26T15:22:15,2,13,0,15
2023-08-26T15:34:59,2,13,0,15
2023-08-26T15:47:42,2,13,0,15
2023-08-26T16:00:34,2,13,0,15
2023-08-26T16:13:18,2,13,0,15
2023-08-26T16:26:02,2,13,0,15
2023-08-26T16:38:46,2,13,0,15
2023-08-26T16:51:29,2,13,0,15
2023-08-26T17:04:13,2,13,0,15
2023-08-26T17:16:58,2,13,0,15
2023-08-26T17:29:41,2,13,0,15
2023-08-26T17:42:25,2,13,0,15
2023-08-26T17:55:09,2,13,0,15
2023-08-26T18:08:12,2,13,0,15
2023-08-26T18:20:56,2,13,0,15
2023-08-26T18:33:40,2,13,0,15
2023-08-26T18:46:24,2,13,0,15
2023-08-26T18:59:08,2,13,0,15
2023-08-26T19:11:53,2,13,0,15
2023-08-26T19:24:38,2,13,0,15
2023-08-26T19:37:21,2,13,0,15
2023-08-26T19:50:04,2,13,0,15
2023-08-26T20:02:57,2,13,0,15
2023-08-26T20:15:41,2,13,0,15
2023-08-26T20:28:24,2,13,0,15
2023-08-26T20:41:09,2,13,0,15
2023-08-26T20:53:53,2,13,0,15
2023-08-26T21:06:37,2,13,0,15
2023-08-26T21:19:21,2,13,0,15
2023-08-26T21:32:04,2,13,0,15
2023-08-26T21:45:05,2,13,0,15
2023-08-26T21:57:49,2,13,0,15
2023-08-26T22:10:33,2,13,0,15
2023-08-26T22:23:16,2,13,0,15
2023-08-26T22:36:00,2,13,0,15
2023-08-26T22:48:44,2,13,0,15
2023-08-26T23:01:29,2,13,0,15
2023-08-26T23:14:14,2,13,0,15
2023-08-26T23:26:59,2,13,0,15
2023-08-26T23:39:43,2,13,0,15
2023-08-26T23:52:38,2,13,0,15
2023-08-27T00:05:24,2,13,0,15
2023-08-27T00:18:15,2,13,0,15
2023-08-27T00:31:02,2,13,0,15
2023-08-27T00:43:50,2,13,0,15
2023-08-27T00:56:38,2,13,0,15
2023-08-27T01:09:25,2,13,0,15
2023-08-27T01:22:12,2,13,0,15
2023-08-27T01:35:00,2,13,0,15
2023-08-27T01:47:46,2,13,0,15
2023-08-27T02:00:34,2,13,0,15
2023-08-27T02:13:41,2,13,0,15
2023-08-27T02:26:29,2,13,0,15
2023-08-27T02:39:17,2,13,0,15
2023-08-27T02:52:04,2,13,0,15
2023-08-27T03:04:51,2,13,0,15
2023-08-27T03:17:38,2,13,0,15
2023-08-27T03:30:27,2,13,0,15
2023-08-27T03:43:14,2,13,0,15
2023-08-27T03:56:01,2,13,0,15
2023-08-27T04:08:49,2,13,0,15
2023-08-27T04:24:17,2,13,0,15
2023-08-27T04:38:29,2,13,0,15
2023-08-27T04:51:36,2,13,0,15
2023-08-27T05:04:25,2,13,0,15
2023-08-27T05:17:12,2,13,0,15
2023-08-27T05:30:01,2,13,0,15
2023-08-27T05:42:49,2,13,0,15
2023-08-27T05:55:38,2,13,0,15
2023-08-27T06:08:27,2,13,0,15
2023-08-27T06:21:13,2,13,0,15
2023-08-27T06:33:59,2,13,0,15
2023-08-27T06:46:44,2,13,0,15
2023-08-27T06:59:28,2,13,0,15
2023-08-27T07:12:15,2,13,0,15
2023-08-27T07:24:59,2,13,0,15
2023-08-27T07:37:44,2,13,0,15
2023-08-27T07:50:35,2,13,0,15
2023-08-27T08:03:20,2,13,0,15
2023-08-27T08:16:05,2,13,0,15
2023-08-27T08:28:50,2,13,0,15
2023-08-27T08:41:34,2,13,0,15
2023-08-27T08:54:18,2,13,0,15
2023-08-27T09:07:02,2,13,0,15
2023-08-27T09:19:46,3,12,0,15
2023-08-27T09:32:30,3,12,0,15
2023-08-27T09:45:15,3,12,0,15
2023-08-27T09:58:00,3,12,0,15
2023-08-27T10:10:44,3,12,0,15
2023-08-27T10:23:41,3,12,0,15
2023-08-27T10:36:25,3,12,0,15
2023-08-27T10:49:10,3,12,0,15
2023-08-27T11:01:57,3,12,0,15
2023-08-27T11:14:43,3,12,0,15
2023-08-27T11:27:28,3,12,0,15
2023-08-27T11:40:14,3,12,0,15
2023-08-27T11:52:58,3,12,0,15
2023-08-27T12:05:41,3,12,0,15
2023-08-27T12:18:25,3,12,0,15
2023-08-27T12:31:18,3,12,0,15
2023-08-27T12:44:01,3,12,0,15
2023-08-27T12:56:46,3,12,0,15
2023-08-27T13:09:30,3,12,0,15
2023-08-27T13:22:14,3,12,0,15
2023-08-27T13:34:58,3,12,0,15
2023-08-27T13:47:42,3,12,0,15
2023-08-27T14:00:26,3,12,0,15
2023-08-27T14:13:19,3,12,0,15
2023-08-27T14:26:02,3,12,0,15
2023-08-27T14:38:46,3,12,0,15
2023-08-27T14:51:31,3,12,0,15
2023-08-27T15:04:15,3,12,0,15
2023-08-27T15:16:58,3,12,0,15
2023-08-27T15:29:41,3,12,0,15
2023-08-27T15:42:25,3,12,0,15
2023-08-27T15:55:16,3,12,0,15
2023-08-27T16:08:00,3,12,0,15
2023-08-27T16:20:45,3,12,0,15
2023-08-27T16:33:29,3,12,0,15
2023-08-27T16:46:13,3,12,0,15
2023-08-27T16:58:57,3,12,0,15
2023-08-27T17:11:42,3,12,0,15
2023-08-27T17:24:43,3,12,0,15
2023-08-27T17:37:27,3,12,0,15
2023-08-27T17:50:10,3,12,0,15
2023-08-27T18:02:54,3,12,0,15
