time,enrolled,available,waitlisted,total
2023-05-25T15:18:47,0,0,0,0
2023-05-25T15:30:21,0,32,0,32
2023-05-25T15:41:56,0,32,0,32
2023-05-25T15:53:30,0,32,0,32
2023-05-25T16:05:15,0,32,0,32
2023-05-25T16:16:51,0,32,0,32
2023-05-25T16:28:25,0,32,0,32
2023-05-25T16:40:00,0,32,0,32
2023-05-25T16:51:36,0,32,0,32
2023-05-25T17:03:12,0,32,0,32
2023-05-25T17:15:00,0,32,0,32
2023-05-25T17:26:35,0,32,0,32
2023-05-25T17:38:11,0,32,0,32
2023-05-25T17:49:47,0,32,0,32
2023-05-25T18:01:23,0,32,0,32
2023-05-25T18:12:59,0,32,0,32
2023-05-25T18:24:35,0,32,0,32
2023-05-25T18:36:20,0,32,0,32
2023-05-25T18:47:55,0,32,0,32
2023-05-25T18:59:31,0,32,0,32
2023-05-25T19:11:08,0,32,0,32
2023-05-25T19:22:44,0,32,0,32
2023-05-25T19:34:19,0,32,0,32
2023-05-25T19:45:56,0,32,0,32
2023-05-25T19:57:41,0,32,0,32
2023-05-25T20:09:17,0,32,0,32
2023-05-25T20:20:52,0,32,0,32
2023-05-25T20:32:29,0,32,0,32
2023-05-25T20:44:04,0,32,0,32
2023-05-25T20:55:40,0,32,0,32
2023-05-25T21:07:15,0,32,0,32
2023-05-25T21:19:02,0,32,0,32
2023-05-25T21:30:38,0,32,0,32
2023-05-25T21:42:14,0,32,0,32
2023-05-25T21:53:50,0,32,0,32
2023-05-25T22:05:25,0,32,0,32
2023-05-25T22:17:00,0,32,0,32
2023-05-25T22:28:36,0,32,0,32
2023-05-25T22:40:11,0,32,0,32
2023-05-25T22:51:58,0,32,0,32
2023-05-25T23:03:35,0,32,0,32
2023-05-25T23:15:11,0,32,0,32
2023-05-25T23:26:47,0,32,0,32
2023-05-25T23:38:23,0,32,0,32
2023-05-25T23:49:59,0,32,0,32
2023-05-26T00:01:41,0,32,0,32
2023-05-26T00:13:33,0,32,0,32
2023-05-26T00:25:13,0,32,0,32
2023-05-26T00:36:52,0,32,0,32
2023-05-26T00:48:31,0,32,0,32
2023-05-26T01:00:10,0,32,0,32
2023-05-26T01:11:49,0,32,0,32
2023-05-26T01:23:27,0,32,0,32
2023-05-26T01:35:05,0,32,0,32
2023-05-26T01:46:53,0,32,0,32
