time,enrolled,available,waitlisted,total
2023-05-25T01:15:56,0,196,0,196
2023-05-25T01:27:32,0,196,0,196
2023-05-25T01:39:07,0,196,0,196
2023-05-25T01:50:52,0,196,0,196
2023-05-25T02:02:28,0,196,0,196
2023-05-25T02:14:04,0,196,0,196
2023-05-25T02:25:40,0,196,0,196
2023-05-25T02:37:13,0,196,0,196
2023-05-25T02:48:47,0,196,0,196
2023-05-25T03:00:19,0,196,0,196
2023-05-25T03:11:56,0,196,0,196
2023-05-25T03:23:55,0,196,0,196
2023-05-25T03:35:33,0,196,0,196
2023-05-25T03:47:08,0,196,0,196
2023-05-25T03:58:44,0,196,0,196
2023-05-25T04:18:07,0,196,0,196
2023-05-25T04:30:08,0,196,0,196
2023-05-25T04:41:44,0,196,0,196
2023-05-25T04:53:20,0,196,0,196
2023-05-25T05:04:56,0,196,0,196
2023-05-25T05:16:33,0,196,0,196
2023-05-25T05:28:10,0,196,0,196
2023-05-25T05:39:46,0,196,0,196
2023-05-25T05:51:22,0,196,0,196
2023-05-25T06:02:58,0,196,0,196
2023-05-25T06:14:34,0,196,0,196
2023-05-25T06:26:09,0,196,0,196
2023-05-25T06:37:43,0,196,0,196
2023-05-25T06:49:19,0,196,0,196
2023-05-25T07:00:54,0,196,0,196
2023-05-25T07:12:30,0,196,0,196
2023-05-25T07:24:04,0,196,0,196
2023-05-25T07:35:38,0,196,0,196
2023-05-25T07:47:15,0,196,0,196
2023-05-25T07:58:50,0,196,0,196
2023-05-25T08:10:25,0,196,0,196
2023-05-25T08:22:09,0,196,0,196
2023-05-25T08:33:43,0,196,0,196
2023-05-25T08:45:16,0,196,0,196
2023-05-25T08:56:48,0,196,0,196
2023-05-25T09:08:22,0,196,0,196
2023-05-25T09:19:55,0,196,0,196
2023-05-25T09:31:27,0,196,0,196
2023-05-25T09:43:00,0,196,0,196
2023-05-25T09:54:33,0,196,0,196
2023-05-25T10:06:06,0,196,0,196
2023-05-25T10:17:51,0,196,0,196
2023-05-25T10:29:24,0,196,0,196
2023-05-25T10:40:56,0,196,0,196
2023-05-25T10:52:39,0,196,0,196
2023-05-25T11:04:11,0,196,0,196
2023-05-25T11:15:44,0,196,0,196
2023-05-25T11:27:17,0,196,0,196
2023-05-25T11:38:49,0,196,0,196
2023-05-25T11:50:23,0,196,0,196
2023-05-25T12:02:07,0,196,0,196
2023-05-25T12:13:40,0,196,0,196
2023-05-25T12:25:12,0,196,0,196
2023-05-25T12:36:45,0,196,0,196
2023-05-25T12:48:18,0,196,0,196
2023-05-25T13:00:01,0,196,0,196
2023-05-25T13:11:34,0,196,0,196
2023-05-25T13:23:07,0,196,0,196
2023-05-25T13:34:40,0,196,0,196
2023-05-25T13:46:13,0,196,0,196
2023-05-25T13:57:47,0,196,0,196
2023-05-25T14:09:31,0,196,0,196
2023-05-25T14:21:04,0,196,0,196
2023-05-25T14:32:37,0,196,0,196
2023-05-25T14:44:10,0,196,0,196
2023-05-25T14:55:44,0,196,0,196
2023-05-25T15:07:28,0,196,0,196
2023-05-25T15:19:03,0,196,0,196
2023-05-25T15:30:37,0,196,0,196
2023-05-25T15:42:12,0,196,0,196
2023-05-25T15:53:46,0,196,0,196
2023-05-25T16:05:31,0,196,0,196
2023-05-25T16:17:06,0,196,0,196
2023-05-25T16:28:41,0,196,0,196
2023-05-25T16:40:16,0,196,0,196
2023-05-25T16:51:52,0,196,0,196
2023-05-25T17:03:28,0,196,0,196
2023-05-25T17:15:16,0,196,0,196
2023-05-25T17:26:51,0,196,0,196
2023-05-25T17:38:26,0,196,0,196
2023-05-25T17:50:03,0,196,0,196
2023-05-25T18:01:38,0,196,0,196
2023-05-25T18:13:15,0,196,0,196
2023-05-25T18:24:50,0,196,0,196
2023-05-25T18:36:36,0,196,0,196
2023-05-25T18:48:11,0,196,0,196
2023-05-25T18:59:47,0,196,0,196
2023-05-25T19:11:24,0,196,0,196
2023-05-25T19:22:59,0,196,0,196
2023-05-25T19:34:35,0,196,0,196
2023-05-25T19:46:11,0,196,0,196
2023-05-25T19:57:57,0,196,0,196
2023-05-25T20:09:32,0,196,0,196
2023-05-25T20:21:08,0,196,0,196
2023-05-25T20:32:44,0,196,0,196
2023-05-25T20:44:20,0,196,0,196
2023-05-25T20:55:56,0,196,0,196
2023-05-25T21:07:31,0,196,0,196
2023-05-25T21:19:18,0,196,0,196
2023-05-25T21:30:54,0,196,0,196
2023-05-25T21:42:30,0,196,0,196
2023-05-25T21:54:06,0,196,0,196
2023-05-25T22:05:41,0,196,0,196
2023-05-25T22:17:16,0,196,0,196
2023-05-25T22:28:51,0,196,0,196
2023-05-25T22:40:27,0,196,0,196
2023-05-25T22:52:13,0,196,0,196
2023-05-25T23:03:51,0,196,0,196
2023-05-25T23:15:27,0,196,0,196
2023-05-25T23:27:03,0,196,0,196
2023-05-25T23:38:39,0,196,0,196
2023-05-25T23:50:15,0,196,0,196
2023-05-26T00:01:57,0,196,0,196
2023-05-26T00:13:49,0,196,0,196
2023-05-26T00:25:29,0,196,0,196
2023-05-26T00:37:08,0,196,0,196
