time,enrolled,available,waitlisted,total
2023-05-25T01:16:08,0,0,0,0
2023-05-25T01:27:45,0,0,0,0
2023-05-25T01:39:20,0,0,0,0
2023-05-25T01:51:04,0,0,0,0
2023-05-25T02:02:40,0,0,0,0
2023-05-25T02:14:16,0,0,0,0
2023-05-25T02:25:52,0,0,0,0
2023-05-25T02:37:25,0,0,0,0
2023-05-25T02:48:59,0,0,0,0
2023-05-25T03:00:32,0,0,0,0
2023-05-25T03:12:09,0,0,0,0
2023-05-25T03:24:07,0,0,0,0
2023-05-25T03:35:45,0,0,0,0
2023-05-25T03:47:21,0,0,0,0
2023-05-25T03:58:56,0,0,0,0
2023-05-25T04:18:19,0,0,0,0
2023-05-25T04:30:20,0,0,0,0
2023-05-25T04:41:57,0,0,0,0
2023-05-25T04:53:32,0,0,0,0
2023-05-25T05:05:09,0,0,0,0
2023-05-25T05:16:46,0,0,0,0
2023-05-25T05:28:22,0,0,0,0
2023-05-25T05:39:58,0,0,0,0
2023-05-25T05:51:34,0,0,0,0
2023-05-25T06:03:11,0,0,0,0
2023-05-25T06:14:46,0,0,0,0
2023-05-25T06:26:21,0,0,0,0
2023-05-25T06:37:56,0,0,0,0
2023-05-25T06:49:31,0,0,0,0
2023-05-25T07:01:07,0,0,0,0
2023-05-25T07:12:42,0,0,0,0
2023-05-25T07:24:17,0,0,0,0
2023-05-25T07:35:50,0,0,0,0
2023-05-25T07:47:28,0,0,0,0
2023-05-25T07:59:03,0,0,0,0
2023-05-25T08:10:37,0,0,0,0
2023-05-25T08:22:22,0,0,0,0
2023-05-25T08:33:56,0,0,0,0
2023-05-25T08:45:28,0,0,0,0
2023-05-25T08:57:01,0,0,0,0
2023-05-25T09:08:34,0,0,0,0
2023-05-25T09:20:07,0,0,0,0
2023-05-25T09:31:40,0,0,0,0
2023-05-25T09:43:12,0,0,0,0
2023-05-25T09:54:45,0,0,0,0
2023-05-25T10:06:19,0,0,0,0
2023-05-25T10:18:03,0,0,0,0
2023-05-25T10:29:36,0,0,0,0
2023-05-25T10:41:09,0,0,0,0
2023-05-25T10:52:51,0,0,0,0
2023-05-25T11:04:24,0,0,0,0
2023-05-25T11:15:56,0,0,0,0
2023-05-25T11:27:29,0,0,0,0
2023-05-25T11:39:02,0,0,0,0
2023-05-25T11:50:35,0,0,0,0
2023-05-25T12:02:19,0,0,0,0
2023-05-25T12:13:52,0,0,0,0
2023-05-25T12:25:25,0,0,0,0
2023-05-25T12:36:58,0,0,0,0
2023-05-25T12:48:31,0,0,0,0
2023-05-25T13:00:14,0,0,0,0
2023-05-25T13:11:46,0,0,0,0
2023-05-25T13:23:19,0,0,0,0
2023-05-25T13:34:52,0,0,0,0
2023-05-25T13:46:25,0,0,0,0
2023-05-25T13:57:59,0,0,0,0
2023-05-25T14:09:44,0,0,0,0
2023-05-25T14:21:17,0,0,0,0
2023-05-25T14:32:50,0,0,0,0
2023-05-25T14:44:23,0,0,0,0
2023-05-25T14:55:56,0,0,0,0
2023-05-25T15:07:40,0,0,0,0
2023-05-25T15:19:15,0,0,0,0
2023-05-25T15:30:49,0,0,0,0
2023-05-25T15:42:24,0,0,0,0
2023-05-25T15:53:58,0,0,0,0
2023-05-25T16:05:44,0,0,0,0
2023-05-25T16:17:19,0,0,0,0
2023-05-25T16:28:54,0,0,0,0
2023-05-25T16:40:29,0,0,0,0
2023-05-25T16:52:04,0,0,0,0
2023-05-25T17:03:40,0,0,0,0
2023-05-25T17:15:28,0,0,0,0
2023-05-25T17:27:04,0,0,0,0
2023-05-25T17:38:39,0,0,0,0
2023-05-25T17:50:15,0,0,0,0
2023-05-25T18:01:51,0,0,0,0
2023-05-25T18:13:27,0,0,0,0
2023-05-25T18:25:03,0,0,0,0
2023-05-25T18:36:48,0,0,0,0
2023-05-25T18:48:24,0,0,0,0
2023-05-25T18:59:59,0,0,0,0
2023-05-25T19:11:36,0,0,0,0
2023-05-25T19:23:12,0,0,0,0
2023-05-25T19:34:47,0,0,0,0
2023-05-25T19:46:24,0,0,0,0
2023-05-25T19:58:09,0,0,0,0
2023-05-25T20:09:45,0,0,0,0
2023-05-25T20:21:20,0,0,0,0
2023-05-25T20:32:57,0,0,0,0
2023-05-25T20:44:32,0,0,0,0
2023-05-25T20:56:08,0,0,0,0
2023-05-25T21:07:43,0,0,0,0
2023-05-25T21:19:30,0,0,0,0
2023-05-25T21:31:07,0,0,0,0
2023-05-25T21:42:42,0,0,0,0
2023-05-25T21:54:18,0,0,0,0
2023-05-25T22:05:53,0,0,0,0
2023-05-25T22:17:28,0,0,0,0
2023-05-25T22:29:04,0,0,0,0
2023-05-25T22:40:40,0,0,0,0
2023-05-25T22:52:26,0,0,0,0
2023-05-25T23:04:04,0,0,0,0
2023-05-25T23:15:39,0,0,0,0
2023-05-25T23:27:15,0,0,0,0
2023-05-25T23:38:51,0,0,0,0
2023-05-25T23:50:27,0,0,0,0
2023-05-26T00:02:10,0,0,0,0
2023-05-26T00:14:02,0,0,0,0
2023-05-26T00:25:42,0,0,0,0
2023-05-26T00:37:20,0,0,0,0
2023-05-26T00:48:59,0,0,0,0
2023-05-26T01:00:38,0,0,0,0
2023-05-26T01:12:17,0,0,0,0
2023-05-26T01:23:55,0,0,0,0
2023-05-26T01:35:34,0,0,0,0
2023-05-26T01:47:22,0,0,0,0
2023-05-26T01:59:02,0,0,0,0
2023-05-26T02:10:42,0,0,0,0
2023-05-26T02:22:19,0,0,0,0
2023-05-26T02:33:57,0,0,0,0
2023-05-26T02:45:46,0,0,0,0
2023-05-26T02:57:26,0,0,0,0
2023-05-26T03:09:06,0,0,0,0
