time,enrolled,available,waitlisted,total
2023-08-22T08:40:17,0,15,0,15
2023-08-22T08:53:04,0,15,0,15
2023-08-22T09:05:58,0,15,0,15
2023-08-22T09:18:40,0,15,0,15
2023-08-22T09:31:23,0,15,0,15
2023-08-22T09:44:08,0,15,0,15
2023-08-22T09:56:50,0,15,0,15
2023-08-22T10:09:34,0,15,0,15
2023-08-22T10:22:17,0,15,0,15
2023-08-22T10:35:01,0,15,0,15
2023-08-22T10:47:45,0,15,0,15
2023-08-22T11:00:28,0,15,0,15
2023-08-22T11:13:23,0,15,0,15
2023-08-22T11:26:06,0,15,0,15
2023-08-22T11:38:50,0,15,0,15
2023-08-22T11:51:33,0,15,0,15
2023-08-22T12:04:16,0,15,0,15
2023-08-22T12:17:00,0,15,0,15
2023-08-22T12:29:43,0,15,0,15
2023-08-22T12:42:28,0,15,0,15
2023-08-22T12:55:23,0,15,0,15
2023-08-22T13:08:07,0,15,0,15
2023-08-22T13:20:49,0,15,0,15
2023-08-22T13:33:32,0,15,0,15
2023-08-22T13:46:18,0,15,0,15
2023-08-22T13:59:02,0,15,0,15
2023-08-22T14:11:58,0,15,0,15
2023-08-22T14:24:41,0,15,0,15
2023-08-22T14:37:24,0,15,0,15
2023-08-22T14:50:08,0,15,0,15
2023-08-22T15:02:52,0,15,0,15
2023-08-22T15:15:36,0,15,0,15
2023-08-22T15:28:20,0,15,0,15
2023-08-22T15:41:13,0,15,0,15
2023-08-22T15:53:56,0,15,0,15
2023-08-22T16:06:40,0,15,0,15
2023-08-22T16:19:23,0,15,0,15
2023-08-22T16:32:06,0,15,0,15
2023-08-22T16:44:49,0,15,0,15
2023-08-22T16:57:33,0,15,0,15
2023-08-22T17:10:19,0,15,0,15
2023-08-22T17:23:03,0,15,0,15
2023-08-22T17:35:58,0,15,0,15
2023-08-22T17:48:42,0,15,0,15
2023-08-22T18:01:25,0,15,0,15
2023-08-22T18:14:08,0,15,0,15
2023-08-22T18:26:51,0,15,0,15
2023-08-22T18:39:35,0,15,0,15
2023-08-22T18:52:19,0,15,0,15
2023-08-22T19:05:05,0,15,0,15
2023-08-22T19:17:48,0,15,0,15
2023-08-22T19:30:32,0,15,0,15
2023-08-22T19:43:26,0,15,0,15
2023-08-22T19:56:08,0,15,0,15
2023-08-22T20:08:51,0,15,0,15
2023-08-22T20:21:35,0,15,0,15
2023-08-22T20:34:18,0,15,0,15
2023-08-22T20:47:01,0,15,0,15
2023-08-22T20:59:55,0,15,0,15
2023-08-22T21:12:39,0,15,0,15
2023-08-22T21:25:22,0,15,0,15
2023-08-22T21:38:06,0,15,0,15
2023-08-22T21:50:50,0,15,0,15
2023-08-22T22:03:33,0,15,0,15
2023-08-22T22:16:16,0,15,0,15
2023-08-22T22:28:59,0,15,0,15
2023-08-22T22:41:43,0,15,0,15
2023-08-22T22:54:37,0,15,0,15
2023-08-22T23:07:23,0,15,0,15
2023-08-22T23:20:07,0,15,0,15
2023-08-22T23:32:51,0,15,0,15
2023-08-22T23:45:34,0,15,0,15
2023-08-22T23:58:18,0,15,0,15
2023-08-23T00:11:03,0,15,0,15
2023-08-23T00:23:49,0,15,0,15
2023-08-23T00:36:36,0,15,0,15
2023-08-23T00:49:24,0,15,0,15
2023-08-23T01:02:11,0,15,0,15
2023-08-23T01:14:59,0,15,0,15
2023-08-23T01:27:52,0,15,0,15
2023-08-23T01:40:40,0,15,0,15
2023-08-23T01:53:28,0,15,0,15
2023-08-23T02:06:15,0,15,0,15
2023-08-23T02:19:09,0,15,0,15
2023-08-23T02:31:54,0,15,0,15
2023-08-23T02:44:50,0,15,0,15
2023-08-23T02:57:43,0,15,0,15
2023-08-23T03:10:41,0,15,0,15
2023-08-23T03:23:28,0,15,0,15
2023-08-23T03:36:26,0,15,0,15
2023-08-23T03:49:12,0,15,0,15
2023-08-23T04:01:59,0,15,0,15
2023-08-23T04:14:46,0,15,0,15
2023-08-23T04:27:17,0,15,0,15
2023-08-23T04:40:06,0,15,0,15
2023-08-23T04:54:33,0,15,0,15
2023-08-23T05:07:22,0,15,0,15
2023-08-23T05:20:12,0,15,0,15
2023-08-23T05:33:07,0,15,0,15
2023-08-23T05:45:54,0,15,0,15
2023-08-23T05:58:41,0,15,0,15
2023-08-23T06:11:29,0,15,0,15
2023-08-23T06:24:24,0,15,0,15
2023-08-23T06:37:11,0,15,0,15
2023-08-23T06:49:57,0,15,0,15
2023-08-23T07:02:44,0,15,0,15
2023-08-23T07:15:38,0,15,0,15
2023-08-23T07:28:22,0,15,0,15
2023-08-23T07:41:06,0,15,0,15
2023-08-23T07:53:50,0,15,0,15
2023-08-23T08:06:33,0,15,0,15
2023-08-23T08:19:16,0,15,0,15
2023-08-23T08:32:00,0,15,0,15
2023-08-23T08:44:43,0,15,0,15
2023-08-23T08:57:37,0,15,0,15
2023-08-23T09:10:22,0,15,0,15
2023-08-23T09:23:05,0,15,0,15
2023-08-23T09:35:50,0,15,0,15
2023-08-23T09:48:32,0,15,0,15
2023-08-23T10:01:15,0,15,0,15
2023-08-23T10:13:58,0,15,0,15
2023-08-23T10:26:41,0,15,0,15
2023-08-23T10:39:25,0,15,0,15
2023-08-23T10:52:08,0,15,0,15
2023-08-23T11:05:04,0,15,0,15
2023-08-23T11:17:47,0,15,0,15
2023-08-23T11:30:39,0,15,0,15
2023-08-23T11:43:23,0,15,0,15
2023-08-23T11:56:07,0,15,0,15
2023-08-23T12:08:51,0,15,0,15
2023-08-23T12:21:35,0,15,0,15
2023-08-23T12:34:20,0,15,0,15
2023-08-23T12:47:17,0,15,0,15
2023-08-23T13:00:01,0,15,0,15
2023-08-23T13:12:45,0,15,0,15
2023-08-23T13:25:29,0,15,0,15
2023-08-23T13:38:12,0,15,0,15
2023-08-23T13:50:56,0,15,0,15
2023-08-23T14:03:40,0,15,0,15
2023-08-23T14:16:25,0,15,0,15
2023-08-23T14:29:09,0,15,0,15
2023-08-23T14:42:03,0,15,0,15
2023-08-23T14:54:48,0,15,0,15
2023-08-23T15:07:32,0,15,0,15
2023-08-23T15:20:16,0,15,0,15
2023-08-23T15:33:01,0,15,0,15
2023-08-23T15:45:45,0,15,0,15
2023-08-23T15:58:30,0,15,0,15
2023-08-23T16:11:14,0,15,0,15
2023-08-23T16:24:10,0,15,0,15
2023-08-23T16:36:55,0,15,0,15
