time,enrolled,available,waitlisted,total
2023-05-25T01:16:45,0,75,0,75
2023-05-25T01:28:22,0,75,0,75
2023-05-25T01:39:56,0,75,0,75
2023-05-25T01:51:41,0,75,0,75
2023-05-25T02:03:17,0,75,0,75
2023-05-25T02:14:53,0,75,0,75
2023-05-25T02:26:29,0,75,0,75
2023-05-25T02:38:02,0,75,0,75
2023-05-25T02:49:36,0,75,0,75
2023-05-25T03:01:08,0,75,0,75
2023-05-25T03:12:45,0,75,0,75
2023-05-25T03:24:44,0,75,0,75
2023-05-25T03:36:22,0,75,0,75
2023-05-25T03:47:58,0,75,0,75
2023-05-25T03:59:33,0,75,0,75
2023-05-25T04:18:56,0,75,0,75
2023-05-25T04:30:57,0,75,0,75
2023-05-25T04:42:33,0,75,0,75
2023-05-25T04:54:09,0,75,0,75
2023-05-25T05:05:46,0,75,0,75
2023-05-25T05:17:22,0,75,0,75
2023-05-25T05:28:59,0,75,0,75
2023-05-25T05:40:35,0,75,0,75
2023-05-25T05:52:11,0,75,0,75
2023-05-25T06:03:48,0,75,0,75
2023-05-25T06:15:23,0,75,0,75
2023-05-25T06:26:58,0,75,0,75
2023-05-25T06:38:33,0,75,0,75
2023-05-25T06:50:08,0,75,0,75
2023-05-25T07:01:44,0,75,0,75
2023-05-25T07:13:19,0,75,0,75
2023-05-25T07:24:53,0,75,0,75
2023-05-25T07:36:27,0,75,0,75
2023-05-25T07:48:05,0,75,0,75
2023-05-25T07:59:40,0,75,0,75
2023-05-25T08:11:14,0,75,0,75
2023-05-25T08:22:58,0,75,0,75
2023-05-25T08:34:32,0,75,0,75
2023-05-25T08:46:05,0,75,0,75
2023-05-25T08:57:37,0,75,0,75
2023-05-25T09:09:11,0,75,0,75
2023-05-25T09:20:44,0,75,0,75
2023-05-25T09:32:16,0,75,0,75
2023-05-25T09:43:49,0,75,0,75
2023-05-25T09:55:22,0,75,0,75
2023-05-25T10:06:55,0,75,0,75
2023-05-25T10:18:40,0,75,0,75
2023-05-25T10:30:13,0,75,0,75
2023-05-25T10:41:45,0,75,0,75
2023-05-25T10:53:28,0,75,0,75
2023-05-25T11:05:00,0,75,0,75
2023-05-25T11:16:33,0,75,0,75
2023-05-25T11:28:06,0,75,0,75
2023-05-25T11:39:38,0,75,0,75
2023-05-25T11:51:12,0,75,0,75
2023-05-25T12:02:56,0,75,0,75
2023-05-25T12:14:29,0,75,0,75
2023-05-25T12:26:01,0,75,0,75
2023-05-25T12:37:34,0,75,0,75
2023-05-25T12:49:07,0,75,0,75
2023-05-25T13:00:50,0,75,0,75
2023-05-25T13:12:23,0,75,0,75
2023-05-25T13:23:56,0,75,0,75
2023-05-25T13:35:29,0,75,0,75
2023-05-25T13:47:02,0,75,0,75
2023-05-25T13:58:36,0,75,0,75
2023-05-25T14:10:20,0,75,0,75
2023-05-25T14:21:53,0,75,0,75
2023-05-25T14:33:26,0,75,0,75
2023-05-25T14:44:59,0,75,0,75
2023-05-25T14:56:33,0,75,0,75
2023-05-25T15:08:17,0,75,0,75
2023-05-25T15:19:52,0,75,0,75
2023-05-25T15:31:26,0,75,0,75
2023-05-25T15:43:01,0,75,0,75
2023-05-25T15:54:35,0,75,0,75
2023-05-25T16:06:20,0,75,0,75
2023-05-25T16:17:55,0,75,0,75
2023-05-25T16:29:31,0,75,0,75
2023-05-25T16:41:06,0,75,0,75
2023-05-25T16:52:41,0,75,0,75
2023-05-25T17:04:17,0,75,0,75
2023-05-25T17:16:05,0,75,0,75
2023-05-25T17:27:41,0,75,0,75
2023-05-25T17:39:16,0,75,0,75
2023-05-25T17:50:52,0,75,0,75
2023-05-25T18:02:28,0,75,0,75
2023-05-25T18:14:04,0,75,0,75
2023-05-25T18:25:40,0,75,0,75
2023-05-25T18:37:25,0,75,0,75
2023-05-25T18:49:00,0,75,0,75
2023-05-25T19:00:37,0,75,0,75
2023-05-25T19:12:13,0,75,0,75
2023-05-25T19:23:49,0,75,0,75
2023-05-25T19:35:24,0,75,0,75
2023-05-25T19:47:01,0,75,0,75
2023-05-25T19:58:46,0,75,0,75
2023-05-25T20:10:22,0,75,0,75
2023-05-25T20:21:58,0,75,0,75
2023-05-25T20:33:34,0,75,0,75
2023-05-25T20:45:09,0,75,0,75
2023-05-25T20:56:45,0,75,0,75
2023-05-25T21:08:20,0,75,0,75
2023-05-25T21:20:07,0,75,0,75
2023-05-25T21:31:44,0,75,0,75
2023-05-25T21:43:19,0,75,0,75
2023-05-25T21:54:55,0,75,0,75
2023-05-25T22:06:30,0,75,0,75
2023-05-25T22:18:05,0,75,0,75
2023-05-25T22:29:41,0,75,0,75
2023-05-25T22:41:17,0,75,0,75
2023-05-25T22:53:03,0,75,0,75
2023-05-25T23:04:41,0,75,0,75
2023-05-25T23:16:16,0,75,0,75
2023-05-25T23:27:52,0,75,0,75
2023-05-25T23:39:28,0,75,0,75
2023-05-25T23:51:05,0,75,0,75
2023-05-26T00:02:48,1,74,0,75
2023-05-26T00:14:39,1,74,0,75
2023-05-26T00:26:19,1,74,0,75
2023-05-26T00:37:58,1,74,0,75
2023-05-26T00:49:36,1,74,0,75
2023-05-26T01:01:15,1,74,0,75
2023-05-26T01:12:55,2,73,0,75
2023-05-26T01:24:33,2,73,0,75
2023-05-26T01:36:11,2,73,0,75
2023-05-26T01:47:59,2,73,0,75
2023-05-26T01:59:39,2,73,0,75
2023-05-26T02:11:19,2,73,0,75
2023-05-26T02:22:56,2,73,0,75
2023-05-26T02:34:34,2,73,0,75
2023-05-26T02:46:23,2,73,0,75
2023-05-26T02:58:03,2,73,0,75
2023-05-26T03:09:43,2,73,0,75
2023-05-26T03:21:24,2,73,0,75
2023-05-26T03:33:03,2,73,0,75
2023-05-26T03:44:41,2,73,0,75
2023-05-26T03:56:20,2,73,0,75
2023-05-26T04:08:08,2,73,0,75
2023-05-26T04:30:07,2,73,0,75
2023-05-26T04:42:11,2,73,0,75
2023-05-26T04:53:52,2,73,0,75
2023-05-26T05:05:34,2,73,0,75
2023-05-26T05:17:14,2,73,0,75
2023-05-26T05:28:52,2,73,0,75
2023-05-26T05:40:31,2,73,0,75
2023-05-26T05:52:10,2,73,0,75
2023-05-26T06:03:48,2,73,0,75
2023-05-26T06:15:28,2,73,0,75
2023-05-26T06:27:07,2,73,0,75
2023-05-26T06:38:46,2,73,0,75
2023-05-26T06:50:24,2,73,0,75
2023-05-26T07:02:02,2,73,0,75
2023-05-26T07:13:41,2,73,0,75
2023-05-26T07:25:19,2,73,0,75
2023-05-26T07:37:04,2,73,0,75
2023-05-26T07:48:42,2,73,0,75
2023-05-26T08:00:19,2,73,0,75
2023-05-26T08:11:55,2,73,0,75
2023-05-26T08:23:31,2,73,0,75
2023-05-26T08:35:07,2,73,0,75
2023-05-26T08:46:43,2,73,0,75
2023-05-26T08:58:19,2,73,0,75
2023-05-26T09:09:55,2,73,0,75
2023-05-26T09:21:32,2,73,0,75
2023-05-26T09:33:19,2,73,0,75
2023-05-26T09:44:56,2,73,0,75
2023-05-26T09:56:31,2,73,0,75
2023-05-26T10:08:08,2,73,0,75
2023-05-26T10:19:44,3,72,0,75
2023-05-26T10:31:21,3,72,0,75
2023-05-26T10:43:08,3,72,0,75
2023-05-26T10:54:45,3,72,0,75
2023-05-26T11:06:21,3,72,0,75
2023-05-26T11:17:58,3,72,0,75
2023-05-26T11:29:34,3,72,0,75
2023-05-26T11:41:21,3,72,0,75
2023-05-26T11:52:56,3,72,0,75
2023-05-26T12:04:32,3,72,0,75
2023-05-26T12:16:09,3,72,0,75
2023-05-26T12:27:45,3,72,0,75
2023-05-26T12:39:32,3,72,0,75
2023-05-26T12:51:08,3,72,0,75
2023-05-26T13:02:44,3,72,0,75
2023-05-26T13:14:20,3,72,0,75
2023-05-26T13:25:56,3,72,0,75
2023-05-26T13:37:42,3,72,0,75
2023-05-26T13:49:18,3,72,0,75
2023-05-26T14:00:54,3,72,0,75
2023-05-26T14:12:30,3,72,0,75
2023-05-26T14:24:17,3,72,0,75
2023-05-26T14:35:53,3,72,0,75
2023-05-26T14:47:29,3,72,0,75
2023-05-26T14:59:05,3,72,0,75
2023-05-26T15:10:43,3,72,0,75
2023-05-26T15:22:19,3,72,0,75
2023-05-26T15:34:05,3,72,0,75
2023-05-26T15:45:41,3,72,0,75
2023-05-26T15:57:17,3,72,0,75
2023-05-26T16:08:53,3,72,0,75
2023-05-26T16:20:29,3,72,0,75
2023-05-26T16:32:14,3,72,0,75
2023-05-26T16:43:50,3,72,0,75
2023-05-26T16:55:26,3,72,0,75
2023-05-26T17:07:02,3,72,0,75
2023-05-26T17:18:39,3,72,0,75
2023-05-26T17:30:14,3,72,0,75
