time,enrolled,available,waitlisted,total
2023-05-25T01:16:58,0,0,0,0
2023-05-25T01:28:34,0,0,0,0
2023-05-25T01:40:09,0,0,0,0
2023-05-25T01:51:54,0,0,0,0
2023-05-25T02:03:29,0,0,0,0
2023-05-25T02:15:05,0,0,0,0
2023-05-25T02:26:41,0,0,0,0
2023-05-25T02:38:14,0,0,0,0
2023-05-25T02:49:48,0,0,0,0
2023-05-25T03:01:21,0,0,0,0
2023-05-25T03:12:58,0,0,0,0
2023-05-25T03:24:57,0,0,0,0
2023-05-25T03:36:34,0,0,0,0
2023-05-25T03:48:10,0,0,0,0
2023-05-25T03:59:46,0,0,0,0
2023-05-25T04:19:09,0,0,0,0
2023-05-25T04:31:09,0,0,0,0
2023-05-25T04:42:46,0,0,0,0
2023-05-25T04:54:22,0,0,0,0
2023-05-25T05:05:58,0,0,0,0
2023-05-25T05:17:35,0,0,0,0
2023-05-25T05:29:11,0,0,0,0
2023-05-25T05:40:47,0,0,0,0
2023-05-25T05:52:23,0,0,0,0
2023-05-25T06:04:00,0,0,0,0
2023-05-25T06:15:35,0,0,0,0
2023-05-25T06:27:10,0,0,0,0
2023-05-25T06:38:45,0,0,0,0
2023-05-25T06:50:21,0,0,0,0
2023-05-25T07:01:56,0,0,0,0
2023-05-25T07:13:31,0,0,0,0
2023-05-25T07:25:06,0,0,0,0
2023-05-25T07:36:39,0,0,0,0
2023-05-25T07:48:17,0,0,0,0
2023-05-25T07:59:52,0,0,0,0
2023-05-25T08:11:26,0,0,0,0
2023-05-25T08:23:11,0,0,0,0
2023-05-25T08:34:45,0,0,0,0
2023-05-25T08:46:17,0,0,0,0
2023-05-25T08:57:50,0,0,0,0
2023-05-25T09:09:23,0,0,0,0
2023-05-25T09:20:56,0,0,0,0
2023-05-25T09:32:29,0,0,0,0
2023-05-25T09:44:01,0,0,0,0
2023-05-25T09:55:34,0,0,0,0
2023-05-25T10:07:08,0,0,0,0
2023-05-25T10:18:52,0,0,0,0
2023-05-25T10:30:25,0,0,0,0
2023-05-25T10:41:57,0,0,0,0
2023-05-25T10:53:40,0,0,0,0
2023-05-25T11:05:13,0,0,0,0
2023-05-25T11:16:46,0,0,0,0
2023-05-25T11:28:18,0,0,0,0
2023-05-25T11:39:51,0,0,0,0
2023-05-25T11:51:24,0,0,0,0
2023-05-25T12:03:08,0,0,0,0
2023-05-25T12:14:41,0,0,0,0
2023-05-25T12:26:14,0,0,0,0
2023-05-25T12:37:47,0,0,0,0
2023-05-25T12:49:19,0,0,0,0
2023-05-25T13:01:03,0,0,0,0
2023-05-25T13:12:35,0,0,0,0
2023-05-25T13:24:08,0,0,0,0
2023-05-25T13:35:41,0,0,0,0
2023-05-25T13:47:14,0,0,0,0
2023-05-25T13:58:48,0,0,0,0
2023-05-25T14:10:33,0,0,0,0
2023-05-25T14:22:06,0,0,0,0
2023-05-25T14:33:39,0,0,0,0
2023-05-25T14:45:12,0,0,0,0
2023-05-25T14:56:45,0,0,0,0
2023-05-25T15:08:29,0,0,0,0
2023-05-25T15:20:04,0,0,0,0
2023-05-25T15:31:38,0,0,0,0
2023-05-25T15:43:13,0,0,0,0
2023-05-25T15:54:47,0,0,0,0
2023-05-25T16:06:33,0,0,0,0
2023-05-25T16:18:08,0,0,0,0
2023-05-25T16:29:43,0,0,0,0
2023-05-25T16:41:18,0,0,0,0
2023-05-25T16:52:53,0,0,0,0
2023-05-25T17:04:30,0,0,0,0
2023-05-25T17:16:17,0,0,0,0
2023-05-25T17:27:53,0,0,0,0
2023-05-25T17:39:28,0,0,0,0
2023-05-25T17:51:04,0,0,0,0
2023-05-25T18:02:40,0,0,0,0
2023-05-25T18:14:17,0,0,0,0
2023-05-25T18:25:52,0,0,0,0
2023-05-25T18:37:37,0,0,0,0
2023-05-25T18:49:13,0,0,0,0
2023-05-25T19:00:49,0,0,0,0
2023-05-25T19:12:26,0,0,0,0
2023-05-25T19:24:01,0,0,0,0
2023-05-25T19:35:37,0,0,0,0
2023-05-25T19:47:13,0,0,0,0
2023-05-25T19:58:58,0,0,0,0
2023-05-25T20:10:34,0,0,0,0
2023-05-25T20:22:10,0,0,0,0
2023-05-25T20:33:46,0,0,0,0
2023-05-25T20:45:22,0,0,0,0
2023-05-25T20:56:57,0,0,0,0
2023-05-25T21:08:33,0,0,0,0
2023-05-25T21:20:20,0,0,0,0
2023-05-25T21:31:56,0,0,0,0
2023-05-25T21:43:32,0,0,0,0
2023-05-25T21:55:07,0,0,0,0
2023-05-25T22:06:43,0,0,0,0
2023-05-25T22:18:18,0,0,0,0
2023-05-25T22:29:53,0,0,0,0
2023-05-25T22:41:29,0,0,0,0
2023-05-25T22:53:15,0,0,0,0
2023-05-25T23:04:53,0,0,0,0
2023-05-25T23:16:29,0,0,0,0
2023-05-25T23:28:05,0,0,0,0
2023-05-25T23:39:41,0,0,0,0
2023-05-25T23:51:17,0,0,0,0
2023-05-26T00:03:00,0,0,0,0
2023-05-26T00:14:52,0,0,0,0
2023-05-26T00:26:31,0,0,0,0
2023-05-26T00:38:10,0,0,0,0
2023-05-26T00:49:49,0,0,0,0
2023-05-26T01:01:28,0,0,0,0
2023-05-26T01:13:07,0,0,0,0
2023-05-26T01:24:45,0,0,0,0
2023-05-26T01:36:23,0,0,0,0
2023-05-26T01:48:11,0,0,0,0
2023-05-26T01:59:52,0,0,0,0
2023-05-26T02:11:31,0,0,0,0
2023-05-26T02:23:09,0,0,0,0
2023-05-26T02:34:46,0,0,0,0
2023-05-26T02:46:35,0,0,0,0
2023-05-26T02:58:15,0,0,0,0
2023-05-26T03:09:56,0,0,0,0
2023-05-26T03:21:37,0,0,0,0
2023-05-26T03:33:15,0,0,0,0
2023-05-26T03:44:54,0,0,0,0
2023-05-26T03:56:32,0,0,0,0
2023-05-26T04:08:21,0,0,0,0
2023-05-26T04:30:20,0,0,0,0
2023-05-26T04:42:23,0,0,0,0
2023-05-26T04:54:05,0,0,0,0
2023-05-26T05:05:46,0,0,0,0
2023-05-26T05:17:26,0,0,0,0
2023-05-26T05:29:05,0,0,0,0
2023-05-26T05:40:44,0,0,0,0
2023-05-26T05:52:23,0,0,0,0
2023-05-26T06:04:01,0,0,0,0
2023-05-26T06:15:40,0,0,0,0
2023-05-26T06:27:19,0,0,0,0
2023-05-26T06:38:58,0,0,0,0
2023-05-26T06:50:37,0,0,0,0
2023-05-26T07:02:14,0,0,0,0
2023-05-26T07:13:53,0,0,0,0
2023-05-26T07:25:32,0,0,0,0
2023-05-26T07:37:17,0,0,0,0
2023-05-26T07:48:54,0,0,0,0
2023-05-26T08:00:31,0,0,0,0
2023-05-26T08:12:07,0,0,0,0
2023-05-26T08:23:43,0,0,0,0
2023-05-26T08:35:19,0,0,0,0
2023-05-26T08:46:55,0,0,0,0
2023-05-26T08:58:31,0,0,0,0
2023-05-26T09:10:08,0,0,0,0
2023-05-26T09:21:44,0,0,0,0
2023-05-26T09:33:32,0,0,0,0
2023-05-26T09:45:08,0,0,0,0
2023-05-26T09:56:44,0,0,0,0
2023-05-26T10:08:20,0,0,0,0
2023-05-26T10:19:56,0,0,0,0
2023-05-26T10:31:33,0,0,0,0
2023-05-26T10:43:21,0,0,0,0
2023-05-26T10:54:57,0,0,0,0
2023-05-26T11:06:33,0,0,0,0
2023-05-26T11:18:10,0,0,0,0
2023-05-26T11:29:46,0,0,0,0
2023-05-26T11:41:33,0,0,0,0
2023-05-26T11:53:09,0,0,0,0
2023-05-26T12:04:45,0,0,0,0
2023-05-26T12:16:21,0,0,0,0
2023-05-26T12:27:57,0,0,0,0
2023-05-26T12:39:44,0,0,0,0
2023-05-26T12:51:20,0,0,0,0
2023-05-26T13:02:57,0,0,0,0
2023-05-26T13:14:32,0,0,0,0
2023-05-26T13:26:08,0,0,0,0
2023-05-26T13:37:55,0,0,0,0
2023-05-26T13:49:30,0,0,0,0
2023-05-26T14:01:06,0,0,0,0
2023-05-26T14:12:42,0,0,0,0
2023-05-26T14:24:29,0,0,0,0
2023-05-26T14:36:05,0,0,0,0
2023-05-26T14:47:41,0,0,0,0
2023-05-26T14:59:17,0,0,0,0
2023-05-26T15:10:56,0,0,0,0
2023-05-26T15:22:31,0,0,0,0
2023-05-26T15:34:18,0,0,0,0
2023-05-26T15:45:53,0,0,0,0
2023-05-26T15:57:30,0,0,0,0
2023-05-26T16:09:05,0,0,0,0
2023-05-26T16:20:41,0,0,0,0
2023-05-26T16:32:27,0,0,0,0
2023-05-26T16:44:03,0,0,0,0
2023-05-26T16:55:38,0,0,0,0
2023-05-26T17:07:14,0,0,0,0
2023-05-26T17:18:51,0,0,0,0
2023-05-26T17:30:27,0,0,0,0
2023-05-26T17:42:12,0,0,0,0
2023-05-26T17:53:48,0,0,0,0
2023-05-26T18:05:24,0,0,0,0
2023-05-26T18:16:59,0,0,0,0
2023-05-26T18:28:35,0,0,0,0
2023-05-26T18:40:11,0,0,0,0
2023-05-26T18:51:57,0,0,0,0
2023-05-26T19:03:33,0,0,0,0
2023-05-26T19:15:09,0,0,0,0
2023-05-26T19:26:45,0,0,0,0
2023-05-26T19:38:21,0,0,0,0
2023-05-26T19:49:56,0,0,0,0
2023-05-26T20:01:32,0,0,0,0
2023-05-26T20:13:17,0,0,0,0
2023-05-26T20:24:53,0,0,0,0
2023-05-26T20:36:29,0,0,0,0
2023-05-26T20:48:04,0,0,0,0
2023-05-26T20:59:39,0,0,0,0
2023-05-26T21:11:16,0,0,0,0
2023-05-26T21:22:53,0,0,0,0
2023-05-26T21:34:28,0,0,0,0
2023-05-26T21:46:15,0,0,0,0
2023-05-26T21:57:51,0,0,0,0
2023-05-26T22:09:27,0,0,0,0
2023-05-26T22:21:03,0,0,0,0
2023-05-26T22:32:39,0,0,0,0
2023-05-26T22:44:15,0,0,0,0
2023-05-26T22:55:50,0,0,0,0
2023-05-26T23:07:30,0,0,0,0
2023-05-26T23:19:16,0,0,0,0
2023-05-26T23:30:52,0,0,0,0
2023-05-26T23:42:29,0,0,0,0
2023-05-26T23:54:05,0,0,0,0
2023-05-27T00:05:42,0,0,0,0
2023-05-27T00:17:22,0,0,0,0
2023-05-27T00:29:01,0,0,0,0
2023-05-27T00:40:40,0,0,0,0
2023-05-27T00:52:19,0,0,0,0
2023-05-27T01:03:58,0,0,0,0
2023-05-27T01:15:47,0,0,0,0
2023-05-27T01:27:25,0,0,0,0
2023-05-27T01:39:04,0,0,0,0
2023-05-27T01:50:44,0,0,0,0
2023-05-27T02:02:22,0,0,0,0
2023-05-27T02:14:00,0,0,0,0
2023-05-27T02:25:37,0,0,0,0
2023-05-27T02:37:15,0,0,0,0
2023-05-27T02:48:50,0,0,0,0
2023-05-27T03:00:26,0,0,0,0
2023-05-27T03:12:04,0,0,0,0
2023-05-27T03:23:42,0,0,0,0
2023-05-27T03:35:19,0,0,0,0
2023-05-27T03:46:57,0,0,0,0
2023-05-27T03:58:35,0,0,0,0
2023-05-27T04:10:28,0,0,0,0
2023-05-27T04:31:49,0,0,0,0
2023-05-27T04:45:00,0,0,0,0
2023-05-27T04:56:40,0,0,0,0
2023-05-27T05:08:19,0,0,0,0
2023-05-27T05:19:58,0,0,0,0
2023-05-27T05:31:37,0,0,0,0
2023-05-27T05:43:18,0,0,0,0
2023-05-27T05:54:56,0,0,0,0
2023-05-27T06:06:34,0,0,0,0
2023-05-27T06:18:12,0,0,0,0
2023-05-27T06:29:54,0,0,0,0
2023-05-27T06:41:32,0,0,0,0
2023-05-27T06:53:11,0,0,0,0
2023-05-27T07:04:49,0,0,0,0
2023-05-27T07:16:27,0,0,0,0
2023-05-27T07:28:05,0,0,0,0
2023-05-27T07:39:42,0,0,0,0
2023-05-27T07:51:21,0,0,0,0
2023-05-27T08:03:10,0,0,0,0
2023-05-27T08:14:48,0,0,0,0
2023-05-27T08:26:26,0,0,0,0
2023-05-27T08:38:04,0,0,0,0
2023-05-27T08:49:43,0,0,0,0
2023-05-27T09:01:20,0,0,0,0
2023-05-27T09:12:58,0,0,0,0
2023-05-27T09:24:35,0,0,0,0
2023-05-27T09:36:15,0,0,0,0
2023-05-27T09:47:54,0,0,0,0
2023-05-27T09:59:30,0,0,0,0
2023-05-27T10:11:25,0,0,0,0
2023-05-27T10:23:01,0,0,0,0
2023-05-27T10:34:39,0,0,0,0
2023-05-27T10:46:16,0,0,0,0
2023-05-27T10:57:53,0,0,0,0
2023-05-27T11:09:28,0,0,0,0
2023-05-27T11:21:04,0,0,0,0
2023-05-27T11:32:39,0,0,0,0
2023-05-27T11:44:14,0,0,0,0
2023-05-27T11:55:49,0,0,0,0
2023-05-27T12:07:33,0,0,0,0
2023-05-27T12:19:08,0,0,0,0
2023-05-27T12:30:44,0,0,0,0
2023-05-27T12:42:19,0,0,0,0
2023-05-27T12:53:54,0,0,0,0
2023-05-27T13:05:30,0,0,0,0
2023-05-27T13:17:05,0,0,0,0
2023-05-27T13:28:40,0,0,0,0
2023-05-27T13:40:35,0,0,0,0
2023-05-27T13:52:10,0,0,0,0
2023-05-27T14:03:46,0,0,0,0
2023-05-27T14:15:21,0,0,0,0
2023-05-27T14:26:57,0,0,0,0
2023-05-27T14:38:32,0,0,0,0
2023-05-27T14:50:07,0,0,0,0
2023-05-27T15:01:53,0,0,0,0
2023-05-27T15:13:28,0,0,0,0
2023-05-27T15:25:03,0,0,0,0
2023-05-27T15:36:38,0,0,0,0
2023-05-27T15:48:13,0,0,0,0
2023-05-27T15:59:48,0,0,0,0
2023-05-27T16:11:23,0,0,0,0
2023-05-27T16:22:58,0,0,0,0
2023-05-27T16:34:43,0,0,0,0
2023-05-27T16:46:19,0,0,0,0
2023-05-27T16:57:54,0,0,0,0
2023-05-27T17:09:31,0,0,0,0
2023-05-27T17:21:08,0,0,0,0
2023-05-27T17:32:44,0,0,0,0
2023-05-27T17:44:29,0,0,0,0
2023-05-27T17:56:04,0,0,0,0
2023-05-27T18:07:39,0,0,0,0
2023-05-27T18:19:15,0,0,0,0
2023-05-27T18:30:51,0,0,0,0
2023-05-27T18:42:25,0,0,0,0
2023-05-27T18:54:00,0,0,0,0
2023-05-27T19:05:37,0,0,0,0
2023-05-27T19:17:32,0,0,0,0
2023-05-27T19:29:08,0,0,0,0
2023-05-27T19:40:44,0,0,0,0
2023-05-27T19:52:19,0,0,0,0
2023-05-27T20:03:54,0,0,0,0
2023-05-27T20:15:29,0,0,0,0
2023-05-27T20:27:05,0,0,0,0
2023-05-27T20:38:40,0,0,0,0
2023-05-27T20:50:25,0,0,0,0
2023-05-27T21:01:59,0,0,0,0
2023-05-27T21:13:35,0,0,0,0
2023-05-27T21:25:10,0,0,0,0
2023-05-27T21:36:46,0,0,0,0
2023-05-27T21:48:21,0,0,0,0
2023-05-27T21:59:57,0,0,0,0
2023-05-27T22:11:41,0,0,0,0
2023-05-27T22:23:17,0,0,0,0
2023-05-27T22:34:52,0,0,0,0
2023-05-27T22:46:28,0,0,0,0
2023-05-27T22:58:03,0,0,0,0
2023-05-27T23:09:43,0,0,0,0
2023-05-27T23:21:19,0,0,0,0
2023-05-27T23:32:55,0,0,0,0
2023-05-27T23:44:46,0,0,0,0
2023-05-27T23:56:21,0,0,0,0
2023-05-28T00:07:59,0,0,0,0
2023-05-28T00:19:40,0,0,0,0
2023-05-28T00:31:16,0,0,0,0
2023-05-28T00:42:55,0,0,0,0
2023-05-28T00:54:31,0,0,0,0
2023-05-28T01:06:08,0,0,0,0
2023-05-28T01:17:44,0,0,0,0
2023-05-28T01:29:20,0,0,0,0
2023-05-28T01:41:05,0,0,0,0
2023-05-28T01:52:41,0,0,0,0
2023-05-28T02:04:16,0,0,0,0
2023-05-28T02:15:52,0,0,0,0
2023-05-28T02:27:29,0,0,0,0
2023-05-28T02:39:08,0,0,0,0
2023-05-28T02:50:48,0,0,0,0
2023-05-28T03:02:30,0,0,0,0
2023-05-28T03:14:10,0,0,0,0
2023-05-28T03:25:49,0,0,0,0
2023-05-28T03:37:29,0,0,0,0
2023-05-28T03:50:15,0,0,0,0
2023-05-28T04:02:15,0,0,0,0
2023-05-28T04:13:53,0,0,0,0
2023-05-28T04:27:53,0,0,0,0
2023-05-28T04:40:50,0,0,0,0
2023-05-28T04:52:48,0,0,0,0
2023-05-28T05:04:28,0,0,0,0
2023-05-28T05:16:05,0,0,0,0
2023-05-28T05:27:44,0,0,0,0
2023-05-28T05:39:27,0,0,0,0
2023-05-28T05:51:07,0,0,0,0
2023-05-28T06:02:46,0,0,0,0
2023-05-28T06:14:25,0,0,0,0
2023-05-28T06:26:03,0,0,0,0
2023-05-28T06:37:42,0,0,0,0
2023-05-28T06:49:19,0,0,0,0
2023-05-28T07:00:58,0,0,0,0
2023-05-28T07:12:35,0,0,0,0
2023-05-28T07:24:14,0,0,0,0
2023-05-28T07:35:53,0,0,0,0
2023-05-28T07:47:30,0,0,0,0
2023-05-28T07:59:13,0,0,0,0
2023-05-28T08:10:52,0,0,0,0
2023-05-28T08:22:31,0,0,0,0
2023-05-28T08:34:08,0,0,0,0
2023-05-28T08:45:46,0,0,0,0
2023-05-28T08:57:26,0,0,0,0
2023-05-28T09:09:02,0,0,0,0
2023-05-28T09:20:47,0,0,0,0
2023-05-28T09:32:23,0,0,0,0
2023-05-28T09:43:59,0,0,0,0
2023-05-28T09:55:35,0,0,0,0
2023-05-28T10:07:11,0,0,0,0
2023-05-28T10:18:47,0,0,0,0
2023-05-28T10:30:23,0,0,0,0
2023-05-28T10:41:58,0,0,0,0
2023-05-28T10:53:34,0,0,0,0
2023-05-28T11:05:10,0,0,0,0
2023-05-28T11:16:46,0,0,0,0
2023-05-28T11:28:22,0,0,0,0
2023-05-28T11:39:58,0,0,0,0
2023-05-28T11:51:33,0,0,0,0
2023-05-28T12:03:18,0,0,0,0
2023-05-28T12:14:54,0,0,0,0
2023-05-28T12:26:30,0,0,0,0
2023-05-28T12:38:06,0,0,0,0
2023-05-28T12:49:41,0,0,0,0
2023-05-28T13:01:18,0,0,0,0
2023-05-28T13:12:53,0,0,0,0
2023-05-28T13:24:29,0,0,0,0
2023-05-28T13:36:04,0,0,0,0
2023-05-28T13:47:40,0,0,0,0
2023-05-28T13:59:15,0,0,0,0
2023-05-28T14:10:59,0,0,0,0
2023-05-28T14:22:35,0,0,0,0
2023-05-28T14:34:10,0,0,0,0
2023-05-28T14:45:45,0,0,0,0
2023-05-28T14:57:21,0,0,0,0
2023-05-28T15:08:57,0,0,0,0
2023-05-28T15:20:33,0,0,0,0
2023-05-28T15:32:08,0,0,0,0
2023-05-28T15:43:44,0,0,0,0
2023-05-28T15:55:19,0,0,0,0
2023-05-28T16:06:55,0,0,0,0
2023-05-28T16:18:41,0,0,0,0
2023-05-28T16:30:17,0,0,0,0
2023-05-28T16:41:53,0,0,0,0
2023-05-28T16:53:27,0,0,0,0
2023-05-28T17:05:03,0,0,0,0
2023-05-28T17:16:39,0,0,0,0
2023-05-28T17:28:15,0,0,0,0
2023-05-28T17:39:50,0,0,0,0
