time,enrolled,available,waitlisted,total
2023-05-25T01:17:08,0,150,0,150
2023-05-25T01:28:44,0,150,0,150
2023-05-25T01:40:19,0,150,0,150
2023-05-25T01:52:04,0,150,0,150
2023-05-25T02:03:39,0,150,0,150
2023-05-25T02:15:15,0,150,0,150
2023-05-25T02:26:51,0,150,0,150
2023-05-25T02:38:25,0,150,0,150
2023-05-25T02:49:58,0,150,0,150
2023-05-25T03:01:31,0,150,0,150
2023-05-25T03:13:08,0,150,0,150
2023-05-25T03:25:07,0,150,0,150
2023-05-25T03:36:45,0,150,0,150
2023-05-25T03:48:20,0,150,0,150
2023-05-25T03:59:56,0,150,0,150
2023-05-25T04:19:19,0,150,0,150
2023-05-25T04:31:20,0,150,0,150
2023-05-25T04:42:56,0,150,0,150
2023-05-25T04:54:32,0,150,0,150
2023-05-25T05:06:09,0,150,0,150
2023-05-25T05:17:45,0,150,0,150
2023-05-25T05:29:21,0,150,0,150
2023-05-25T05:40:58,0,150,0,150
2023-05-25T05:52:33,0,150,0,150
2023-05-25T06:04:11,0,150,0,150
2023-05-25T06:15:46,0,150,0,150
2023-05-25T06:27:21,0,150,0,150
2023-05-25T06:38:55,0,150,0,150
2023-05-25T06:50:31,0,150,0,150
2023-05-25T07:02:06,0,150,0,150
2023-05-25T07:13:42,0,150,0,150
2023-05-25T07:25:16,0,150,0,150
2023-05-25T07:36:49,0,150,0,150
2023-05-25T07:48:27,0,150,0,150
2023-05-25T08:00:02,0,150,0,150
2023-05-25T08:11:36,0,150,0,150
2023-05-25T08:23:21,0,150,0,150
2023-05-25T08:34:55,0,150,0,150
2023-05-25T08:46:28,0,150,0,150
2023-05-25T08:58:00,0,150,0,150
2023-05-25T09:09:34,0,150,0,150
2023-05-25T09:21:06,0,150,0,150
2023-05-25T09:32:39,0,150,0,150
2023-05-25T09:44:11,0,150,0,150
2023-05-25T09:55:44,0,150,0,150
2023-05-25T10:07:18,0,150,0,150
2023-05-25T10:19:02,0,150,0,150
2023-05-25T10:30:35,0,150,0,150
2023-05-25T10:42:08,0,150,0,150
2023-05-25T10:53:50,0,150,0,150
2023-05-25T11:05:23,0,150,0,150
2023-05-25T11:16:56,0,150,0,150
2023-05-25T11:28:28,0,150,0,150
2023-05-25T11:40:01,0,150,0,150
2023-05-25T11:51:34,0,150,0,150
2023-05-25T12:03:18,0,150,0,150
2023-05-25T12:14:51,0,150,0,150
2023-05-25T12:26:24,0,150,0,150
2023-05-25T12:37:57,0,150,0,150
2023-05-25T12:49:30,0,150,0,150
2023-05-25T13:01:13,0,150,0,150
2023-05-25T13:12:46,0,150,0,150
2023-05-25T13:24:18,0,150,0,150
2023-05-25T13:35:52,0,150,0,150
2023-05-25T13:47:25,0,150,0,150
2023-05-25T13:58:58,0,150,0,150
2023-05-25T14:10:43,0,150,0,150
2023-05-25T14:22:16,0,150,0,150
2023-05-25T14:33:49,0,150,0,150
2023-05-25T14:45:22,0,150,0,150
2023-05-25T14:56:56,0,150,0,150
2023-05-25T15:08:40,0,150,0,150
2023-05-25T15:20:14,0,150,0,150
2023-05-25T15:31:49,0,150,0,150
2023-05-25T15:43:23,0,150,0,150
2023-05-25T15:54:57,0,150,0,150
2023-05-25T16:06:43,0,150,0,150
2023-05-25T16:18:18,0,150,0,150
2023-05-25T16:29:53,0,150,0,150
2023-05-25T16:41:28,0,150,0,150
2023-05-25T16:53:04,0,150,0,150
2023-05-25T17:04:40,0,150,0,150
2023-05-25T17:16:28,0,150,0,150
2023-05-25T17:28:03,0,150,0,150
2023-05-25T17:39:38,0,150,0,150
2023-05-25T17:51:14,0,150,0,150
2023-05-25T18:02:51,0,150,0,150
2023-05-25T18:14:27,0,150,0,150
2023-05-25T18:26:02,0,150,0,150
2023-05-25T18:37:48,0,150,0,150
2023-05-25T18:49:23,0,150,0,150
2023-05-25T19:00:59,0,150,0,150
2023-05-25T19:12:36,0,150,0,150
2023-05-25T19:24:11,0,150,0,150
2023-05-25T19:35:47,0,150,0,150
2023-05-25T19:47:23,0,150,0,150
2023-05-25T19:59:09,0,150,0,150
2023-05-25T20:10:44,0,150,0,150
2023-05-25T20:22:20,0,150,0,150
2023-05-25T20:33:56,0,150,0,150
2023-05-25T20:45:32,0,150,0,150
2023-05-25T20:57:07,0,150,0,150
2023-05-25T21:08:43,0,150,0,150
2023-05-25T21:20:30,0,150,0,150
2023-05-25T21:32:06,0,150,0,150
2023-05-25T21:43:42,0,150,0,150
2023-05-25T21:55:17,0,150,0,150
2023-05-25T22:06:53,0,150,0,150
2023-05-25T22:18:28,0,150,0,150
2023-05-25T22:30:04,0,150,0,150
2023-05-25T22:41:39,0,150,0,150
2023-05-25T22:53:25,0,150,0,150
2023-05-25T23:05:03,0,150,0,150
2023-05-25T23:16:39,0,150,0,150
2023-05-25T23:28:15,0,150,0,150
2023-05-25T23:39:51,0,150,0,150
2023-05-25T23:51:27,0,150,0,150
2023-05-26T00:03:11,0,150,0,150
2023-05-26T00:15:02,0,150,0,150
2023-05-26T00:26:42,0,150,0,150
2023-05-26T00:38:20,0,150,0,150
2023-05-26T00:49:59,0,150,0,150
2023-05-26T01:01:38,0,150,0,150
2023-05-26T01:13:17,0,150,0,150
2023-05-26T01:24:55,0,150,0,150
2023-05-26T01:36:33,0,150,0,150
2023-05-26T01:48:21,0,150,0,150
2023-05-26T02:00:02,0,150,0,150
2023-05-26T02:11:42,0,150,0,150
2023-05-26T02:23:19,0,150,0,150
2023-05-26T02:34:57,0,150,0,150
2023-05-26T02:46:46,0,150,0,150
2023-05-26T02:58:26,0,150,0,150
2023-05-26T03:10:06,0,150,0,150
2023-05-26T03:21:47,0,150,0,150
2023-05-26T03:33:26,0,150,0,150
2023-05-26T03:45:04,0,150,0,150
2023-05-26T03:56:42,0,150,0,150
2023-05-26T04:08:31,0,150,0,150
2023-05-26T04:30:30,0,150,0,150
2023-05-26T04:42:34,0,150,0,150
2023-05-26T04:54:15,0,150,0,150
2023-05-26T05:05:56,0,150,0,150
2023-05-26T05:17:36,0,150,0,150
2023-05-26T05:29:15,0,150,0,150
2023-05-26T05:40:54,0,150,0,150
2023-05-26T05:52:33,0,150,0,150
2023-05-26T06:04:11,0,150,0,150
2023-05-26T06:15:51,0,150,0,150
2023-05-26T06:27:30,0,150,0,150
2023-05-26T06:39:08,0,150,0,150
2023-05-26T06:50:47,0,150,0,150
2023-05-26T07:02:25,0,150,0,150
2023-05-26T07:14:03,0,150,0,150
2023-05-26T07:25:42,0,150,0,150
2023-05-26T07:37:27,0,150,0,150
2023-05-26T07:49:04,0,150,0,150
2023-05-26T08:00:42,0,150,0,150
2023-05-26T08:12:17,0,150,0,150
2023-05-26T08:23:54,0,150,0,150
2023-05-26T08:35:30,0,150,0,150
2023-05-26T08:47:06,0,150,0,150
2023-05-26T08:58:42,0,150,0,150
2023-05-26T09:10:18,0,150,0,150
2023-05-26T09:21:55,0,150,0,150
2023-05-26T09:33:42,1,149,0,150
2023-05-26T09:45:18,1,149,0,150
2023-05-26T09:56:54,3,147,0,150
2023-05-26T10:08:30,3,147,0,150
2023-05-26T10:20:07,3,147,0,150
2023-05-26T10:31:43,3,147,0,150
2023-05-26T10:43:31,4,146,0,150
2023-05-26T10:55:07,4,146,0,150
2023-05-26T11:06:44,4,146,0,150
2023-05-26T11:18:20,4,146,0,150
2023-05-26T11:29:56,4,146,0,150
2023-05-26T11:41:43,4,146,0,150
2023-05-26T11:53:19,4,146,0,150
2023-05-26T12:04:55,5,145,0,150
2023-05-26T12:16:31,5,145,0,150
2023-05-26T12:28:07,5,145,0,150
2023-05-26T12:39:55,6,144,0,150
2023-05-26T12:51:31,7,143,0,150
2023-05-26T13:03:07,7,143,0,150
2023-05-26T13:14:42,7,143,0,150
2023-05-26T13:26:18,7,143,0,150
2023-05-26T13:38:05,7,143,0,150
2023-05-26T13:49:40,7,143,0,150
2023-05-26T14:01:16,7,143,0,150
2023-05-26T14:12:52,7,143,0,150
2023-05-26T14:24:39,7,143,0,150
2023-05-26T14:36:15,8,142,0,150
2023-05-26T14:47:52,9,141,0,150
2023-05-26T14:59:28,9,141,0,150
2023-05-26T15:11:06,9,141,0,150
2023-05-26T15:22:41,9,141,0,150
2023-05-26T15:34:28,9,141,0,150
2023-05-26T15:46:03,9,141,0,150
2023-05-26T15:57:40,9,141,0,150
2023-05-26T16:09:16,9,141,0,150
2023-05-26T16:20:51,9,141,0,150
2023-05-26T16:32:37,9,141,0,150
2023-05-26T16:44:13,9,141,0,150
2023-05-26T16:55:48,9,141,0,150
2023-05-26T17:07:25,9,141,0,150
2023-05-26T17:19:01,10,140,0,150
2023-05-26T17:30:37,10,140,0,150
2023-05-26T17:42:22,10,140,0,150
2023-05-26T17:53:58,12,138,0,150
2023-05-26T18:05:34,12,138,0,150
2023-05-26T18:17:09,12,138,0,150
2023-05-26T18:28:45,12,138,0,150
2023-05-26T18:40:21,12,138,0,150
2023-05-26T18:52:07,12,138,0,150
2023-05-26T19:03:43,12,138,0,150
2023-05-26T19:15:19,12,138,0,150
2023-05-26T19:26:56,12,138,0,150
2023-05-26T19:38:31,12,138,0,150
2023-05-26T19:50:06,13,137,0,150
2023-05-26T20:01:42,13,137,0,150
2023-05-26T20:13:28,14,136,0,150
2023-05-26T20:25:04,14,136,0,150
2023-05-26T20:36:39,14,136,0,150
2023-05-26T20:48:14,14,136,0,150
2023-05-26T20:59:50,14,136,0,150
