time,enrolled,available,waitlisted,total
2023-08-28T15:36:24,0,50,0,50
2023-08-28T15:49:11,0,50,0,50
2023-08-28T16:02:07,0,50,0,50
2023-08-28T16:14:55,0,50,0,50
2023-08-28T16:27:42,0,50,0,50
2023-08-28T16:40:29,0,50,0,50
2023-08-28T16:53:26,0,50,0,50
2023-08-28T17:06:14,0,50,0,50
2023-08-28T17:19:03,0,50,0,50
2023-08-28T17:31:49,0,50,0,50
2023-08-28T17:44:36,0,50,0,50
2023-08-28T17:57:35,0,50,0,50
2023-08-28T18:10:22,0,50,0,50
2023-08-28T18:23:09,0,50,0,50
2023-08-28T18:35:56,0,50,0,50
2023-08-28T18:48:43,0,50,0,50
2023-08-28T19:01:30,0,50,0,50
2023-08-28T19:14:28,0,50,0,50
2023-08-28T19:27:15,0,50,0,50
2023-08-28T19:40:03,0,50,0,50
2023-08-28T19:52:50,0,50,0,50
2023-08-28T20:05:38,0,50,0,50
2023-08-28T20:18:36,0,50,0,50
2023-08-28T20:31:22,0,50,0,50
2023-08-28T20:44:09,0,50,0,50
2023-08-28T20:56:56,0,50,0,50
2023-08-28T21:09:43,0,50,0,50
2023-08-28T21:22:41,0,50,0,50
2023-08-28T21:35:28,0,50,0,50
2023-08-28T21:48:15,0,50,0,50
2023-08-28T22:01:02,0,50,0,50
2023-08-28T22:13:49,0,50,0,50
2023-08-28T22:26:46,0,50,0,50
2023-08-28T22:39:33,0,50,0,50
2023-08-28T22:52:21,0,50,0,50
2023-08-28T23:05:08,0,50,0,50
2023-08-28T23:17:58,0,50,0,50
2023-08-28T23:30:56,0,50,0,50
2023-08-28T23:43:46,0,50,0,50
2023-08-28T23:56:33,0,50,0,50
2023-08-29T00:09:25,0,50,0,50
2023-08-29T00:22:29,0,50,0,50
2023-08-29T00:35:20,0,50,0,50
2023-08-29T00:48:08,0,50,0,50
2023-08-29T01:01:08,0,50,0,50
2023-08-29T01:13:58,0,50,0,50
2023-08-29T01:26:48,0,50,0,50
2023-08-29T01:39:38,0,50,0,50
2023-08-29T01:52:28,0,50,0,50
2023-08-29T02:05:17,0,50,0,50
2023-08-29T02:18:08,0,50,0,50
2023-08-29T02:30:59,0,50,0,50
2023-08-29T02:43:48,0,50,0,50
2023-08-29T02:56:46,0,50,0,50
2023-08-29T03:09:37,0,50,0,50
2023-08-29T03:22:28,0,50,0,50
2023-08-29T03:35:19,0,50,0,50
2023-08-29T03:48:10,0,50,0,50
2023-08-29T04:01:02,0,50,0,50
2023-08-29T04:26:48,0,50,0,50
2023-08-29T04:39:40,0,50,0,50
2023-08-29T04:54:11,0,50,0,50
2023-08-29T05:07:26,0,50,0,50
2023-08-29T05:20:18,0,50,0,50
2023-08-29T05:33:09,0,50,0,50
2023-08-29T05:46:01,0,50,0,50
2023-08-29T05:58:52,0,50,0,50
2023-08-29T06:11:43,0,50,0,50
2023-08-29T06:24:33,0,50,0,50
2023-08-29T06:37:27,0,50,0,50
2023-08-29T06:50:17,0,50,0,50
2023-08-29T07:03:11,0,50,0,50
2023-08-29T07:16:09,0,50,0,50
2023-08-29T07:28:59,0,50,0,50
2023-08-29T07:41:48,0,50,0,50
2023-08-29T07:54:37,0,50,0,50
2023-08-29T08:07:31,0,50,0,50
2023-08-29T08:20:25,0,50,0,50
2023-08-29T08:33:18,0,50,0,50
2023-08-29T08:46:23,0,50,0,50
