time,enrolled,available,waitlisted,total
2023-05-25T01:17:43,0,18,0,18
2023-05-25T01:29:20,0,18,0,18
2023-05-25T01:41:04,0,18,0,18
2023-05-25T01:52:39,0,18,0,18
2023-05-25T02:04:15,0,18,0,18
2023-05-25T02:15:51,0,18,0,18
2023-05-25T02:27:27,0,18,0,18
2023-05-25T02:39:00,0,18,0,18
2023-05-25T02:50:34,0,18,0,18
2023-05-25T03:02:06,0,18,0,18
2023-05-25T03:13:44,0,18,0,18
2023-05-25T03:25:43,0,18,0,18
2023-05-25T03:37:20,0,18,0,18
2023-05-25T03:48:56,0,18,0,18
2023-05-25T04:00:31,0,18,0,18
2023-05-25T04:19:55,0,18,0,18
2023-05-25T04:31:55,0,18,0,18
2023-05-25T04:43:32,0,18,0,18
2023-05-25T04:55:07,0,18,0,18
2023-05-25T05:06:44,0,18,0,18
2023-05-25T05:18:21,0,18,0,18
2023-05-25T05:29:57,0,18,0,18
2023-05-25T05:41:33,0,18,0,18
2023-05-25T05:53:09,0,18,0,18
2023-05-25T06:04:46,0,18,0,18
2023-05-25T06:16:21,0,18,0,18
2023-05-25T06:27:56,0,18,0,18
2023-05-25T06:39:31,0,18,0,18
2023-05-25T06:51:06,0,18,0,18
2023-05-25T07:02:42,0,18,0,18
2023-05-25T07:14:17,0,18,0,18
2023-05-25T07:25:51,0,18,0,18
2023-05-25T07:37:25,0,18,0,18
2023-05-25T07:49:03,0,18,0,18
2023-05-25T08:00:38,0,18,0,18
2023-05-25T08:12:12,0,18,0,18
2023-05-25T08:23:56,0,18,0,18
2023-05-25T08:35:30,0,18,0,18
2023-05-25T08:47:03,0,18,0,18
2023-05-25T08:58:36,0,18,0,18
2023-05-25T09:10:09,0,18,0,18
2023-05-25T09:21:42,0,18,0,18
2023-05-25T09:33:14,0,18,0,18
2023-05-25T09:44:47,0,18,0,18
2023-05-25T09:56:20,0,18,0,18
2023-05-25T10:07:53,0,18,0,18
2023-05-25T10:19:38,0,18,0,18
2023-05-25T10:31:10,0,18,0,18
2023-05-25T10:42:43,0,18,0,18
2023-05-25T10:54:26,0,18,0,18
2023-05-25T11:05:58,0,18,0,18
2023-05-25T11:17:31,0,18,0,18
2023-05-25T11:29:04,0,18,0,18
2023-05-25T11:40:36,0,18,0,18
2023-05-25T11:52:10,0,18,0,18
2023-05-25T12:03:54,0,18,0,18
2023-05-25T12:15:26,0,18,0,18
2023-05-25T12:26:59,0,18,0,18
2023-05-25T12:38:32,0,18,0,18
2023-05-25T12:50:05,0,18,0,18
2023-05-25T13:01:48,0,18,0,18
2023-05-25T13:13:21,0,18,0,18
2023-05-25T13:24:54,0,18,0,18
2023-05-25T13:36:27,0,18,0,18
2023-05-25T13:48:00,0,18,0,18
2023-05-25T13:59:34,0,18,0,18
2023-05-25T14:11:18,0,18,0,18
2023-05-25T14:22:51,0,18,0,18
2023-05-25T14:34:24,0,18,0,18
2023-05-25T14:45:57,0,18,0,18
2023-05-25T14:57:31,0,18,0,18
2023-05-25T15:09:15,0,18,0,18
2023-05-25T15:20:50,0,18,0,18
2023-05-25T15:32:24,0,18,0,18
2023-05-25T15:43:58,0,18,0,18
2023-05-25T15:55:33,0,18,0,18
2023-05-25T16:07:18,0,18,0,18
2023-05-25T16:18:53,0,18,0,18
2023-05-25T16:30:28,0,18,0,18
2023-05-25T16:42:03,0,18,0,18
2023-05-25T16:53:39,0,18,0,18
2023-05-25T17:05:15,0,18,0,18
2023-05-25T17:17:03,0,18,0,18
2023-05-25T17:28:38,0,18,0,18
2023-05-25T17:40:14,0,18,0,18
2023-05-25T17:51:50,0,18,0,18
2023-05-25T18:03:26,0,18,0,18
2023-05-25T18:15:02,0,18,0,18
2023-05-25T18:26:38,0,18,0,18
2023-05-25T18:38:23,0,18,0,18
2023-05-25T18:49:58,0,18,0,18
2023-05-25T19:01:35,0,18,0,18
2023-05-25T19:13:11,0,18,0,18
2023-05-25T19:24:47,0,18,0,18
2023-05-25T19:36:22,0,18,0,18
2023-05-25T19:47:59,0,18,0,18
2023-05-25T19:59:44,0,18,0,18
2023-05-25T20:11:20,0,18,0,18
2023-05-25T20:22:55,0,18,0,18
2023-05-25T20:34:32,0,18,0,18
2023-05-25T20:46:07,0,18,0,18
2023-05-25T20:57:43,0,18,0,18
2023-05-25T21:09:19,0,18,0,18
2023-05-25T21:21:06,0,18,0,18
2023-05-25T21:32:42,0,18,0,18
2023-05-25T21:44:17,0,18,0,18
2023-05-25T21:55:53,0,18,0,18
2023-05-25T22:07:28,0,18,0,18
2023-05-25T22:19:03,0,18,0,18
2023-05-25T22:30:39,0,18,0,18
2023-05-25T22:42:25,0,18,0,18
2023-05-25T22:54:01,0,18,0,18
2023-05-25T23:05:39,0,18,0,18
