time,enrolled,available,waitlisted,total
2023-05-25T01:17:36,0,210,0,210
2023-05-25T01:29:13,0,210,0,210
2023-05-25T01:40:57,0,210,0,210
2023-05-25T01:52:32,0,210,0,210
2023-05-25T02:04:08,0,210,0,210
2023-05-25T02:15:44,0,210,0,210
2023-05-25T02:27:19,0,210,0,210
2023-05-25T02:38:53,0,210,0,210
2023-05-25T02:50:26,0,210,0,210
2023-05-25T03:01:59,0,210,0,210
2023-05-25T03:13:36,0,210,0,210
2023-05-25T03:25:35,0,210,0,210
2023-05-25T03:37:13,0,210,0,210
2023-05-25T03:48:48,0,210,0,210
2023-05-25T04:00:24,0,210,0,210
2023-05-25T04:19:48,0,210,0,210
2023-05-25T04:31:48,0,210,0,210
2023-05-25T04:43:24,0,210,0,210
2023-05-25T04:55:00,0,210,0,210
2023-05-25T05:06:37,0,210,0,210
2023-05-25T05:18:13,0,210,0,210
2023-05-25T05:29:50,0,210,0,210
2023-05-25T05:41:26,0,210,0,210
2023-05-25T05:53:02,0,210,0,210
2023-05-25T06:04:39,0,210,0,210
2023-05-25T06:16:14,0,210,0,210
2023-05-25T06:27:49,0,210,0,210
2023-05-25T06:39:24,0,210,0,210
2023-05-25T06:50:59,0,210,0,210
2023-05-25T07:02:35,0,210,0,210
2023-05-25T07:14:10,0,210,0,210
2023-05-25T07:25:44,0,210,0,210
2023-05-25T07:37:17,0,210,0,210
2023-05-25T07:48:55,0,210,0,210
2023-05-25T08:00:30,0,210,0,210
2023-05-25T08:12:05,0,210,0,210
2023-05-25T08:23:49,0,210,0,210
2023-05-25T08:35:23,0,210,0,210
2023-05-25T08:46:56,0,210,0,210
2023-05-25T08:58:29,0,210,0,210
2023-05-25T09:10:02,0,210,0,210
2023-05-25T09:21:34,0,210,0,210
2023-05-25T09:33:07,0,210,0,210
2023-05-25T09:44:39,0,210,0,210
2023-05-25T09:56:13,0,210,0,210
2023-05-25T10:07:46,0,210,0,210
2023-05-25T10:19:30,0,210,0,210
2023-05-25T10:31:03,0,210,0,210
2023-05-25T10:42:36,0,210,0,210
2023-05-25T10:54:19,0,210,0,210
2023-05-25T11:05:51,0,210,0,210
2023-05-25T11:17:24,0,210,0,210
2023-05-25T11:28:56,0,210,0,210
2023-05-25T11:40:29,0,210,0,210
2023-05-25T11:52:02,0,210,0,210
2023-05-25T12:03:46,0,210,0,210
2023-05-25T12:15:19,0,210,0,210
