time,enrolled,available,waitlisted,total
2023-05-25T01:17:48,0,210,0,210
2023-05-25T01:29:25,0,210,0,210
2023-05-25T01:41:09,0,210,0,210
2023-05-25T01:52:44,0,210,0,210
2023-05-25T02:04:20,0,210,0,210
2023-05-25T02:15:56,0,210,0,210
2023-05-25T02:27:31,0,210,0,210
2023-05-25T02:39:05,0,210,0,210
2023-05-25T02:50:38,0,210,0,210
2023-05-25T03:02:11,0,210,0,210
2023-05-25T03:13:48,0,210,0,210
2023-05-25T03:25:47,0,210,0,210
2023-05-25T03:37:25,0,210,0,210
2023-05-25T03:49:00,0,210,0,210
2023-05-25T04:00:36,0,210,0,210
2023-05-25T04:20:00,0,210,0,210
2023-05-25T04:32:00,0,210,0,210
2023-05-25T04:43:36,0,210,0,210
2023-05-25T04:55:12,0,210,0,210
2023-05-25T05:06:49,0,210,0,210
2023-05-25T05:18:25,0,210,0,210
2023-05-25T05:30:02,0,210,0,210
2023-05-25T05:41:38,0,210,0,210
2023-05-25T05:53:14,0,210,0,210
2023-05-25T06:04:51,0,210,0,210
2023-05-25T06:16:26,0,210,0,210
2023-05-25T06:28:01,0,210,0,210
2023-05-25T06:39:36,0,210,0,210
2023-05-25T06:51:11,0,210,0,210
2023-05-25T07:02:47,0,210,0,210
2023-05-25T07:14:22,0,210,0,210
2023-05-25T07:25:56,0,210,0,210
2023-05-25T07:37:29,0,210,0,210
2023-05-25T07:49:07,0,210,0,210
2023-05-25T08:00:42,0,210,0,210
2023-05-25T08:12:17,0,210,0,210
2023-05-25T08:24:01,0,210,0,210
2023-05-25T08:35:35,0,210,0,210
2023-05-25T08:47:08,0,210,0,210
2023-05-25T08:58:41,0,210,0,210
2023-05-25T09:10:14,0,210,0,210
2023-05-25T09:21:46,0,210,0,210
2023-05-25T09:33:19,0,210,0,210
2023-05-25T09:44:51,0,210,0,210
2023-05-25T09:56:25,0,210,0,210
2023-05-25T10:07:58,0,210,0,210
2023-05-25T10:19:42,0,210,0,210
2023-05-25T10:31:15,0,210,0,210
2023-05-25T10:42:48,0,210,0,210
2023-05-25T10:54:30,0,210,0,210
2023-05-25T11:06:03,0,210,0,210
2023-05-25T11:17:36,0,210,0,210
2023-05-25T11:29:08,0,210,0,210
2023-05-25T11:40:41,0,210,0,210
2023-05-25T11:52:14,0,210,0,210
2023-05-25T12:03:58,0,210,0,210
2023-05-25T12:15:31,0,210,0,210
2023-05-25T12:27:04,0,210,0,210
2023-05-25T12:38:37,0,210,0,210
2023-05-25T12:50:10,0,210,0,210
2023-05-25T13:01:53,0,210,0,210
2023-05-25T13:13:26,0,210,0,210
2023-05-25T13:24:58,0,210,0,210
2023-05-25T13:36:32,0,210,0,210
2023-05-25T13:48:05,0,210,0,210
2023-05-25T13:59:38,0,210,0,210
2023-05-25T14:11:23,0,210,0,210
2023-05-25T14:22:56,0,210,0,210
2023-05-25T14:34:29,0,210,0,210
2023-05-25T14:46:02,0,210,0,210
2023-05-25T14:57:36,0,210,0,210
2023-05-25T15:09:20,0,210,0,210
2023-05-25T15:20:54,0,210,0,210
2023-05-25T15:32:29,0,210,0,210
2023-05-25T15:44:03,0,210,0,210
2023-05-25T15:55:38,0,210,0,210
2023-05-25T16:07:23,0,210,0,210
2023-05-25T16:18:58,0,210,0,210
2023-05-25T16:30:33,0,210,0,210
2023-05-25T16:42:08,0,210,0,210
2023-05-25T16:53:43,0,210,0,210
2023-05-25T17:05:20,0,210,0,210
2023-05-25T17:17:08,0,210,0,210
2023-05-25T17:28:43,0,210,0,210
2023-05-25T17:40:18,0,210,0,210
2023-05-25T17:51:54,0,210,0,210
2023-05-25T18:03:31,0,210,0,210
2023-05-25T18:15:07,0,210,0,210
2023-05-25T18:26:42,0,210,0,210
2023-05-25T18:38:28,0,210,0,210
2023-05-25T18:50:03,0,210,0,210
2023-05-25T19:01:39,0,210,0,210
2023-05-25T19:13:16,0,210,0,210
2023-05-25T19:24:51,0,210,0,210
2023-05-25T19:36:27,0,210,0,210
2023-05-25T19:48:03,0,210,0,210
