time,enrolled,available,waitlisted,total
2023-08-28T15:49:40,0,0,0,0
2023-08-28T16:02:36,0,0,0,0
2023-08-28T16:15:23,0,0,0,0
2023-08-28T16:28:10,0,0,0,0
2023-08-28T16:40:57,0,0,0,0
2023-08-28T16:53:55,0,0,0,0
2023-08-28T17:06:43,0,0,0,0
2023-08-28T17:19:31,0,0,0,0
2023-08-28T17:32:18,0,0,0,0
2023-08-28T17:45:04,0,0,0,0
2023-08-28T17:58:04,0,0,0,0
2023-08-28T18:10:51,0,0,0,0
2023-08-28T18:23:38,0,0,0,0
2023-08-28T18:36:24,0,0,0,0
2023-08-28T18:49:12,0,0,0,0
2023-08-28T19:01:59,0,0,0,0
2023-08-28T19:14:57,0,0,0,0
2023-08-28T19:27:43,0,0,0,0
2023-08-28T19:40:32,0,0,0,0
2023-08-28T19:53:19,0,0,0,0
2023-08-28T20:06:06,0,0,0,0
2023-08-28T20:19:04,0,0,0,0
2023-08-28T20:31:51,0,0,0,0
2023-08-28T20:44:38,0,0,0,0
2023-08-28T20:57:24,0,0,0,0
2023-08-28T21:10:12,0,0,0,0
2023-08-28T21:23:09,0,0,0,0
2023-08-28T21:35:56,0,0,0,0
2023-08-28T21:48:44,0,0,0,0
2023-08-28T22:01:31,0,0,0,0
2023-08-28T22:14:17,0,0,0,0
2023-08-28T22:27:14,0,0,0,0
2023-08-28T22:40:02,0,0,0,0
2023-08-28T22:52:50,0,0,0,0
2023-08-28T23:05:37,0,0,0,0
2023-08-28T23:18:26,0,0,0,0
2023-08-28T23:31:25,0,0,0,0
2023-08-28T23:44:14,0,0,0,0
2023-08-28T23:57:02,0,0,0,0
2023-08-29T00:09:54,0,0,0,0
2023-08-29T00:22:57,0,0,0,0
2023-08-29T00:35:48,0,0,0,0
2023-08-29T00:48:36,0,0,0,0
2023-08-29T01:01:37,0,0,0,0
2023-08-29T01:14:27,0,0,0,0
2023-08-29T01:27:17,0,0,0,0
2023-08-29T01:40:07,0,0,0,0
2023-08-29T01:52:57,0,0,0,0
2023-08-29T02:05:46,0,0,0,0
2023-08-29T02:18:37,0,0,0,0
2023-08-29T02:31:27,0,0,0,0
2023-08-29T02:44:16,0,0,0,0
2023-08-29T02:57:15,0,0,0,0
2023-08-29T03:10:05,0,0,0,0
2023-08-29T03:22:57,0,0,0,0
2023-08-29T03:35:48,0,0,0,0
2023-08-29T03:48:39,0,0,0,0
2023-08-29T04:01:31,0,0,0,0
2023-08-29T04:27:17,0,0,0,0
2023-08-29T04:40:09,0,0,0,0
