time,enrolled,available,waitlisted,total
2023-05-25T01:18:05,0,175,0,175
2023-05-25T01:29:41,0,175,0,175
2023-05-25T01:41:25,0,175,0,175
2023-05-25T01:53:00,0,175,0,175
2023-05-25T02:04:36,0,175,0,175
2023-05-25T02:16:12,0,175,0,175
2023-05-25T02:27:48,0,175,0,175
2023-05-25T02:39:21,0,175,0,175
2023-05-25T02:50:54,0,175,0,175
2023-05-25T03:02:27,0,175,0,175
2023-05-25T03:14:05,0,175,0,175
2023-05-25T03:26:04,0,175,0,175
2023-05-25T03:37:41,0,175,0,175
2023-05-25T03:49:17,0,175,0,175
2023-05-25T04:00:52,0,175,0,175
2023-05-25T04:20:16,0,175,0,175
2023-05-25T04:32:16,0,175,0,175
2023-05-25T04:43:53,0,175,0,175
2023-05-25T04:55:28,0,175,0,175
2023-05-25T05:07:05,0,175,0,175
2023-05-25T05:18:42,0,175,0,175
2023-05-25T05:30:18,0,175,0,175
2023-05-25T05:41:54,0,175,0,175
2023-05-25T05:53:30,0,175,0,175
2023-05-25T06:05:07,0,175,0,175
2023-05-25T06:16:42,0,175,0,175
2023-05-25T06:28:17,0,175,0,175
2023-05-25T06:39:52,0,175,0,175
2023-05-25T06:51:27,0,175,0,175
2023-05-25T07:03:03,0,175,0,175
2023-05-25T07:14:38,0,175,0,175
2023-05-25T07:26:12,0,175,0,175
2023-05-25T07:37:45,0,175,0,175
2023-05-25T07:49:24,0,175,0,175
2023-05-25T08:00:59,0,175,0,175
2023-05-25T08:12:33,0,175,0,175
2023-05-25T08:24:17,0,175,0,175
2023-05-25T08:35:51,0,175,0,175
2023-05-25T08:47:24,0,175,0,175
2023-05-25T08:58:57,0,175,0,175
2023-05-25T09:10:30,0,175,0,175
2023-05-25T09:22:02,0,175,0,175
2023-05-25T09:33:35,0,175,0,175
2023-05-25T09:45:07,0,175,0,175
2023-05-25T09:56:41,0,175,0,175
2023-05-25T10:08:14,0,175,0,175
2023-05-25T10:19:58,0,175,0,175
2023-05-25T10:31:31,0,175,0,175
2023-05-25T10:43:04,0,175,0,175
2023-05-25T10:54:47,0,175,0,175
2023-05-25T11:06:19,0,175,0,175
2023-05-25T11:17:52,0,175,0,175
2023-05-25T11:29:25,0,175,0,175
2023-05-25T11:40:57,0,175,0,175
2023-05-25T11:52:30,0,175,0,175
2023-05-25T12:04:15,0,175,0,175
2023-05-25T12:15:47,0,175,0,175
2023-05-25T12:27:20,0,175,0,175
2023-05-25T12:38:53,0,175,0,175
2023-05-25T12:50:26,0,175,0,175
2023-05-25T13:02:09,0,175,0,175
2023-05-25T13:13:42,0,175,0,175
2023-05-25T13:25:15,0,175,0,175
2023-05-25T13:36:48,0,175,0,175
2023-05-25T13:48:21,0,175,0,175
2023-05-25T13:59:55,0,175,0,175
2023-05-25T14:11:39,0,175,0,175
2023-05-25T14:23:12,0,175,0,175
2023-05-25T14:34:45,0,175,0,175
2023-05-25T14:46:18,0,175,0,175
2023-05-25T14:58:02,0,175,0,175
2023-05-25T15:09:36,0,175,0,175
2023-05-25T15:21:10,0,175,0,175
2023-05-25T15:32:45,0,175,0,175
2023-05-25T15:44:19,0,175,0,175
2023-05-25T15:55:54,0,175,0,175
2023-05-25T16:07:39,0,175,0,175
2023-05-25T16:19:14,0,175,0,175
2023-05-25T16:30:49,0,175,0,175
2023-05-25T16:42:24,0,175,0,175
2023-05-25T16:54:00,0,175,0,175
2023-05-25T17:05:36,0,175,0,175
2023-05-25T17:17:24,0,175,0,175
2023-05-25T17:28:59,0,175,0,175
2023-05-25T17:40:35,0,175,0,175
2023-05-25T17:52:11,0,175,0,175
2023-05-25T18:03:47,0,175,0,175
2023-05-25T18:15:23,0,175,0,175
2023-05-25T18:26:58,0,175,0,175
2023-05-25T18:38:44,0,175,0,175
2023-05-25T18:50:19,0,175,0,175
2023-05-25T19:01:56,0,175,0,175
2023-05-25T19:13:32,0,175,0,175
2023-05-25T19:25:08,0,175,0,175
2023-05-25T19:36:43,0,175,0,175
2023-05-25T19:48:20,0,175,0,175
2023-05-25T20:00:05,0,175,0,175
2023-05-25T20:11:41,0,175,0,175
2023-05-25T20:23:16,0,175,0,175
2023-05-25T20:34:53,0,175,0,175
2023-05-25T20:46:28,0,175,0,175
2023-05-25T20:58:04,0,175,0,175
2023-05-25T21:09:39,0,175,0,175
2023-05-25T21:21:27,0,175,0,175
2023-05-25T21:33:02,0,175,0,175
2023-05-25T21:44:38,0,175,0,175
2023-05-25T21:56:14,0,175,0,175
2023-05-25T22:07:49,0,175,0,175
2023-05-25T22:19:24,0,175,0,175
2023-05-25T22:31:00,0,175,0,175
2023-05-25T22:42:46,0,175,0,175
2023-05-25T22:54:21,0,175,0,175
2023-05-25T23:06:00,0,175,0,175
2023-05-25T23:17:35,0,175,0,175
2023-05-25T23:29:11,0,175,0,175
2023-05-25T23:40:47,0,175,0,175
2023-05-25T23:52:24,0,175,0,175
2023-05-26T00:04:17,0,175,0,175
2023-05-26T00:15:59,0,175,0,175
2023-05-26T00:27:38,0,175,0,175
2023-05-26T00:39:17,0,175,0,175
2023-05-26T00:50:55,0,175,0,175
2023-05-26T01:02:35,0,175,0,175
2023-05-26T01:14:14,0,175,0,175
2023-05-26T01:25:52,0,175,0,175
2023-05-26T01:37:30,0,175,0,175
2023-05-26T01:49:18,0,175,0,175
2023-05-26T02:00:59,0,175,0,175
2023-05-26T02:12:38,0,175,0,175
2023-05-26T02:24:15,0,175,0,175
2023-05-26T02:35:53,0,175,0,175
2023-05-26T02:47:42,0,175,0,175
2023-05-26T02:59:22,0,175,0,175
2023-05-26T03:11:02,0,175,0,175
2023-05-26T03:22:44,0,175,0,175
2023-05-26T03:34:22,0,175,0,175
2023-05-26T03:46:00,0,175,0,175
2023-05-26T03:57:39,0,175,0,175
2023-05-26T04:09:27,0,175,0,175
2023-05-26T04:31:27,0,175,0,175
2023-05-26T04:43:30,0,175,0,175
2023-05-26T04:55:11,0,175,0,175
2023-05-26T05:06:53,0,175,0,175
2023-05-26T05:18:33,0,175,0,175
2023-05-26T05:30:11,0,175,0,175
2023-05-26T05:41:50,0,175,0,175
2023-05-26T05:53:30,0,175,0,175
2023-05-26T06:05:08,0,175,0,175
2023-05-26T06:16:47,0,175,0,175
2023-05-26T06:28:26,0,175,0,175
2023-05-26T06:40:05,0,175,0,175
2023-05-26T06:51:43,0,175,0,175
2023-05-26T07:03:21,0,175,0,175
2023-05-26T07:15:00,0,175,0,175
2023-05-26T07:26:38,0,175,0,175
2023-05-26T07:38:23,0,175,0,175
2023-05-26T07:50:01,0,175,0,175
2023-05-26T08:01:38,0,175,0,175
2023-05-26T08:13:14,0,175,0,175
2023-05-26T08:24:50,0,175,0,175
2023-05-26T08:36:26,0,175,0,175
2023-05-26T08:48:02,0,175,0,175
2023-05-26T08:59:38,0,175,0,175
2023-05-26T09:11:14,0,175,0,175
2023-05-26T09:22:51,0,175,0,175
2023-05-26T09:34:38,0,175,0,175
2023-05-26T09:46:14,0,175,0,175
2023-05-26T09:57:50,0,175,0,175
2023-05-26T10:09:27,0,175,0,175
2023-05-26T10:21:03,0,175,0,175
2023-05-26T10:32:39,0,175,0,175
2023-05-26T10:44:27,0,175,0,175
2023-05-26T10:56:03,0,175,0,175
2023-05-26T11:07:40,0,175,0,175
2023-05-26T11:19:17,0,175,0,175
2023-05-26T11:30:53,1,174,0,175
2023-05-26T11:42:39,2,173,0,175
2023-05-26T11:54:15,2,173,0,175
2023-05-26T12:05:51,2,173,0,175
2023-05-26T12:17:28,2,173,0,175
2023-05-26T12:29:04,2,173,0,175
2023-05-26T12:40:51,2,173,0,175
2023-05-26T12:52:27,2,173,0,175
2023-05-26T13:04:03,2,173,0,175
2023-05-26T13:15:38,2,173,0,175
2023-05-26T13:27:14,2,173,0,175
2023-05-26T13:39:01,2,173,0,175
2023-05-26T13:50:37,2,173,0,175
2023-05-26T14:02:13,2,173,0,175
2023-05-26T14:13:48,2,173,0,175
2023-05-26T14:25:36,2,173,0,175
2023-05-26T14:37:12,2,173,0,175
2023-05-26T14:48:48,2,173,0,175
2023-05-26T15:00:24,2,173,0,175
2023-05-26T15:12:02,2,173,0,175
2023-05-26T15:23:37,2,173,0,175
2023-05-26T15:35:24,2,173,0,175
2023-05-26T15:47:00,2,173,0,175
2023-05-26T15:58:36,2,173,0,175
2023-05-26T16:10:12,2,173,0,175
2023-05-26T16:21:47,2,173,0,175
2023-05-26T16:33:33,2,173,0,175
2023-05-26T16:45:09,2,173,0,175
2023-05-26T16:56:44,2,173,0,175
2023-05-26T17:08:21,2,173,0,175
2023-05-26T17:19:57,2,173,0,175
2023-05-26T17:31:33,2,173,0,175
2023-05-26T17:43:18,2,173,0,175
2023-05-26T17:54:54,2,173,0,175
2023-05-26T18:06:30,2,173,0,175
2023-05-26T18:18:06,2,173,0,175
2023-05-26T18:29:42,2,173,0,175
2023-05-26T18:41:17,2,173,0,175
2023-05-26T18:53:03,2,173,0,175
2023-05-26T19:04:39,2,173,0,175
2023-05-26T19:16:16,2,173,0,175
2023-05-26T19:27:52,2,173,0,175
2023-05-26T19:39:27,2,173,0,175
2023-05-26T19:51:03,2,173,0,175
2023-05-26T20:02:38,2,173,0,175
2023-05-26T20:14:24,2,173,0,175
2023-05-26T20:26:00,2,173,0,175
2023-05-26T20:37:35,2,173,0,175
2023-05-26T20:49:11,2,173,0,175
2023-05-26T21:00:46,2,173,0,175
2023-05-26T21:12:23,2,173,0,175
2023-05-26T21:23:59,2,173,0,175
2023-05-26T21:35:35,2,173,0,175
2023-05-26T21:47:21,2,173,0,175
2023-05-26T21:58:58,2,173,0,175
2023-05-26T22:10:34,2,173,0,175
2023-05-26T22:22:09,2,173,0,175
2023-05-26T22:33:45,2,173,0,175
2023-05-26T22:45:21,2,173,0,175
2023-05-26T22:56:57,2,173,0,175
2023-05-26T23:08:36,2,173,0,175
2023-05-26T23:20:22,2,173,0,175
2023-05-26T23:31:59,2,173,0,175
2023-05-26T23:43:35,2,173,0,175
2023-05-26T23:55:11,2,173,0,175
2023-05-27T00:06:48,2,173,0,175
2023-05-27T00:18:29,2,173,0,175
2023-05-27T00:30:07,2,173,0,175
2023-05-27T00:41:46,2,173,0,175
2023-05-27T00:53:26,2,173,0,175
2023-05-27T01:05:04,2,173,0,175
2023-05-27T01:16:53,2,173,0,175
2023-05-27T01:28:32,2,173,0,175
2023-05-27T01:40:11,2,173,0,175
2023-05-27T01:51:51,2,173,0,175
2023-05-27T02:03:28,2,173,0,175
2023-05-27T02:15:07,2,173,0,175
2023-05-27T02:26:44,2,173,0,175
2023-05-27T02:38:21,2,173,0,175
2023-05-27T02:49:57,2,173,0,175
2023-05-27T03:01:33,2,173,0,175
2023-05-27T03:13:11,2,173,0,175
2023-05-27T03:24:49,2,173,0,175
2023-05-27T03:36:26,2,173,0,175
2023-05-27T03:48:03,2,173,0,175
2023-05-27T03:59:42,2,173,0,175
2023-05-27T04:11:35,2,173,0,175
