time,enrolled,available,waitlisted,total
2023-05-25T01:18:31,0,30,0,30
2023-05-25T01:30:07,0,30,0,30
2023-05-25T01:41:51,0,30,0,30
2023-05-25T01:53:26,0,30,0,30
2023-05-25T02:05:02,0,30,0,30
2023-05-25T02:16:38,0,30,0,30
2023-05-25T02:28:14,0,30,0,30
2023-05-25T02:39:47,0,30,0,30
2023-05-25T02:51:20,0,30,0,30
2023-05-25T03:02:53,0,30,0,30
2023-05-25T03:14:31,0,30,0,30
2023-05-25T03:26:30,0,30,0,30
2023-05-25T03:38:07,0,30,0,30
2023-05-25T03:49:43,0,30,0,30
2023-05-25T04:01:18,0,30,0,30
2023-05-25T04:20:42,0,30,0,30
2023-05-25T04:32:42,0,30,0,30
2023-05-25T04:44:19,0,30,0,30
2023-05-25T04:55:54,0,30,0,30
2023-05-25T05:07:31,0,30,0,30
2023-05-25T05:19:08,0,30,0,30
2023-05-25T05:30:44,0,30,0,30
2023-05-25T05:42:20,0,30,0,30
2023-05-25T05:53:56,0,30,0,30
2023-05-25T06:05:33,0,30,0,30
2023-05-25T06:17:08,0,30,0,30
2023-05-25T06:28:43,0,30,0,30
2023-05-25T06:40:18,0,30,0,30
2023-05-25T06:51:53,0,30,0,30
2023-05-25T07:03:29,0,30,0,30
2023-05-25T07:15:04,0,30,0,30
2023-05-25T07:26:38,0,30,0,30
2023-05-25T07:38:12,0,30,0,30
2023-05-25T07:49:50,0,30,0,30
2023-05-25T08:01:25,0,30,0,30
2023-05-25T08:12:59,0,30,0,30
2023-05-25T08:24:43,0,30,0,30
2023-05-25T08:36:17,0,30,0,30
2023-05-25T08:47:50,0,30,0,30
2023-05-25T08:59:23,0,30,0,30
2023-05-25T09:10:56,0,30,0,30
2023-05-25T09:22:29,0,30,0,30
2023-05-25T09:34:01,0,30,0,30
2023-05-25T09:45:33,0,30,0,30
2023-05-25T09:57:07,0,30,0,30
2023-05-25T10:08:52,0,30,0,30
2023-05-25T10:20:24,0,30,0,30
2023-05-25T10:31:57,0,30,0,30
2023-05-25T10:43:30,0,30,0,30
2023-05-25T10:55:13,0,30,0,30
2023-05-25T11:06:45,0,30,0,30
2023-05-25T11:18:18,0,30,0,30
2023-05-25T11:29:51,0,30,0,30
2023-05-25T11:41:23,0,30,0,30
2023-05-25T11:52:56,0,30,0,30
2023-05-25T12:04:41,0,30,0,30
2023-05-25T12:16:13,0,30,0,30
2023-05-25T12:27:46,0,30,0,30
2023-05-25T12:39:19,0,30,0,30
2023-05-25T12:50:52,0,30,0,30
2023-05-25T13:02:35,0,30,0,30
2023-05-25T13:14:08,0,30,0,30
2023-05-25T13:25:41,0,30,0,30
2023-05-25T13:37:14,0,30,0,30
2023-05-25T13:48:47,0,30,0,30
2023-05-25T14:00:21,0,30,0,30
2023-05-25T14:12:05,0,30,0,30
2023-05-25T14:23:38,0,30,0,30
2023-05-25T14:35:11,0,30,0,30
2023-05-25T14:46:44,0,30,0,30
2023-05-25T14:58:28,0,30,0,30
2023-05-25T15:10:02,0,30,0,30
2023-05-25T15:21:36,0,30,0,30
2023-05-25T15:33:11,0,30,0,30
2023-05-25T15:44:45,0,30,0,30
2023-05-25T15:56:20,0,30,0,30
2023-05-25T16:08:05,0,30,0,30
2023-05-25T16:19:40,0,30,0,30
2023-05-25T16:31:15,0,30,0,30
2023-05-25T16:42:50,0,30,0,30
2023-05-25T16:54:26,0,30,0,30
2023-05-25T17:06:02,0,30,0,30
2023-05-25T17:17:50,0,30,0,30
2023-05-25T17:29:25,0,30,0,30
2023-05-25T17:41:01,0,30,0,30
2023-05-25T17:52:37,0,30,0,30
2023-05-25T18:04:13,0,30,0,30
2023-05-25T18:15:49,0,30,0,30
2023-05-25T18:27:25,0,30,0,30
2023-05-25T18:39:10,0,30,0,30
2023-05-25T18:50:45,0,30,0,30
2023-05-25T19:02:22,0,30,0,30
2023-05-25T19:13:58,0,30,0,30
2023-05-25T19:25:34,0,30,0,30
2023-05-25T19:37:09,0,30,0,30
2023-05-25T19:48:46,0,30,0,30
2023-05-25T20:00:31,0,30,0,30
2023-05-25T20:12:07,0,30,0,30
2023-05-25T20:23:42,0,30,0,30
2023-05-25T20:35:19,0,30,0,30
2023-05-25T20:46:54,0,30,0,30
2023-05-25T20:58:30,0,30,0,30
2023-05-25T21:10:06,0,30,0,30
2023-05-25T21:21:53,0,30,0,30
2023-05-25T21:33:28,0,30,0,30
2023-05-25T21:45:04,0,30,0,30
2023-05-25T21:56:40,0,30,0,30
2023-05-25T22:08:15,0,30,0,30
2023-05-25T22:19:50,0,30,0,30
2023-05-25T22:31:26,0,30,0,30
2023-05-25T22:43:12,0,30,0,30
2023-05-25T22:54:47,0,30,0,30
2023-05-25T23:06:26,0,30,0,30
2023-05-25T23:18:01,0,30,0,30
2023-05-25T23:29:37,0,30,0,30
2023-05-25T23:41:13,0,30,0,30
2023-05-25T23:52:50,0,30,0,30
2023-05-26T00:04:44,0,30,0,30
2023-05-26T00:16:25,0,30,0,30
2023-05-26T00:28:04,0,30,0,30
2023-05-26T00:39:43,0,30,0,30
2023-05-26T00:51:21,0,30,0,30
2023-05-26T01:03:01,0,30,0,30
2023-05-26T01:14:40,0,30,0,30
2023-05-26T01:26:18,0,30,0,30
2023-05-26T01:37:56,0,30,0,30
2023-05-26T01:49:44,0,30,0,30
2023-05-26T02:01:25,0,30,0,30
2023-05-26T02:13:04,0,30,0,30
2023-05-26T02:24:41,0,30,0,30
2023-05-26T02:36:20,0,30,0,30
2023-05-26T02:48:09,0,30,0,30
2023-05-26T02:59:48,0,30,0,30
2023-05-26T03:11:28,0,30,0,30
2023-05-26T03:23:10,0,30,0,30
2023-05-26T03:34:48,0,30,0,30
2023-05-26T03:46:26,0,30,0,30
2023-05-26T03:58:05,0,30,0,30
2023-05-26T04:09:53,0,30,0,30
2023-05-26T04:31:53,0,30,0,30
2023-05-26T04:43:57,0,30,0,30
2023-05-26T04:55:37,0,30,0,30
2023-05-26T05:07:19,0,30,0,30
2023-05-26T05:18:59,0,30,0,30
2023-05-26T05:30:37,0,30,0,30
2023-05-26T05:42:17,0,30,0,30
2023-05-26T05:53:56,0,30,0,30
2023-05-26T06:05:34,0,30,0,30
