time,enrolled,available,waitlisted,total
2023-05-25T01:18:54,0,14,0,14
2023-05-25T01:30:30,0,14,0,14
2023-05-25T01:42:14,0,14,0,14
2023-05-25T01:53:50,0,14,0,14
2023-05-25T02:05:25,0,14,0,14
2023-05-25T02:17:01,0,14,0,14
2023-05-25T02:28:37,0,14,0,14
2023-05-25T02:40:10,0,14,0,14
2023-05-25T02:51:43,0,14,0,14
2023-05-25T03:03:17,0,14,0,14
2023-05-25T03:14:54,0,14,0,14
2023-05-25T03:26:53,0,14,0,14
2023-05-25T03:38:30,0,14,0,14
2023-05-25T03:50:06,0,14,0,14
2023-05-25T04:01:41,0,14,0,14
2023-05-25T04:21:05,0,14,0,14
2023-05-25T04:33:05,0,14,0,14
2023-05-25T04:44:42,0,14,0,14
2023-05-25T04:56:18,0,14,0,14
2023-05-25T05:07:54,0,14,0,14
2023-05-25T05:19:31,0,14,0,14
2023-05-25T05:31:07,0,14,0,14
2023-05-25T05:42:43,0,14,0,14
2023-05-25T05:54:19,0,14,0,14
2023-05-25T06:05:56,0,14,0,14
2023-05-25T06:17:31,0,14,0,14
2023-05-25T06:29:06,0,14,0,14
2023-05-25T06:40:41,0,14,0,14
2023-05-25T06:52:16,0,14,0,14
2023-05-25T07:03:52,0,14,0,14
2023-05-25T07:15:27,0,14,0,14
2023-05-25T07:27:01,0,14,0,14
2023-05-25T07:38:35,0,14,0,14
2023-05-25T07:50:13,0,14,0,14
2023-05-25T08:01:48,0,14,0,14
2023-05-25T08:13:22,0,14,0,14
2023-05-25T08:25:06,0,14,0,14
2023-05-25T08:36:40,0,14,0,14
2023-05-25T08:48:13,0,14,0,14
2023-05-25T08:59:46,0,14,0,14
2023-05-25T09:11:19,0,14,0,14
2023-05-25T09:22:51,0,14,0,14
2023-05-25T09:34:24,0,14,0,14
2023-05-25T09:45:56,0,14,0,14
2023-05-25T09:57:30,0,14,0,14
2023-05-25T10:09:15,0,14,0,14
2023-05-25T10:20:48,0,14,0,14
2023-05-25T10:32:20,0,14,0,14
2023-05-25T10:43:53,0,14,0,14
2023-05-25T10:55:36,0,14,0,14
2023-05-25T11:07:08,0,14,0,14
2023-05-25T11:18:41,0,14,0,14
2023-05-25T11:30:13,0,14,0,14
2023-05-25T11:41:46,0,14,0,14
2023-05-25T11:53:19,0,14,0,14
2023-05-25T12:05:04,0,14,0,14
2023-05-25T12:16:36,0,14,0,14
