time,enrolled,available,waitlisted,total
2023-05-25T01:18:58,0,112,0,112
2023-05-25T01:30:34,0,112,0,112
2023-05-25T01:42:18,0,112,0,112
2023-05-25T01:53:53,0,112,0,112
2023-05-25T02:05:29,0,112,0,112
2023-05-25T02:17:05,0,112,0,112
2023-05-25T02:28:40,0,112,0,112
2023-05-25T02:40:14,0,112,0,112
2023-05-25T02:51:47,0,112,0,112
2023-05-25T03:03:20,0,112,0,112
2023-05-25T03:14:58,0,112,0,112
2023-05-25T03:26:57,0,112,0,112
2023-05-25T03:38:34,0,112,0,112
2023-05-25T03:50:10,0,112,0,112
2023-05-25T04:01:45,0,112,0,112
2023-05-25T04:21:09,0,112,0,112
2023-05-25T04:33:09,0,112,0,112
2023-05-25T04:44:46,0,112,0,112
2023-05-25T04:56:21,0,112,0,112
2023-05-25T05:07:58,0,112,0,112
2023-05-25T05:19:35,0,112,0,112
2023-05-25T05:31:11,0,112,0,112
2023-05-25T05:42:47,0,112,0,112
2023-05-25T05:54:23,0,112,0,112
2023-05-25T06:06:00,0,112,0,112
2023-05-25T06:17:35,0,112,0,112
2023-05-25T06:29:10,0,112,0,112
2023-05-25T06:40:45,0,112,0,112
2023-05-25T06:52:20,0,112,0,112
2023-05-25T07:03:56,0,112,0,112
2023-05-25T07:15:31,0,112,0,112
2023-05-25T07:27:05,0,112,0,112
2023-05-25T07:38:38,0,112,0,112
2023-05-25T07:50:17,0,112,0,112
2023-05-25T08:01:51,0,112,0,112
2023-05-25T08:13:26,0,112,0,112
2023-05-25T08:25:10,0,112,0,112
2023-05-25T08:36:44,0,112,0,112
2023-05-25T08:48:16,0,112,0,112
2023-05-25T08:59:50,0,112,0,112
2023-05-25T09:11:23,0,112,0,112
2023-05-25T09:22:55,0,112,0,112
2023-05-25T09:34:28,0,112,0,112
2023-05-25T09:46:00,0,112,0,112
2023-05-25T09:57:34,0,112,0,112
2023-05-25T10:09:18,0,112,0,112
2023-05-25T10:20:51,0,112,0,112
2023-05-25T10:32:24,0,112,0,112
2023-05-25T10:43:57,0,112,0,112
2023-05-25T10:55:39,0,112,0,112
2023-05-25T11:07:12,0,112,0,112
2023-05-25T11:18:45,0,112,0,112
2023-05-25T11:30:17,0,112,0,112
2023-05-25T11:41:50,0,112,0,112
2023-05-25T11:53:23,0,112,0,112
2023-05-25T12:05:07,0,112,0,112
2023-05-25T12:16:40,0,112,0,112
2023-05-25T12:28:13,0,112,0,112
2023-05-25T12:39:46,0,112,0,112
2023-05-25T12:51:19,0,112,0,112
2023-05-25T13:03:02,0,112,0,112
2023-05-25T13:14:35,0,112,0,112
2023-05-25T13:26:08,0,112,0,112
2023-05-25T13:37:41,0,112,0,112
2023-05-25T13:49:14,0,112,0,112
2023-05-25T14:00:58,0,112,0,112
2023-05-25T14:12:32,0,112,0,112
2023-05-25T14:24:05,0,112,0,112
2023-05-25T14:35:38,0,112,0,112
2023-05-25T14:47:11,0,112,0,112
2023-05-25T14:58:55,0,112,0,112
2023-05-25T15:10:29,0,112,0,112
2023-05-25T15:22:03,0,112,0,112
2023-05-25T15:33:38,0,112,0,112
2023-05-25T15:45:12,0,112,0,112
2023-05-25T15:56:47,0,112,0,112
2023-05-25T16:08:32,0,70,0,70
2023-05-25T16:20:07,0,70,0,70
2023-05-25T16:31:42,0,70,0,70
2023-05-25T16:43:17,0,70,0,70
2023-05-25T16:54:53,0,70,0,70
2023-05-25T17:06:29,0,70,0,70
2023-05-25T17:18:17,0,70,0,70
2023-05-25T17:29:52,0,70,0,70
2023-05-25T17:41:27,0,70,0,70
2023-05-25T17:53:03,0,70,0,70
2023-05-25T18:04:40,0,70,0,70
2023-05-25T18:16:16,0,70,0,70
2023-05-25T18:27:51,0,70,0,70
2023-05-25T18:39:37,0,70,0,70
2023-05-25T18:51:13,0,70,0,70
2023-05-25T19:02:48,0,70,0,70
2023-05-25T19:14:25,0,70,0,70
2023-05-25T19:26:00,0,70,0,70
2023-05-25T19:37:36,0,70,0,70
2023-05-25T19:49:12,0,70,0,70
2023-05-25T20:00:58,0,70,0,70
2023-05-25T20:12:34,0,70,0,70
2023-05-25T20:24:09,0,70,0,70
2023-05-25T20:35:45,0,70,0,70
2023-05-25T20:47:21,0,70,0,70
2023-05-25T20:58:56,0,70,0,70
2023-05-25T21:10:32,0,70,0,70
2023-05-25T21:22:20,0,70,0,70
2023-05-25T21:33:55,0,70,0,70
2023-05-25T21:45:31,0,70,0,70
2023-05-25T21:57:06,0,70,0,70
2023-05-25T22:08:42,0,70,0,70
2023-05-25T22:20:17,0,70,0,70
2023-05-25T22:31:53,0,70,0,70
2023-05-25T22:43:39,0,70,0,70
2023-05-25T22:55:14,0,70,0,70
2023-05-25T23:06:53,0,70,0,70
2023-05-25T23:18:28,0,70,0,70
2023-05-25T23:30:04,0,70,0,70
2023-05-25T23:41:40,0,70,0,70
2023-05-25T23:53:17,0,70,0,70
2023-05-26T00:05:11,0,70,0,70
2023-05-26T00:16:52,0,70,0,70
2023-05-26T00:28:31,0,70,0,70
2023-05-26T00:40:10,0,70,0,70
2023-05-26T00:51:48,0,70,0,70
2023-05-26T01:03:28,0,70,0,70
2023-05-26T01:15:07,0,70,0,70
2023-05-26T01:26:45,0,70,0,70
2023-05-26T01:38:23,0,70,0,70
2023-05-26T01:50:11,0,70,0,70
2023-05-26T02:01:52,0,70,0,70
2023-05-26T02:13:31,0,70,0,70
2023-05-26T02:25:08,0,70,0,70
2023-05-26T02:36:47,0,70,0,70
2023-05-26T02:48:36,0,70,0,70
2023-05-26T03:00:15,0,70,0,70
