time,enrolled,available,waitlisted,total
2023-09-29T15:57:44,0,9999,0,9999
2023-09-29T16:10:46,0,9999,0,9999
2023-09-29T16:23:49,0,9999,0,9999
2023-09-29T16:37:10,0,9999,0,9999
2023-09-29T16:50:13,0,9999,0,9999
2023-09-29T17:03:15,0,9999,0,9999
2023-09-29T17:16:20,0,9999,0,9999
2023-09-29T17:29:31,0,9999,0,9999
2023-09-29T17:42:34,0,9999,0,9999
2023-09-29T17:55:36,0,9999,0,9999
2023-09-29T18:08:58,0,9999,0,9999
2023-09-29T18:22:00,0,9999,0,9999
2023-09-29T18:35:03,0,9999,0,9999
2023-09-29T18:49:06,0,9999,0,9999
2023-09-29T19:02:18,0,9999,0,9999
2023-09-29T19:15:20,0,9999,0,9999
2023-09-29T19:28:23,0,9999,0,9999
2023-09-29T19:41:26,0,9999,0,9999
2023-09-29T19:54:38,0,9999,0,9999
2023-09-29T20:07:41,0,9999,0,9999
2023-09-29T20:20:44,0,9999,0,9999
2023-09-29T20:33:46,0,9999,0,9999
2023-09-29T20:47:07,0,9999,0,9999
2023-09-29T21:00:10,0,9999,0,9999
2023-09-29T21:13:12,0,9999,0,9999
2023-09-29T21:26:14,0,9999,0,9999
2023-09-29T21:39:17,0,9999,0,9999
2023-09-29T21:52:30,0,9999,0,9999
2023-09-29T22:05:32,0,9999,0,9999
2023-09-29T22:18:37,0,9999,0,9999
2023-09-29T22:31:39,0,9999,0,9999
2023-09-29T22:44:59,0,9999,0,9999
2023-09-29T22:58:01,0,9999,0,9999
2023-09-29T23:11:05,0,9999,0,9999
2023-09-29T23:24:08,0,9999,0,9999
2023-09-29T23:37:11,0,9999,0,9999
2023-09-29T23:50:24,0,9999,0,9999
2023-09-30T00:03:28,0,9999,0,9999
2023-09-30T00:16:36,0,9999,0,9999
2023-09-30T00:29:44,0,9999,0,9999
2023-09-30T00:42:53,0,9999,0,9999
2023-09-30T00:56:03,0,9999,0,9999
2023-09-30T01:09:10,0,9999,0,9999
2023-09-30T01:22:37,0,9999,0,9999
2023-09-30T01:35:46,0,9999,0,9999
2023-09-30T01:48:53,0,9999,0,9999
2023-09-30T02:02:05,0,9999,0,9999
2023-09-30T02:15:11,0,9999,0,9999
2023-09-30T02:28:15,0,9999,0,9999
2023-09-30T02:41:19,0,9999,0,9999
2023-09-30T02:54:22,0,9999,0,9999
2023-09-30T03:07:28,0,9999,0,9999
2023-09-30T03:20:44,0,9999,0,9999
2023-09-30T03:34:48,0,9999,0,9999
2023-09-30T03:47:57,0,9999,0,9999
2023-09-30T04:01:05,0,9999,0,9999
