time,enrolled,available,waitlisted,total
2023-05-25T01:19:23,0,40,0,40
2023-05-25T01:30:59,0,40,0,40
2023-05-25T01:42:43,0,40,0,40
2023-05-25T01:54:19,0,40,0,40
2023-05-25T02:05:54,0,40,0,40
2023-05-25T02:17:30,0,40,0,40
2023-05-25T02:29:06,0,40,0,40
2023-05-25T02:40:40,0,40,0,40
2023-05-25T02:52:12,0,40,0,40
2023-05-25T03:03:46,0,40,0,40
2023-05-25T03:15:23,0,40,0,40
2023-05-25T03:27:22,0,40,0,40
2023-05-25T03:38:59,0,40,0,40
2023-05-25T03:50:35,0,40,0,40
2023-05-25T04:02:10,0,40,0,40
2023-05-25T04:21:34,0,40,0,40
2023-05-25T04:33:34,0,40,0,40
2023-05-25T04:45:11,0,40,0,40
2023-05-25T04:56:47,0,40,0,40
2023-05-25T05:08:24,0,40,0,40
2023-05-25T05:20:00,0,40,0,40
2023-05-25T05:31:37,0,40,0,40
2023-05-25T05:43:12,0,40,0,40
2023-05-25T05:54:48,0,40,0,40
2023-05-25T06:06:25,0,40,0,40
2023-05-25T06:18:00,0,40,0,40
2023-05-25T06:29:35,0,40,0,40
2023-05-25T06:41:10,0,40,0,40
2023-05-25T06:52:46,0,40,0,40
2023-05-25T07:04:21,0,40,0,40
2023-05-25T07:15:56,0,40,0,40
2023-05-25T07:27:30,0,40,0,40
2023-05-25T07:39:07,0,40,0,40
2023-05-25T07:50:42,0,40,0,40
2023-05-25T08:02:17,0,40,0,40
2023-05-25T08:13:51,0,40,0,40
2023-05-25T08:25:36,0,40,0,40
2023-05-25T08:37:09,0,40,0,40
2023-05-25T08:48:42,0,40,0,40
2023-05-25T09:00:15,0,40,0,40
2023-05-25T09:11:48,0,40,0,40
2023-05-25T09:23:20,0,40,0,40
2023-05-25T09:34:53,0,40,0,40
2023-05-25T09:46:25,0,40,0,40
2023-05-25T09:57:59,0,40,0,40
2023-05-25T10:09:44,0,40,0,40
2023-05-25T10:21:17,0,40,0,40
2023-05-25T10:32:49,0,40,0,40
2023-05-25T10:44:22,0,40,0,40
2023-05-25T10:56:05,0,40,0,40
2023-05-25T11:07:37,0,40,0,40
2023-05-25T11:19:10,0,40,0,40
2023-05-25T11:30:43,0,40,0,40
2023-05-25T11:42:15,0,40,0,40
2023-05-25T11:53:49,0,40,0,40
2023-05-25T12:05:33,0,40,0,40
2023-05-25T12:17:05,0,40,0,40
2023-05-25T12:28:38,0,40,0,40
2023-05-25T12:40:11,0,40,0,40
2023-05-25T12:51:44,0,40,0,40
2023-05-25T13:03:27,0,40,0,40
2023-05-25T13:15:00,0,40,0,40
2023-05-25T13:26:33,0,40,0,40
2023-05-25T13:38:06,0,40,0,40
2023-05-25T13:49:39,0,40,0,40
2023-05-25T14:01:23,0,40,0,40
2023-05-25T14:12:57,0,40,0,40
2023-05-25T14:24:30,0,40,0,40
2023-05-25T14:36:03,0,40,0,40
2023-05-25T14:47:36,0,40,0,40
2023-05-25T14:59:20,0,40,0,40
2023-05-25T15:10:54,0,40,0,40
2023-05-25T15:22:28,0,40,0,40
2023-05-25T15:34:03,0,40,0,40
2023-05-25T15:45:37,0,40,0,40
2023-05-25T15:57:12,0,40,0,40
2023-05-25T16:08:57,0,40,0,40
2023-05-25T16:20:32,0,40,0,40
2023-05-25T16:32:07,0,40,0,40
2023-05-25T16:43:42,0,40,0,40
2023-05-25T16:55:18,0,40,0,40
2023-05-25T17:06:54,0,40,0,40
