time,enrolled,available,waitlisted,total
2023-05-25T01:20:20,0,10,0,10
2023-05-25T01:31:56,0,10,0,10
2023-05-25T01:43:41,0,10,0,10
2023-05-25T01:55:16,0,10,0,10
2023-05-25T02:06:51,0,10,0,10
2023-05-25T02:18:28,0,10,0,10
2023-05-25T02:30:03,0,10,0,10
2023-05-25T02:41:37,0,10,0,10
2023-05-25T02:53:10,0,10,0,10
2023-05-25T03:04:43,0,10,0,10
2023-05-25T03:16:21,0,10,0,10
2023-05-25T03:28:20,0,10,0,10
2023-05-25T03:39:57,0,10,0,10
2023-05-25T03:51:32,0,10,0,10
2023-05-25T04:03:08,0,10,0,10
2023-05-25T04:22:55,0,10,0,10
2023-05-25T04:34:32,0,10,0,10
2023-05-25T04:46:08,0,10,0,10
2023-05-25T04:57:44,0,10,0,10
2023-05-25T05:09:21,0,10,0,10
2023-05-25T05:20:57,0,10,0,10
2023-05-25T05:32:34,0,10,0,10
2023-05-25T05:44:10,0,10,0,10
2023-05-25T05:55:46,0,10,0,10
2023-05-25T06:07:23,0,10,0,10
2023-05-25T06:18:58,0,10,0,10
2023-05-25T06:30:32,0,10,0,10
2023-05-25T06:42:07,0,10,0,10
2023-05-25T06:53:43,0,10,0,10
2023-05-25T07:05:18,0,10,0,10
2023-05-25T07:16:53,0,10,0,10
2023-05-25T07:28:27,0,10,0,10
2023-05-25T07:40:04,0,10,0,10
2023-05-25T07:51:39,0,10,0,10
2023-05-25T08:03:14,0,10,0,10
2023-05-25T08:14:48,0,10,0,10
2023-05-25T08:26:33,0,10,0,10
2023-05-25T08:38:06,0,10,0,10
2023-05-25T08:49:39,0,10,0,10
2023-05-25T09:01:12,0,10,0,10
2023-05-25T09:12:45,0,10,0,10
2023-05-25T09:24:18,0,10,0,10
2023-05-25T09:35:50,0,10,0,10
2023-05-25T09:47:23,0,10,0,10
2023-05-25T09:58:56,0,10,0,10
2023-05-25T10:10:41,0,10,0,10
2023-05-25T10:22:14,0,10,0,10
2023-05-25T10:33:47,0,10,0,10
2023-05-25T10:45:19,0,10,0,10
2023-05-25T10:57:02,0,10,0,10
2023-05-25T11:08:34,0,10,0,10
2023-05-25T11:20:07,0,10,0,10
2023-05-25T11:31:40,0,10,0,10
2023-05-25T11:43:12,0,10,0,10
2023-05-25T11:54:46,0,10,0,10
2023-05-25T12:06:30,0,10,0,10
2023-05-25T12:18:03,0,10,0,10
2023-05-25T12:29:35,0,10,0,10
2023-05-25T12:41:08,0,10,0,10
2023-05-25T12:52:41,0,10,0,10
2023-05-25T13:04:24,0,10,0,10
2023-05-25T13:15:57,0,10,0,10
2023-05-25T13:27:30,0,10,0,10
2023-05-25T13:39:03,0,10,0,10
2023-05-25T13:50:36,0,10,0,10
2023-05-25T14:02:20,0,10,0,10
2023-05-25T14:13:54,0,10,0,10
2023-05-25T14:25:27,0,10,0,10
2023-05-25T14:37:00,0,10,0,10
2023-05-25T14:48:33,0,10,0,10
2023-05-25T15:00:17,0,10,0,10
2023-05-25T15:11:51,0,10,0,10
2023-05-25T15:23:25,0,10,0,10
2023-05-25T15:35:00,0,10,0,10
2023-05-25T15:46:35,0,10,0,10
2023-05-25T15:58:09,0,10,0,10
2023-05-25T16:09:54,0,10,0,10
2023-05-25T16:21:29,0,10,0,10
2023-05-25T16:33:04,0,10,0,10
2023-05-25T16:44:39,0,10,0,10
2023-05-25T16:56:15,0,10,0,10
2023-05-25T17:07:51,0,10,0,10
2023-05-25T17:19:39,0,10,0,10
2023-05-25T17:31:14,0,10,0,10
2023-05-25T17:42:50,0,10,0,10
2023-05-25T17:54:26,0,10,0,10
2023-05-25T18:06:02,0,10,0,10
2023-05-25T18:17:38,0,10,0,10
2023-05-25T18:29:14,0,10,0,10
2023-05-25T18:40:59,0,10,0,10
2023-05-25T18:52:35,0,10,0,10
2023-05-25T19:04:11,0,10,0,10
2023-05-25T19:15:47,0,10,0,10
2023-05-25T19:27:23,0,10,0,10
2023-05-25T19:38:58,0,10,0,10
2023-05-25T19:50:44,0,10,0,10
2023-05-25T20:02:20,0,10,0,10
2023-05-25T20:13:56,0,10,0,10
2023-05-25T20:25:32,0,10,0,10
2023-05-25T20:37:08,0,10,0,10
2023-05-25T20:48:43,0,10,0,10
2023-05-25T21:00:19,0,10,0,10
2023-05-25T21:11:55,0,10,0,10
2023-05-25T21:23:42,0,10,0,10
2023-05-25T21:35:17,0,10,0,10
2023-05-25T21:46:53,0,10,0,10
2023-05-25T21:58:29,0,10,0,10
2023-05-25T22:10:04,0,10,0,10
2023-05-25T22:21:39,0,10,0,10
2023-05-25T22:33:15,0,10,0,10
2023-05-25T22:45:01,0,10,0,10
2023-05-25T22:56:36,0,10,0,10
2023-05-25T23:08:15,0,10,0,10
2023-05-25T23:19:50,0,10,0,10
2023-05-25T23:31:26,0,10,0,10
2023-05-25T23:43:02,0,10,0,10
2023-05-25T23:54:39,0,10,0,10
2023-05-26T00:06:34,0,10,0,10
2023-05-26T00:18:14,0,10,0,10
2023-05-26T00:29:53,0,10,0,10
2023-05-26T00:41:32,0,10,0,10
2023-05-26T00:53:11,0,10,0,10
2023-05-26T01:04:51,0,10,0,10
2023-05-26T01:16:29,0,10,0,10
2023-05-26T01:28:07,0,10,0,10
2023-05-26T01:39:45,0,10,0,10
2023-05-26T01:51:33,0,10,0,10
2023-05-26T02:03:15,0,10,0,10
2023-05-26T02:14:53,0,10,0,10
2023-05-26T02:26:30,0,10,0,10
2023-05-26T02:38:09,0,10,0,10
2023-05-26T02:49:58,0,10,0,10
2023-05-26T03:01:39,0,10,0,10
2023-05-26T03:13:18,0,10,0,10
2023-05-26T03:24:59,0,10,0,10
2023-05-26T03:36:37,0,10,0,10
2023-05-26T03:48:16,0,10,0,10
2023-05-26T03:59:54,0,10,0,10
2023-05-26T04:11:43,0,10,0,10
2023-05-26T04:33:54,0,10,0,10
2023-05-26T04:45:47,0,10,0,10
2023-05-26T04:57:27,0,10,0,10
2023-05-26T05:09:09,0,10,0,10
2023-05-26T05:20:49,0,10,0,10
2023-05-26T05:32:27,0,10,0,10
2023-05-26T05:44:06,0,10,0,10
2023-05-26T05:55:45,0,10,0,10
2023-05-26T06:07:23,0,10,0,10
2023-05-26T06:19:03,0,10,0,10
2023-05-26T06:30:42,0,10,0,10
