time,enrolled,available,waitlisted,total
2023-08-28T15:52:29,0,30,0,30
2023-08-28T16:05:16,0,30,0,30
2023-08-28T16:18:03,0,30,0,30
2023-08-28T16:30:50,0,30,0,30
2023-08-28T16:43:37,0,30,0,30
2023-08-28T16:56:34,0,30,0,30
2023-08-28T17:09:22,0,30,0,30
2023-08-28T17:22:11,0,30,0,30
2023-08-28T17:34:57,0,30,0,30
2023-08-28T17:47:44,0,30,0,30
2023-08-28T18:00:43,0,30,0,30
2023-08-28T18:13:30,0,30,0,30
2023-08-28T18:26:17,0,30,0,30
2023-08-28T18:39:04,0,30,0,30
2023-08-28T18:51:51,0,30,0,30
2023-08-28T19:04:49,0,30,0,30
2023-08-28T19:17:36,0,30,0,30
2023-08-28T19:30:23,0,30,0,30
2023-08-28T19:43:11,0,30,0,30
2023-08-28T19:55:58,0,30,0,30
2023-08-28T20:08:46,0,30,0,30
2023-08-28T20:21:44,0,30,0,30
2023-08-28T20:34:30,0,30,0,30
2023-08-28T20:47:17,0,30,0,30
2023-08-28T21:00:05,0,30,0,30
2023-08-28T21:12:51,0,30,0,30
2023-08-28T21:25:49,0,30,0,30
2023-08-28T21:38:36,0,30,0,30
2023-08-28T21:51:23,0,30,0,30
2023-08-28T22:04:10,0,30,0,30
2023-08-28T22:16:57,0,30,0,30
2023-08-28T22:29:54,0,30,0,30
2023-08-28T22:42:41,0,30,0,30
2023-08-28T22:55:29,0,30,0,30
2023-08-28T23:08:17,0,30,0,30
2023-08-28T23:21:06,0,30,0,30
2023-08-28T23:34:05,0,30,0,30
2023-08-28T23:46:54,0,30,0,30
2023-08-28T23:59:42,0,30,0,30
2023-08-29T00:12:41,0,30,0,30
2023-08-29T00:25:38,0,30,0,30
2023-08-29T00:38:28,0,30,0,30
2023-08-29T00:51:28,0,30,0,30
2023-08-29T01:04:17,0,30,0,30
2023-08-29T01:17:07,0,30,0,30
2023-08-29T01:29:57,0,30,0,30
2023-08-29T01:42:47,0,30,0,30
2023-08-29T01:55:37,0,30,0,30
2023-08-29T02:08:26,0,30,0,30
2023-08-29T02:21:17,0,30,0,30
2023-08-29T02:34:08,0,30,0,30
2023-08-29T02:46:56,0,30,0,30
2023-08-29T02:59:55,0,30,0,30
2023-08-29T03:12:46,0,30,0,30
2023-08-29T03:25:37,0,30,0,30
2023-08-29T03:38:29,0,30,0,30
2023-08-29T03:51:19,0,30,0,30
2023-08-29T04:04:11,0,30,0,30
2023-08-29T04:29:58,0,30,0,30
2023-08-29T04:42:50,0,30,0,30
2023-08-29T04:57:42,0,30,0,30
2023-08-29T05:10:36,0,30,0,30
2023-08-29T05:23:27,0,30,0,30
2023-08-29T05:36:19,0,30,0,30
2023-08-29T05:49:10,0,30,0,30
2023-08-29T06:02:01,0,30,0,30
2023-08-29T06:14:52,0,30,0,30
2023-08-29T06:27:45,0,30,0,30
2023-08-29T06:40:36,0,30,0,30
2023-08-29T06:53:26,0,30,0,30
2023-08-29T07:06:28,0,30,0,30
2023-08-29T07:19:18,0,30,0,30
2023-08-29T07:32:08,0,30,0,30
2023-08-29T07:44:56,0,30,0,30
2023-08-29T07:57:46,0,30,0,30
2023-08-29T08:10:42,0,30,0,30
2023-08-29T08:23:35,0,30,0,30
2023-08-29T08:36:27,0,30,0,30
2023-08-29T08:49:32,0,30,0,30
2023-08-29T09:02:28,0,30,0,30
2023-08-29T09:15:20,0,30,0,30
2023-08-29T09:28:15,0,30,0,30
2023-08-29T09:41:09,0,30,0,30
2023-08-29T09:54:18,0,30,0,30
2023-08-29T10:07:13,0,30,0,30
2023-08-29T10:20:09,0,30,0,30
2023-08-29T10:33:18,0,30,0,30
2023-08-29T10:46:14,0,30,0,30
2023-08-29T10:59:13,0,30,0,30
2023-08-29T11:12:14,0,30,0,30
2023-08-29T11:25:22,0,30,0,30
2023-08-29T11:38:18,0,30,0,30
2023-08-29T11:51:19,0,30,0,30
2023-08-29T12:04:30,0,30,0,30
2023-08-29T12:17:26,0,30,0,30
2023-08-29T12:30:24,0,30,0,30
2023-08-29T12:43:31,0,30,0,30
2023-08-29T12:56:25,0,30,0,30
2023-08-29T13:09:21,0,30,0,30
2023-08-29T13:22:29,0,30,0,30
2023-08-29T13:35:23,0,30,0,30
2023-08-29T13:48:18,0,30,0,30
2023-08-29T14:01:28,0,30,0,30
2023-08-29T14:14:25,0,30,0,30
2023-08-29T14:27:20,0,30,0,30
2023-08-29T14:40:31,0,30,0,30
2023-08-29T14:53:28,0,30,0,30
2023-08-29T15:06:23,0,30,0,30
2023-08-29T15:19:28,0,30,0,30
2023-08-29T15:32:26,0,30,0,30
2023-08-29T15:45:20,0,30,0,30
2023-08-29T15:58:26,0,30,0,30
2023-08-29T16:11:32,0,30,0,30
2023-08-29T16:24:28,0,30,0,30
2023-08-29T16:37:34,0,30,0,30
2023-08-29T16:50:33,0,30,0,30
2023-08-29T17:03:31,0,30,0,30
2023-08-29T17:16:41,0,30,0,30
2023-08-29T17:29:32,0,30,0,30
2023-08-29T17:42:28,0,30,0,30
2023-08-29T17:55:19,0,30,0,30
2023-08-29T18:08:34,0,30,0,30
2023-08-29T18:21:39,0,30,0,30
2023-08-29T18:34:37,0,30,0,30
2023-08-29T18:47:29,0,30,0,30
2023-08-29T19:00:35,0,30,0,30
2023-08-29T19:13:29,0,30,0,30
