time,enrolled,available,waitlisted,total
2023-05-25T01:20:36,0,90,0,90
2023-05-25T01:32:12,0,90,0,90
2023-05-25T01:43:56,0,90,0,90
2023-05-25T01:55:31,0,90,0,90
2023-05-25T02:07:07,0,90,0,90
2023-05-25T02:18:43,0,90,0,90
2023-05-25T02:30:18,0,90,0,90
2023-05-25T02:41:52,0,90,0,90
2023-05-25T02:53:25,0,90,0,90
2023-05-25T03:04:58,0,90,0,90
2023-05-25T03:16:37,0,90,0,90
2023-05-25T03:28:35,0,90,0,90
2023-05-25T03:40:12,0,90,0,90
2023-05-25T03:51:48,0,90,0,90
2023-05-25T04:03:23,0,90,0,90
2023-05-25T04:23:10,0,90,0,90
2023-05-25T04:34:47,0,90,0,90
2023-05-25T04:46:24,0,90,0,90
2023-05-25T04:57:59,0,90,0,90
2023-05-25T05:09:36,0,90,0,90
2023-05-25T05:21:13,0,90,0,90
2023-05-25T05:32:49,0,90,0,90
2023-05-25T05:44:25,0,90,0,90
2023-05-25T05:56:02,0,90,0,90
2023-05-25T06:07:38,0,90,0,90
2023-05-25T06:19:13,0,90,0,90
2023-05-25T06:30:48,0,90,0,90
2023-05-25T06:42:23,0,90,0,90
2023-05-25T06:53:58,0,90,0,90
2023-05-25T07:05:34,0,90,0,90
2023-05-25T07:17:09,0,90,0,90
2023-05-25T07:28:43,0,90,0,90
2023-05-25T07:40:19,0,90,0,90
2023-05-25T07:51:55,0,90,0,90
2023-05-25T08:03:30,0,90,0,90
2023-05-25T08:15:04,0,90,0,90
2023-05-25T08:26:48,0,90,0,90
2023-05-25T08:38:21,0,90,0,90
2023-05-25T08:49:54,0,90,0,90
2023-05-25T09:01:27,0,90,0,90
2023-05-25T09:13:00,0,90,0,90
2023-05-25T09:24:33,0,90,0,90
2023-05-25T09:36:06,0,90,0,90
2023-05-25T09:47:38,0,90,0,90
2023-05-25T09:59:12,0,90,0,90
2023-05-25T10:10:56,0,90,0,90
2023-05-25T10:22:29,0,90,0,90
2023-05-25T10:34:02,0,90,0,90
2023-05-25T10:45:34,0,90,0,90
2023-05-25T10:57:17,0,90,0,90
2023-05-25T11:08:49,0,90,0,90
2023-05-25T11:20:23,0,90,0,90
2023-05-25T11:31:55,0,90,0,90
2023-05-25T11:43:28,0,90,0,90
2023-05-25T11:55:12,0,90,0,90
2023-05-25T12:06:45,0,90,0,90
2023-05-25T12:18:18,0,90,0,90
2023-05-25T12:29:51,0,90,0,90
2023-05-25T12:41:24,0,90,0,90
2023-05-25T12:52:57,0,90,0,90
2023-05-25T13:04:40,0,90,0,90
2023-05-25T13:16:12,0,90,0,90
2023-05-25T13:27:46,0,90,0,90
2023-05-25T13:39:19,0,90,0,90
2023-05-25T13:50:52,0,90,0,90
2023-05-25T14:02:36,0,90,0,90
2023-05-25T14:14:10,0,90,0,90
2023-05-25T14:25:43,0,90,0,90
2023-05-25T14:37:16,0,90,0,90
2023-05-25T14:48:49,0,90,0,90
2023-05-25T15:00:33,0,90,0,90
2023-05-25T15:12:07,0,90,0,90
2023-05-25T15:23:41,0,90,0,90
2023-05-25T15:35:16,0,90,0,90
2023-05-25T15:46:50,0,90,0,90
2023-05-25T15:58:25,0,90,0,90
2023-05-25T16:10:10,0,90,0,90
2023-05-25T16:21:45,0,90,0,90
2023-05-25T16:33:20,0,90,0,90
2023-05-25T16:44:55,0,90,0,90
2023-05-25T16:56:30,0,90,0,90
2023-05-25T17:08:07,0,90,0,90
2023-05-25T17:19:55,0,90,0,90
2023-05-25T17:31:30,0,90,0,90
2023-05-25T17:43:05,0,90,0,90
2023-05-25T17:54:41,0,90,0,90
2023-05-25T18:06:18,0,90,0,90
2023-05-25T18:17:54,0,90,0,90
2023-05-25T18:29:29,0,90,0,90
2023-05-25T18:41:15,0,90,0,90
2023-05-25T18:52:51,0,90,0,90
2023-05-25T19:04:27,0,90,0,90
2023-05-25T19:16:03,0,90,0,90
2023-05-25T19:27:38,0,90,0,90
2023-05-25T19:39:14,0,90,0,90
2023-05-25T19:51:00,0,90,0,90
2023-05-25T20:02:36,0,90,0,90
2023-05-25T20:14:12,0,90,0,90
2023-05-25T20:25:48,0,90,0,90
2023-05-25T20:37:23,0,90,0,90
2023-05-25T20:48:59,0,90,0,90
2023-05-25T21:00:34,0,90,0,90
2023-05-25T21:12:11,0,90,0,90
2023-05-25T21:23:57,0,90,0,90
2023-05-25T21:35:33,0,90,0,90
2023-05-25T21:47:09,0,90,0,90
2023-05-25T21:58:44,0,90,0,90
2023-05-25T22:10:20,0,90,0,90
2023-05-25T22:21:55,0,90,0,90
2023-05-25T22:33:31,0,90,0,90
2023-05-25T22:45:17,0,90,0,90
2023-05-25T22:56:52,0,90,0,90
2023-05-25T23:08:31,0,90,0,90
2023-05-25T23:20:06,0,90,0,90
2023-05-25T23:31:42,0,90,0,90
2023-05-25T23:43:18,0,90,0,90
2023-05-25T23:54:55,0,90,0,90
2023-05-26T00:06:50,0,90,0,90
2023-05-26T00:18:30,0,90,0,90
2023-05-26T00:30:09,0,90,0,90
2023-05-26T00:41:48,0,90,0,90
2023-05-26T00:53:27,0,90,0,90
2023-05-26T01:05:06,0,90,0,90
2023-05-26T01:16:45,0,90,0,90
2023-05-26T01:28:23,0,90,0,90
2023-05-26T01:40:01,0,90,0,90
2023-05-26T01:51:49,0,90,0,90
2023-05-26T02:03:31,0,90,0,90
2023-05-26T02:15:09,0,90,0,90
2023-05-26T02:26:46,0,90,0,90
2023-05-26T02:38:25,0,90,0,90
2023-05-26T02:50:14,0,90,0,90
2023-05-26T03:01:55,0,90,0,90
2023-05-26T03:13:34,0,90,0,90
2023-05-26T03:25:15,0,90,0,90
2023-05-26T03:36:53,0,90,0,90
2023-05-26T03:48:32,0,90,0,90
2023-05-26T04:00:10,0,90,0,90
2023-05-26T04:11:58,0,90,0,90
2023-05-26T04:34:22,0,90,0,90
2023-05-26T04:46:03,0,90,0,90
2023-05-26T04:57:43,0,90,0,90
2023-05-26T05:09:25,0,90,0,90
2023-05-26T05:21:05,0,90,0,90
2023-05-26T05:32:43,0,90,0,90
2023-05-26T05:44:22,0,90,0,90
2023-05-26T05:56:01,0,90,0,90
2023-05-26T06:07:39,0,90,0,90
2023-05-26T06:19:19,0,90,0,90
2023-05-26T06:30:58,0,90,0,90
2023-05-26T06:42:36,0,90,0,90
2023-05-26T06:54:14,0,90,0,90
2023-05-26T07:05:53,0,90,0,90
2023-05-26T07:17:31,0,90,0,90
2023-05-26T07:29:10,0,90,0,90
2023-05-26T07:40:55,0,90,0,90
2023-05-26T07:52:33,0,90,0,90
2023-05-26T08:04:09,0,90,0,90
2023-05-26T08:15:45,0,90,0,90
2023-05-26T08:27:21,0,90,0,90
2023-05-26T08:38:57,0,90,0,90
2023-05-26T08:50:33,0,90,0,90
2023-05-26T09:02:09,0,90,0,90
2023-05-26T09:13:46,0,90,0,90
2023-05-26T09:25:22,0,90,0,90
2023-05-26T09:37:09,0,90,0,90
2023-05-26T09:48:45,0,90,0,90
2023-05-26T10:00:21,0,90,0,90
2023-05-26T10:11:58,0,90,0,90
2023-05-26T10:23:34,1,89,0,90
2023-05-26T10:35:10,1,89,0,90
2023-05-26T10:46:58,1,89,0,90
2023-05-26T10:58:34,1,89,0,90
2023-05-26T11:10:11,1,89,0,90
2023-05-26T11:21:48,1,89,0,90
2023-05-26T11:33:24,1,89,0,90
2023-05-26T11:45:10,1,89,0,90
2023-05-26T11:56:46,1,89,0,90
2023-05-26T12:08:23,1,89,0,90
2023-05-26T12:19:59,1,89,0,90
2023-05-26T12:31:35,1,89,0,90
2023-05-26T12:43:22,1,89,0,90
2023-05-26T12:54:58,1,89,0,90
2023-05-26T13:06:34,1,89,0,90
2023-05-26T13:18:09,1,89,0,90
2023-05-26T13:29:55,1,89,0,90
2023-05-26T13:41:32,1,89,0,90
2023-05-26T13:53:08,1,89,0,90
2023-05-26T14:04:44,1,89,0,90
2023-05-26T14:16:19,1,89,0,90
2023-05-26T14:28:06,1,89,0,90
2023-05-26T14:39:43,1,89,0,90
2023-05-26T14:51:19,1,89,0,90
2023-05-26T15:02:55,1,89,0,90
2023-05-26T15:14:33,1,89,0,90
2023-05-26T15:26:20,1,89,0,90
2023-05-26T15:37:55,1,89,0,90
2023-05-26T15:49:30,1,89,0,90
2023-05-26T16:01:07,1,89,0,90
2023-05-26T16:12:43,1,89,0,90
2023-05-26T16:24:18,2,88,0,90
2023-05-26T16:36:04,2,88,0,90
2023-05-26T16:47:40,2,88,0,90
2023-05-26T16:59:15,2,88,0,90
2023-05-26T17:10:52,2,88,0,90
2023-05-26T17:22:28,2,88,0,90
2023-05-26T17:34:04,2,88,0,90
2023-05-26T17:45:50,2,88,0,90
2023-05-26T17:57:25,2,88,0,90
2023-05-26T18:09:01,2,88,0,90
2023-05-26T18:20:37,2,88,0,90
2023-05-26T18:32:12,2,88,0,90
2023-05-26T18:43:48,2,88,0,90
2023-05-26T18:55:34,2,88,0,90
2023-05-26T19:07:10,3,87,0,90
2023-05-26T19:18:47,3,87,0,90
2023-05-26T19:30:23,3,87,0,90
2023-05-26T19:41:58,3,87,0,90
2023-05-26T19:53:33,3,87,0,90
2023-05-26T20:05:10,3,87,0,90
2023-05-26T20:16:55,3,87,0,90
2023-05-26T20:28:31,4,86,0,90
2023-05-26T20:40:06,4,86,0,90
2023-05-26T20:51:41,5,85,0,90
2023-05-26T21:03:17,5,85,0,90
2023-05-26T21:14:54,5,85,0,90
2023-05-26T21:26:30,5,85,0,90
2023-05-26T21:38:06,5,85,0,90
2023-05-26T21:49:52,5,85,0,90
2023-05-26T22:01:28,5,85,0,90
2023-05-26T22:13:04,5,85,0,90
2023-05-26T22:24:40,5,85,0,90
2023-05-26T22:36:17,5,85,0,90
2023-05-26T22:47:52,5,85,0,90
2023-05-26T22:59:28,5,85,0,90
2023-05-26T23:11:17,5,85,0,90
2023-05-26T23:22:53,5,85,0,90
2023-05-26T23:34:30,5,85,0,90
2023-05-26T23:46:06,5,85,0,90
2023-05-26T23:57:42,5,85,0,90
2023-05-27T00:09:20,5,85,0,90
2023-05-27T00:21:01,5,85,0,90
2023-05-27T00:32:39,5,85,0,90
2023-05-27T00:44:18,5,85,0,90
2023-05-27T00:55:57,5,85,0,90
2023-05-27T01:07:36,5,85,0,90
2023-05-27T01:19:25,5,85,0,90
2023-05-27T01:31:04,5,85,0,90
2023-05-27T01:42:43,5,85,0,90
2023-05-27T01:54:22,5,85,0,90
2023-05-27T02:06:00,5,85,0,90
2023-05-27T02:17:38,5,85,0,90
2023-05-27T02:29:15,5,85,0,90
2023-05-27T02:40:52,5,85,0,90
2023-05-27T02:52:28,5,85,0,90
2023-05-27T03:04:04,5,85,0,90
2023-05-27T03:15:42,5,85,0,90
2023-05-27T03:27:20,5,85,0,90
2023-05-27T03:38:57,5,85,0,90
2023-05-27T03:50:35,5,85,0,90
2023-05-27T04:02:14,5,85,0,90
2023-05-27T04:14:07,5,85,0,90
2023-05-27T04:36:10,5,85,0,90
2023-05-27T04:48:39,5,85,0,90
2023-05-27T05:00:19,5,85,0,90
2023-05-27T05:11:57,5,85,0,90
2023-05-27T05:23:37,5,85,0,90
2023-05-27T05:35:15,5,85,0,90
2023-05-27T05:46:56,5,85,0,90
2023-05-27T05:58:34,5,85,0,90
2023-05-27T06:10:12,5,85,0,90
2023-05-27T06:21:53,5,85,0,90
2023-05-27T06:33:32,5,85,0,90
2023-05-27T06:45:10,5,85,0,90
2023-05-27T06:56:49,5,85,0,90
2023-05-27T07:08:27,5,85,0,90
2023-05-27T07:20:05,5,85,0,90
2023-05-27T07:31:43,5,85,0,90
2023-05-27T07:43:20,5,85,0,90
2023-05-27T07:55:11,5,85,0,90
2023-05-27T08:06:48,5,85,0,90
2023-05-27T08:18:26,5,85,0,90
2023-05-27T08:30:04,5,85,0,90
2023-05-27T08:41:43,5,85,0,90
2023-05-27T08:53:21,5,85,0,90
2023-05-27T09:04:58,6,84,0,90
2023-05-27T09:16:36,6,84,0,90
2023-05-27T09:28:15,6,84,0,90
2023-05-27T09:39:53,6,84,0,90
2023-05-27T09:51:31,7,83,0,90
2023-05-27T10:03:08,7,83,0,90
2023-05-27T10:15:02,7,83,0,90
2023-05-27T10:26:39,7,83,0,90
2023-05-27T10:38:17,7,83,0,90
2023-05-27T10:49:53,7,83,0,90
2023-05-27T11:01:30,7,83,0,90
2023-05-27T11:13:06,7,83,0,90
2023-05-27T11:24:41,7,83,0,90
2023-05-27T11:36:16,7,83,0,90
2023-05-27T11:47:51,7,83,0,90
2023-05-27T11:59:26,7,83,0,90
2023-05-27T12:11:11,7,83,0,90
2023-05-27T12:22:46,7,83,0,90
2023-05-27T12:34:21,7,83,0,90
2023-05-27T12:45:56,7,83,0,90
2023-05-27T12:57:32,7,83,0,90
2023-05-27T13:09:07,7,83,0,90
2023-05-27T13:20:42,7,83,0,90
2023-05-27T13:32:37,7,83,0,90
2023-05-27T13:44:12,7,83,0,90
2023-05-27T13:55:47,7,83,0,90
2023-05-27T14:07:23,7,83,0,90
2023-05-27T14:18:59,7,83,0,90
2023-05-27T14:30:34,7,83,0,90
2023-05-27T14:42:09,7,83,0,90
2023-05-27T14:53:44,7,83,0,90
2023-05-27T15:05:30,7,83,0,90
2023-05-27T15:17:05,7,83,0,90
2023-05-27T15:28:40,7,83,0,90
2023-05-27T15:40:15,7,83,0,90
2023-05-27T15:51:50,7,83,0,90
2023-05-27T16:03:25,7,83,0,90
2023-05-27T16:15:00,7,83,0,90
2023-05-27T16:26:45,7,83,0,90
2023-05-27T16:38:20,7,83,0,90
2023-05-27T16:49:56,6,84,0,90
2023-05-27T17:01:31,6,84,0,90
2023-05-27T17:13:09,6,84,0,90
2023-05-27T17:24:45,6,84,0,90
2023-05-27T17:36:21,6,84,0,90
2023-05-27T17:48:06,6,84,0,90
2023-05-27T17:59:41,6,84,0,90
2023-05-27T18:11:17,6,84,0,90
2023-05-27T18:22:52,7,83,0,90
2023-05-27T18:34:28,7,83,0,90
2023-05-27T18:46:02,7,83,0,90
2023-05-27T18:57:38,7,83,0,90
2023-05-27T19:09:34,7,83,0,90
2023-05-27T19:21:09,7,83,0,90
2023-05-27T19:32:45,8,82,0,90
2023-05-27T19:44:21,8,82,0,90
2023-05-27T19:55:56,8,82,0,90
2023-05-27T20:07:31,8,82,0,90
2023-05-27T20:19:07,8,82,0,90
2023-05-27T20:30:42,8,82,0,90
2023-05-27T20:42:17,8,82,0,90
2023-05-27T20:54:02,8,82,0,90
2023-05-27T21:05:37,8,82,0,90
2023-05-27T21:17:12,9,81,0,90
2023-05-27T21:28:48,9,81,0,90
2023-05-27T21:40:23,10,80,0,90
2023-05-27T21:51:58,10,80,0,90
2023-05-27T22:03:34,10,80,0,90
2023-05-27T22:15:18,10,80,0,90
2023-05-27T22:26:54,10,80,0,90
2023-05-27T22:38:30,10,80,0,90
2023-05-27T22:50:05,10,80,0,90
2023-05-27T23:01:42,10,80,0,90
2023-05-27T23:13:20,10,80,0,90
2023-05-27T23:24:56,10,80,0,90
2023-05-27T23:36:49,11,79,0,90
2023-05-27T23:48:24,11,79,0,90
2023-05-27T23:59:59,11,79,0,90
2023-05-28T00:11:37,11,79,0,90
2023-05-28T00:23:17,11,79,0,90
2023-05-28T00:34:55,11,79,0,90
2023-05-28T00:46:32,11,79,0,90
2023-05-28T00:58:09,11,79,0,90
2023-05-28T01:09:45,11,79,0,90
2023-05-28T01:21:22,11,79,0,90
2023-05-28T01:33:07,11,79,0,90
2023-05-28T01:44:42,11,79,0,90
2023-05-28T01:56:18,11,79,0,90
2023-05-28T02:07:54,11,79,0,90
2023-05-28T02:19:30,11,79,0,90
2023-05-28T02:31:07,12,78,0,90
2023-05-28T02:42:47,11,79,0,90
2023-05-28T02:54:27,11,79,0,90
2023-05-28T03:06:08,11,79,0,90
2023-05-28T03:17:48,12,78,0,90
2023-05-28T03:29:28,12,78,0,90
2023-05-28T03:41:18,12,78,0,90
2023-05-28T03:53:54,12,78,0,90
2023-05-28T04:05:53,12,78,0,90
2023-05-28T04:31:33,12,78,0,90
2023-05-28T04:44:45,12,78,0,90
2023-05-28T04:56:26,12,78,0,90
2023-05-28T05:08:06,12,78,0,90
2023-05-28T05:19:43,12,78,0,90
