time,enrolled,available,waitlisted,total
2023-07-25T14:34:44,0,20,0,20
2023-07-25T14:47:13,0,20,0,20
2023-07-25T14:59:42,0,20,0,20
2023-07-25T15:12:10,0,20,0,20
2023-07-25T15:24:50,0,20,0,20
2023-07-25T15:37:19,0,20,0,20
2023-07-25T15:49:48,0,20,0,20
2023-07-25T16:02:17,0,20,0,20
2023-07-25T16:14:45,0,20,0,20
2023-07-25T16:27:14,0,20,0,20
2023-07-25T16:39:43,0,20,0,20
2023-07-25T16:52:12,0,20,0,20
2023-07-25T17:04:41,0,20,0,20
2023-07-25T17:17:23,0,20,0,20
2023-07-25T17:29:52,0,20,0,20
2023-07-25T17:42:21,0,20,0,20
2023-07-25T17:54:50,0,20,0,20
2023-07-25T18:07:19,0,20,0,20
2023-07-25T18:19:48,0,20,0,20
2023-07-25T18:32:17,0,20,0,20
2023-07-25T18:44:46,0,20,0,20
2023-07-25T18:57:14,0,20,0,20
2023-07-25T19:09:44,0,20,0,20
2023-07-25T19:22:23,0,20,0,20
2023-07-25T19:34:52,0,20,0,20
2023-07-25T19:47:21,0,20,0,20
2023-07-25T19:59:50,0,20,0,20
2023-07-25T20:12:19,0,20,0,20
2023-07-25T20:24:49,0,20,0,20
2023-07-25T20:37:17,0,20,0,20
2023-07-25T20:49:46,0,20,0,20
2023-07-25T21:02:15,0,20,0,20
2023-07-25T21:14:44,0,20,0,20
2023-07-25T21:27:13,0,20,0,20
2023-07-25T21:39:42,0,20,0,20
2023-07-25T21:52:10,0,20,0,20
2023-07-25T22:04:40,0,20,0,20
2023-07-25T22:17:21,0,20,0,20
2023-07-25T22:29:50,0,20,0,20
2023-07-25T22:42:20,0,20,0,20
2023-07-25T22:54:48,0,20,0,20
2023-07-25T23:07:18,0,20,0,20
2023-07-25T23:19:48,0,20,0,20
2023-07-25T23:32:18,0,20,0,20
2023-07-25T23:44:47,0,20,0,20
2023-07-25T23:57:17,0,20,0,20
2023-07-26T00:09:48,0,20,0,20
2023-07-26T00:22:24,0,20,0,20
2023-07-26T00:34:55,0,20,0,20
2023-07-26T00:47:28,0,20,0,20
2023-07-26T01:00:02,0,20,0,20
2023-07-26T01:12:35,0,20,0,20
2023-07-26T01:25:17,0,20,0,20
2023-07-26T01:37:51,0,20,0,20
2023-07-26T01:50:27,0,20,0,20
2023-07-26T02:03:02,0,20,0,20
2023-07-26T02:15:36,0,20,0,20
2023-07-26T02:28:10,0,20,0,20
2023-07-26T02:40:43,0,20,0,20
2023-07-26T02:53:14,0,20,0,20
2023-07-26T03:05:47,0,20,0,20
2023-07-26T03:18:19,0,20,0,20
2023-07-26T03:30:51,0,20,0,20
2023-07-26T03:43:23,0,20,0,20
2023-07-26T03:55:56,0,20,0,20
2023-07-26T04:08:29,0,20,0,20
2023-07-26T04:35:14,0,20,0,20
2023-07-26T04:47:48,0,20,0,20
2023-07-26T05:00:22,0,20,0,20
2023-07-26T05:12:56,0,20,0,20
2023-07-26T05:25:28,0,20,0,20
2023-07-26T05:38:01,0,20,0,20
2023-07-26T05:50:33,0,20,0,20
2023-07-26T06:03:06,0,20,0,20
2023-07-26T06:15:37,0,20,0,20
2023-07-26T06:28:08,0,20,0,20
2023-07-26T06:40:40,0,20,0,20
2023-07-26T06:53:11,0,20,0,20
2023-07-26T07:05:43,0,20,0,20
2023-07-26T07:18:14,0,20,0,20
2023-07-26T07:30:42,0,20,0,20
2023-07-26T07:43:12,0,20,0,20
2023-07-26T07:55:43,0,20,0,20
2023-07-26T08:08:15,0,20,0,20
2023-07-26T08:20:47,0,20,0,20
2023-07-26T08:33:19,0,20,0,20
2023-07-26T08:46:00,0,20,0,20
2023-07-26T08:58:30,0,20,0,20
2023-07-26T09:10:59,0,20,0,20
2023-07-26T09:23:28,0,20,0,20
2023-07-26T09:35:57,0,20,0,20
2023-07-26T09:48:26,0,20,0,20
2023-07-26T10:00:56,0,20,0,20
2023-07-26T10:13:25,0,20,0,20
2023-07-26T10:25:54,0,20,0,20
2023-07-26T10:38:23,0,20,0,20
2023-07-26T10:50:52,0,20,0,20
2023-07-26T11:03:31,0,20,0,20
2023-07-26T11:16:00,0,20,0,20
2023-07-26T11:28:29,0,20,0,20
2023-07-26T11:40:58,0,20,0,20
2023-07-26T11:53:27,0,20,0,20
2023-07-26T12:05:56,0,20,0,20
2023-07-26T12:18:25,0,20,0,20
2023-07-26T12:30:54,0,20,0,20
2023-07-26T12:43:23,0,20,0,20
2023-07-26T12:55:52,0,20,0,20
2023-07-26T13:08:33,0,20,0,20
2023-07-26T13:21:02,0,20,0,20
2023-07-26T13:33:30,0,20,0,20
2023-07-26T13:45:59,0,20,0,20
2023-07-26T13:58:39,0,20,0,20
2023-07-26T14:11:07,0,20,0,20
2023-07-26T14:23:35,0,20,0,20
2023-07-26T14:36:04,0,20,0,20
2023-07-26T14:48:33,0,20,0,20
2023-07-26T15:01:02,0,20,0,20
2023-07-26T15:13:31,0,20,0,20
2023-07-26T15:26:00,0,20,0,20
2023-07-26T15:38:29,0,20,0,20
2023-07-26T15:51:10,0,20,0,20
2023-07-26T16:03:39,0,20,0,20
2023-07-26T16:16:07,0,20,0,20
2023-07-26T16:28:36,0,20,0,20
2023-07-26T16:41:05,0,20,0,20
2023-07-26T16:53:34,0,20,0,20
2023-07-26T17:06:03,0,20,0,20
2023-07-26T17:18:33,0,20,0,20
2023-07-26T17:31:01,0,20,0,20
2023-07-26T17:43:30,0,20,0,20
2023-07-26T17:56:10,0,20,0,20
2023-07-26T18:08:38,0,20,0,20
2023-07-26T18:21:07,0,20,0,20
2023-07-26T18:33:37,0,20,0,20
2023-07-26T18:46:05,0,20,0,20
2023-07-26T18:58:34,0,20,0,20
2023-07-26T19:11:03,0,20,0,20
2023-07-26T19:23:32,0,20,0,20
2023-07-26T19:36:01,0,20,0,20
2023-07-26T19:48:30,0,20,0,20
2023-07-26T20:00:59,0,20,0,20
2023-07-26T20:13:39,0,20,0,20
2023-07-26T20:26:08,0,20,0,20
2023-07-26T20:38:37,0,20,0,20
2023-07-26T20:51:06,0,20,0,20
2023-07-26T21:03:35,0,20,0,20
2023-07-26T21:16:04,0,20,0,20
2023-07-26T21:28:32,0,20,0,20
2023-07-26T21:41:01,0,20,0,20
2023-07-26T21:53:30,0,20,0,20
2023-07-26T22:05:59,0,20,0,20
2023-07-26T22:18:28,0,20,0,20
2023-07-26T22:30:57,0,20,0,20
2023-07-26T22:43:26,0,20,0,20
2023-07-26T22:55:54,0,20,0,20
2023-07-26T23:08:34,0,20,0,20
2023-07-26T23:21:03,0,20,0,20
2023-07-26T23:33:33,0,20,0,20
2023-07-26T23:46:03,0,20,0,20
2023-07-26T23:58:32,0,20,0,20
2023-07-27T00:11:02,0,20,0,20
2023-07-27T00:23:36,0,20,0,20
2023-07-27T00:36:08,0,20,0,20
2023-07-27T00:48:42,0,20,0,20
2023-07-27T01:01:15,0,20,0,20
2023-07-27T01:13:48,0,20,0,20
2023-07-27T01:26:20,0,20,0,20
2023-07-27T01:38:53,0,20,0,20
2023-07-27T01:51:26,0,20,0,20
2023-07-27T02:03:58,0,20,0,20
2023-07-27T02:16:29,0,20,0,20
2023-07-27T02:29:10,0,20,0,20
2023-07-27T02:41:40,0,20,0,20
2023-07-27T02:54:09,0,20,0,20
2023-07-27T03:06:39,0,20,0,20
2023-07-27T03:19:10,0,20,0,20
2023-07-27T03:31:41,0,20,0,20
2023-07-27T03:44:12,0,20,0,20
2023-07-27T03:56:44,0,20,0,20
2023-07-27T04:24:42,0,20,0,20
2023-07-27T04:37:16,0,20,0,20
2023-07-27T04:49:50,0,20,0,20
2023-07-27T05:02:22,0,20,0,20
2023-07-27T05:14:56,0,20,0,20
2023-07-27T05:27:28,0,20,0,20
