time,enrolled,available,waitlisted,total
2023-05-25T01:21:02,0,15,0,15
2023-05-25T01:32:38,0,15,0,15
2023-05-25T01:44:22,0,15,0,15
2023-05-25T01:55:58,0,15,0,15
2023-05-25T02:07:33,0,15,0,15
2023-05-25T02:19:10,0,15,0,15
2023-05-25T02:30:44,0,15,0,15
2023-05-25T02:42:18,0,15,0,15
2023-05-25T02:53:51,0,15,0,15
2023-05-25T03:05:24,0,15,0,15
2023-05-25T03:17:03,0,15,0,15
2023-05-25T03:29:01,0,15,0,15
2023-05-25T03:40:38,0,15,0,15
2023-05-25T03:52:14,0,15,0,15
2023-05-25T04:03:49,0,15,0,15
2023-05-25T04:23:37,0,15,0,15
2023-05-25T04:35:13,0,15,0,15
2023-05-25T04:46:50,0,15,0,15
2023-05-25T04:58:26,0,15,0,15
2023-05-25T05:10:02,0,15,0,15
2023-05-25T05:21:39,0,15,0,15
2023-05-25T05:33:16,0,15,0,15
2023-05-25T05:44:51,0,15,0,15
2023-05-25T05:56:28,0,15,0,15
2023-05-25T06:08:04,0,15,0,15
2023-05-25T06:19:39,0,15,0,15
2023-05-25T06:31:14,0,15,0,15
2023-05-25T06:42:49,0,15,0,15
2023-05-25T06:54:24,0,15,0,15
2023-05-25T07:06:00,0,15,0,15
2023-05-25T07:17:35,0,15,0,15
2023-05-25T07:29:09,0,15,0,15
2023-05-25T07:40:45,0,15,0,15
2023-05-25T07:52:21,0,15,0,15
2023-05-25T08:03:56,0,15,0,15
2023-05-25T08:15:30,0,15,0,15
2023-05-25T08:27:14,0,15,0,15
2023-05-25T08:38:48,0,15,0,15
2023-05-25T08:50:20,0,15,0,15
2023-05-25T09:01:53,0,15,0,15
2023-05-25T09:13:26,0,15,0,15
2023-05-25T09:24:59,0,15,0,15
2023-05-25T09:36:31,0,15,0,15
2023-05-25T09:48:04,0,15,0,15
2023-05-25T09:59:38,0,15,0,15
2023-05-25T10:11:22,0,15,0,15
2023-05-25T10:22:55,0,15,0,15
2023-05-25T10:34:28,0,15,0,15
2023-05-25T10:46:00,0,15,0,15
2023-05-25T10:57:43,0,15,0,15
