time,enrolled,available,waitlisted,total
2023-07-24T16:15:34,0,0,0,0
2023-07-24T16:28:01,0,0,0,0
2023-07-24T16:40:40,0,0,0,0
2023-07-24T16:53:07,0,0,0,0
2023-07-24T17:05:34,0,0,0,0
2023-07-24T17:18:02,0,0,0,0
2023-07-24T17:30:29,0,0,0,0
2023-07-24T17:42:55,0,0,0,0
2023-07-24T17:55:22,0,0,0,0
2023-07-24T18:07:49,0,0,0,0
2023-07-24T18:20:16,0,0,0,0
2023-07-24T18:32:43,0,0,0,0
2023-07-24T18:45:10,0,0,0,0
2023-07-24T18:57:37,0,0,0,0
2023-07-24T19:10:05,0,0,0,0
2023-07-24T19:22:33,0,0,0,0
2023-07-24T19:35:00,0,0,0,0
2023-07-24T19:47:37,0,0,0,0
2023-07-24T20:00:04,0,0,0,0
2023-07-24T20:12:31,0,0,0,0
2023-07-24T20:24:58,0,0,0,0
2023-07-24T20:37:25,0,0,0,0
2023-07-24T20:49:52,0,0,0,0
2023-07-24T21:02:19,0,0,0,0
2023-07-24T21:14:46,0,0,0,0
2023-07-24T21:27:13,0,0,0,0
2023-07-24T21:39:40,0,0,0,0
2023-07-24T21:52:07,0,0,0,0
2023-07-24T22:04:34,0,0,0,0
2023-07-24T22:17:01,0,0,0,0
2023-07-24T22:29:39,0,0,0,0
2023-07-24T22:42:06,0,0,0,0
2023-07-24T22:54:33,0,0,0,0
2023-07-24T23:07:01,0,0,0,0
2023-07-24T23:19:28,0,0,0,0
2023-07-24T23:31:56,0,0,0,0
2023-07-24T23:44:24,0,0,0,0
2023-07-24T23:56:51,0,0,0,0
2023-07-25T00:09:20,0,0,0,0
2023-07-25T00:21:53,0,0,0,0
2023-07-25T00:34:23,0,0,0,0
2023-07-25T00:46:54,0,0,0,0
2023-07-25T00:59:24,0,0,0,0
2023-07-25T01:11:55,0,0,0,0
2023-07-25T01:24:26,0,0,0,0
2023-07-25T01:36:57,0,0,0,0
2023-07-25T01:49:38,0,0,0,0
2023-07-25T02:02:10,0,0,0,0
2023-07-25T02:14:39,0,0,0,0
2023-07-25T02:27:08,0,0,0,0
2023-07-25T02:39:37,0,0,0,0
2023-07-25T02:52:05,0,0,0,0
2023-07-25T03:04:32,0,0,0,0
2023-07-25T03:17:01,0,0,0,0
2023-07-25T03:29:30,0,0,0,0
2023-07-25T03:41:59,0,0,0,0
2023-07-25T03:54:28,0,0,0,0
2023-07-25T04:23:17,0,0,0,0
2023-07-25T04:35:48,0,0,0,0
2023-07-25T04:48:20,0,0,0,0
2023-07-25T05:00:52,0,0,0,0
2023-07-25T05:13:23,0,0,0,0
2023-07-25T05:25:53,0,0,0,0
2023-07-25T05:38:23,0,0,0,0
2023-07-25T05:50:54,0,0,0,0
2023-07-25T06:03:24,0,0,0,0
2023-07-25T06:15:53,0,0,0,0
2023-07-25T06:28:24,0,0,0,0
2023-07-25T06:40:54,0,0,0,0
2023-07-25T06:53:24,0,0,0,0
2023-07-25T07:05:53,0,0,0,0
2023-07-25T07:18:21,0,0,0,0
2023-07-25T07:30:50,0,0,0,0
2023-07-25T07:43:19,0,0,0,0
2023-07-25T07:55:47,0,0,0,0
2023-07-25T08:08:16,0,0,0,0
2023-07-25T08:20:44,0,0,0,0
2023-07-25T08:33:14,0,0,0,0
2023-07-25T08:45:52,0,0,0,0
2023-07-25T08:58:20,0,0,0,0
2023-07-25T09:10:49,0,0,0,0
2023-07-25T09:23:19,0,0,0,0
2023-07-25T09:35:49,0,0,0,0
2023-07-25T09:48:19,0,0,0,0
2023-07-25T10:00:46,0,0,0,0
2023-07-25T10:13:14,0,0,0,0
2023-07-25T10:25:44,0,0,0,0
2023-07-25T10:38:11,0,0,0,0
2023-07-25T10:50:38,0,0,0,0
2023-07-25T11:03:15,0,0,0,0
2023-07-25T11:15:43,0,0,0,0
2023-07-25T11:28:11,0,0,0,0
2023-07-25T11:40:38,0,0,0,0
2023-07-25T11:53:06,0,0,0,0
2023-07-25T12:05:33,0,0,0,0
2023-07-25T12:18:10,0,0,0,0
2023-07-25T12:30:38,0,0,0,0
2023-07-25T12:43:05,0,0,0,0
2023-07-25T12:55:32,0,0,0,0
2023-07-25T13:08:00,0,0,0,0
2023-07-25T13:20:27,0,0,0,0
2023-07-25T13:32:54,0,0,0,0
2023-07-25T13:45:32,0,0,0,0
2023-07-25T13:57:59,0,0,0,0
2023-07-25T14:10:28,0,0,0,0
2023-07-25T14:22:56,0,0,0,0
2023-07-25T14:35:25,0,0,0,0
2023-07-25T14:47:53,0,0,0,0
2023-07-25T15:00:22,0,0,0,0
2023-07-25T15:12:50,0,0,0,0
2023-07-25T15:25:31,0,0,0,0
2023-07-25T15:37:59,0,0,0,0
2023-07-25T15:50:28,0,0,0,0
2023-07-25T16:02:57,0,0,0,0
2023-07-25T16:15:25,0,0,0,0
2023-07-25T16:27:54,0,0,0,0
2023-07-25T16:40:23,0,0,0,0
2023-07-25T16:52:52,0,0,0,0
2023-07-25T17:05:21,0,0,0,0
2023-07-25T17:18:03,0,0,0,0
2023-07-25T17:30:32,0,0,0,0
2023-07-25T17:43:01,0,0,0,0
2023-07-25T17:55:30,0,0,0,0
2023-07-25T18:07:59,0,0,0,0
2023-07-25T18:20:28,0,0,0,0
2023-07-25T18:32:57,0,0,0,0
2023-07-25T18:45:26,0,0,0,0
2023-07-25T18:57:54,0,0,0,0
