time,enrolled,available,waitlisted,total
2023-06-14T14:04:58,0,30,0,30
2023-06-14T14:17:03,0,30,0,30
2023-06-14T14:29:12,0,30,0,30
2023-06-14T14:41:28,0,30,0,30
2023-06-14T14:53:54,0,30,0,30
2023-06-14T15:06:09,0,30,0,30
2023-06-14T15:18:22,0,30,0,30
2023-06-14T15:30:38,0,30,0,30
2023-06-14T15:42:53,0,30,0,30
2023-06-14T15:55:07,0,30,0,30
2023-06-14T16:07:24,0,30,0,30
2023-06-14T16:19:49,0,30,0,30
2023-06-14T16:32:03,0,30,0,30
2023-06-14T16:44:19,0,30,0,30
2023-06-14T16:56:33,0,30,0,30
2023-06-14T17:08:50,0,30,0,30
2023-06-14T17:21:06,0,30,0,30
2023-06-14T17:33:20,0,30,0,30
2023-06-14T17:45:46,0,30,0,30
2023-06-14T17:58:00,0,30,0,30
2023-06-14T18:10:14,0,30,0,30
2023-06-14T18:22:28,0,30,0,30
2023-06-14T18:34:42,0,30,0,30
2023-06-14T18:46:56,0,30,0,30
2023-06-14T18:59:10,0,30,0,30
2023-06-14T19:11:37,0,30,0,30
2023-06-14T19:23:51,0,30,0,30
2023-06-14T19:36:05,0,30,0,30
2023-06-14T19:48:19,0,30,0,30
2023-06-14T20:00:33,0,30,0,30
2023-06-14T20:12:51,0,30,0,30
2023-06-14T20:25:04,0,30,0,30
2023-06-14T20:37:18,0,30,0,30
2023-06-14T20:49:32,0,30,0,30
2023-06-14T21:01:57,0,30,0,30
2023-06-14T21:14:12,0,30,0,30
2023-06-14T21:26:25,0,30,0,30
2023-06-14T21:38:40,0,30,0,30
2023-06-14T21:50:54,0,30,0,30
2023-06-14T22:03:07,0,30,0,30
2023-06-14T22:15:21,0,30,0,30
2023-06-14T22:27:36,0,30,0,30
2023-06-14T22:40:01,0,30,0,30
2023-06-14T22:52:15,0,30,0,30
2023-06-14T23:04:31,0,30,0,30
2023-06-14T23:16:46,0,30,0,30
2023-06-14T23:29:01,0,30,0,30
2023-06-14T23:41:15,0,30,0,30
2023-06-14T23:53:29,0,30,0,30
2023-06-15T00:05:44,0,30,0,30
2023-06-15T00:18:03,0,30,0,30
2023-06-15T00:30:21,0,30,0,30
2023-06-15T00:42:41,0,30,0,30
2023-06-15T00:55:12,0,30,0,30
2023-06-15T01:07:31,0,30,0,30
2023-06-15T01:19:48,0,30,0,30
2023-06-15T01:32:05,0,30,0,30
2023-06-15T01:44:22,0,30,0,30
2023-06-15T01:56:39,0,30,0,30
2023-06-15T02:08:56,0,30,0,30
2023-06-15T02:21:13,0,30,0,30
2023-06-15T02:33:30,0,30,0,30
2023-06-15T02:45:46,0,30,0,30
2023-06-15T02:58:00,0,30,0,30
2023-06-15T03:10:27,0,30,0,30
2023-06-15T03:22:44,0,30,0,30
2023-06-15T03:35:01,0,30,0,30
2023-06-15T03:47:17,0,30,0,30
