time,enrolled,available,waitlisted,total
2023-05-25T01:21:29,0,0,0,0
2023-05-25T01:33:05,0,0,0,0
2023-05-25T01:44:49,0,0,0,0
2023-05-25T01:56:24,0,0,0,0
2023-05-25T02:08:00,0,0,0,0
2023-05-25T02:19:36,0,0,0,0
2023-05-25T02:31:11,0,0,0,0
2023-05-25T02:42:45,0,0,0,0
2023-05-25T02:54:18,0,0,0,0
2023-05-25T03:05:51,0,0,0,0
2023-05-25T03:17:30,0,0,0,0
2023-05-25T03:29:28,0,0,0,0
2023-05-25T03:41:05,0,0,0,0
2023-05-25T03:52:41,0,0,0,0
2023-05-25T04:04:16,0,0,0,0
2023-05-25T04:24:04,0,0,0,0
2023-05-25T04:35:41,0,0,0,0
2023-05-25T04:47:17,0,0,0,0
2023-05-25T04:58:52,0,0,0,0
2023-05-25T05:10:29,0,0,0,0
2023-05-25T05:22:06,0,0,0,0
2023-05-25T05:33:42,0,0,0,0
2023-05-25T05:45:18,0,0,0,0
2023-05-25T05:56:55,0,0,0,0
2023-05-25T06:08:31,0,0,0,0
2023-05-25T06:20:06,0,0,0,0
2023-05-25T06:31:41,0,0,0,0
2023-05-25T06:43:16,0,0,0,0
2023-05-25T06:54:51,0,0,0,0
2023-05-25T07:06:27,0,0,0,0
2023-05-25T07:18:02,0,0,0,0
2023-05-25T07:29:36,0,0,0,0
2023-05-25T07:41:12,0,0,0,0
2023-05-25T07:52:48,0,0,0,0
2023-05-25T08:04:23,0,0,0,0
2023-05-25T08:15:57,0,0,0,0
2023-05-25T08:27:41,0,0,0,0
2023-05-25T08:39:15,0,0,0,0
2023-05-25T08:50:47,0,0,0,0
2023-05-25T09:02:20,0,0,0,0
2023-05-25T09:13:53,0,0,0,0
2023-05-25T09:25:26,0,0,0,0
2023-05-25T09:36:58,0,0,0,0
2023-05-25T09:48:31,0,0,0,0
2023-05-25T10:00:04,0,0,0,0
2023-05-25T10:11:49,0,0,0,0
2023-05-25T10:23:22,0,0,0,0
2023-05-25T10:34:55,0,0,0,0
2023-05-25T10:46:27,0,0,0,0
2023-05-25T10:58:10,0,0,0,0
2023-05-25T11:09:42,0,0,0,0
2023-05-25T11:21:15,0,0,0,0
2023-05-25T11:32:48,0,0,0,0
2023-05-25T11:44:21,0,0,0,0
2023-05-25T11:56:05,0,0,0,0
2023-05-25T12:07:38,0,0,0,0
2023-05-25T12:19:11,0,0,0,0
2023-05-25T12:30:44,0,0,0,0
2023-05-25T12:42:17,0,0,0,0
2023-05-25T12:53:49,0,0,0,0
2023-05-25T13:05:32,0,0,0,0
2023-05-25T13:17:05,0,0,0,0
2023-05-25T13:28:38,0,0,0,0
2023-05-25T13:40:12,0,0,0,0
2023-05-25T13:51:45,0,0,0,0
2023-05-25T14:03:29,0,0,0,0
2023-05-25T14:15:03,0,0,0,0
2023-05-25T14:26:36,0,0,0,0
2023-05-25T14:38:09,0,0,0,0
2023-05-25T14:49:42,0,0,0,0
2023-05-25T15:01:26,0,0,0,0
2023-05-25T15:13:00,0,0,0,0
2023-05-25T15:24:35,0,0,0,0
2023-05-25T15:36:09,0,0,0,0
2023-05-25T15:47:44,0,0,0,0
2023-05-25T15:59:19,0,0,0,0
2023-05-25T16:11:04,0,0,0,0
2023-05-25T16:22:39,0,0,0,0
2023-05-25T16:34:14,0,0,0,0
2023-05-25T16:45:50,0,0,0,0
2023-05-25T16:57:25,0,0,0,0
2023-05-25T17:09:02,0,0,0,0
2023-05-25T17:20:49,0,0,0,0
2023-05-25T17:32:25,0,0,0,0
2023-05-25T17:44:00,0,0,0,0
2023-05-25T17:55:36,0,0,0,0
2023-05-25T18:07:13,0,0,0,0
2023-05-25T18:18:48,0,0,0,0
2023-05-25T18:30:24,0,0,0,0
2023-05-25T18:42:09,0,0,0,0
2023-05-25T18:53:45,0,0,0,0
2023-05-25T19:05:21,0,0,0,0
2023-05-25T19:16:57,0,0,0,0
2023-05-25T19:28:33,0,0,0,0
2023-05-25T19:40:09,0,0,0,0
2023-05-25T19:51:55,0,0,0,0
2023-05-25T20:03:30,0,0,0,0
2023-05-25T20:15:06,0,0,0,0
2023-05-25T20:26:42,0,0,0,0
2023-05-25T20:38:18,0,0,0,0
2023-05-25T20:49:53,0,0,0,0
2023-05-25T21:01:29,0,0,0,0
2023-05-25T21:13:05,0,0,0,0
2023-05-25T21:24:52,0,0,0,0
2023-05-25T21:36:28,0,0,0,0
