time,enrolled,available,waitlisted,total
2023-05-25T01:21:33,0,20,0,20
2023-05-25T01:33:09,0,20,0,20
2023-05-25T01:44:53,0,20,0,20
2023-05-25T01:56:29,0,20,0,20
2023-05-25T02:08:04,0,20,0,20
2023-05-25T02:19:41,0,20,0,20
2023-05-25T02:31:15,0,20,0,20
2023-05-25T02:42:49,0,20,0,20
2023-05-25T02:54:22,0,20,0,20
2023-05-25T03:05:55,0,20,0,20
2023-05-25T03:17:34,0,20,0,20
2023-05-25T03:29:32,0,20,0,20
2023-05-25T03:41:09,0,20,0,20
2023-05-25T03:52:45,0,20,0,20
2023-05-25T04:04:20,0,20,0,20
2023-05-25T04:24:08,0,20,0,20
2023-05-25T04:35:45,0,20,0,20
2023-05-25T04:47:21,0,20,0,20
2023-05-25T04:58:57,0,20,0,20
2023-05-25T05:10:34,0,20,0,20
2023-05-25T05:22:10,0,20,0,20
2023-05-25T05:33:47,0,20,0,20
2023-05-25T05:45:22,0,20,0,20
2023-05-25T05:56:59,0,20,0,20
2023-05-25T06:08:35,0,20,0,20
2023-05-25T06:20:10,0,20,0,20
2023-05-25T06:31:45,0,20,0,20
2023-05-25T06:43:20,0,20,0,20
2023-05-25T06:54:55,0,20,0,20
2023-05-25T07:06:31,0,20,0,20
2023-05-25T07:18:06,0,20,0,20
2023-05-25T07:29:40,0,20,0,20
2023-05-25T07:41:16,0,20,0,20
2023-05-25T07:52:52,0,20,0,20
2023-05-25T08:04:27,0,20,0,20
2023-05-25T08:16:01,0,20,0,20
2023-05-25T08:27:46,0,20,0,20
2023-05-25T08:39:19,0,20,0,20
2023-05-25T08:50:51,0,20,0,20
2023-05-25T09:02:25,0,20,0,20
2023-05-25T09:13:57,0,20,0,20
2023-05-25T09:25:30,0,20,0,20
2023-05-25T09:37:03,0,20,0,20
2023-05-25T09:48:35,0,20,0,20
2023-05-25T10:00:09,0,20,0,20
2023-05-25T10:11:53,0,20,0,20
2023-05-25T10:23:26,0,20,0,20
2023-05-25T10:34:59,0,20,0,20
2023-05-25T10:46:31,0,20,0,20
2023-05-25T10:58:14,0,20,0,20
2023-05-25T11:09:47,0,20,0,20
2023-05-25T11:21:20,0,20,0,20
2023-05-25T11:32:52,0,20,0,20
2023-05-25T11:44:25,0,20,0,20
2023-05-25T11:56:09,0,20,0,20
2023-05-25T12:07:42,0,20,0,20
2023-05-25T12:19:15,0,20,0,20
2023-05-25T12:30:48,0,20,0,20
2023-05-25T12:42:21,0,20,0,20
2023-05-25T12:53:54,0,20,0,20
2023-05-25T13:05:37,0,20,0,20
2023-05-25T13:17:09,0,20,0,20
2023-05-25T13:28:43,0,20,0,20
2023-05-25T13:40:16,0,20,0,20
2023-05-25T13:51:49,0,20,0,20
2023-05-25T14:03:33,0,20,0,20
2023-05-25T14:15:07,0,20,0,20
2023-05-25T14:26:40,0,20,0,20
2023-05-25T14:38:13,0,20,0,20
2023-05-25T14:49:46,0,20,0,20
2023-05-25T15:01:31,0,20,0,20
2023-05-25T15:13:05,0,20,0,20
2023-05-25T15:24:39,0,20,0,20
2023-05-25T15:36:14,0,20,0,20
2023-05-25T15:47:48,0,20,0,20
2023-05-25T15:59:23,0,20,0,20
2023-05-25T16:11:08,0,20,0,20
2023-05-25T16:22:43,0,20,0,20
2023-05-25T16:34:18,0,20,0,20
2023-05-25T16:45:54,0,20,0,20
2023-05-25T16:57:29,0,20,0,20
2023-05-25T17:09:06,0,20,0,20
2023-05-25T17:20:53,0,20,0,20
2023-05-25T17:32:29,0,20,0,20
2023-05-25T17:44:04,0,20,0,20
2023-05-25T17:55:40,0,20,0,20
2023-05-25T18:07:17,0,20,0,20
2023-05-25T18:18:53,0,20,0,20
2023-05-25T18:30:28,0,20,0,20
2023-05-25T18:42:14,0,20,0,20
2023-05-25T18:53:49,0,20,0,20
2023-05-25T19:05:26,0,20,0,20
2023-05-25T19:17:02,0,20,0,20
