time,enrolled,available,waitlisted,total
2023-05-25T01:21:42,0,120,0,120
2023-05-25T01:33:18,0,120,0,120
2023-05-25T01:45:02,0,120,0,120
2023-05-25T01:56:37,0,120,0,120
2023-05-25T02:08:13,0,120,0,120
2023-05-25T02:19:49,0,120,0,120
2023-05-25T02:31:24,0,120,0,120
2023-05-25T02:42:58,0,120,0,120
2023-05-25T02:54:31,0,120,0,120
2023-05-25T03:06:04,0,120,0,120
2023-05-25T03:17:43,0,120,0,120
2023-05-25T03:29:41,0,120,0,120
2023-05-25T03:41:18,0,120,0,120
2023-05-25T03:52:54,0,120,0,120
2023-05-25T04:04:29,0,120,0,120
2023-05-25T04:24:16,0,120,0,120
2023-05-25T04:35:53,0,120,0,120
2023-05-25T04:47:30,0,120,0,120
2023-05-25T04:59:05,0,120,0,120
2023-05-25T05:10:42,0,120,0,120
2023-05-25T05:22:18,0,120,0,120
2023-05-25T05:33:55,0,120,0,120
2023-05-25T05:45:31,0,120,0,120
2023-05-25T05:57:08,0,120,0,120
2023-05-25T06:08:44,0,120,0,120
2023-05-25T06:20:19,0,120,0,120
2023-05-25T06:31:54,0,120,0,120
2023-05-25T06:43:29,0,120,0,120
2023-05-25T06:55:04,0,120,0,120
2023-05-25T07:06:40,0,120,0,120
2023-05-25T07:18:14,0,120,0,120
2023-05-25T07:29:48,0,120,0,120
2023-05-25T07:41:25,0,120,0,120
2023-05-25T07:53:00,0,120,0,120
2023-05-25T08:04:36,0,120,0,120
2023-05-25T08:16:10,0,120,0,120
2023-05-25T08:27:54,0,120,0,120
2023-05-25T08:39:27,0,120,0,120
2023-05-25T08:50:59,0,120,0,120
2023-05-25T09:02:33,0,120,0,120
2023-05-25T09:14:06,0,120,0,120
2023-05-25T09:25:39,0,120,0,120
2023-05-25T09:37:11,0,120,0,120
2023-05-25T09:48:44,0,120,0,120
2023-05-25T10:00:17,0,120,0,120
2023-05-25T10:12:02,0,120,0,120
2023-05-25T10:23:35,0,120,0,120
2023-05-25T10:35:08,0,120,0,120
2023-05-25T10:46:40,0,120,0,120
2023-05-25T10:58:23,0,120,0,120
2023-05-25T11:09:55,0,120,0,120
2023-05-25T11:21:28,0,120,0,120
2023-05-25T11:33:01,0,120,0,120
2023-05-25T11:44:33,0,120,0,120
2023-05-25T11:56:18,0,120,0,120
2023-05-25T12:07:51,0,120,0,120
2023-05-25T12:19:24,0,120,0,120
2023-05-25T12:30:56,0,120,0,120
2023-05-25T12:42:29,0,120,0,120
2023-05-25T12:54:02,0,120,0,120
2023-05-25T13:05:45,0,120,0,120
2023-05-25T13:17:18,0,120,0,120
2023-05-25T13:28:51,0,120,0,120
2023-05-25T13:40:24,0,120,0,120
2023-05-25T13:51:57,0,120,0,120
2023-05-25T14:03:42,0,120,0,120
2023-05-25T14:15:16,0,120,0,120
2023-05-25T14:26:49,0,120,0,120
2023-05-25T14:38:22,0,120,0,120
2023-05-25T14:49:54,0,120,0,120
2023-05-25T15:01:39,0,120,0,120
2023-05-25T15:13:13,0,120,0,120
2023-05-25T15:24:48,0,120,0,120
2023-05-25T15:36:22,0,120,0,120
2023-05-25T15:47:57,0,120,0,120
2023-05-25T15:59:32,0,120,0,120
2023-05-25T16:11:17,0,120,0,120
2023-05-25T16:22:52,0,120,0,120
2023-05-25T16:34:27,0,120,0,120
2023-05-25T16:46:02,0,120,0,120
2023-05-25T16:57:38,0,120,0,120
2023-05-25T17:09:15,0,120,0,120
2023-05-25T17:21:02,0,120,0,120
2023-05-25T17:32:37,0,120,0,120
