time,enrolled,available,waitlisted,total
2023-09-05T09:14:09,0,0,0,0
2023-09-05T09:27:03,0,0,0,0
2023-09-05T09:39:55,0,0,0,0
2023-09-05T09:52:47,0,0,0,0
2023-09-05T10:05:38,0,0,0,0
2023-09-05T10:18:30,0,0,0,0
2023-09-05T10:31:22,0,0,0,0
2023-09-05T10:44:26,0,0,0,0
2023-09-05T10:57:18,0,0,0,0
2023-09-05T11:10:10,0,0,0,0
2023-09-05T11:23:03,0,0,0,0
2023-09-05T11:35:55,0,0,0,0
2023-09-05T11:48:48,0,0,0,0
2023-09-05T12:01:40,0,0,0,0
2023-09-05T12:14:42,0,0,0,0
2023-09-05T12:27:35,0,0,0,0
2023-09-05T12:40:27,0,0,0,0
2023-09-05T12:53:18,0,0,0,0
2023-09-05T13:06:10,0,0,0,0
2023-09-05T13:19:01,0,0,0,0
2023-09-05T13:32:03,0,0,0,0
2023-09-05T13:44:55,0,0,0,0
2023-09-05T13:57:47,0,0,0,0
2023-09-05T14:10:40,0,0,0,0
2023-09-05T14:23:33,0,0,0,0
2023-09-05T14:36:25,0,0,0,0
2023-09-05T14:49:18,0,0,0,0
2023-09-05T15:02:20,0,0,0,0
2023-09-05T15:15:12,0,0,0,0
2023-09-05T15:28:05,0,0,0,0
2023-09-05T15:40:58,0,0,0,0
2023-09-05T15:53:53,0,0,0,0
2023-09-05T16:06:45,0,0,0,0
2023-09-05T16:19:37,0,0,0,0
2023-09-05T16:32:39,0,0,0,0
2023-09-05T16:45:31,0,0,0,0
2023-09-05T16:58:24,0,0,0,0
2023-09-05T17:11:18,0,0,0,0
2023-09-05T17:24:13,0,0,0,0
2023-09-05T17:37:06,0,0,0,0
2023-09-05T17:50:09,0,0,0,0
2023-09-05T18:03:03,0,0,0,0
2023-09-05T18:15:55,0,0,0,0
2023-09-05T18:28:48,0,0,0,0
2023-09-05T18:41:41,0,0,0,0
2023-09-05T18:54:44,0,0,0,0
2023-09-05T19:07:37,0,0,0,0
2023-09-05T19:20:29,0,0,0,0
2023-09-05T19:33:22,0,0,0,0
2023-09-05T19:46:25,0,0,0,0
2023-09-05T19:59:17,0,0,0,0
2023-09-05T20:12:10,0,0,0,0
2023-09-05T20:25:02,0,0,0,0
2023-09-05T20:38:04,0,0,0,0
2023-09-05T20:50:56,0,0,0,0
2023-09-05T21:03:49,0,0,0,0
2023-09-05T21:16:42,0,0,0,0
2023-09-05T21:29:34,0,0,0,0
2023-09-05T21:42:37,0,0,0,0
2023-09-05T21:55:30,0,0,0,0
2023-09-05T22:08:23,0,0,0,0
2023-09-05T22:21:15,0,0,0,0
2023-09-05T22:34:08,0,0,0,0
2023-09-05T22:47:11,0,0,0,0
2023-09-05T23:00:04,0,0,0,0
2023-09-05T23:12:59,0,0,0,0
2023-09-05T23:25:53,0,0,0,0
2023-09-05T23:38:47,0,0,0,0
2023-09-05T23:51:41,0,0,0,0
2023-09-06T00:04:37,0,0,0,0
2023-09-06T00:17:36,0,0,0,0
2023-09-06T00:30:44,0,0,0,0
2023-09-06T00:43:42,0,0,0,0
2023-09-06T00:56:42,0,0,0,0
2023-09-06T01:09:40,0,0,0,0
2023-09-06T01:22:38,0,0,0,0
2023-09-06T01:35:35,0,0,0,0
2023-09-06T01:48:36,0,0,0,0
2023-09-06T02:01:36,0,0,0,0
2023-09-06T02:14:32,0,0,0,0
2023-09-06T02:27:28,0,0,0,0
2023-09-06T02:40:23,0,0,0,0
2023-09-06T02:53:18,0,0,0,0
2023-09-06T03:06:59,0,0,0,0
2023-09-06T03:20:49,0,0,0,0
2023-09-06T03:33:46,0,0,0,0
2023-09-06T03:46:42,0,0,0,0
2023-09-06T03:59:40,0,0,0,0
2023-09-06T04:14:42,0,0,0,0
2023-09-06T04:35:41,0,0,0,0
2023-09-06T04:48:40,0,0,0,0
2023-09-06T05:01:37,0,0,0,0
2023-09-06T05:14:35,0,0,0,0
2023-09-06T05:27:31,0,0,0,0
2023-09-06T05:40:28,0,0,0,0
2023-09-06T05:53:24,0,0,0,0
2023-09-06T06:06:19,0,0,0,0
2023-09-06T06:19:15,0,0,0,0
2023-09-06T06:32:14,0,0,0,0
2023-09-06T06:45:20,0,0,0,0
2023-09-06T06:58:19,0,0,0,0
2023-09-06T07:11:27,0,0,0,0
2023-09-06T07:24:29,0,0,0,0
2023-09-06T07:37:26,0,0,0,0
2023-09-06T07:50:21,0,0,0,0
2023-09-06T08:03:17,0,0,0,0
2023-09-06T08:16:15,0,0,0,0
2023-09-06T08:29:11,0,0,0,0
2023-09-06T08:42:08,0,0,0,0
2023-09-06T08:55:02,0,0,0,0
2023-09-06T09:08:08,0,0,0,0
2023-09-06T09:21:03,0,0,0,0
2023-09-06T09:33:59,0,0,0,0
2023-09-06T09:46:57,0,0,0,0
2023-09-06T09:59:54,0,0,0,0
2023-09-06T10:13:02,0,0,0,0
2023-09-06T10:25:59,0,0,0,0
2023-09-06T10:38:54,0,0,0,0
2023-09-06T10:51:50,0,0,0,0
2023-09-06T11:04:57,0,0,0,0
2023-09-06T11:17:52,0,0,0,0
2023-09-06T11:30:46,0,0,0,0
2023-09-06T11:43:40,0,0,0,0
2023-09-06T11:56:44,0,0,0,0
2023-09-06T12:09:40,0,0,0,0
2023-09-06T12:22:34,0,0,0,0
2023-09-06T12:35:30,0,0,0,0
2023-09-06T12:48:25,0,0,0,0
2023-09-06T13:01:29,0,0,0,0
2023-09-06T13:14:23,0,0,0,0
2023-09-06T13:27:18,0,0,0,0
2023-09-06T13:40:13,0,0,0,0
2023-09-06T13:53:10,0,0,0,0
2023-09-06T14:06:14,0,0,0,0
2023-09-06T14:19:09,0,0,0,0
2023-09-06T14:32:05,0,0,0,0
2023-09-06T14:45:00,0,0,0,0
2023-09-06T14:57:55,0,0,0,0
2023-09-06T15:11:04,0,0,0,0
2023-09-06T15:23:59,0,0,0,0
2023-09-06T15:36:54,0,0,0,0
2023-09-06T15:49:48,0,0,0,0
2023-09-06T16:02:43,0,0,0,0
2023-09-06T16:15:36,0,0,0,0
2023-09-06T16:28:40,0,0,0,0
2023-09-06T16:41:34,0,0,0,0
