time,enrolled,available,waitlisted,total
2023-07-05T09:34:36,0,0,0,0
2023-07-05T09:47:00,0,0,0,0
2023-07-05T09:59:24,0,0,0,0
2023-07-05T10:11:48,0,0,0,0
2023-07-05T10:24:12,0,0,0,0
2023-07-05T10:36:36,0,0,0,0
2023-07-05T10:49:10,0,0,0,0
2023-07-05T11:01:34,0,0,0,0
2023-07-05T11:14:01,0,0,0,0
2023-07-05T11:26:25,0,0,0,0
2023-07-05T11:38:50,0,0,0,0
2023-07-05T11:51:14,0,0,0,0
2023-07-05T12:03:38,0,0,0,0
2023-07-05T12:16:13,0,0,0,0
2023-07-05T12:28:38,0,0,0,0
2023-07-05T12:41:03,0,0,0,0
2023-07-05T12:53:27,0,0,0,0
2023-07-05T13:05:51,0,0,0,0
2023-07-05T13:18:16,0,0,0,0
2023-07-05T13:30:40,0,0,0,0
2023-07-05T13:43:05,0,0,0,0
2023-07-05T13:55:43,0,0,0,0
2023-07-05T14:08:07,0,0,0,0
2023-07-05T14:20:32,0,0,0,0
2023-07-05T14:32:56,0,0,0,0
2023-07-05T14:45:21,0,0,0,0
2023-07-05T14:57:45,0,0,0,0
2023-07-05T15:10:09,0,0,0,0
2023-07-05T15:22:34,0,0,0,0
2023-07-05T15:35:10,0,0,0,0
2023-07-05T15:47:34,0,0,0,0
2023-07-05T15:59:58,0,0,0,0
2023-07-05T16:12:23,0,0,0,0
2023-07-05T16:24:47,0,0,0,0
2023-07-05T16:37:11,0,0,0,0
2023-07-05T16:49:35,0,0,0,0
2023-07-05T17:02:00,0,0,0,0
2023-07-05T17:14:26,0,0,0,0
2023-07-05T17:26:50,0,0,0,0
2023-07-05T17:39:14,0,0,0,0
2023-07-05T17:51:48,0,0,0,0
2023-07-05T18:04:13,0,0,0,0
2023-07-05T18:16:40,0,0,0,0
2023-07-05T18:29:04,0,0,0,0
2023-07-05T18:41:27,0,0,0,0
2023-07-05T18:53:51,0,0,0,0
2023-07-05T19:06:17,0,0,0,0
2023-07-05T19:18:41,0,0,0,0
2023-07-05T19:31:05,0,0,0,0
2023-07-05T19:43:30,0,0,0,0
2023-07-05T19:55:54,0,0,0,0
2023-07-05T20:08:18,0,0,0,0
2023-07-05T20:20:52,0,0,0,0
2023-07-05T20:33:16,0,0,0,0
2023-07-05T20:45:41,0,0,0,0
2023-07-05T20:58:05,0,0,0,0
2023-07-05T21:10:29,0,0,0,0
2023-07-05T21:22:53,0,0,0,0
2023-07-05T21:35:17,0,0,0,0
2023-07-05T21:47:41,0,0,0,0
2023-07-05T22:00:05,0,0,0,0
2023-07-05T22:12:29,0,0,0,0
2023-07-05T22:24:53,0,0,0,0
2023-07-05T22:37:17,0,0,0,0
2023-07-05T22:49:41,0,0,0,0
2023-07-05T23:02:15,0,0,0,0
