time,enrolled,available,waitlisted,total
2023-05-25T01:21:59,0,146,0,146
2023-05-25T01:33:35,0,146,0,146
2023-05-25T01:45:19,0,146,0,146
2023-05-25T01:56:54,0,146,0,146
2023-05-25T02:08:30,0,146,0,146
2023-05-25T02:20:06,0,146,0,146
2023-05-25T02:31:41,0,146,0,146
2023-05-25T02:43:15,0,146,0,146
2023-05-25T02:54:48,0,146,0,146
2023-05-25T03:06:21,0,146,0,146
2023-05-25T03:18:00,0,146,0,146
2023-05-25T03:29:58,0,146,0,146
2023-05-25T03:41:35,0,146,0,146
2023-05-25T03:53:11,0,146,0,146
2023-05-25T04:04:46,0,146,0,146
2023-05-25T04:24:34,0,146,0,146
2023-05-25T04:36:11,0,146,0,146
2023-05-25T04:47:47,0,146,0,146
2023-05-25T04:59:22,0,146,0,146
2023-05-25T05:10:59,0,146,0,146
2023-05-25T05:22:36,0,146,0,146
2023-05-25T05:34:12,0,146,0,146
2023-05-25T05:45:48,0,146,0,146
2023-05-25T05:57:25,0,146,0,146
2023-05-25T06:09:01,0,146,0,146
2023-05-25T06:20:36,0,146,0,146
2023-05-25T06:32:11,0,146,0,146
2023-05-25T06:43:46,0,146,0,146
2023-05-25T06:55:21,0,146,0,146
2023-05-25T07:06:57,0,146,0,146
2023-05-25T07:18:32,0,146,0,146
2023-05-25T07:30:05,0,146,0,146
2023-05-25T07:41:42,0,146,0,146
2023-05-25T07:53:17,0,146,0,146
2023-05-25T08:04:53,0,146,0,146
2023-05-25T08:16:27,0,146,0,146
2023-05-25T08:28:11,0,146,0,146
2023-05-25T08:39:44,0,146,0,146
2023-05-25T08:51:16,0,146,0,146
2023-05-25T09:02:50,0,146,0,146
2023-05-25T09:14:23,0,146,0,146
2023-05-25T09:25:56,0,146,0,146
2023-05-25T09:37:28,0,146,0,146
2023-05-25T09:49:01,0,146,0,146
2023-05-25T10:00:34,0,146,0,146
2023-05-25T10:12:19,0,146,0,146
2023-05-25T10:23:52,0,146,0,146
2023-05-25T10:35:25,0,146,0,146
2023-05-25T10:46:57,0,146,0,146
2023-05-25T10:58:40,0,146,0,146
2023-05-25T11:10:12,0,146,0,146
2023-05-25T11:21:45,0,146,0,146
2023-05-25T11:33:18,0,146,0,146
2023-05-25T11:44:50,0,146,0,146
2023-05-25T11:56:35,0,146,0,146
2023-05-25T12:08:08,0,146,0,146
2023-05-25T12:19:41,0,146,0,146
2023-05-25T12:31:13,0,146,0,146
2023-05-25T12:42:46,0,146,0,146
2023-05-25T12:54:19,0,146,0,146
2023-05-25T13:06:02,0,146,0,146
2023-05-25T13:17:35,0,146,0,146
2023-05-25T13:29:08,0,146,0,146
2023-05-25T13:40:41,0,146,0,146
2023-05-25T13:52:14,0,146,0,146
2023-05-25T14:03:59,0,146,0,146
2023-05-25T14:15:33,0,146,0,146
2023-05-25T14:27:06,0,146,0,146
2023-05-25T14:38:39,0,146,0,146
2023-05-25T14:50:11,0,146,0,146
2023-05-25T15:01:56,0,146,0,146
2023-05-25T15:13:30,0,146,0,146
2023-05-25T15:25:05,0,146,0,146
2023-05-25T15:36:39,0,146,0,146
2023-05-25T15:48:14,0,146,0,146
2023-05-25T15:59:49,0,146,0,146
2023-05-25T16:11:34,0,146,0,146
