time,enrolled,available,waitlisted,total
2023-05-25T01:22:04,0,50,0,50
2023-05-25T01:33:40,0,50,0,50
2023-05-25T01:45:25,0,50,0,50
2023-05-25T01:57:00,0,50,0,50
2023-05-25T02:08:36,0,50,0,50
2023-05-25T02:20:12,0,50,0,50
2023-05-25T02:31:47,0,50,0,50
2023-05-25T02:43:20,0,50,0,50
2023-05-25T02:54:53,0,50,0,50
2023-05-25T03:06:26,0,50,0,50
2023-05-25T03:18:06,0,50,0,50
2023-05-25T03:30:04,0,50,0,50
2023-05-25T03:41:41,0,50,0,50
2023-05-25T03:53:16,0,50,0,50
2023-05-25T04:04:52,0,50,0,50
2023-05-25T04:24:39,0,50,0,50
2023-05-25T04:36:16,0,50,0,50
2023-05-25T04:47:52,0,50,0,50
2023-05-25T04:59:28,0,50,0,50
2023-05-25T05:11:05,0,50,0,50
2023-05-25T05:22:41,0,50,0,50
2023-05-25T05:34:18,0,50,0,50
2023-05-25T05:45:54,0,50,0,50
2023-05-25T05:57:30,0,50,0,50
2023-05-25T06:09:06,0,50,0,50
2023-05-25T06:20:42,0,50,0,50
2023-05-25T06:32:16,0,50,0,50
2023-05-25T06:43:51,0,50,0,50
2023-05-25T06:55:27,0,50,0,50
2023-05-25T07:07:02,0,50,0,50
2023-05-25T07:18:37,0,50,0,50
2023-05-25T07:30:11,0,50,0,50
2023-05-25T07:41:47,0,50,0,50
2023-05-25T07:53:23,0,50,0,50
2023-05-25T08:04:58,0,50,0,50
2023-05-25T08:16:33,0,50,0,50
2023-05-25T08:28:17,0,50,0,50
2023-05-25T08:39:50,0,50,0,50
2023-05-25T08:51:22,0,50,0,50
2023-05-25T09:02:56,0,50,0,50
2023-05-25T09:14:28,0,50,0,50
2023-05-25T09:26:01,0,50,0,50
2023-05-25T09:37:34,0,50,0,50
2023-05-25T09:49:06,0,50,0,50
2023-05-25T10:00:40,0,50,0,50
2023-05-25T10:12:24,0,50,0,50
2023-05-25T10:23:57,0,50,0,50
2023-05-25T10:35:30,0,50,0,50
2023-05-25T10:47:03,0,50,0,50
2023-05-25T10:58:45,0,50,0,50
2023-05-25T11:10:18,0,50,0,50
2023-05-25T11:21:51,0,50,0,50
2023-05-25T11:33:23,0,50,0,50
2023-05-25T11:44:56,0,50,0,50
2023-05-25T11:56:41,0,50,0,50
2023-05-25T12:08:13,0,50,0,50
2023-05-25T12:19:46,0,50,0,50
2023-05-25T12:31:19,0,50,0,50
2023-05-25T12:42:52,0,50,0,50
2023-05-25T12:54:25,0,50,0,50
2023-05-25T13:06:08,0,50,0,50
2023-05-25T13:17:40,0,50,0,50
2023-05-25T13:29:14,0,50,0,50
2023-05-25T13:40:47,0,50,0,50
2023-05-25T13:52:20,0,50,0,50
2023-05-25T14:04:04,0,50,0,50
2023-05-25T14:15:38,0,50,0,50
2023-05-25T14:27:11,0,50,0,50
2023-05-25T14:38:44,0,50,0,50
2023-05-25T14:50:17,0,50,0,50
2023-05-25T15:02:02,0,50,0,50
2023-05-25T15:13:36,0,50,0,50
2023-05-25T15:25:10,0,50,0,50
2023-05-25T15:36:45,0,50,0,50
2023-05-25T15:48:19,0,50,0,50
2023-05-25T15:59:54,0,50,0,50
2023-05-25T16:11:40,0,50,0,50
2023-05-25T16:23:15,0,50,0,50
2023-05-25T16:34:50,0,50,0,50
2023-05-25T16:46:25,0,50,0,50
2023-05-25T16:58:00,0,50,0,50
2023-05-25T17:09:37,0,50,0,50
2023-05-25T17:21:25,0,50,0,50
2023-05-25T17:33:00,0,50,0,50
2023-05-25T17:44:35,0,50,0,50
2023-05-25T17:56:11,0,50,0,50
2023-05-25T18:07:48,0,50,0,50
2023-05-25T18:19:24,0,50,0,50
2023-05-25T18:30:59,0,50,0,50
2023-05-25T18:42:45,0,50,0,50
2023-05-25T18:54:20,0,50,0,50
2023-05-25T19:05:57,0,50,0,50
2023-05-25T19:17:33,0,50,0,50
2023-05-25T19:29:08,0,50,0,50
2023-05-25T19:40:44,0,50,0,50
2023-05-25T19:52:30,0,50,0,50
2023-05-25T20:04:06,0,50,0,50
2023-05-25T20:15:42,0,50,0,50
2023-05-25T20:27:18,0,50,0,50
2023-05-25T20:38:53,0,50,0,50
2023-05-25T20:50:28,0,50,0,50
2023-05-25T21:02:04,0,50,0,50
2023-05-25T21:13:40,0,50,0,50
2023-05-25T21:25:27,0,50,0,50
2023-05-25T21:37:03,0,50,0,50
2023-05-25T21:48:39,0,50,0,50
2023-05-25T22:00:14,0,50,0,50
2023-05-25T22:11:50,0,50,0,50
2023-05-25T22:23:25,0,50,0,50
2023-05-25T22:35:00,0,50,0,50
2023-05-25T22:46:47,0,50,0,50
2023-05-25T22:58:22,0,50,0,50
2023-05-25T23:10:01,0,50,0,50
2023-05-25T23:21:36,0,50,0,50
2023-05-25T23:33:12,0,50,0,50
2023-05-25T23:44:48,0,50,0,50
2023-05-25T23:56:25,0,50,0,50
2023-05-26T00:08:21,0,50,0,50
2023-05-26T00:20:01,0,50,0,50
2023-05-26T00:31:39,0,50,0,50
2023-05-26T00:43:18,0,50,0,50
2023-05-26T00:54:57,0,50,0,50
2023-05-26T01:06:37,0,50,0,50
2023-05-26T01:18:15,0,50,0,50
2023-05-26T01:29:53,0,50,0,50
2023-05-26T01:41:31,0,50,0,50
2023-05-26T01:53:20,0,50,0,50
2023-05-26T02:05:02,0,50,0,50
2023-05-26T02:16:39,0,50,0,50
2023-05-26T02:28:16,0,50,0,50
2023-05-26T02:39:56,0,50,0,50
2023-05-26T02:51:45,0,50,0,50
2023-05-26T03:03:25,0,50,0,50
2023-05-26T03:15:04,0,50,0,50
2023-05-26T03:26:45,0,50,0,50
2023-05-26T03:38:23,0,50,0,50
2023-05-26T03:50:02,0,50,0,50
2023-05-26T04:01:40,0,50,0,50
2023-05-26T04:13:29,0,50,0,50
2023-05-26T04:35:52,0,50,0,50
2023-05-26T04:47:33,0,50,0,50
2023-05-26T04:59:13,0,50,0,50
2023-05-26T05:10:56,0,50,0,50
2023-05-26T05:22:35,0,50,0,50
2023-05-26T05:34:13,0,50,0,50
2023-05-26T05:45:53,0,50,0,50
2023-05-26T05:57:31,0,50,0,50
2023-05-26T06:09:09,0,50,0,50
2023-05-26T06:20:49,0,50,0,50
2023-05-26T06:32:28,0,50,0,50
2023-05-26T06:44:07,0,50,0,50
2023-05-26T06:55:45,0,50,0,50
2023-05-26T07:07:23,0,50,0,50
2023-05-26T07:19:01,0,50,0,50
2023-05-26T07:30:48,0,50,0,50
2023-05-26T07:42:25,0,50,0,50
2023-05-26T07:54:03,0,50,0,50
2023-05-26T08:05:38,0,50,0,50
2023-05-26T08:17:15,0,50,0,50
