time,enrolled,available,waitlisted,total
2023-05-25T01:22:17,0,175,0,175
2023-05-25T01:33:54,0,175,0,175
2023-05-25T01:45:38,0,175,0,175
2023-05-25T01:57:13,0,175,0,175
2023-05-25T02:08:49,0,175,0,175
2023-05-25T02:20:25,0,175,0,175
2023-05-25T02:32:00,0,175,0,175
2023-05-25T02:43:33,0,175,0,175
2023-05-25T02:55:06,0,175,0,175
2023-05-25T03:06:40,0,175,0,175
2023-05-25T03:18:19,0,175,0,175
2023-05-25T03:30:17,0,175,0,175
2023-05-25T03:41:54,0,175,0,175
2023-05-25T03:53:30,0,175,0,175
2023-05-25T04:05:05,0,175,0,175
2023-05-25T04:24:53,0,175,0,175
2023-05-25T04:36:29,0,175,0,175
2023-05-25T04:48:05,0,175,0,175
2023-05-25T04:59:41,0,175,0,175
2023-05-25T05:11:18,0,175,0,175
2023-05-25T05:22:54,0,175,0,175
2023-05-25T05:34:31,0,175,0,175
2023-05-25T05:46:07,0,175,0,175
2023-05-25T05:57:44,0,175,0,175
2023-05-25T06:09:20,0,175,0,175
2023-05-25T06:20:55,0,175,0,175
2023-05-25T06:32:30,0,175,0,175
2023-05-25T06:44:05,0,175,0,175
2023-05-25T06:55:40,0,175,0,175
2023-05-25T07:07:16,0,175,0,175
2023-05-25T07:18:50,0,175,0,175
2023-05-25T07:30:24,0,175,0,175
2023-05-25T07:42:00,0,175,0,175
2023-05-25T07:53:36,0,175,0,175
2023-05-25T08:05:11,0,175,0,175
2023-05-25T08:16:46,0,175,0,175
2023-05-25T08:28:30,0,175,0,175
2023-05-25T08:40:03,0,175,0,175
2023-05-25T08:51:35,0,175,0,175
2023-05-25T09:03:09,0,175,0,175
2023-05-25T09:14:42,0,175,0,175
2023-05-25T09:26:14,0,175,0,175
2023-05-25T09:37:47,0,175,0,175
2023-05-25T09:49:19,0,175,0,175
2023-05-25T10:00:53,0,175,0,175
2023-05-25T10:12:37,0,175,0,175
2023-05-25T10:24:10,0,175,0,175
2023-05-25T10:35:43,0,175,0,175
2023-05-25T10:47:16,0,175,0,175
2023-05-25T10:58:58,0,175,0,175
2023-05-25T11:10:31,0,175,0,175
2023-05-25T11:22:04,0,175,0,175
2023-05-25T11:33:36,0,175,0,175
2023-05-25T11:45:09,0,175,0,175
2023-05-25T11:56:54,0,175,0,175
2023-05-25T12:08:26,0,175,0,175
2023-05-25T12:19:59,0,175,0,175
2023-05-25T12:31:32,0,175,0,175
2023-05-25T12:43:05,0,175,0,175
2023-05-25T12:54:38,0,175,0,175
2023-05-25T13:06:21,0,175,0,175
2023-05-25T13:17:54,0,175,0,175
2023-05-25T13:29:27,0,175,0,175
2023-05-25T13:41:00,0,175,0,175
2023-05-25T13:52:33,0,175,0,175
2023-05-25T14:04:17,0,175,0,175
2023-05-25T14:15:51,0,175,0,175
2023-05-25T14:27:24,0,175,0,175
2023-05-25T14:38:57,0,175,0,175
2023-05-25T14:50:30,0,175,0,175
2023-05-25T15:02:15,0,175,0,175
2023-05-25T15:13:49,0,175,0,175
2023-05-25T15:25:24,0,175,0,175
2023-05-25T15:36:58,0,175,0,175
2023-05-25T15:48:33,0,175,0,175
2023-05-25T16:00:07,0,175,0,175
2023-05-25T16:11:53,0,175,0,175
2023-05-25T16:23:28,0,175,0,175
2023-05-25T16:35:03,0,175,0,175
2023-05-25T16:46:38,0,175,0,175
2023-05-25T16:58:14,0,175,0,175
2023-05-25T17:09:51,0,175,0,175
