time,enrolled,available,waitlisted,total
2023-05-25T01:22:36,0,16,0,16
2023-05-25T01:34:12,0,16,0,16
2023-05-25T01:45:57,0,16,0,16
2023-05-25T01:57:32,0,16,0,16
2023-05-25T02:09:08,0,16,0,16
2023-05-25T02:20:44,0,16,0,16
2023-05-25T02:32:19,0,16,0,16
2023-05-25T02:43:52,0,16,0,16
2023-05-25T02:55:25,0,16,0,16
2023-05-25T03:06:59,0,16,0,16
2023-05-25T03:18:38,0,16,0,16
2023-05-25T03:30:36,0,16,0,16
2023-05-25T03:42:13,0,16,0,16
2023-05-25T03:53:48,0,16,0,16
2023-05-25T04:05:24,0,16,0,16
2023-05-25T04:25:11,0,16,0,16
2023-05-25T04:36:48,0,16,0,16
2023-05-25T04:48:24,0,16,0,16
2023-05-25T05:00:00,0,16,0,16
2023-05-25T05:11:37,0,16,0,16
2023-05-25T05:23:13,0,16,0,16
2023-05-25T05:34:50,0,16,0,16
2023-05-25T05:46:26,0,16,0,16
2023-05-25T05:58:03,0,16,0,16
2023-05-25T06:09:38,0,16,0,16
2023-05-25T06:21:14,0,16,0,16
2023-05-25T06:32:48,0,16,0,16
2023-05-25T06:44:23,0,16,0,16
2023-05-25T06:55:59,0,16,0,16
2023-05-25T07:07:34,0,16,0,16
2023-05-25T07:19:09,0,16,0,16
2023-05-25T07:30:43,0,16,0,16
2023-05-25T07:42:19,0,16,0,16
2023-05-25T07:53:55,0,16,0,16
2023-05-25T08:05:30,0,16,0,16
2023-05-25T08:17:05,0,16,0,16
2023-05-25T08:28:49,0,16,0,16
2023-05-25T08:40:22,0,16,0,16
2023-05-25T08:51:54,0,16,0,16
2023-05-25T09:03:28,0,16,0,16
2023-05-25T09:15:00,0,16,0,16
2023-05-25T09:26:33,0,16,0,16
2023-05-25T09:38:06,0,16,0,16
2023-05-25T09:49:38,0,16,0,16
2023-05-25T10:01:12,0,16,0,16
2023-05-25T10:12:56,0,16,0,16
2023-05-25T10:24:29,0,16,0,16
2023-05-25T10:36:02,0,16,0,16
2023-05-25T10:47:35,0,16,0,16
2023-05-25T10:59:17,0,16,0,16
2023-05-25T11:10:50,0,16,0,16
2023-05-25T11:22:23,0,16,0,16
