time,enrolled,available,waitlisted,total
2023-05-25T01:22:55,0,15,0,15
2023-05-25T01:34:31,0,15,0,15
2023-05-25T01:46:15,0,15,0,15
2023-05-25T01:57:50,0,15,0,15
2023-05-25T02:09:26,0,15,0,15
2023-05-25T02:21:03,0,15,0,15
2023-05-25T02:32:37,0,15,0,15
2023-05-25T02:44:10,0,15,0,15
2023-05-25T02:55:43,0,15,0,15
2023-05-25T03:07:17,0,15,0,15
2023-05-25T03:18:56,0,15,0,15
2023-05-25T03:30:54,0,15,0,15
2023-05-25T03:42:31,0,15,0,15
2023-05-25T03:54:07,0,15,0,15
2023-05-25T04:05:42,0,15,0,15
2023-05-25T04:25:30,0,15,0,15
2023-05-25T04:37:07,0,15,0,15
2023-05-25T04:48:43,0,15,0,15
2023-05-25T05:00:18,0,15,0,15
2023-05-25T05:11:55,0,15,0,15
2023-05-25T05:23:32,0,15,0,15
2023-05-25T05:35:08,0,15,0,15
2023-05-25T05:46:44,0,15,0,15
2023-05-25T05:58:21,0,15,0,15
2023-05-25T06:09:57,0,15,0,15
2023-05-25T06:21:32,0,15,0,15
2023-05-25T06:33:07,0,15,0,15
2023-05-25T06:44:42,0,15,0,15
2023-05-25T06:56:17,0,15,0,15
2023-05-25T07:07:53,0,15,0,15
2023-05-25T07:19:28,0,15,0,15
2023-05-25T07:31:01,0,15,0,15
2023-05-25T07:42:38,0,15,0,15
2023-05-25T07:54:13,0,15,0,15
2023-05-25T08:05:48,0,15,0,15
2023-05-25T08:17:23,0,15,0,15
2023-05-25T08:29:07,0,15,0,15
2023-05-25T08:40:40,0,15,0,15
2023-05-25T08:52:12,0,15,0,15
2023-05-25T09:03:46,0,15,0,15
2023-05-25T09:15:19,0,15,0,15
2023-05-25T09:26:51,0,15,0,15
2023-05-25T09:38:24,0,15,0,15
2023-05-25T09:49:57,0,15,0,15
2023-05-25T10:01:30,0,15,0,15
2023-05-25T10:13:14,0,15,0,15
2023-05-25T10:24:48,0,15,0,15
2023-05-25T10:36:20,0,15,0,15
2023-05-25T10:47:53,0,15,0,15
2023-05-25T10:59:36,0,15,0,15
2023-05-25T11:11:08,0,15,0,15
2023-05-25T11:22:41,0,15,0,15
2023-05-25T11:34:13,0,15,0,15
2023-05-25T11:45:47,0,15,0,15
2023-05-25T11:57:31,0,15,0,15
2023-05-25T12:09:04,0,15,0,15
2023-05-25T12:20:36,0,15,0,15
2023-05-25T12:32:09,0,15,0,15
2023-05-25T12:43:42,0,15,0,15
2023-05-25T12:55:15,0,15,0,15
2023-05-25T13:06:58,0,15,0,15
2023-05-25T13:18:31,0,15,0,15
2023-05-25T13:30:04,0,15,0,15
2023-05-25T13:41:37,0,15,0,15
2023-05-25T13:53:10,0,15,0,15
2023-05-25T14:04:55,0,15,0,15
2023-05-25T14:16:28,0,15,0,15
2023-05-25T14:28:01,0,15,0,15
2023-05-25T14:39:34,0,15,0,15
2023-05-25T14:51:07,0,15,0,15
2023-05-25T15:02:52,0,15,0,15
2023-05-25T15:14:26,0,15,0,15
2023-05-25T15:26:01,0,15,0,15
2023-05-25T15:37:35,0,15,0,15
2023-05-25T15:49:10,0,15,0,15
2023-05-25T16:00:44,0,15,0,15
2023-05-25T16:12:30,0,15,0,15
