time,enrolled,available,waitlisted,total
2023-09-18T12:14:43,0,20,0,20
2023-09-18T12:27:44,0,20,0,20
2023-09-18T12:40:44,1,19,0,20
2023-09-18T12:53:44,1,19,0,20
2023-09-18T13:06:44,1,19,0,20
2023-09-18T13:19:55,1,19,0,20
2023-09-18T13:32:55,1,19,0,20
2023-09-18T13:45:55,1,19,0,20
2023-09-18T13:58:54,1,19,0,20
2023-09-18T14:11:54,1,19,0,20
2023-09-18T14:25:11,1,19,0,20
2023-09-18T14:38:12,1,19,0,20
2023-09-18T14:51:12,1,19,0,20
2023-09-18T15:04:12,1,19,0,20
2023-09-18T15:17:13,1,19,0,20
2023-09-18T15:30:23,1,19,0,20
2023-09-18T15:43:24,1,19,0,20
2023-09-18T15:56:23,1,19,0,20
2023-09-18T16:09:24,1,19,0,20
2023-09-18T16:22:24,1,19,0,20
2023-09-18T16:35:42,2,18,0,20
2023-09-18T16:48:42,2,18,0,20
2023-09-18T17:01:41,2,18,0,20
2023-09-18T17:14:42,2,18,0,20
2023-09-18T17:27:41,2,18,0,20
2023-09-18T17:40:41,2,18,0,20
2023-09-18T17:53:41,2,18,0,20
2023-09-18T18:06:52,2,18,0,20
2023-09-18T18:19:52,2,18,0,20
2023-09-18T18:32:52,2,18,0,20
2023-09-18T18:45:52,2,18,0,20
2023-09-18T18:58:52,2,18,0,20
2023-09-18T19:11:52,2,18,0,20
2023-09-18T19:24:52,2,18,0,20
2023-09-18T19:37:52,2,18,0,20
2023-09-18T19:51:02,2,18,0,20
2023-09-18T20:04:02,2,18,0,20
2023-09-18T20:17:02,2,18,0,20
2023-09-18T20:30:03,2,18,0,20
2023-09-18T20:43:03,2,18,0,20
2023-09-18T20:56:03,2,18,0,20
2023-09-18T21:09:02,2,18,0,20
2023-09-18T21:22:02,2,18,0,20
2023-09-18T21:35:12,2,18,0,20
2023-09-18T21:48:12,2,18,0,20
2023-09-18T22:01:12,2,18,0,20
2023-09-18T22:14:12,2,18,0,20
2023-09-18T22:27:12,2,18,0,20
2023-09-18T22:40:13,2,18,0,20
2023-09-18T22:53:12,2,18,0,20
2023-09-18T23:06:14,2,18,0,20
2023-09-18T23:19:49,2,18,0,20
2023-09-18T23:32:50,2,18,0,20
2023-09-18T23:45:50,2,18,0,20
2023-09-18T23:58:50,2,18,0,20
2023-09-19T00:11:54,2,18,0,20
2023-09-19T00:25:04,2,18,0,20
2023-09-19T00:38:08,2,18,0,20
2023-09-19T00:51:13,2,18,0,20
2023-09-19T01:04:18,2,18,0,20
2023-09-19T01:17:22,2,18,0,20
2023-09-19T01:30:25,2,18,0,20
2023-09-19T01:43:47,2,18,0,20
2023-09-19T01:56:50,2,18,0,20
2023-09-19T02:10:06,2,18,0,20
2023-09-19T02:23:08,2,18,0,20
2023-09-19T02:36:11,2,18,0,20
2023-09-19T02:49:14,2,18,0,20
2023-09-19T03:02:15,2,18,0,20
2023-09-19T03:15:17,2,18,0,20
2023-09-19T03:28:20,2,18,0,20
2023-09-19T03:41:23,2,18,0,20
2023-09-19T03:54:27,2,18,0,20
2023-09-19T04:07:31,2,18,0,20
2023-09-19T04:39:10,2,18,0,20
2023-09-19T04:53:55,2,18,0,20
2023-09-19T05:07:03,2,18,0,20
2023-09-19T05:20:10,2,18,0,20
2023-09-19T05:33:15,2,18,0,20
2023-09-19T05:46:19,2,18,0,20
2023-09-19T05:59:24,2,18,0,20
2023-09-19T06:12:27,2,18,0,20
2023-09-19T06:25:31,2,18,0,20
2023-09-19T06:38:34,2,18,0,20
2023-09-19T06:51:38,2,18,0,20
2023-09-19T07:04:41,2,18,0,20
2023-09-19T07:17:45,2,18,0,20
2023-09-19T07:30:49,2,18,0,20
2023-09-19T07:43:51,2,18,0,20
2023-09-19T07:56:54,2,18,0,20
2023-09-19T08:09:56,2,18,0,20
2023-09-19T08:22:58,2,18,0,20
2023-09-19T08:36:01,2,18,0,20
2023-09-19T08:49:03,2,18,0,20
2023-09-19T09:02:06,2,18,0,20
2023-09-19T09:15:09,2,18,0,20
2023-09-19T09:28:26,2,18,0,20
2023-09-19T09:41:28,2,18,0,20
2023-09-19T09:54:29,2,18,0,20
2023-09-19T10:07:30,2,18,0,20
2023-09-19T10:20:31,2,18,0,20
2023-09-19T10:33:32,2,18,0,20
2023-09-19T10:46:33,2,18,0,20
2023-09-19T10:59:34,2,18,0,20
2023-09-19T11:12:48,2,18,0,20
2023-09-19T11:25:48,2,18,0,20
2023-09-19T11:38:49,2,18,0,20
2023-09-19T11:51:48,2,18,0,20
2023-09-19T12:04:49,2,18,0,20
2023-09-19T12:17:49,2,18,0,20
2023-09-19T12:31:11,2,18,0,20
2023-09-19T12:44:11,2,18,0,20
2023-09-19T12:57:10,2,18,0,20
2023-09-19T13:10:10,2,18,0,20
2023-09-19T13:23:10,2,18,0,20
2023-09-19T13:36:09,2,18,0,20
2023-09-19T13:49:19,2,18,0,20
2023-09-19T14:02:19,2,18,0,20
2023-09-19T14:15:19,2,18,0,20
2023-09-19T14:28:19,2,18,0,20
2023-09-19T14:41:19,2,18,0,20
2023-09-19T14:54:23,2,18,0,20
2023-09-19T15:07:43,2,18,0,20
2023-09-19T15:20:42,2,18,0,20
2023-09-19T15:33:42,2,18,0,20
2023-09-19T15:46:42,2,18,0,20
2023-09-19T15:59:42,2,18,0,20
2023-09-19T16:12:42,2,18,0,20
2023-09-19T16:25:52,2,18,0,20
2023-09-19T16:38:51,2,18,0,20
2023-09-19T16:51:51,2,18,0,20
2023-09-19T17:04:50,2,18,0,20
2023-09-19T17:17:51,2,18,0,20
2023-09-19T17:30:51,2,18,0,20
2023-09-19T17:43:51,2,18,0,20
2023-09-19T17:57:11,2,18,0,20
2023-09-19T18:10:10,2,18,0,20
2023-09-19T18:23:09,2,18,0,20
2023-09-19T18:36:09,2,18,0,20
2023-09-19T18:49:09,2,18,0,20
2023-09-19T19:02:09,2,18,0,20
2023-09-19T19:15:19,2,18,0,20
2023-09-19T19:28:20,2,18,0,20
2023-09-19T19:41:21,2,18,0,20
2023-09-19T19:54:21,2,18,0,20
2023-09-19T20:07:21,2,18,0,20
2023-09-19T20:20:22,2,18,0,20
2023-09-19T20:33:23,2,18,0,20
2023-09-19T20:46:42,2,18,0,20
2023-09-19T20:59:42,2,18,0,20
2023-09-19T21:12:42,2,18,0,20
2023-09-19T21:25:42,2,18,0,20
2023-09-19T21:38:42,2,18,0,20
2023-09-19T21:51:41,2,18,0,20
2023-09-19T22:04:52,2,18,0,20
2023-09-19T22:17:52,2,18,0,20
2023-09-19T22:30:51,2,18,0,20
2023-09-19T22:43:51,2,18,0,20
2023-09-19T22:56:50,2,18,0,20
2023-09-19T23:09:51,2,18,0,20
2023-09-19T23:22:51,2,18,0,20
2023-09-19T23:36:11,2,18,0,20
2023-09-19T23:49:12,2,18,0,20
2023-09-20T00:02:12,2,18,0,20
2023-09-20T00:15:16,2,18,0,20
2023-09-20T00:28:19,2,18,0,20
2023-09-20T00:41:26,2,18,0,20
2023-09-20T00:54:31,2,18,0,20
2023-09-20T01:07:35,2,18,0,20
2023-09-20T01:20:40,2,18,0,20
2023-09-20T01:33:45,2,18,0,20
2023-09-20T01:46:51,2,18,0,20
2023-09-20T02:00:08,2,18,0,20
2023-09-20T02:13:13,2,18,0,20
2023-09-20T02:26:16,2,18,0,20
2023-09-20T02:39:20,2,18,0,20
2023-09-20T02:52:21,2,18,0,20
2023-09-20T03:05:23,2,18,0,20
2023-09-20T03:18:30,2,18,0,20
2023-09-20T03:32:13,2,18,0,20
2023-09-20T03:45:17,2,18,0,20
2023-09-20T03:58:31,2,18,0,20
2023-09-20T04:14:06,2,18,0,20
2023-09-20T04:36:16,2,18,0,20
2023-09-20T04:49:21,2,18,0,20
2023-09-20T05:02:27,2,18,0,20
2023-09-20T05:15:41,2,18,0,20
2023-09-20T05:28:45,2,18,0,20
2023-09-20T05:41:58,2,18,0,20
