time,enrolled,available,waitlisted,total
2023-05-25T01:23:07,0,9999,0,9999
2023-05-25T01:34:43,0,9999,0,9999
2023-05-25T01:46:27,0,9999,0,9999
2023-05-25T01:58:03,0,9999,0,9999
2023-05-25T02:09:39,0,9999,0,9999
2023-05-25T02:21:15,0,9999,0,9999
2023-05-25T02:32:49,0,9999,0,9999
2023-05-25T02:44:23,0,9999,0,9999
2023-05-25T02:55:56,0,9999,0,9999
2023-05-25T03:07:30,0,9999,0,9999
2023-05-25T03:19:09,0,9999,0,9999
2023-05-25T03:31:07,0,9999,0,9999
2023-05-25T03:42:43,0,9999,0,9999
2023-05-25T03:54:19,0,9999,0,9999
2023-05-25T04:05:54,0,9999,0,9999
2023-05-25T04:25:42,0,9999,0,9999
2023-05-25T04:37:19,0,9999,0,9999
2023-05-25T04:48:55,0,9999,0,9999
2023-05-25T05:00:31,0,9999,0,9999
2023-05-25T05:12:08,0,9999,0,9999
2023-05-25T05:23:44,0,9999,0,9999
2023-05-25T05:35:21,0,9999,0,9999
2023-05-25T05:46:57,0,9999,0,9999
2023-05-25T05:58:33,0,9999,0,9999
2023-05-25T06:10:09,0,9999,0,9999
2023-05-25T06:21:44,0,9999,0,9999
2023-05-25T06:33:19,0,9999,0,9999
2023-05-25T06:44:54,0,9999,0,9999
2023-05-25T06:56:29,0,9999,0,9999
2023-05-25T07:08:05,0,9999,0,9999
2023-05-25T07:19:40,0,9999,0,9999
2023-05-25T07:31:14,0,9999,0,9999
2023-05-25T07:42:50,0,9999,0,9999
2023-05-25T07:54:26,0,9999,0,9999
2023-05-25T08:06:01,0,9999,0,9999
2023-05-25T08:17:35,0,9999,0,9999
2023-05-25T08:29:20,0,9999,0,9999
2023-05-25T08:40:52,0,9999,0,9999
2023-05-25T08:52:25,0,9999,0,9999
2023-05-25T09:03:58,0,9999,0,9999
2023-05-25T09:15:31,0,9999,0,9999
2023-05-25T09:27:04,0,9999,0,9999
2023-05-25T09:38:36,0,9999,0,9999
2023-05-25T09:50:09,0,9999,0,9999
2023-05-25T10:01:42,0,9999,0,9999
2023-05-25T10:13:27,0,9999,0,9999
2023-05-25T10:25:00,0,9999,0,9999
2023-05-25T10:36:33,0,9999,0,9999
2023-05-25T10:48:05,0,9999,0,9999
2023-05-25T10:59:48,0,9999,0,9999
2023-05-25T11:11:20,0,9999,0,9999
2023-05-25T11:22:53,0,9999,0,9999
2023-05-25T11:34:26,0,9999,0,9999
2023-05-25T11:45:59,0,9999,0,9999
2023-05-25T11:57:43,0,9999,0,9999
2023-05-25T12:09:16,0,9999,0,9999
2023-05-25T12:20:49,0,9999,0,9999
2023-05-25T12:32:22,0,9999,0,9999
2023-05-25T12:43:55,0,9999,0,9999
2023-05-25T12:55:27,0,9999,0,9999
2023-05-25T13:07:10,0,9999,0,9999
2023-05-25T13:18:43,0,9999,0,9999
2023-05-25T13:30:16,0,9999,0,9999
2023-05-25T13:41:50,0,9999,0,9999
2023-05-25T13:53:23,0,9999,0,9999
2023-05-25T14:05:07,0,9999,0,9999
2023-05-25T14:16:41,0,9999,0,9999
2023-05-25T14:28:14,0,9999,0,9999
2023-05-25T14:39:47,0,9999,0,9999
2023-05-25T14:51:20,0,9999,0,9999
2023-05-25T15:03:04,0,9999,0,9999
2023-05-25T15:14:38,0,9999,0,9999
2023-05-25T15:26:13,0,9999,0,9999
2023-05-25T15:37:47,0,9999,0,9999
2023-05-25T15:49:22,0,9999,0,9999
2023-05-25T16:00:57,0,9999,0,9999
2023-05-25T16:12:42,0,9999,0,9999
2023-05-25T16:24:17,0,9999,0,9999
2023-05-25T16:35:52,0,9999,0,9999
2023-05-25T16:47:28,0,9999,0,9999
2023-05-25T16:59:04,0,9999,0,9999
2023-05-25T17:10:40,0,9999,0,9999
2023-05-25T17:22:27,0,9999,0,9999
2023-05-25T17:34:02,0,9999,0,9999
2023-05-25T17:45:39,0,9999,0,9999
2023-05-25T17:57:14,0,9999,0,9999
2023-05-25T18:08:51,0,9999,0,9999
2023-05-25T18:20:26,0,9999,0,9999
2023-05-25T18:32:02,0,9999,0,9999
2023-05-25T18:43:47,0,9999,0,9999
2023-05-25T18:55:23,0,9999,0,9999
2023-05-25T19:07:00,0,9999,0,9999
2023-05-25T19:18:36,0,9999,0,9999
2023-05-25T19:30:11,0,9999,0,9999
2023-05-25T19:41:47,0,9999,0,9999
2023-05-25T19:53:33,0,9999,0,9999
2023-05-25T20:05:08,0,9999,0,9999
2023-05-25T20:16:44,0,9999,0,9999
2023-05-25T20:28:20,0,9999,0,9999
2023-05-25T20:39:56,0,9999,0,9999
2023-05-25T20:51:32,0,9999,0,9999
2023-05-25T21:03:07,0,9999,0,9999
2023-05-25T21:14:43,0,9999,0,9999
2023-05-25T21:26:30,0,9999,0,9999
2023-05-25T21:38:06,0,9999,0,9999
2023-05-25T21:49:42,0,9999,0,9999
2023-05-25T22:01:17,0,9999,0,9999
2023-05-25T22:12:52,0,9999,0,9999
2023-05-25T22:24:27,0,9999,0,9999
2023-05-25T22:36:03,0,9999,0,9999
2023-05-25T22:47:49,0,9999,0,9999
2023-05-25T22:59:25,0,9999,0,9999
2023-05-25T23:11:03,0,9999,0,9999
2023-05-25T23:22:39,0,9999,0,9999
2023-05-25T23:34:14,0,9999,0,9999
2023-05-25T23:45:50,0,9999,0,9999
2023-05-25T23:57:27,0,9999,0,9999
2023-05-26T00:09:24,0,9999,0,9999
2023-05-26T00:21:04,0,9999,0,9999
2023-05-26T00:32:42,0,9999,0,9999
2023-05-26T00:44:21,0,9999,0,9999
2023-05-26T00:56:00,0,9999,0,9999
2023-05-26T01:07:39,0,9999,0,9999
2023-05-26T01:19:18,0,9999,0,9999
2023-05-26T01:30:56,0,9999,0,9999
2023-05-26T01:42:44,0,9999,0,9999
2023-05-26T01:54:22,0,9999,0,9999
2023-05-26T02:06:05,0,9999,0,9999
2023-05-26T02:17:42,0,9999,0,9999
2023-05-26T02:29:19,0,9999,0,9999
2023-05-26T02:40:59,0,9999,0,9999
2023-05-26T02:52:48,0,9999,0,9999
2023-05-26T03:04:28,0,9999,0,9999
2023-05-26T03:16:07,0,9999,0,9999
2023-05-26T03:27:48,0,9999,0,9999
2023-05-26T03:39:26,0,9999,0,9999
2023-05-26T03:51:05,0,9999,0,9999
2023-05-26T04:02:43,0,9999,0,9999
2023-05-26T04:14:32,0,9999,0,9999
2023-05-26T04:36:55,0,9999,0,9999
2023-05-26T04:48:36,0,9999,0,9999
2023-05-26T05:00:16,0,9999,0,9999
2023-05-26T05:11:59,0,9999,0,9999
2023-05-26T05:23:38,0,9999,0,9999
2023-05-26T05:35:16,0,9999,0,9999
2023-05-26T05:46:55,0,9999,0,9999
2023-05-26T05:58:34,0,9999,0,9999
2023-05-26T06:10:13,0,9999,0,9999
2023-05-26T06:21:52,0,9999,0,9999
2023-05-26T06:33:31,0,9999,0,9999
2023-05-26T06:45:10,0,9999,0,9999
2023-05-26T06:56:47,0,9999,0,9999
2023-05-26T07:08:26,0,9999,0,9999
2023-05-26T07:20:05,0,9999,0,9999
2023-05-26T07:31:51,0,9999,0,9999
2023-05-26T07:43:28,0,9999,0,9999
2023-05-26T07:55:05,0,9999,0,9999
2023-05-26T08:06:41,0,9999,0,9999
2023-05-26T08:18:17,0,9999,0,9999
2023-05-26T08:29:53,0,9999,0,9999
2023-05-26T08:41:30,0,9999,0,9999
2023-05-26T08:53:06,0,9999,0,9999
2023-05-26T09:04:42,0,9999,0,9999
2023-05-26T09:16:18,0,9999,0,9999
2023-05-26T09:27:54,0,9999,0,9999
2023-05-26T09:39:41,0,9999,0,9999
2023-05-26T09:51:18,0,9999,0,9999
2023-05-26T10:02:54,0,9999,0,9999
2023-05-26T10:14:30,0,9999,0,9999
2023-05-26T10:26:07,0,9999,0,9999
2023-05-26T10:37:55,0,9999,0,9999
2023-05-26T10:49:31,0,9999,0,9999
2023-05-26T11:01:07,0,9999,0,9999
2023-05-26T11:12:44,0,9999,0,9999
2023-05-26T11:24:20,0,9999,0,9999
2023-05-26T11:35:56,0,9999,0,9999
2023-05-26T11:47:43,0,9999,0,9999
2023-05-26T11:59:19,0,9999,0,9999
2023-05-26T12:10:55,0,9999,0,9999
2023-05-26T12:22:31,0,9999,0,9999
2023-05-26T12:34:07,0,9999,0,9999
2023-05-26T12:45:55,0,9999,0,9999
2023-05-26T12:57:30,0,9999,0,9999
2023-05-26T13:09:06,0,9999,0,9999
2023-05-26T13:20:42,0,9999,0,9999
2023-05-26T13:32:28,0,9999,0,9999
2023-05-26T13:44:04,0,9999,0,9999
2023-05-26T13:55:40,0,9999,0,9999
2023-05-26T14:07:16,0,9999,0,9999
2023-05-26T14:18:52,0,9999,0,9999
2023-05-26T14:30:39,0,9999,0,9999
2023-05-26T14:42:15,0,9999,0,9999
2023-05-26T14:53:51,0,9999,0,9999
2023-05-26T15:05:28,0,9999,0,9999
2023-05-26T15:17:05,0,9999,0,9999
2023-05-26T15:28:52,0,9999,0,9999
2023-05-26T15:40:27,0,9999,0,9999
2023-05-26T15:52:03,0,9999,0,9999
2023-05-26T16:03:39,0,9999,0,9999
2023-05-26T16:15:15,0,9999,0,9999
2023-05-26T16:26:51,0,9999,0,9999
2023-05-26T16:38:37,0,9999,0,9999
2023-05-26T16:50:12,0,9999,0,9999
2023-05-26T17:01:48,0,9999,0,9999
2023-05-26T17:13:25,0,9999,0,9999
2023-05-26T17:25:01,0,9999,0,9999
2023-05-26T17:36:36,0,9999,0,9999
2023-05-26T17:48:22,0,9999,0,9999
2023-05-26T17:59:58,0,9999,0,9999
2023-05-26T18:11:33,0,9999,0,9999
2023-05-26T18:23:09,0,9999,0,9999
2023-05-26T18:34:45,0,9999,0,9999
2023-05-26T18:46:20,0,9999,0,9999
2023-05-26T18:58:06,0,9999,0,9999
2023-05-26T19:09:42,0,9999,0,9999
2023-05-26T19:21:19,0,9999,0,9999
2023-05-26T19:32:55,0,9999,0,9999
2023-05-26T19:44:31,0,9999,0,9999
2023-05-26T19:56:06,0,9999,0,9999
2023-05-26T20:07:42,0,9999,0,9999
2023-05-26T20:19:28,0,9999,0,9999
2023-05-26T20:31:03,0,9999,0,9999
2023-05-26T20:42:38,0,9999,0,9999
2023-05-26T20:54:14,0,9999,0,9999
2023-05-26T21:05:49,0,9999,0,9999
2023-05-26T21:17:26,0,9999,0,9999
2023-05-26T21:29:02,0,9999,0,9999
2023-05-26T21:40:38,0,9999,0,9999
2023-05-26T21:52:25,0,9999,0,9999
2023-05-26T22:04:01,0,9999,0,9999
2023-05-26T22:15:37,0,9999,0,9999
2023-05-26T22:27:13,0,9999,0,9999
2023-05-26T22:38:49,0,9999,0,9999
2023-05-26T22:50:25,0,9999,0,9999
2023-05-26T23:02:02,0,9999,0,9999
2023-05-26T23:13:50,0,9999,0,9999
2023-05-26T23:25:26,0,9999,0,9999
2023-05-26T23:37:02,0,9999,0,9999
2023-05-26T23:48:39,0,9999,0,9999
2023-05-27T00:00:15,0,9999,0,9999
2023-05-27T00:11:53,0,9999,0,9999
2023-05-27T00:23:34,0,9999,0,9999
2023-05-27T00:35:12,0,9999,0,9999
2023-05-27T00:46:51,0,9999,0,9999
2023-05-27T00:58:30,0,9999,0,9999
2023-05-27T01:10:09,0,9999,0,9999
2023-05-27T01:21:58,0,9999,0,9999
2023-05-27T01:33:37,0,9999,0,9999
2023-05-27T01:45:16,0,9999,0,9999
2023-05-27T01:56:55,0,9999,0,9999
2023-05-27T02:08:33,0,9999,0,9999
2023-05-27T02:20:11,0,9999,0,9999
2023-05-27T02:31:48,0,9999,0,9999
2023-05-27T02:43:25,0,9999,0,9999
2023-05-27T02:55:00,0,9999,0,9999
2023-05-27T03:06:37,0,9999,0,9999
2023-05-27T03:18:16,0,9999,0,9999
2023-05-27T03:29:53,0,9999,0,9999
2023-05-27T03:41:30,0,9999,0,9999
2023-05-27T03:53:07,0,9999,0,9999
2023-05-27T04:04:47,0,9999,0,9999
2023-05-27T04:16:40,0,9999,0,9999
2023-05-27T04:39:16,0,9999,0,9999
2023-05-27T04:51:13,0,9999,0,9999
2023-05-27T05:02:52,0,9999,0,9999
2023-05-27T05:14:31,0,9999,0,9999
2023-05-27T05:26:10,0,9999,0,9999
2023-05-27T05:37:50,0,9999,0,9999
2023-05-27T05:49:29,0,9999,0,9999
2023-05-27T06:01:07,0,9999,0,9999
2023-05-27T06:12:45,0,9999,0,9999
2023-05-27T06:24:26,0,9999,0,9999
2023-05-27T06:36:05,0,9999,0,9999
2023-05-27T06:47:44,0,9999,0,9999
