time,enrolled,available,waitlisted,total
2023-07-31T15:02:26,0,50,0,50
2023-07-31T15:14:59,0,50,0,50
2023-07-31T15:27:32,0,50,0,50
2023-07-31T15:40:05,0,50,0,50
2023-07-31T15:52:40,0,50,0,50
2023-07-31T16:05:26,0,50,0,50
2023-07-31T16:17:59,0,50,0,50
2023-07-31T16:30:33,0,50,0,50
2023-07-31T16:43:07,0,50,0,50
2023-07-31T16:55:41,0,50,0,50
2023-07-31T17:08:15,0,50,0,50
2023-07-31T17:20:50,0,50,0,50
2023-07-31T17:33:23,0,50,0,50
2023-07-31T17:46:07,0,50,0,50
2023-07-31T17:58:42,0,50,0,50
2023-07-31T18:11:16,0,50,0,50
2023-07-31T18:23:50,0,50,0,50
2023-07-31T18:36:26,0,50,0,50
2023-07-31T18:49:00,0,50,0,50
2023-07-31T19:01:35,0,50,0,50
2023-07-31T19:14:08,0,50,0,50
2023-07-31T19:26:44,0,50,0,50
2023-07-31T19:39:18,0,50,0,50
2023-07-31T19:52:01,0,50,0,50
2023-07-31T20:04:36,0,50,0,50
2023-07-31T20:17:09,0,50,0,50
2023-07-31T20:29:43,0,50,0,50
2023-07-31T20:42:17,0,50,0,50
2023-07-31T20:54:50,0,50,0,50
2023-07-31T21:07:25,0,50,0,50
2023-07-31T21:19:58,0,50,0,50
2023-07-31T21:32:32,0,50,0,50
2023-07-31T21:45:05,0,50,0,50
2023-07-31T21:57:50,0,50,0,50
2023-07-31T22:10:23,0,50,0,50
2023-07-31T22:22:56,0,50,0,50
2023-07-31T22:35:30,0,50,0,50
2023-07-31T22:48:03,0,50,0,50
2023-07-31T23:00:36,0,50,0,50
2023-07-31T23:13:13,0,50,0,50
2023-07-31T23:25:48,0,50,0,50
2023-07-31T23:38:22,0,50,0,50
2023-07-31T23:50:57,0,50,0,50
2023-08-01T00:03:42,0,50,0,50
2023-08-01T00:16:18,0,50,0,50
2023-08-01T00:28:57,0,50,0,50
2023-08-01T00:41:35,0,50,0,50
2023-08-01T00:54:14,0,50,0,50
2023-08-01T01:06:51,0,50,0,50
2023-08-01T01:19:27,0,50,0,50
2023-08-01T01:32:06,0,50,0,50
2023-08-01T01:44:45,0,50,0,50
2023-08-01T01:57:22,0,50,0,50
2023-08-01T02:10:00,0,50,0,50
2023-08-01T02:22:39,0,50,0,50
2023-08-01T02:35:15,0,50,0,50
2023-08-01T02:47:51,0,50,0,50
2023-08-01T03:00:26,0,50,0,50
2023-08-01T03:13:03,0,50,0,50
2023-08-01T03:25:39,0,50,0,50
2023-08-01T03:38:15,0,50,0,50
2023-08-01T03:50:53,0,50,0,50
2023-08-01T04:03:40,0,50,0,50
2023-08-01T04:35:37,0,50,0,50
2023-08-01T04:48:16,0,50,0,50
2023-08-01T05:00:54,0,50,0,50
2023-08-01T05:13:29,0,50,0,50
2023-08-01T05:26:02,0,50,0,50
2023-08-01T05:38:35,0,50,0,50
2023-08-01T05:51:15,0,50,0,50
2023-08-01T06:04:09,0,50,0,50
2023-08-01T06:16:49,0,50,0,50
2023-08-01T06:29:26,0,50,0,50
2023-08-01T06:42:02,0,50,0,50
2023-08-01T06:54:39,0,50,0,50
2023-08-01T07:07:17,0,50,0,50
2023-08-01T07:19:53,0,50,0,50
2023-08-01T07:32:29,0,50,0,50
2023-08-01T07:45:03,0,50,0,50
2023-08-01T07:57:37,0,50,0,50
2023-08-01T08:10:13,0,50,0,50
2023-08-01T08:22:48,0,50,0,50
2023-08-01T08:35:26,0,50,0,50
2023-08-01T08:48:12,0,50,0,50
2023-08-01T09:00:47,0,50,0,50
2023-08-01T09:13:22,0,50,0,50
2023-08-01T09:25:58,0,50,0,50
2023-08-01T09:38:35,0,50,0,50
2023-08-01T09:51:11,0,50,0,50
2023-08-01T10:03:46,0,50,0,50
2023-08-01T10:16:21,0,50,0,50
2023-08-01T10:28:58,0,50,0,50
2023-08-01T10:41:34,0,50,0,50
2023-08-01T10:54:09,0,50,0,50
2023-08-01T11:06:43,0,50,0,50
2023-08-01T11:19:30,0,50,0,50
2023-08-01T11:32:05,0,50,0,50
2023-08-01T11:44:40,0,50,0,50
2023-08-01T11:57:15,0,50,0,50
2023-08-01T12:09:49,0,50,0,50
2023-08-01T12:22:23,0,50,0,50
2023-08-01T12:34:57,0,50,0,50
2023-08-01T12:47:32,0,50,0,50
2023-08-01T13:00:13,0,50,0,50
2023-08-01T13:12:47,0,50,0,50
2023-08-01T13:25:32,0,50,0,50
2023-08-01T13:38:06,0,50,0,50
2023-08-01T13:50:39,0,50,0,50
2023-08-01T14:03:14,0,50,0,50
2023-08-01T14:15:49,0,50,0,50
2023-08-01T14:28:24,0,50,0,50
2023-08-01T14:40:59,0,50,0,50
2023-08-01T14:53:35,0,50,0,50
2023-08-01T15:06:09,0,50,0,50
2023-08-01T15:18:43,0,50,0,50
2023-08-01T15:31:28,0,50,0,50
2023-08-01T15:44:02,0,50,0,50
2023-08-01T15:56:36,0,50,0,50
2023-08-01T16:09:10,0,50,0,50
2023-08-01T16:21:45,0,50,0,50
2023-08-01T16:34:20,0,50,0,50
2023-08-01T16:46:54,0,50,0,50
2023-08-01T16:59:28,0,50,0,50
2023-08-01T17:12:04,0,50,0,50
2023-08-01T17:24:40,0,50,0,50
2023-08-01T17:37:15,0,50,0,50
2023-08-01T17:49:50,0,50,0,50
2023-08-01T18:02:34,0,50,0,50
2023-08-01T18:15:09,0,50,0,50
2023-08-01T18:27:43,0,50,0,50
2023-08-01T18:40:18,0,50,0,50
2023-08-01T18:52:53,0,50,0,50
2023-08-01T19:05:27,0,50,0,50
2023-08-01T19:18:02,0,50,0,50
2023-08-01T19:30:36,0,50,0,50
2023-08-01T19:43:10,0,50,0,50
2023-08-01T19:55:45,0,50,0,50
2023-08-01T20:08:20,0,50,0,50
2023-08-01T20:20:56,0,50,0,50
2023-08-01T20:33:31,0,50,0,50
2023-08-01T20:46:16,0,50,0,50
2023-08-01T20:58:50,0,50,0,50
2023-08-01T21:11:24,0,50,0,50
2023-08-01T21:23:59,0,50,0,50
2023-08-01T21:36:34,0,50,0,50
2023-08-01T21:49:09,0,50,0,50
2023-08-01T22:01:43,0,50,0,50
2023-08-01T22:14:17,0,50,0,50
2023-08-01T22:26:53,0,50,0,50
2023-08-01T22:39:27,0,50,0,50
2023-08-01T22:52:01,0,50,0,50
2023-08-01T23:04:37,0,50,0,50
2023-08-01T23:17:12,0,50,0,50
2023-08-01T23:29:58,0,50,0,50
2023-08-01T23:42:33,0,50,0,50
2023-08-01T23:55:07,0,50,0,50
2023-08-02T00:07:43,0,50,0,50
2023-08-02T00:20:23,0,50,0,50
2023-08-02T00:33:00,0,50,0,50
2023-08-02T00:45:38,0,50,0,50
2023-08-02T00:58:16,0,50,0,50
2023-08-02T01:10:56,0,50,0,50
2023-08-02T01:23:34,0,50,0,50
2023-08-02T01:36:13,0,50,0,50
2023-08-02T01:48:51,0,50,0,50
2023-08-02T02:01:34,0,50,0,50
2023-08-02T02:14:11,0,50,0,50
2023-08-02T02:26:48,0,50,0,50
2023-08-02T02:39:26,0,50,0,50
2023-08-02T02:52:03,0,50,0,50
2023-08-02T03:04:41,0,50,0,50
2023-08-02T03:17:19,0,50,0,50
2023-08-02T03:29:57,0,50,0,50
2023-08-02T03:42:36,0,50,0,50
2023-08-02T03:55:23,0,50,0,50
2023-08-02T04:08:00,0,50,0,50
2023-08-02T04:32:59,0,50,0,50
2023-08-02T04:45:39,0,50,0,50
2023-08-02T04:58:35,0,50,0,50
2023-08-02T05:11:14,0,50,0,50
2023-08-02T05:24:13,0,50,0,50
2023-08-02T05:36:51,0,50,0,50
2023-08-02T05:49:28,0,50,0,50
2023-08-02T06:02:04,0,50,0,50
2023-08-02T06:14:42,0,50,0,50
2023-08-02T06:27:21,0,50,0,50
2023-08-02T06:39:59,0,50,0,50
2023-08-02T06:52:37,0,50,0,50
2023-08-02T07:05:24,0,50,0,50
2023-08-02T07:18:03,0,50,0,50
2023-08-02T07:30:40,0,50,0,50
2023-08-02T07:43:18,0,50,0,50
2023-08-02T07:55:56,0,50,0,50
2023-08-02T08:08:35,0,50,0,50
2023-08-02T08:21:11,0,50,0,50
2023-08-02T08:33:48,0,50,0,50
2023-08-02T08:46:27,0,50,0,50
2023-08-02T08:59:05,0,50,0,50
2023-08-02T09:11:41,0,50,0,50
2023-08-02T09:24:17,0,50,0,50
2023-08-02T09:36:55,0,50,0,50
2023-08-02T09:49:42,0,50,0,50
2023-08-02T10:02:23,0,50,0,50
2023-08-02T10:15:00,0,50,0,50
2023-08-02T10:27:35,0,50,0,50
2023-08-02T10:40:11,0,50,0,50
2023-08-02T10:52:46,0,50,0,50
2023-08-02T11:05:21,0,50,0,50
2023-08-02T11:17:57,0,50,0,50
2023-08-02T11:30:49,0,50,0,50
2023-08-02T11:43:24,0,50,0,50
2023-08-02T11:56:00,0,50,0,50
2023-08-02T12:08:35,0,50,0,50
2023-08-02T12:21:11,0,50,0,50
2023-08-02T12:33:46,0,50,0,50
2023-08-02T12:46:22,0,50,0,50
2023-08-02T12:59:06,0,50,0,50
2023-08-02T13:11:42,0,50,0,50
2023-08-02T13:24:17,0,50,0,50
2023-08-02T13:36:53,0,50,0,50
2023-08-02T13:49:29,0,50,0,50
2023-08-02T14:02:04,0,50,0,50
2023-08-02T14:14:40,0,50,0,50
2023-08-02T14:27:41,0,50,0,50
2023-08-02T14:40:16,0,50,0,50
2023-08-02T14:52:52,0,50,0,50
2023-08-02T15:05:27,0,50,0,50
2023-08-02T15:18:03,0,50,0,50
2023-08-02T15:30:39,0,50,0,50
2023-08-02T15:43:15,0,50,0,50
2023-08-02T15:55:59,0,50,0,50
2023-08-02T16:08:35,0,50,0,50
2023-08-02T16:21:11,0,50,0,50
2023-08-02T16:33:46,0,50,0,50
2023-08-02T16:46:22,0,50,0,50
2023-08-02T16:58:57,0,50,0,50
2023-08-02T17:11:33,0,50,0,50
2023-08-02T17:24:09,0,50,0,50
2023-08-02T17:36:45,0,50,0,50
2023-08-02T17:49:19,0,50,0,50
2023-08-02T18:02:05,0,50,0,50
2023-08-02T18:14:41,0,50,0,50
2023-08-02T18:27:16,0,50,0,50
2023-08-02T18:39:51,0,50,0,50
2023-08-02T18:52:26,0,50,0,50
2023-08-02T19:05:02,0,50,0,50
2023-08-02T19:17:38,0,50,0,50
2023-08-02T19:30:23,0,50,0,50
2023-08-02T19:42:59,0,50,0,50
2023-08-02T19:55:34,0,50,0,50
2023-08-02T20:08:09,0,50,0,50
2023-08-02T20:20:44,0,50,0,50
2023-08-02T20:33:19,0,50,0,50
2023-08-02T20:45:55,0,50,0,50
2023-08-02T20:58:30,0,50,0,50
2023-08-02T21:11:15,0,50,0,50
2023-08-02T21:23:50,0,50,0,50
2023-08-02T21:36:25,0,50,0,50
2023-08-02T21:49:01,0,50,0,50
2023-08-02T22:01:36,0,50,0,50
2023-08-02T22:14:12,0,50,0,50
2023-08-02T22:26:47,0,50,0,50
2023-08-02T22:39:22,0,50,0,50
2023-08-02T22:51:58,0,50,0,50
2023-08-02T23:04:34,0,50,0,50
2023-08-02T23:17:22,0,50,0,50
2023-08-02T23:29:59,0,50,0,50
2023-08-02T23:42:34,0,50,0,50
2023-08-02T23:55:10,0,50,0,50
2023-08-03T00:07:46,0,50,0,50
2023-08-03T00:20:30,0,50,0,50
2023-08-03T00:33:09,0,50,0,50
2023-08-03T00:45:50,0,50,0,50
2023-08-03T00:58:30,0,50,0,50
2023-08-03T01:11:12,0,50,0,50
2023-08-03T01:23:50,0,50,0,50
2023-08-03T01:36:31,0,50,0,50
2023-08-03T01:49:09,0,50,0,50
2023-08-03T02:01:52,0,50,0,50
2023-08-03T02:14:29,0,50,0,50
2023-08-03T02:27:15,0,50,0,50
2023-08-03T02:39:52,0,50,0,50
2023-08-03T02:52:27,0,50,0,50
2023-08-03T03:05:03,0,50,0,50
2023-08-03T03:17:41,0,50,0,50
2023-08-03T03:30:18,0,50,0,50
2023-08-03T03:42:56,0,50,0,50
2023-08-03T03:55:34,0,50,0,50
