time,enrolled,available,waitlisted,total
2023-05-25T01:23:30,0,99,0,99
2023-05-25T01:35:06,0,99,0,99
2023-05-25T01:46:50,0,99,0,99
2023-05-25T01:58:26,0,99,0,99
2023-05-25T02:10:02,0,99,0,99
2023-05-25T02:21:38,0,99,0,99
2023-05-25T02:33:12,0,99,0,99
2023-05-25T02:44:46,0,99,0,99
2023-05-25T02:56:19,0,99,0,99
2023-05-25T03:07:53,0,99,0,99
2023-05-25T03:19:32,0,99,0,99
2023-05-25T03:31:30,0,99,0,99
2023-05-25T03:43:07,0,99,0,99
2023-05-25T03:54:42,0,99,0,99
2023-05-25T04:06:18,0,99,0,99
2023-05-25T04:26:05,0,99,0,99
2023-05-25T04:37:42,0,99,0,99
2023-05-25T04:49:18,0,99,0,99
2023-05-25T05:00:54,0,99,0,99
2023-05-25T05:12:31,0,99,0,99
2023-05-25T05:24:07,0,99,0,99
2023-05-25T05:35:44,0,99,0,99
2023-05-25T05:47:20,0,99,0,99
2023-05-25T05:58:56,0,99,0,99
2023-05-25T06:10:32,0,99,0,99
2023-05-25T06:22:07,0,99,0,99
2023-05-25T06:33:42,0,99,0,99
2023-05-25T06:45:17,0,99,0,99
2023-05-25T06:56:52,0,99,0,99
2023-05-25T07:08:28,0,99,0,99
2023-05-25T07:20:03,0,99,0,99
2023-05-25T07:31:37,0,99,0,99
2023-05-25T07:43:13,0,99,0,99
2023-05-25T07:54:49,0,99,0,99
2023-05-25T08:06:24,0,99,0,99
2023-05-25T08:17:58,0,99,0,99
2023-05-25T08:29:43,0,99,0,99
2023-05-25T08:41:15,0,99,0,99
2023-05-25T08:52:47,0,99,0,99
2023-05-25T09:04:21,0,99,0,99
2023-05-25T09:15:54,0,99,0,99
2023-05-25T09:27:27,0,99,0,99
2023-05-25T09:38:59,0,99,0,99
2023-05-25T09:50:32,0,99,0,99
2023-05-25T10:02:05,0,99,0,99
2023-05-25T10:13:50,0,99,0,99
2023-05-25T10:25:23,0,99,0,99
2023-05-25T10:36:56,0,99,0,99
2023-05-25T10:48:28,0,99,0,99
2023-05-25T11:00:11,0,99,0,99
2023-05-25T11:11:43,0,99,0,99
2023-05-25T11:23:16,0,99,0,99
2023-05-25T11:34:49,0,99,0,99
2023-05-25T11:46:22,0,99,0,99
2023-05-25T11:58:06,0,99,0,99
2023-05-25T12:09:39,0,99,0,99
2023-05-25T12:21:12,0,99,0,99
2023-05-25T12:32:45,0,99,0,99
2023-05-25T12:44:18,0,99,0,99
2023-05-25T12:55:50,0,99,0,99
2023-05-25T13:07:33,0,99,0,99
2023-05-25T13:19:06,0,99,0,99
2023-05-25T13:30:39,0,99,0,99
2023-05-25T13:42:13,0,99,0,99
2023-05-25T13:53:46,0,99,0,99
2023-05-25T14:05:30,0,99,0,99
2023-05-25T14:17:04,0,99,0,99
2023-05-25T14:28:37,0,99,0,99
2023-05-25T14:40:10,0,99,0,99
2023-05-25T14:51:43,0,99,0,99
2023-05-25T15:03:27,0,99,0,99
2023-05-25T15:15:01,0,99,0,99
2023-05-25T15:26:36,0,99,0,99
2023-05-25T15:38:10,0,99,0,99
2023-05-25T15:49:45,0,99,0,99
2023-05-25T16:01:20,0,99,0,99
2023-05-25T16:13:05,0,99,0,99
2023-05-25T16:24:40,0,99,0,99
2023-05-25T16:36:15,0,99,0,99
2023-05-25T16:47:51,0,99,0,99
2023-05-25T16:59:27,0,99,0,99
2023-05-25T17:11:03,0,99,0,99
2023-05-25T17:22:50,0,99,0,99
2023-05-25T17:34:25,0,99,0,99
2023-05-25T17:46:02,0,99,0,99
2023-05-25T17:57:37,0,99,0,99
2023-05-25T18:09:14,0,99,0,99
2023-05-25T18:20:49,0,99,0,99
2023-05-25T18:32:25,0,99,0,99
2023-05-25T18:44:10,0,99,0,99
2023-05-25T18:55:46,0,99,0,99
2023-05-25T19:07:22,0,99,0,99
2023-05-25T19:18:59,0,99,0,99
2023-05-25T19:30:34,0,99,0,99
2023-05-25T19:42:10,0,99,0,99
2023-05-25T19:53:56,0,99,0,99
2023-05-25T20:05:31,0,99,0,99
2023-05-25T20:17:07,0,99,0,99
2023-05-25T20:28:43,0,99,0,99
2023-05-25T20:40:19,0,99,0,99
2023-05-25T20:51:55,0,99,0,99
2023-05-25T21:03:30,0,99,0,99
2023-05-25T21:15:06,0,99,0,99
2023-05-25T21:26:53,0,99,0,99
2023-05-25T21:38:29,0,99,0,99
2023-05-25T21:50:05,0,99,0,99
2023-05-25T22:01:40,0,99,0,99
2023-05-25T22:13:15,0,99,0,99
2023-05-25T22:24:50,0,99,0,99
2023-05-25T22:36:26,0,99,0,99
2023-05-25T22:48:12,0,99,0,99
2023-05-25T22:59:48,0,99,0,99
2023-05-25T23:11:26,0,99,0,99
2023-05-25T23:23:02,0,99,0,99
2023-05-25T23:34:37,0,99,0,99
2023-05-25T23:46:13,0,99,0,99
2023-05-25T23:57:50,0,99,0,99
2023-05-26T00:09:47,0,99,0,99
2023-05-26T00:21:27,0,99,0,99
2023-05-26T00:33:06,0,99,0,99
2023-05-26T00:44:44,0,99,0,99
2023-05-26T00:56:23,0,99,0,99
2023-05-26T01:08:03,0,99,0,99
2023-05-26T01:19:41,0,99,0,99
2023-05-26T01:31:19,0,99,0,99
2023-05-26T01:43:07,0,99,0,99
2023-05-26T01:54:45,0,99,0,99
2023-05-26T02:06:28,0,99,0,99
2023-05-26T02:18:05,0,99,0,99
2023-05-26T02:29:42,0,99,0,99
2023-05-26T02:41:22,0,99,0,99
2023-05-26T02:53:11,0,99,0,99
2023-05-26T03:04:51,0,99,0,99
2023-05-26T03:16:31,0,99,0,99
2023-05-26T03:28:11,0,99,0,99
2023-05-26T03:39:49,0,99,0,99
2023-05-26T03:51:28,0,99,0,99
2023-05-26T04:03:06,0,99,0,99
2023-05-26T04:14:55,0,99,0,99
2023-05-26T04:37:19,0,99,0,99
2023-05-26T04:49:00,0,99,0,99
2023-05-26T05:00:39,0,99,0,99
2023-05-26T05:12:22,0,99,0,99
2023-05-26T05:24:01,0,99,0,99
2023-05-26T05:35:39,0,99,0,99
2023-05-26T05:47:18,0,99,0,99
2023-05-26T05:58:57,0,99,0,99
2023-05-26T06:10:36,0,99,0,99
2023-05-26T06:22:15,0,99,0,99
2023-05-26T06:33:54,0,99,0,99
2023-05-26T06:45:33,0,99,0,99
2023-05-26T06:57:10,0,99,0,99
2023-05-26T07:08:49,0,99,0,99
2023-05-26T07:20:28,0,99,0,99
2023-05-26T07:32:14,0,99,0,99
2023-05-26T07:43:51,0,99,0,99
2023-05-26T07:55:28,0,99,0,99
2023-05-26T08:07:04,0,99,0,99
2023-05-26T08:18:40,0,99,0,99
2023-05-26T08:30:16,0,99,0,99
2023-05-26T08:41:53,0,99,0,99
2023-05-26T08:53:29,0,99,0,99
2023-05-26T09:05:05,0,99,0,99
2023-05-26T09:16:41,0,99,0,99
2023-05-26T09:28:17,0,99,0,99
2023-05-26T09:40:04,0,99,0,99
2023-05-26T09:51:41,0,99,0,99
2023-05-26T10:03:17,0,99,0,99
2023-05-26T10:14:53,0,99,0,99
2023-05-26T10:26:30,0,99,0,99
2023-05-26T10:38:18,0,99,0,99
2023-05-26T10:49:54,0,99,0,99
2023-05-26T11:01:30,0,99,0,99
2023-05-26T11:13:07,0,99,0,99
2023-05-26T11:24:43,0,99,0,99
2023-05-26T11:36:19,0,99,0,99
2023-05-26T11:48:06,0,99,0,99
2023-05-26T11:59:42,0,99,0,99
2023-05-26T12:11:18,0,99,0,99
2023-05-26T12:22:54,0,99,0,99
2023-05-26T12:34:30,0,99,0,99
2023-05-26T12:46:18,0,99,0,99
2023-05-26T12:57:53,0,99,0,99
2023-05-26T13:09:29,0,99,0,99
2023-05-26T13:21:05,0,99,0,99
2023-05-26T13:32:52,0,99,0,99
2023-05-26T13:44:27,0,99,0,99
2023-05-26T13:56:03,0,99,0,99
2023-05-26T14:07:39,0,99,0,99
2023-05-26T14:19:15,0,99,0,99
2023-05-26T14:31:02,0,99,0,99
2023-05-26T14:42:38,0,99,0,99
2023-05-26T14:54:14,0,99,0,99
2023-05-26T15:05:51,0,99,0,99
2023-05-26T15:17:28,0,99,0,99
2023-05-26T15:29:15,0,99,0,99
2023-05-26T15:40:50,0,99,0,99
2023-05-26T15:52:26,0,99,0,99
2023-05-26T16:04:02,0,99,0,99
2023-05-26T16:15:38,0,99,0,99
