time,enrolled,available,waitlisted,total
2023-10-04T10:57:12,0,5,0,5
2023-10-04T11:10:19,0,5,0,5
2023-10-04T11:23:15,0,5,0,5
2023-10-04T11:36:11,0,5,0,5
2023-10-04T11:49:18,0,5,0,5
2023-10-04T12:02:14,0,5,0,5
2023-10-04T12:15:10,0,5,0,5
2023-10-04T12:28:06,0,5,0,5
2023-10-04T12:41:12,0,5,0,5
2023-10-04T12:54:07,0,5,0,5
2023-10-04T13:07:03,0,5,0,5
2023-10-04T13:20:10,0,5,0,5
2023-10-04T13:33:06,0,5,0,5
2023-10-04T13:46:02,0,5,0,5
2023-10-04T13:58:58,0,5,0,5
2023-10-04T14:12:04,0,5,0,5
2023-10-04T14:24:59,0,5,0,5
2023-10-04T14:37:55,0,5,0,5
2023-10-04T14:51:03,0,5,0,5
2023-10-04T15:03:59,0,5,0,5
2023-10-04T15:16:57,0,5,0,5
2023-10-04T15:29:54,0,5,0,5
2023-10-04T15:43:03,0,5,0,5
2023-10-04T15:56:01,0,5,0,5
2023-10-04T16:08:58,0,5,0,5
2023-10-04T16:22:09,0,5,0,5
2023-10-04T16:35:06,0,5,0,5
2023-10-04T16:48:03,0,5,0,5
2023-10-04T17:01:00,0,5,0,5
2023-10-04T17:14:08,0,5,0,5
2023-10-04T17:27:04,0,5,0,5
2023-10-04T17:40:00,0,5,0,5
2023-10-04T17:52:57,0,5,0,5
2023-10-04T18:06:06,0,5,0,5
2023-10-04T18:19:03,0,5,0,5
2023-10-04T18:32:00,0,5,0,5
2023-10-04T18:44:56,0,5,0,5
2023-10-04T18:57:51,0,5,0,5
2023-10-04T19:10:58,0,5,0,5
2023-10-04T19:23:54,0,5,0,5
2023-10-04T19:36:50,0,5,0,5
2023-10-04T19:49:46,0,5,0,5
2023-10-04T20:02:52,0,5,0,5
2023-10-04T20:15:48,0,5,0,5
2023-10-04T20:28:44,0,5,0,5
2023-10-04T20:41:40,0,5,0,5
2023-10-04T20:54:41,0,5,0,5
2023-10-04T21:07:37,0,5,0,5
2023-10-04T21:20:44,0,5,0,5
2023-10-04T21:33:41,0,5,0,5
2023-10-04T21:46:36,0,5,0,5
2023-10-04T21:59:33,0,5,0,5
2023-10-04T22:12:39,0,5,0,5
2023-10-04T22:25:35,0,5,0,5
2023-10-04T22:38:32,0,5,0,5
2023-10-04T22:51:28,0,5,0,5
2023-10-04T23:04:25,0,5,0,5
2023-10-04T23:17:22,0,5,0,5
2023-10-04T23:30:30,0,5,0,5
2023-10-04T23:43:27,0,5,0,5
2023-10-04T23:56:24,0,5,0,5
2023-10-05T00:09:22,0,5,0,5
2023-10-05T00:22:28,0,5,0,5
2023-10-05T00:35:28,0,5,0,5
2023-10-05T00:48:29,0,5,0,5
2023-10-05T01:01:30,0,5,0,5
2023-10-05T01:14:32,0,5,0,5
2023-10-05T01:27:43,0,5,0,5
2023-10-05T01:40:43,0,5,0,5
2023-10-05T01:53:46,0,5,0,5
2023-10-05T02:06:51,0,5,0,5
2023-10-05T02:19:50,0,5,0,5
2023-10-05T02:32:48,0,5,0,5
2023-10-05T02:45:45,0,5,0,5
2023-10-05T02:58:41,0,5,0,5
2023-10-05T03:11:39,0,5,0,5
2023-10-05T03:24:40,0,5,0,5
2023-10-05T03:37:41,0,5,0,5
2023-10-05T03:50:44,0,5,0,5
2023-10-05T04:03:46,0,5,0,5
2023-10-05T04:29:33,0,5,0,5
2023-10-05T04:44:09,0,5,0,5
2023-10-05T04:57:12,0,5,0,5
2023-10-05T05:10:20,0,5,0,5
2023-10-05T05:23:24,0,5,0,5
2023-10-05T05:36:23,0,5,0,5
2023-10-05T05:49:31,0,5,0,5
2023-10-05T06:03:08,0,5,0,5
2023-10-05T06:16:18,0,5,0,5
2023-10-05T06:29:27,0,5,0,5
2023-10-05T06:42:35,0,5,0,5
2023-10-05T06:55:42,0,5,0,5
2023-10-05T07:08:54,0,5,0,5
2023-10-05T07:22:03,0,5,0,5
2023-10-05T07:35:10,0,5,0,5
2023-10-05T07:48:17,0,5,0,5
2023-10-05T08:01:23,0,5,0,5
2023-10-05T08:14:30,0,5,0,5
2023-10-05T08:27:46,0,5,0,5
2023-10-05T08:40:54,0,5,0,5
2023-10-05T08:53:59,0,5,0,5
2023-10-05T09:07:04,0,5,0,5
2023-10-05T09:20:08,0,5,0,5
2023-10-05T09:33:13,0,5,0,5
2023-10-05T09:46:27,0,5,0,5
2023-10-05T09:59:31,0,5,0,5
2023-10-05T10:12:36,0,5,0,5
2023-10-05T10:25:43,0,5,0,5
2023-10-05T10:38:48,0,5,0,5
2023-10-05T10:52:03,0,5,0,5
2023-10-05T11:05:09,0,5,0,5
2023-10-05T11:18:14,0,5,0,5
2023-10-05T11:31:19,0,5,0,5
2023-10-05T11:44:33,0,5,0,5
2023-10-05T11:57:38,0,5,0,5
2023-10-05T12:10:42,0,5,0,5
2023-10-05T12:23:48,0,5,0,5
2023-10-05T12:37:02,0,5,0,5
2023-10-05T12:50:07,0,5,0,5
2023-10-05T13:03:11,0,5,0,5
2023-10-05T13:16:27,0,5,0,5
2023-10-05T13:29:32,0,5,0,5
2023-10-05T13:42:37,0,5,0,5
2023-10-05T13:55:42,0,5,0,5
2023-10-05T14:08:59,0,5,0,5
2023-10-05T14:22:04,0,5,0,5
2023-10-05T14:35:19,0,5,0,5
2023-10-05T14:48:25,0,5,0,5
2023-10-05T15:01:30,0,5,0,5
2023-10-05T15:14:34,0,5,0,5
2023-10-05T15:27:39,0,5,0,5
2023-10-05T15:40:54,0,5,0,5
2023-10-05T15:53:58,0,5,0,5
2023-10-05T16:07:02,0,5,0,5
2023-10-05T16:20:06,0,5,0,5
2023-10-05T16:33:20,0,5,0,5
2023-10-05T16:46:25,0,5,0,5
2023-10-05T16:59:41,0,5,0,5
2023-10-05T17:12:47,0,5,0,5
2023-10-05T17:25:52,0,5,0,5
2023-10-05T17:38:56,0,5,0,5
2023-10-05T17:52:10,0,5,0,5
2023-10-05T18:05:14,0,5,0,5
2023-10-05T18:18:18,0,5,0,5
2023-10-05T18:31:23,0,5,0,5
2023-10-05T18:44:26,0,5,0,5
2023-10-05T18:57:41,0,5,0,5
2023-10-05T19:10:44,0,5,0,5
2023-10-05T19:23:52,0,5,0,5
2023-10-05T19:36:56,0,5,0,5
2023-10-05T19:50:01,0,5,0,5
2023-10-05T20:03:06,0,5,0,5
2023-10-05T20:16:21,0,5,0,5
2023-10-05T20:29:25,0,5,0,5
2023-10-05T20:42:29,0,5,0,5
2023-10-05T20:55:34,0,5,0,5
2023-10-05T21:08:38,0,5,0,5
2023-10-05T21:21:43,0,5,0,5
2023-10-05T21:34:47,0,5,0,5
2023-10-05T21:48:02,0,5,0,5
2023-10-05T22:01:06,0,5,0,5
2023-10-05T22:14:10,0,5,0,5
2023-10-05T22:27:13,0,5,0,5
2023-10-05T22:40:19,0,5,0,5
2023-10-05T22:53:24,0,5,0,5
2023-10-05T23:06:40,0,5,0,5
2023-10-05T23:19:45,0,5,0,5
2023-10-05T23:32:50,0,5,0,5
2023-10-05T23:45:55,0,5,0,5
2023-10-05T23:59:00,0,5,0,5
2023-10-06T00:12:08,0,5,0,5
2023-10-06T00:25:19,0,5,0,5
2023-10-06T00:38:38,0,5,0,5
2023-10-06T00:51:48,0,5,0,5
2023-10-06T01:04:58,0,5,0,5
2023-10-06T01:18:08,0,5,0,5
2023-10-06T01:31:17,0,5,0,5
2023-10-06T01:44:36,0,5,0,5
2023-10-06T01:57:48,0,5,0,5
2023-10-06T02:11:00,0,5,0,5
2023-10-06T02:24:08,0,5,0,5
2023-10-06T02:37:15,0,5,0,5
2023-10-06T02:50:23,0,5,0,5
2023-10-06T03:03:33,0,5,0,5
2023-10-06T03:16:54,0,5,0,5
2023-10-06T03:30:04,0,5,0,5
2023-10-06T03:43:14,0,5,0,5
2023-10-06T03:56:23,0,5,0,5
2023-10-06T04:09:33,0,5,0,5
2023-10-06T04:39:53,0,5,0,5
2023-10-06T04:53:08,0,5,0,5
2023-10-06T05:06:20,0,5,0,5
2023-10-06T05:19:30,0,5,0,5
2023-10-06T05:32:41,0,5,0,5
2023-10-06T05:45:51,0,5,0,5
2023-10-06T05:59:01,0,5,0,5
2023-10-06T06:12:08,0,5,0,5
2023-10-06T06:25:18,0,5,0,5
2023-10-06T06:38:26,0,5,0,5
2023-10-06T06:51:35,0,5,0,5
2023-10-06T07:04:44,0,5,0,5
2023-10-06T07:17:56,0,5,0,5
2023-10-06T07:31:03,0,5,0,5
2023-10-06T07:44:21,0,5,0,5
2023-10-06T07:57:26,0,5,0,5
2023-10-06T08:10:31,0,5,0,5
2023-10-06T08:23:36,0,5,0,5
2023-10-06T08:36:45,0,5,0,5
2023-10-06T08:49:50,0,5,0,5
2023-10-06T09:02:57,0,5,0,5
2023-10-06T09:16:02,0,5,0,5
2023-10-06T09:29:18,0,5,0,5
2023-10-06T09:42:23,0,5,0,5
2023-10-06T09:55:28,0,5,0,5
2023-10-06T10:08:32,0,5,0,5
2023-10-06T10:21:37,0,5,0,5
2023-10-06T10:35:07,0,5,0,5
2023-10-06T10:48:11,0,5,0,5
2023-10-06T11:01:18,0,5,0,5
2023-10-06T11:14:26,0,5,0,5
2023-10-06T11:27:31,0,5,0,5
2023-10-06T11:40:47,0,5,0,5
2023-10-06T11:53:53,0,5,0,5
2023-10-06T12:06:58,0,5,0,5
2023-10-06T12:20:02,0,5,0,5
2023-10-06T12:33:26,0,5,0,5
2023-10-06T12:46:30,0,5,0,5
2023-10-06T12:59:35,0,5,0,5
2023-10-06T13:12:40,0,5,0,5
2023-10-06T13:25:55,0,5,0,5
2023-10-06T13:38:59,0,5,0,5
2023-10-06T13:52:04,0,5,0,5
2023-10-06T14:05:10,0,5,0,5
2023-10-06T14:18:15,0,5,0,5
2023-10-06T14:31:47,0,5,0,5
2023-10-06T14:44:52,0,5,0,5
2023-10-06T14:57:56,0,5,0,5
2023-10-06T15:11:00,0,5,0,5
2023-10-06T15:24:04,0,5,0,5
2023-10-06T15:37:17,0,5,0,5
2023-10-06T15:50:22,0,5,0,5
2023-10-06T16:03:26,0,5,0,5
2023-10-06T16:16:32,0,5,0,5
2023-10-06T16:29:36,0,5,0,5
2023-10-06T16:43:04,0,5,0,5
2023-10-06T16:56:07,0,5,0,5
2023-10-06T17:09:12,0,5,0,5
2023-10-06T17:22:19,0,5,0,5
2023-10-06T17:35:23,0,5,0,5
2023-10-06T17:48:28,0,5,0,5
2023-10-06T18:01:32,0,5,0,5
2023-10-06T18:14:56,0,5,0,5
2023-10-06T18:28:01,0,5,0,5
2023-10-06T18:41:06,0,5,0,5
2023-10-06T18:54:11,0,5,0,5
2023-10-06T19:07:17,0,5,0,5
2023-10-06T19:20:22,0,5,0,5
2023-10-06T19:33:27,0,5,0,5
2023-10-06T19:46:32,0,5,0,5
2023-10-06T19:59:47,0,5,0,5
2023-10-06T20:12:52,0,5,0,5
2023-10-06T20:25:57,0,5,0,5
2023-10-06T20:39:02,0,5,0,5
2023-10-06T20:52:07,0,5,0,5
2023-10-06T21:05:12,0,5,0,5
2023-10-06T21:18:17,0,5,0,5
2023-10-06T21:31:22,0,5,0,5
2023-10-06T21:44:27,0,5,0,5
2023-10-06T21:57:52,0,5,0,5
2023-10-06T22:10:56,0,5,0,5
2023-10-06T22:24:00,0,5,0,5
2023-10-06T22:37:06,0,5,0,5
2023-10-06T22:50:11,0,5,0,5
2023-10-06T23:03:18,0,5,0,5
2023-10-06T23:16:25,0,5,0,5
2023-10-06T23:29:32,0,5,0,5
2023-10-06T23:42:39,0,5,0,5
2023-10-06T23:55:46,0,5,0,5
2023-10-07T00:09:06,0,5,0,5
2023-10-07T00:22:22,0,5,0,5
2023-10-07T00:35:31,0,5,0,5
2023-10-07T00:48:51,0,5,0,5
2023-10-07T01:02:02,0,5,0,5
2023-10-07T01:15:12,0,5,0,5
2023-10-07T01:28:22,0,5,0,5
2023-10-07T01:41:33,0,5,0,5
2023-10-07T01:54:44,0,5,0,5
2023-10-07T02:07:55,0,5,0,5
2023-10-07T02:21:06,0,5,0,5
2023-10-07T02:34:16,0,5,0,5
2023-10-07T02:47:38,0,5,0,5
2023-10-07T03:01:36,0,5,0,5
2023-10-07T03:14:46,0,5,0,5
2023-10-07T03:27:56,0,5,0,5
2023-10-07T03:41:08,0,5,0,5
2023-10-07T03:54:19,0,5,0,5
2023-10-07T04:07:34,0,5,0,5
2023-10-07T04:30:29,0,5,0,5
2023-10-07T04:43:42,0,5,0,5
2023-10-07T04:56:51,0,5,0,5
2023-10-07T05:10:00,0,5,0,5
2023-10-07T05:24:53,0,5,0,5
2023-10-07T05:38:04,0,5,0,5
2023-10-07T05:51:15,0,5,0,5
2023-10-07T06:04:25,0,5,0,5
2023-10-07T06:17:36,0,5,0,5
2023-10-07T06:30:46,0,5,0,5
2023-10-07T06:43:55,0,5,0,5
2023-10-07T06:57:04,0,5,0,5
2023-10-07T07:10:14,0,5,0,5
2023-10-07T07:23:30,0,5,0,5
2023-10-07T07:36:37,0,5,0,5
2023-10-07T07:49:43,0,5,0,5
2023-10-07T08:02:51,0,5,0,5
2023-10-07T08:15:59,0,5,0,5
2023-10-07T08:29:09,0,5,0,5
2023-10-07T08:42:17,0,5,0,5
2023-10-07T08:55:23,0,5,0,5
2023-10-07T09:08:30,0,5,0,5
2023-10-07T09:21:37,0,5,0,5
2023-10-07T09:34:45,0,5,0,5
2023-10-07T09:47:52,0,5,0,5
2023-10-07T10:00:58,0,5,0,5
2023-10-07T10:14:03,0,5,0,5
2023-10-07T10:27:09,0,5,0,5
2023-10-07T10:40:27,0,5,0,5
2023-10-07T10:53:31,0,5,0,5
2023-10-07T11:06:35,0,5,0,5
2023-10-07T11:19:40,0,5,0,5
2023-10-07T11:32:44,0,5,0,5
2023-10-07T11:45:48,0,5,0,5
2023-10-07T11:58:52,0,5,0,5
2023-10-07T12:11:57,0,5,0,5
2023-10-07T12:25:01,0,5,0,5
2023-10-07T12:38:06,0,5,0,5
2023-10-07T12:51:10,0,5,0,5
2023-10-07T13:04:16,0,5,0,5
2023-10-07T13:17:33,0,5,0,5
2023-10-07T13:30:37,0,5,0,5
2023-10-07T13:43:42,0,5,0,5
2023-10-07T13:56:47,0,5,0,5
2023-10-07T14:09:51,0,5,0,5
2023-10-07T14:22:55,0,5,0,5
2023-10-07T14:36:00,0,5,0,5
2023-10-07T14:49:05,0,5,0,5
2023-10-07T15:02:09,0,5,0,5
2023-10-07T15:15:14,0,5,0,5
2023-10-07T15:28:18,0,5,0,5
2023-10-07T15:41:33,0,5,0,5
2023-10-07T15:54:37,0,5,0,5
2023-10-07T16:07:42,0,5,0,5
2023-10-07T16:20:46,0,5,0,5
2023-10-07T16:33:51,0,5,0,5
2023-10-07T16:46:56,0,5,0,5
2023-10-07T17:00:00,0,5,0,5
2023-10-07T17:13:06,0,5,0,5
2023-10-07T17:26:11,0,5,0,5
2023-10-07T17:39:16,0,5,0,5
2023-10-07T17:52:21,0,5,0,5
2023-10-07T18:05:26,0,5,0,5
2023-10-07T18:18:41,0,5,0,5
2023-10-07T18:31:46,0,5,0,5
2023-10-07T18:44:52,0,5,0,5
2023-10-07T18:58:01,0,5,0,5
2023-10-07T19:11:06,0,5,0,5
2023-10-07T19:24:11,0,5,0,5
2023-10-07T19:37:16,0,5,0,5
2023-10-07T19:50:20,0,5,0,5
2023-10-07T20:03:25,0,5,0,5
2023-10-07T20:16:29,0,5,0,5
2023-10-07T20:29:35,0,5,0,5
2023-10-07T20:42:40,0,5,0,5
2023-10-07T20:55:44,0,5,0,5
2023-10-07T21:08:57,0,5,0,5
2023-10-07T21:22:02,0,5,0,5
2023-10-07T21:35:07,0,5,0,5
2023-10-07T21:48:13,0,5,0,5
2023-10-07T22:01:18,0,5,0,5
2023-10-07T22:14:23,0,5,0,5
2023-10-07T22:27:27,0,5,0,5
2023-10-07T22:40:36,0,5,0,5
2023-10-07T22:53:41,0,5,0,5
2023-10-07T23:06:48,0,5,0,5
2023-10-07T23:19:54,0,5,0,5
2023-10-07T23:32:58,0,5,0,5
2023-10-07T23:46:03,0,5,0,5
2023-10-07T23:59:08,0,5,0,5
2023-10-08T00:12:14,0,5,0,5
2023-10-08T00:25:39,0,5,0,5
2023-10-08T00:38:46,0,5,0,5
2023-10-08T00:51:53,0,5,0,5
2023-10-08T01:04:57,0,5,0,5
2023-10-08T01:18:02,0,5,0,5
2023-10-08T01:31:08,0,5,0,5
2023-10-08T01:44:12,0,5,0,5
2023-10-08T01:57:17,0,5,0,5
2023-10-08T02:10:24,0,5,0,5
2023-10-08T02:23:28,0,5,0,5
2023-10-08T02:36:33,0,5,0,5
2023-10-08T02:49:38,0,5,0,5
2023-10-08T03:02:48,0,5,0,5
2023-10-08T03:16:04,0,5,0,5
2023-10-08T03:29:15,0,5,0,5
2023-10-08T03:42:26,0,5,0,5
2023-10-08T03:55:36,0,5,0,5
2023-10-08T04:28:42,0,5,0,5
2023-10-08T04:42:16,0,5,0,5
2023-10-08T04:55:30,0,5,0,5
