time,enrolled,available,waitlisted,total
2023-05-25T01:23:59,0,10,0,10
2023-05-25T01:35:35,0,10,0,10
2023-05-25T01:47:19,0,10,0,10
2023-05-25T01:58:55,0,10,0,10
2023-05-25T02:10:31,0,10,0,10
2023-05-25T02:22:07,0,10,0,10
2023-05-25T02:33:41,0,10,0,10
2023-05-25T02:45:15,0,10,0,10
2023-05-25T02:56:48,0,10,0,10
2023-05-25T03:08:22,0,10,0,10
2023-05-25T03:20:01,0,10,0,10
2023-05-25T03:31:59,0,10,0,10
2023-05-25T03:43:36,0,10,0,10
2023-05-25T03:55:11,0,10,0,10
2023-05-25T04:06:47,0,10,0,10
2023-05-25T04:26:34,0,10,0,10
2023-05-25T04:38:11,0,10,0,10
2023-05-25T04:49:47,0,10,0,10
2023-05-25T05:01:23,0,10,0,10
2023-05-25T05:13:01,0,10,0,10
2023-05-25T05:24:36,0,10,0,10
2023-05-25T05:36:13,0,10,0,10
2023-05-25T05:47:49,0,10,0,10
2023-05-25T05:59:26,0,10,0,10
2023-05-25T06:11:01,0,10,0,10
2023-05-25T06:22:36,0,10,0,10
2023-05-25T06:34:11,0,10,0,10
2023-05-25T06:45:46,0,10,0,10
2023-05-25T06:57:21,0,10,0,10
2023-05-25T07:08:57,0,10,0,10
2023-05-25T07:20:32,0,10,0,10
2023-05-25T07:32:06,0,10,0,10
2023-05-25T07:43:42,0,10,0,10
2023-05-25T07:55:18,0,10,0,10
2023-05-25T08:06:53,0,10,0,10
2023-05-25T08:18:27,0,10,0,10
2023-05-25T08:30:12,0,10,0,10
2023-05-25T08:41:44,0,10,0,10
2023-05-25T08:53:16,0,10,0,10
2023-05-25T09:04:50,0,10,0,10
2023-05-25T09:16:23,0,10,0,10
2023-05-25T09:27:56,0,10,0,10
2023-05-25T09:39:28,0,10,0,10
2023-05-25T09:51:01,0,10,0,10
2023-05-25T10:02:34,0,10,0,10
2023-05-25T10:14:19,0,10,0,10
2023-05-25T10:25:52,0,10,0,10
2023-05-25T10:37:25,0,10,0,10
2023-05-25T10:48:57,0,10,0,10
2023-05-25T11:00:40,0,10,0,10
2023-05-25T11:12:12,0,10,0,10
2023-05-25T11:23:45,0,10,0,10
2023-05-25T11:35:18,0,10,0,10
2023-05-25T11:46:51,0,10,0,10
2023-05-25T11:58:35,0,10,0,10
2023-05-25T12:10:08,0,10,0,10
2023-05-25T12:21:41,0,10,0,10
2023-05-25T12:33:14,0,10,0,10
2023-05-25T12:44:46,0,10,0,10
2023-05-25T12:56:19,0,10,0,10
2023-05-25T13:08:02,0,10,0,10
2023-05-25T13:19:35,0,10,0,10
2023-05-25T13:31:08,0,10,0,10
2023-05-25T13:42:42,0,10,0,10
2023-05-25T13:54:15,0,10,0,10
2023-05-25T14:05:59,0,10,0,10
2023-05-25T14:17:33,0,10,0,10
2023-05-25T14:29:06,0,10,0,10
2023-05-25T14:40:39,0,10,0,10
2023-05-25T14:52:12,0,10,0,10
2023-05-25T15:03:56,0,10,0,10
2023-05-25T15:15:30,0,10,0,10
