time,subj_course_id,sec_code,sec_id,prof,available,waitlist,total,enrolled_ct
1696936478649,AAS 10,A01,205440,Butler; Elizabeth Annette,0,1,34,34
1696936478649,AAS 10,A02,205441,Butler; Elizabeth Annette,0,1,34,34
1696936479078,AAS 170,A00,205442,Butler; Elizabeth Annette,1,0,32,31
1696936479512,AESE 278A,A00,210106,Wade; Jon P,7,0,40,33
1696936479944,AESE 279A,A00,210107,Zak; Alexander,7,0,40,33
1696936480376,AIP 97,001,363409,Goldfarb; Brian,50,0,50,0
1696936480376,AIP 97,002,363990,Reuther; Keefe,49,0,50,1
1696936480376,AIP 97,003,366078,Mukamel; Eran A,49,0,50,1
1696936480376,AIP 97,004,366251,Root; Cory Matthew,49,0,50,1
1696936480376,AIP 97,005,369190,Coughlin; David Gerhard,49,0,50,1
1696936480376,AIP 97,006,370074,Larsen; Britta Ann,49,0,50,1
1696936480376,AIP 97,007,370132,Thomas; Robert Lee,5,0,5,0
1696936480376,AIP 97,008,370178,Zilberg; Elana,9998,0,9999,1
1696936480376,AIP 97,009,370627,Stowers; Lisa,9999,0,9999,0
1696936480815,AIP 197,001,209376,Viirre; Erik,0,0,5,5
1696936480815,AIP 197,002,352239,Danks; David J,9998,0,9999,1
1696936480815,AIP 197,003,352450,Crandall; Jordan,9998,0,9999,1
1696936480815,AIP 197,004,358558,Reuther; Keefe,9999,0,9999,0
1696936480815,AIP 197,005,358559,Karmarkar; Uma R,9998,0,9999,1
1696936480815,AIP 197,006,358562,Zilberg; Elana,9996,0,9999,3
1696936480815,AIP 197,007,359231,Theodorakis; Emmanuel,9997,0,9999,2
1696936480815,AIP 197,008,361475,Voytek; Bradley Thomas,9998,0,9999,1
1696936480815,AIP 197,009,362774,Floyd; Eric,9998,0,9999,1
1696936480815,AIP 197,010,362775,Reuther; Keefe,9999,0,9999,0
1696936480815,AIP 197,011,362800,Farley; Emma Kristen,9998,0,9999,1
1696936480815,AIP 197,012,362801,Li; Tzumao,9997,0,9999,2
1696936480815,AIP 197,013,362858,Vespa; Emanuel Ignacio,9995,0,9999,4
1696936480815,AIP 197,014,362949,McAuley; Julian John,9998,0,9999,1
1696936480815,AIP 197,015,363180,Lewis; Kevin Michael,9998,0,9999,1
1696936480815,AIP 197,016,363198,Root; Cory Matthew,9991,0,9999,8
1696936480815,AIP 197,017,363295,Griswold; William G.,9998,0,9999,1
1696936480815,AIP 197,018,363296,Lubarda; Marko,9998,0,9999,1
1696936480815,AIP 197,019,363447,Kuester; Falko,7,0,10,3
1696936480815,AIP 197,020,363448,Vahabzadeh-Hagh; Andrew Me,6,0,10,4
1696936480815,AIP 197,021,363496,Nitz; Douglas A.,9,0,10,1
1696936480815,AIP 197,022,363895,Lau; Samuel Ethan,9998,0,9999,1
1696936480815,AIP 197,023,365784,Deutsch; Alin Bernard,9999,0,9999,0
1696936480815,AIP 197,024,366235,Schmidt; Thomas Rainer,9998,0,9999,1
1696936480815,AIP 197,025,366239,Yang; K. Wayne,9998,0,9999,1
1696936480815,AIP 197,026,366484,Rajasekaran; Mahadevan,9997,0,9999,2
1696936480815,AIP 197,027,369203,Heyman; Gail D.,9998,0,9999,1
1696936480815,AIP 197,028,370127,Thomas; Robert Lee,15,0,15,0
1696936480815,AIP 197,029,372118,Nguyen-Grozavu; France T.,9999,0,9999,0
1696936481240,AIP 197DC,001,209377,Hill; Seth J,14,0,31,17
1696936481665,AIP 197P,001,209379,Goldfarb; Brian,90,0,120,30
1696936482095,AIP 197T,A00,209380,Anderson; Patrick W.,9992,0,9999,7
1696936482521,ANAR 100,A00,300382,Fortier; Jana,4,0,20,16
1696936482957,ANAR 104,B01,300928,Staff,0,0,25,25
1696936483813,ANAR 116,A00,209728,Shtienberg; Gilad,22,0,30,8
1696936484245,ANAR 120,A00,209729,Garvin; Arianna Christina,0,0,32,32
1696936484674,ANAR 166,A00,209744,Staff,54,0,75,21
1696936485105,ANBI 118,A00,209745,Fox; Patrick Keolu Ozer,5,0,32,27
1696936485532,ANBI 131,A00,209746,Non; Amy L,1,0,100,99
1696936485958,ANBI 136,A00,209747,Semendeferi; Ekaterini,0,0,0,21
1696936486386,ANBI 141,A00,209748,Gagneux; Pascal,0,1,220,220
1696936486814,ANBI 145,A00,209749,Hrvoj Mihic; Branka,4,0,32,28
1696936487239,ANBI 175,A00,209754,Hrvoj Mihic; Branka,18,0,32,14
1696936488092,ANES 229,A00,290733,Weinstein; Lawrence,3,0,3,0
1696936488522,ANES 296,001,290703,Gabriel; Rodney A,8,0,10,2
1696936488522,ANES 296,002,290704,Staff,10,0,10,0
1696936488950,ANSC 100,A00,209755,Yeh; Rihan Wen Xin,13,0,30,17
1696936489377,ANSC 121,A00,209756,Sloane; Julia Kathryn,0,4,56,56
1696936489804,ANSC 124,A00,209757,Bialecki; Jon Anthony,1,0,30,29
1696936490654,ANSC 148,A00,209759,Wilson; Brenda K,15,0,70,55
1696936491085,ANSC 164,A00,209795,Varma; Saiba,0,0,40,40
1696936491513,ANSC 169,A00,209802,Fortier; Jana,0,0,25,25
1696936491939,ANSC 190,A00,209804,Jassal; Aftab,1,0,60,59
1696936492365,ANSC 193,A00,209805,Pedersen; David,13,0,75,62
