time,enrolled,available,waitlisted,total
2023-08-28T16:10:25,0,9999,0,9999
2023-08-28T16:23:12,0,9999,0,9999
2023-08-28T16:35:59,0,9999,0,9999
2023-08-28T16:48:45,0,9999,0,9999
2023-08-28T17:01:43,0,9999,0,9999
2023-08-28T17:14:32,0,9999,0,9999
2023-08-28T17:27:19,0,9999,0,9999
2023-08-28T17:40:06,0,9999,0,9999
2023-08-28T17:52:53,0,9999,0,9999
2023-08-28T18:05:52,0,9999,0,9999
2023-08-28T18:18:39,0,9999,0,9999
2023-08-28T18:31:26,0,9999,0,9999
2023-08-28T18:44:13,0,9999,0,9999
2023-08-28T18:57:00,0,9999,0,9999
2023-08-28T19:09:58,0,9999,0,9999
2023-08-28T19:22:45,0,9999,0,9999
2023-08-28T19:35:32,0,9999,0,9999
2023-08-28T19:48:21,0,9999,0,9999
2023-08-28T20:01:08,0,9999,0,9999
2023-08-28T20:14:06,0,9999,0,9999
2023-08-28T20:26:52,0,9999,0,9999
2023-08-28T20:39:39,0,9999,0,9999
2023-08-28T20:52:26,0,9999,0,9999
