time,enrolled,available,waitlisted,total
2023-07-25T16:19:47,0,0,0,0
2023-07-25T16:32:16,0,0,0,0
2023-07-25T16:44:45,0,0,0,0
2023-07-25T16:57:14,0,0,0,0
2023-07-25T17:09:55,0,0,0,0
2023-07-25T17:22:25,0,0,0,0
2023-07-25T17:34:54,0,0,0,0
2023-07-25T17:47:23,0,0,0,0
2023-07-25T17:59:52,0,0,0,0
2023-07-25T18:12:21,0,0,0,0
2023-07-25T18:24:49,0,0,0,0
2023-07-25T18:37:19,0,0,0,0
2023-07-25T18:49:48,0,0,0,0
2023-07-25T19:02:16,0,0,0,0
2023-07-25T19:14:57,0,0,0,0
2023-07-25T19:27:25,0,0,0,0
2023-07-25T19:39:54,0,0,0,0
2023-07-25T19:52:23,0,0,0,0
2023-07-25T20:04:52,0,0,0,0
2023-07-25T20:17:22,0,0,0,0
2023-07-25T20:29:51,0,0,0,0
2023-07-25T20:42:19,0,0,0,0
2023-07-25T20:54:48,0,0,0,0
2023-07-25T21:07:17,0,0,0,0
2023-07-25T21:19:46,0,0,0,0
2023-07-25T21:32:15,0,0,0,0
2023-07-25T21:44:44,0,0,0,0
2023-07-25T21:57:13,0,0,0,0
2023-07-25T22:09:43,0,0,0,0
2023-07-25T22:22:23,0,0,0,0
2023-07-25T22:34:52,0,0,0,0
2023-07-25T22:47:22,0,0,0,0
2023-07-25T22:59:50,0,0,0,0
2023-07-25T23:12:20,0,0,0,0
2023-07-25T23:24:50,0,0,0,0
2023-07-25T23:37:20,0,0,0,0
2023-07-25T23:49:49,0,0,0,0
2023-07-26T00:02:19,0,0,0,0
2023-07-26T00:14:53,0,0,0,0
2023-07-26T00:27:27,0,0,0,0
2023-07-26T00:39:59,0,0,0,0
2023-07-26T00:52:32,0,0,0,0
2023-07-26T01:05:06,0,0,0,0
2023-07-26T01:17:48,0,0,0,0
2023-07-26T01:30:21,0,0,0,0
2023-07-26T01:42:55,0,0,0,0
2023-07-26T01:55:32,0,0,0,0
2023-07-26T02:08:06,0,0,0,0
2023-07-26T02:20:40,0,0,0,0
2023-07-26T02:33:14,0,0,0,0
2023-07-26T02:45:46,0,0,0,0
2023-07-26T02:58:17,0,0,0,0
2023-07-26T03:10:50,0,0,0,0
2023-07-26T03:23:22,0,0,0,0
2023-07-26T03:35:54,0,0,0,0
2023-07-26T03:48:27,0,0,0,0
2023-07-26T04:01:00,0,0,0,0
2023-07-26T04:13:32,0,0,0,0
2023-07-26T04:27:42,0,0,0,0
2023-07-26T04:40:18,0,0,0,0
2023-07-26T04:52:52,0,0,0,0
2023-07-26T05:05:27,0,0,0,0
2023-07-26T05:17:59,0,0,0,0
2023-07-26T05:30:32,0,0,0,0
2023-07-26T05:43:04,0,0,0,0
2023-07-26T05:55:37,0,0,0,0
2023-07-26T06:08:09,0,0,0,0
2023-07-26T06:20:40,0,0,0,0
2023-07-26T06:33:11,0,0,0,0
2023-07-26T06:45:43,0,0,0,0
2023-07-26T06:58:14,0,0,0,0
2023-07-26T07:10:47,0,0,0,0
2023-07-26T07:23:16,0,0,0,0
2023-07-26T07:35:44,0,0,0,0
2023-07-26T07:48:15,0,0,0,0
2023-07-26T08:00:46,0,0,0,0
2023-07-26T08:13:18,0,0,0,0
