time,enrolled,available,waitlisted,total
2023-09-26T09:10:15,0,0,0,0
2023-09-26T09:23:17,0,0,0,0
2023-09-26T09:36:18,0,0,0,0
2023-09-26T09:49:20,0,0,0,0
2023-09-26T10:02:33,0,0,0,0
2023-09-26T10:15:34,0,0,0,0
2023-09-26T10:28:36,0,0,0,0
2023-09-26T10:41:39,0,0,0,0
2023-09-26T10:54:42,0,0,0,0
2023-09-26T11:07:55,0,0,0,0
2023-09-26T11:20:56,0,0,0,0
2023-09-26T11:33:59,0,0,0,0
2023-09-26T11:47:15,0,0,0,0
2023-09-26T12:00:17,0,0,0,0
2023-09-26T12:13:19,0,0,0,0
2023-09-26T12:26:31,0,0,0,0
2023-09-26T12:39:32,0,0,0,0
2023-09-26T12:52:34,0,0,0,0
2023-09-26T13:05:35,0,0,0,0
2023-09-26T13:18:48,0,0,0,0
2023-09-26T13:31:50,0,0,0,0
2023-09-26T13:44:52,0,0,0,0
2023-09-26T13:57:55,0,0,0,0
2023-09-26T14:11:07,0,0,0,0
2023-09-26T14:24:08,0,0,0,0
2023-09-26T14:37:11,0,0,0,0
2023-09-26T14:50:13,0,0,0,0
2023-09-26T15:03:26,0,0,0,0
2023-09-26T15:16:28,0,0,0,0
2023-09-26T15:29:30,0,0,0,0
2023-09-26T15:42:32,0,0,0,0
2023-09-26T15:55:45,0,0,0,0
2023-09-26T16:08:47,0,0,0,0
2023-09-26T16:21:50,0,0,0,0
2023-09-26T16:34:52,0,0,0,0
2023-09-26T16:47:54,0,0,0,0
2023-09-26T17:01:09,0,0,0,0
2023-09-26T17:14:13,0,0,0,0
2023-09-26T17:27:15,0,0,0,0
2023-09-26T17:40:17,0,0,0,0
2023-09-26T17:53:30,0,0,0,0
2023-09-26T18:06:33,0,0,0,0
2023-09-26T18:19:34,0,0,0,0
2023-09-26T18:32:36,0,0,0,0
2023-09-26T18:45:38,0,0,0,0
2023-09-26T18:58:51,0,0,0,0
2023-09-26T19:11:54,0,0,0,0
2023-09-26T19:24:56,0,0,0,0
2023-09-26T19:37:58,0,0,0,0
2023-09-26T19:50:59,0,0,0,0
2023-09-26T20:04:13,0,0,0,0
2023-09-26T20:17:15,0,0,0,0
2023-09-26T20:30:17,0,0,0,0
2023-09-26T20:43:19,0,0,0,0
2023-09-26T20:56:21,0,0,0,0
2023-09-26T21:09:23,0,0,0,0
2023-09-26T21:22:36,0,0,0,0
2023-09-26T21:35:38,0,0,0,0
2023-09-26T21:48:40,0,0,0,0
2023-09-26T22:01:42,0,0,0,0
2023-09-26T22:14:44,0,0,0,0
2023-09-26T22:27:57,0,0,0,0
2023-09-26T22:40:59,0,0,0,0
2023-09-26T22:54:01,0,0,0,0
2023-09-26T23:07:05,0,0,0,0
2023-09-26T23:20:07,0,0,0,0
2023-09-26T23:33:10,0,0,0,0
2023-09-26T23:46:23,0,0,0,0
2023-09-26T23:59:30,0,0,0,0
2023-09-27T00:12:40,0,0,0,0
2023-09-27T00:25:50,0,0,0,0
2023-09-27T00:38:55,0,0,0,0
2023-09-27T00:52:03,0,0,0,0
2023-09-27T01:05:11,0,0,0,0
2023-09-27T01:18:28,0,0,0,0
2023-09-27T01:31:35,0,0,0,0
2023-09-27T01:44:42,0,0,0,0
2023-09-27T01:57:51,0,0,0,0
2023-09-27T02:11:02,0,0,0,0
2023-09-27T02:24:07,0,0,0,0
2023-09-27T02:37:11,0,0,0,0
2023-09-27T02:50:16,0,0,0,0
2023-09-27T03:03:24,0,0,0,0
2023-09-27T03:16:32,0,0,0,0
2023-09-27T03:29:40,0,0,0,0
2023-09-27T03:42:47,0,0,0,0
2023-09-27T03:55:54,0,0,0,0
2023-09-27T04:09:03,0,0,0,0
2023-09-27T04:23:11,0,0,0,0
2023-09-27T04:36:20,0,0,0,0
2023-09-27T04:50:46,0,0,0,0
2023-09-27T05:04:11,0,0,0,0
2023-09-27T05:17:18,0,0,0,0
2023-09-27T05:30:25,0,0,0,0
2023-09-27T05:43:32,0,0,0,0
2023-09-27T05:56:40,0,0,0,0
2023-09-27T06:09:45,0,0,0,0
2023-09-27T06:22:51,0,0,0,0
2023-09-27T06:35:57,0,0,0,0
2023-09-27T06:49:03,0,0,0,0
2023-09-27T07:02:11,0,0,0,0
2023-09-27T07:15:18,0,0,0,0
2023-09-27T07:28:23,0,0,0,0
2023-09-27T07:41:26,0,0,0,0
2023-09-27T07:54:30,0,0,0,0
2023-09-27T08:07:34,0,0,0,0
2023-09-27T08:20:47,0,0,0,0
2023-09-27T08:33:51,0,0,0,0
2023-09-27T08:46:53,0,0,0,0
2023-09-27T08:59:56,0,0,0,0
2023-09-27T09:13:01,0,0,0,0
2023-09-27T09:26:04,0,0,0,0
2023-09-27T09:39:06,0,0,0,0
2023-09-27T09:52:19,0,0,0,0
2023-09-27T10:05:21,0,0,0,0
2023-09-27T10:18:23,0,0,0,0
2023-09-27T10:31:27,0,0,0,0
2023-09-27T10:44:42,0,0,0,0
2023-09-27T10:57:44,0,0,0,0
2023-09-27T11:10:47,0,0,0,0
2023-09-27T11:24:01,0,0,0,0
2023-09-27T11:37:04,0,0,0,0
2023-09-27T11:50:07,0,0,0,0
2023-09-27T12:03:23,0,0,0,0
2023-09-27T12:16:25,0,10,0,10
2023-09-27T12:29:28,0,10,0,10
2023-09-27T12:42:32,0,10,0,10
2023-09-27T12:55:46,1,13,0,14
2023-09-27T13:08:49,2,12,0,14
2023-09-27T13:22:04,2,12,0,14
2023-09-27T13:35:07,2,12,0,14
2023-09-27T13:48:11,2,12,0,14
2023-09-27T14:01:24,2,12,0,14
2023-09-27T14:14:27,2,12,0,14
2023-09-27T14:27:30,2,12,0,14
2023-09-27T14:40:45,2,12,0,14
2023-09-27T14:53:48,2,12,0,14
2023-09-27T15:06:50,2,12,0,14
2023-09-27T15:20:04,2,12,0,14
2023-09-27T15:33:07,2,12,0,14
2023-09-27T15:46:10,2,12,0,14
2023-09-27T15:59:24,2,12,0,14
2023-09-27T16:12:27,2,12,0,14
2023-09-27T16:25:29,2,12,0,14
2023-09-27T16:38:43,2,12,0,14
2023-09-27T16:51:48,2,12,0,14
2023-09-27T17:04:53,2,12,0,14
2023-09-27T17:17:57,2,12,0,14
2023-09-27T17:31:12,2,12,0,14
2023-09-27T17:44:15,2,12,0,14
2023-09-27T17:57:17,2,12,0,14
2023-09-27T18:10:31,2,12,0,14
2023-09-27T18:23:33,2,12,0,14
2023-09-27T18:36:36,2,12,0,14
2023-09-27T18:49:49,3,11,0,14
2023-09-27T19:02:51,3,11,0,14
2023-09-27T19:15:55,3,11,0,14
2023-09-27T19:29:13,3,11,0,14
2023-09-27T19:42:15,3,11,0,14
2023-09-27T19:55:18,3,11,0,14
2023-09-27T20:08:20,3,11,0,14
2023-09-27T20:21:34,3,11,0,14
2023-09-27T20:34:36,3,11,0,14
2023-09-27T20:47:38,3,11,0,14
2023-09-27T21:00:53,3,11,0,14
2023-09-27T21:13:55,3,11,0,14
2023-09-27T21:26:58,3,11,0,14
2023-09-27T21:40:12,3,11,0,14
2023-09-27T21:53:15,3,11,0,14
2023-09-27T22:06:30,3,11,0,14
2023-09-27T22:19:33,3,11,0,14
2023-09-27T22:32:36,3,11,0,14
2023-09-27T22:45:51,3,11,0,14
2023-09-27T22:58:52,3,11,0,14
2023-09-27T23:11:58,3,11,0,14
2023-09-27T23:25:12,3,11,0,14
2023-09-27T23:38:19,3,11,0,14
2023-09-27T23:51:23,3,11,0,14
2023-09-28T00:05:53,3,11,0,14
2023-09-28T00:19:05,3,11,0,14
2023-09-28T00:32:14,3,11,0,14
2023-09-28T00:45:32,3,11,0,14
2023-09-28T00:58:39,3,11,0,14
2023-09-28T01:11:44,3,11,0,14
2023-09-28T01:24:50,3,11,0,14
2023-09-28T01:37:56,3,11,0,14
2023-09-28T01:51:03,3,11,0,14
2023-09-28T02:04:12,3,11,0,14
2023-09-28T02:17:28,3,11,0,14
2023-09-28T02:30:32,3,11,0,14
2023-09-28T02:43:40,3,11,0,14
2023-09-28T02:56:44,3,11,0,14
2023-09-28T03:09:48,3,11,0,14
2023-09-28T03:22:57,3,11,0,14
2023-09-28T03:36:02,3,11,0,14
2023-09-28T03:49:07,3,11,0,14
2023-09-28T04:02:15,3,11,0,14
2023-09-28T04:14:51,3,11,0,14
2023-09-28T04:29:16,3,11,0,14
2023-09-28T04:42:44,3,11,0,14
2023-09-28T04:55:52,3,11,0,14
2023-09-28T05:09:00,3,11,0,14
2023-09-28T05:22:06,3,11,0,14
2023-09-28T05:35:12,3,11,0,14
2023-09-28T05:48:19,3,11,0,14
2023-09-28T06:01:25,3,11,0,14
2023-09-28T06:14:31,3,11,0,14
