time,enrolled,available,waitlisted,total
2023-09-08T14:15:17,0,9999,0,9999
2023-09-08T14:28:12,0,9999,0,9999
2023-09-08T14:41:08,0,9999,0,9999
2023-09-08T14:54:02,0,9999,0,9999
2023-09-08T15:07:08,0,9999,0,9999
2023-09-08T15:20:03,0,9999,0,9999
2023-09-08T15:32:58,0,9999,0,9999
2023-09-08T15:45:53,0,9999,0,9999
2023-09-08T15:58:48,0,9999,0,9999
2023-09-08T16:11:43,0,9999,0,9999
2023-09-08T16:24:38,0,9999,0,9999
2023-09-08T16:37:44,0,9999,0,9999
2023-09-08T16:50:38,0,9999,0,9999
2023-09-08T17:03:34,0,9999,0,9999
2023-09-08T17:16:30,0,9999,0,9999
2023-09-08T17:29:25,0,9999,0,9999
2023-09-08T17:42:19,0,9999,0,9999
2023-09-08T17:55:16,0,9999,0,9999
2023-09-08T18:08:12,0,9999,0,9999
2023-09-08T18:21:09,0,9999,0,9999
2023-09-08T18:34:15,0,9999,0,9999
2023-09-08T18:47:10,0,9999,0,9999
2023-09-08T19:00:06,0,9999,0,9999
2023-09-08T19:13:03,0,9999,0,9999
2023-09-08T19:25:58,0,9999,0,9999
2023-09-08T19:38:53,0,9999,0,9999
2023-09-08T19:51:48,0,9999,0,9999
2023-09-08T20:04:43,0,9999,0,9999
2023-09-08T20:17:38,0,9999,0,9999
2023-09-08T20:30:34,0,9999,0,9999
2023-09-08T20:43:29,0,9999,0,9999
2023-09-08T20:56:36,0,9999,0,9999
2023-09-08T21:09:30,0,9999,0,9999
2023-09-08T21:22:26,0,9999,0,9999
2023-09-08T21:35:20,0,9999,0,9999
2023-09-08T21:48:15,0,9999,0,9999
2023-09-08T22:01:10,0,9999,0,9999
2023-09-08T22:14:05,0,9999,0,9999
2023-09-08T22:26:59,0,9999,0,9999
2023-09-08T22:40:05,0,9999,0,9999
2023-09-08T22:53:00,0,9999,0,9999
2023-09-08T23:05:56,0,9999,0,9999
2023-09-08T23:18:51,0,9999,0,9999
2023-09-08T23:31:46,0,9999,0,9999
2023-09-08T23:44:42,0,9999,0,9999
2023-09-08T23:57:38,0,9999,0,9999
2023-09-09T00:10:37,0,9999,0,9999
2023-09-09T00:23:39,0,9999,0,9999
2023-09-09T00:36:37,0,9999,0,9999
2023-09-09T00:49:36,0,9999,0,9999
2023-09-09T01:02:36,0,9999,0,9999
2023-09-09T01:15:35,0,9999,0,9999
2023-09-09T01:28:47,0,9999,0,9999
2023-09-09T01:41:47,0,9999,0,9999
2023-09-09T01:54:47,0,9999,0,9999
2023-09-09T02:07:46,0,9999,0,9999
2023-09-09T02:20:43,0,9999,0,9999
2023-09-09T02:33:41,0,9999,0,9999
2023-09-09T02:46:38,0,9999,0,9999
2023-09-09T02:59:32,0,9999,0,9999
2023-09-09T03:12:29,0,9999,0,9999
2023-09-09T03:25:26,0,9999,0,9999
2023-09-09T03:38:23,0,9999,0,9999
2023-09-09T03:51:19,0,9999,0,9999
2023-09-09T04:21:39,0,9999,0,9999
2023-09-09T04:34:42,0,9999,0,9999
2023-09-09T04:47:44,0,9999,0,9999
2023-09-09T05:00:43,0,9999,0,9999
2023-09-09T05:13:49,0,9999,0,9999
2023-09-09T05:26:49,0,9999,0,9999
2023-09-09T05:39:48,0,9999,0,9999
2023-09-09T05:52:47,0,9999,0,9999
2023-09-09T06:05:45,0,9999,0,9999
2023-09-09T06:18:44,0,9999,0,9999
2023-09-09T06:31:43,0,9999,0,9999
2023-09-09T06:44:42,0,9999,0,9999
2023-09-09T06:57:41,0,9999,0,9999
2023-09-09T07:10:40,0,9999,0,9999
2023-09-09T07:23:39,0,9999,0,9999
2023-09-09T07:36:37,0,9999,0,9999
2023-09-09T07:49:33,0,9999,0,9999
2023-09-09T08:02:40,0,9999,0,9999
2023-09-09T08:15:39,0,9999,0,9999
2023-09-09T08:28:37,0,9999,0,9999
2023-09-09T08:41:35,0,9999,0,9999
2023-09-09T08:54:33,0,9999,0,9999
2023-09-09T09:07:33,0,9999,0,9999
2023-09-09T09:20:31,0,9999,0,9999
2023-09-09T09:33:29,0,9999,0,9999
2023-09-09T09:46:26,0,9999,0,9999
2023-09-09T09:59:25,0,9999,0,9999
2023-09-09T10:12:22,0,9999,0,9999
2023-09-09T10:25:19,0,9999,0,9999
2023-09-09T10:38:16,0,9999,0,9999
2023-09-09T10:51:24,0,9999,0,9999
2023-09-09T11:04:22,0,9999,0,9999
2023-09-09T11:17:18,0,9999,0,9999
2023-09-09T11:30:14,0,9999,0,9999
2023-09-09T11:43:09,0,9999,0,9999
2023-09-09T11:56:04,0,9999,0,9999
2023-09-09T12:09:01,0,9999,0,9999
2023-09-09T12:21:56,0,9999,0,9999
2023-09-09T12:34:50,0,9999,0,9999
2023-09-09T12:47:46,0,9999,0,9999
2023-09-09T13:00:42,0,9999,0,9999
2023-09-09T13:13:36,0,9999,0,9999
2023-09-09T13:26:32,0,9999,0,9999
2023-09-09T13:39:36,0,9999,0,9999
2023-09-09T13:52:32,0,9999,0,9999
2023-09-09T14:05:28,0,9999,0,9999
2023-09-09T14:18:23,0,9999,0,9999
2023-09-09T14:31:18,0,9999,0,9999
2023-09-09T14:44:14,0,9999,0,9999
2023-09-09T14:57:10,0,9999,0,9999
2023-09-09T15:10:05,0,9999,0,9999
2023-09-09T15:22:59,0,9999,0,9999
2023-09-09T15:35:54,0,9999,0,9999
2023-09-09T15:48:49,0,9999,0,9999
2023-09-09T16:01:44,0,9999,0,9999
2023-09-09T16:14:39,0,9999,0,9999
2023-09-09T16:27:43,0,9999,0,9999
2023-09-09T16:40:39,0,9999,0,9999
2023-09-09T16:53:34,0,9999,0,9999
2023-09-09T17:06:29,0,9999,0,9999
2023-09-09T17:19:24,0,9999,0,9999
2023-09-09T17:32:20,0,9999,0,9999
2023-09-09T17:45:15,0,9999,0,9999
2023-09-09T17:58:11,0,9999,0,9999
2023-09-09T18:11:06,0,9999,0,9999
2023-09-09T18:24:01,0,9999,0,9999
2023-09-09T18:36:57,0,9999,0,9999
2023-09-09T18:49:51,0,9999,0,9999
2023-09-09T19:02:46,0,9999,0,9999
2023-09-09T19:15:51,0,9999,0,9999
2023-09-09T19:28:46,0,9999,0,9999
2023-09-09T19:41:41,0,9999,0,9999
2023-09-09T19:54:36,0,9999,0,9999
2023-09-09T20:07:31,0,9999,0,9999
2023-09-09T20:20:27,0,9999,0,9999
2023-09-09T20:33:23,0,9999,0,9999
2023-09-09T20:46:18,0,9999,0,9999
2023-09-09T20:59:13,0,9999,0,9999
2023-09-09T21:12:09,0,9999,0,9999
2023-09-09T21:25:03,0,9999,0,9999
2023-09-09T21:37:58,0,9999,0,9999
2023-09-09T21:50:53,0,9999,0,9999
2023-09-09T22:03:58,0,9999,0,9999
2023-09-09T22:16:54,0,9999,0,9999
2023-09-09T22:29:49,0,9999,0,9999
2023-09-09T22:42:44,0,9999,0,9999
2023-09-09T22:55:40,0,9999,0,9999
2023-09-09T23:08:37,0,9999,0,9999
2023-09-09T23:21:33,0,9999,0,9999
2023-09-09T23:34:28,0,9999,0,9999
2023-09-09T23:47:23,0,9999,0,9999
2023-09-10T00:00:19,0,9999,0,9999
2023-09-10T00:13:16,0,9999,0,9999
2023-09-10T00:26:28,0,9999,0,9999
2023-09-10T00:39:25,0,9999,0,9999
2023-09-10T00:52:20,0,9999,0,9999
2023-09-10T01:05:15,0,9999,0,9999
2023-09-10T01:18:10,0,9999,0,9999
2023-09-10T01:31:15,0,9999,0,9999
2023-09-10T01:44:11,0,9999,0,9999
2023-09-10T01:57:06,0,9999,0,9999
2023-09-10T02:10:02,0,9999,0,9999
2023-09-10T02:23:00,0,9999,0,9999
2023-09-10T02:36:04,0,9999,0,9999
2023-09-10T02:49:05,0,9999,0,9999
2023-09-10T03:02:06,0,9999,0,9999
2023-09-10T03:15:30,0,9999,0,9999
2023-09-10T03:28:31,0,9999,0,9999
2023-09-10T03:41:40,0,9999,0,9999
2023-09-10T03:54:40,0,9999,0,9999
2023-09-10T04:07:40,0,9999,0,9999
2023-09-10T04:22:53,0,9999,0,9999
2023-09-10T04:36:17,0,9999,0,9999
2023-09-10T04:49:25,0,9999,0,9999
2023-09-10T05:02:29,0,9999,0,9999
2023-09-10T05:15:29,0,9999,0,9999
2023-09-10T05:28:27,0,9999,0,9999
2023-09-10T05:41:27,0,9999,0,9999
2023-09-10T05:54:26,0,9999,0,9999
2023-09-10T06:07:26,0,9999,0,9999
2023-09-10T06:20:34,0,9999,0,9999
2023-09-10T06:33:33,0,9999,0,9999
2023-09-10T06:46:34,0,9999,0,9999
2023-09-10T06:59:32,0,9999,0,9999
2023-09-10T07:12:30,0,9999,0,9999
2023-09-10T07:25:30,0,9999,0,9999
2023-09-10T07:38:29,0,9999,0,9999
2023-09-10T07:51:27,0,9999,0,9999
2023-09-10T08:04:26,0,9999,0,9999
2023-09-10T08:17:24,0,9999,0,9999
2023-09-10T08:30:27,0,9999,0,9999
2023-09-10T08:43:25,0,9999,0,9999
2023-09-10T08:56:22,0,9999,0,9999
2023-09-10T09:09:20,0,9999,0,9999
2023-09-10T09:22:21,0,9999,0,9999
2023-09-10T09:35:19,0,9999,0,9999
2023-09-10T09:48:17,0,9999,0,9999
2023-09-10T10:01:15,0,9999,0,9999
2023-09-10T10:14:13,0,9999,0,9999
2023-09-10T10:27:21,0,9999,0,9999
2023-09-10T10:40:17,0,9999,0,9999
2023-09-10T10:53:13,0,9999,0,9999
2023-09-10T11:06:08,0,9999,0,9999
2023-09-10T11:19:02,0,9999,0,9999
2023-09-10T11:31:58,0,9999,0,9999
2023-09-10T11:44:52,0,9999,0,9999
2023-09-10T11:57:48,0,9999,0,9999
2023-09-10T12:10:43,0,9999,0,9999
2023-09-10T12:23:38,0,9999,0,9999
2023-09-10T12:36:33,0,9999,0,9999
2023-09-10T12:49:28,0,9999,0,9999
2023-09-10T13:02:33,0,9999,0,9999
2023-09-10T13:15:29,0,9999,0,9999
2023-09-10T13:28:24,0,9999,0,9999
2023-09-10T13:41:19,0,9999,0,9999
2023-09-10T13:54:15,0,9999,0,9999
2023-09-10T14:07:10,0,9999,0,9999
2023-09-10T14:20:05,0,9999,0,9999
2023-09-10T14:32:59,0,9999,0,9999
2023-09-10T14:45:54,0,9999,0,9999
2023-09-10T14:58:50,0,9999,0,9999
2023-09-10T15:11:45,0,9999,0,9999
2023-09-10T15:24:40,0,9999,0,9999
2023-09-10T15:37:44,0,9999,0,9999
2023-09-10T15:50:40,0,9999,0,9999
2023-09-10T16:03:35,0,9999,0,9999
2023-09-10T16:16:30,0,9999,0,9999
2023-09-10T16:29:26,0,9999,0,9999
2023-09-10T16:42:22,0,9999,0,9999
2023-09-10T16:55:17,0,9999,0,9999
2023-09-10T17:08:12,0,9999,0,9999
2023-09-10T17:21:08,0,9999,0,9999
2023-09-10T17:34:03,0,9999,0,9999
2023-09-10T17:46:58,0,9999,0,9999
2023-09-10T17:59:53,0,9999,0,9999
2023-09-10T18:13:00,0,9999,0,9999
2023-09-10T18:25:55,0,9999,0,9999
2023-09-10T18:38:53,0,9999,0,9999
2023-09-10T18:51:49,0,9999,0,9999
2023-09-10T19:04:47,0,9999,0,9999
2023-09-10T19:17:44,0,9999,0,9999
2023-09-10T19:30:40,0,9999,0,9999
2023-09-10T19:43:36,0,9999,0,9999
2023-09-10T19:56:32,0,9999,0,9999
2023-09-10T20:09:27,0,9999,0,9999
2023-09-10T20:22:22,0,9999,0,9999
2023-09-10T20:35:18,0,9999,0,9999
2023-09-10T20:48:24,0,9999,0,9999
2023-09-10T21:01:19,0,9999,0,9999
2023-09-10T21:14:14,0,9999,0,9999
2023-09-10T21:27:11,0,9999,0,9999
2023-09-10T21:40:08,0,9999,0,9999
2023-09-10T21:53:04,0,9999,0,9999
2023-09-10T22:06:01,0,9999,0,9999
2023-09-10T22:18:57,0,9999,0,9999
2023-09-10T22:31:53,0,9999,0,9999
2023-09-10T22:44:49,0,9999,0,9999
2023-09-10T22:57:44,0,9999,0,9999
2023-09-10T23:10:41,0,9999,0,9999
2023-09-10T23:23:51,0,9999,0,9999
2023-09-10T23:36:47,0,9999,0,9999
2023-09-10T23:49:43,0,9999,0,9999
2023-09-11T00:02:39,0,9999,0,9999
2023-09-11T00:15:37,0,9999,0,9999
2023-09-11T00:28:42,0,9999,0,9999
2023-09-11T00:41:46,0,9999,0,9999
2023-09-11T00:54:49,0,9999,0,9999
2023-09-11T01:07:48,0,9999,0,9999
2023-09-11T01:20:45,0,9999,0,9999
2023-09-11T01:33:50,0,9999,0,9999
2023-09-11T01:46:50,0,9999,0,9999
2023-09-11T01:59:51,0,9999,0,9999
2023-09-11T02:12:55,0,9999,0,9999
2023-09-11T02:25:54,0,9999,0,9999
2023-09-11T02:38:53,0,9999,0,9999
2023-09-11T02:51:53,0,9999,0,9999
2023-09-11T03:04:52,0,9999,0,9999
2023-09-11T03:18:02,0,9999,0,9999
2023-09-11T03:31:02,0,9999,0,9999
2023-09-11T03:44:03,0,9999,0,9999
2023-09-11T03:57:02,0,9999,0,9999
2023-09-11T04:10:02,0,9999,0,9999
2023-09-11T04:27:56,0,9999,0,9999
2023-09-11T04:41:22,0,9999,0,9999
2023-09-11T04:54:24,0,9999,0,9999
2023-09-11T05:07:35,0,9999,0,9999
2023-09-11T05:20:35,0,9999,0,9999
2023-09-11T05:33:35,0,9999,0,9999
2023-09-11T05:46:36,0,9999,0,9999
2023-09-11T05:59:35,0,9999,0,9999
2023-09-11T06:12:36,0,9999,0,9999
2023-09-11T06:25:36,0,9999,0,9999
2023-09-11T06:38:37,0,9999,0,9999
2023-09-11T06:51:36,0,9999,0,9999
2023-09-11T07:04:35,0,9999,0,9999
2023-09-11T07:17:32,0,9999,0,9999
2023-09-11T07:30:27,0,9999,0,9999
2023-09-11T07:43:22,0,9999,0,9999
2023-09-11T07:56:17,0,9999,0,9999
2023-09-11T08:09:16,0,9999,0,9999
2023-09-11T08:22:12,0,9999,0,9999
2023-09-11T08:35:17,0,9999,0,9999
2023-09-11T08:48:14,0,9999,0,9999
2023-09-11T09:01:10,0,9999,0,9999
2023-09-11T09:14:08,0,9999,0,9999
2023-09-11T09:27:04,0,9999,0,9999
2023-09-11T09:40:00,0,9999,0,9999
2023-09-11T09:52:58,0,9999,0,9999
2023-09-11T10:05:54,0,9999,0,9999
2023-09-11T10:19:03,0,9999,0,9999
2023-09-11T10:32:00,0,9999,0,9999
2023-09-11T10:45:00,0,9999,0,9999
2023-09-11T10:57:56,0,9999,0,9999
2023-09-11T11:10:52,0,9999,0,9999
2023-09-11T11:23:58,0,9999,0,9999
2023-09-11T11:36:55,0,9999,0,9999
2023-09-11T11:49:51,0,9999,0,9999
2023-09-11T12:02:47,0,9999,0,9999
2023-09-11T12:15:43,0,9999,0,9999
2023-09-11T12:28:39,0,9999,0,9999
2023-09-11T12:41:46,0,9999,0,9999
2023-09-11T12:54:42,0,9999,0,9999
2023-09-11T13:07:38,0,9999,0,9999
2023-09-11T13:20:37,0,9999,0,9999
2023-09-11T13:33:33,0,9999,0,9999
2023-09-11T13:46:39,0,9999,0,9999
2023-09-11T13:59:35,0,9999,0,9999
2023-09-11T14:12:32,0,9999,0,9999
2023-09-11T14:25:31,0,9999,0,9999
2023-09-11T14:38:27,0,9999,0,9999
2023-09-11T14:51:25,0,9999,0,9999
2023-09-11T15:04:32,0,9999,0,9999
2023-09-11T15:17:29,0,9999,0,9999
2023-09-11T15:30:26,0,9999,0,9999
2023-09-11T15:43:23,0,9999,0,9999
2023-09-11T15:56:20,0,9999,0,9999
2023-09-11T16:09:17,0,9999,0,9999
2023-09-11T16:22:14,0,9999,0,9999
2023-09-11T16:35:22,0,9999,0,9999
2023-09-11T16:48:20,0,9999,0,9999
2023-09-11T17:01:17,0,9999,0,9999
2023-09-11T17:14:15,0,9999,0,9999
2023-09-11T17:27:25,0,9999,0,9999
2023-09-11T17:40:22,0,9999,0,9999
2023-09-11T17:53:19,0,9999,0,9999
2023-09-11T18:06:18,0,9999,0,9999
2023-09-11T18:19:15,0,9999,0,9999
2023-09-11T18:32:22,0,9999,0,9999
2023-09-11T18:45:18,0,9999,0,9999
2023-09-11T18:58:14,0,9999,0,9999
2023-09-11T19:11:12,0,9999,0,9999
2023-09-11T19:24:08,0,9999,0,9999
2023-09-11T19:37:05,0,9999,0,9999
2023-09-11T19:50:01,0,9999,0,9999
2023-09-11T20:03:15,0,9999,0,9999
2023-09-11T20:16:11,0,9999,0,9999
2023-09-11T20:29:07,0,9999,0,9999
2023-09-11T20:42:04,0,9999,0,9999
2023-09-11T20:55:00,0,9999,0,9999
2023-09-11T21:07:57,0,9999,0,9999
2023-09-11T21:21:04,0,9999,0,9999
2023-09-11T21:34:01,0,9999,0,9999
2023-09-11T21:46:57,0,9999,0,9999
2023-09-11T21:59:55,0,9999,0,9999
2023-09-11T22:12:51,0,9999,0,9999
2023-09-11T22:25:47,0,9999,0,9999
2023-09-11T22:38:44,0,9999,0,9999
2023-09-11T22:51:40,0,9999,0,9999
2023-09-11T23:04:49,0,9999,0,9999
2023-09-11T23:17:46,0,9999,0,9999
2023-09-11T23:30:43,0,9999,0,9999
2023-09-11T23:43:40,0,9999,0,9999
2023-09-11T23:56:36,0,9999,0,9999
2023-09-12T00:09:35,0,9999,0,9999
2023-09-12T00:22:41,0,9999,0,9999
2023-09-12T00:35:42,0,9999,0,9999
2023-09-12T00:48:43,0,9999,0,9999
2023-09-12T01:01:56,0,9999,0,9999
2023-09-12T01:14:57,0,9999,0,9999
2023-09-12T01:27:56,0,9999,0,9999
2023-09-12T01:40:58,0,9999,0,9999
2023-09-12T01:54:00,0,9999,0,9999
2023-09-12T02:07:01,0,9999,0,9999
2023-09-12T02:19:59,0,9999,0,9999
2023-09-12T02:32:58,0,9999,0,9999
2023-09-12T02:45:57,0,9999,0,9999
2023-09-12T02:58:53,0,9999,0,9999
2023-09-12T03:11:52,0,9999,0,9999
2023-09-12T03:24:51,0,9999,0,9999
2023-09-12T03:37:50,0,9999,0,9999
2023-09-12T03:50:49,0,9999,0,9999
2023-09-12T04:03:49,0,9999,0,9999
2023-09-12T04:17:01,0,9999,0,9999
2023-09-12T04:29:21,0,9999,0,9999
2023-09-12T04:43:45,0,9999,0,9999
2023-09-12T04:57:08,0,9999,0,9999
2023-09-12T05:10:10,0,9999,0,9999
2023-09-12T05:23:13,0,9999,0,9999
2023-09-12T05:36:14,0,9999,0,9999
2023-09-12T05:49:15,0,9999,0,9999
2023-09-12T06:02:16,0,9999,0,9999
2023-09-12T06:15:15,0,9999,0,9999
2023-09-12T06:28:15,0,9999,0,9999
2023-09-12T06:41:17,0,9999,0,9999
2023-09-12T06:54:17,0,9999,0,9999
2023-09-12T07:07:18,0,9999,0,9999
2023-09-12T07:20:19,0,9999,0,9999
2023-09-12T07:33:18,0,9999,0,9999
2023-09-12T07:46:16,0,9999,0,9999
2023-09-12T07:59:15,0,9999,0,9999
2023-09-12T08:12:15,0,9999,0,9999
2023-09-12T08:25:26,0,9999,0,9999
2023-09-12T08:38:26,0,9999,0,9999
2023-09-12T08:51:25,0,9999,0,9999
2023-09-12T09:04:24,0,9999,0,9999
2023-09-12T09:17:25,0,9999,0,9999
2023-09-12T09:30:22,0,9999,0,9999
2023-09-12T09:43:19,0,9999,0,9999
2023-09-12T09:56:16,0,9999,0,9999
2023-09-12T10:09:26,0,9999,0,9999
2023-09-12T10:22:22,0,9999,0,9999
2023-09-12T10:35:20,0,9999,0,9999
2023-09-12T10:48:18,0,9999,0,9999
2023-09-12T11:01:16,0,9999,0,9999
