time,enrolled,available,waitlisted,total
2023-10-04T15:06:50,0,9999,0,9999
2023-10-04T15:19:48,0,9999,0,9999
2023-10-04T15:32:46,0,9999,0,9999
2023-10-04T15:45:54,0,9999,0,9999
2023-10-04T15:58:52,0,9999,0,9999
2023-10-04T16:11:49,0,9999,0,9999
2023-10-04T16:25:01,0,9999,0,9999
2023-10-04T16:37:57,0,9999,0,9999
2023-10-04T16:50:54,0,9999,0,9999
2023-10-04T17:03:51,0,9999,0,9999
2023-10-04T17:16:59,0,9999,0,9999
2023-10-04T17:29:55,0,9999,0,9999
2023-10-04T17:42:51,0,9999,0,9999
2023-10-04T17:55:48,0,9999,0,9999
2023-10-04T18:08:57,0,9999,0,9999
2023-10-04T18:21:53,0,9999,0,9999
2023-10-04T18:34:50,0,9999,0,9999
2023-10-04T18:47:46,0,9999,0,9999
2023-10-04T19:00:42,0,9999,0,9999
2023-10-04T19:13:49,0,9999,0,9999
2023-10-04T19:26:45,0,9999,0,9999
2023-10-04T19:39:41,0,9999,0,9999
2023-10-04T19:52:37,0,9999,0,9999
2023-10-04T20:05:43,0,9999,0,9999
2023-10-04T20:18:39,0,9999,0,9999
2023-10-04T20:31:35,0,9999,0,9999
2023-10-04T20:44:31,0,9999,0,9999
2023-10-04T20:57:32,0,9999,0,9999
2023-10-04T21:10:28,0,9999,0,9999
2023-10-04T21:23:35,0,9999,0,9999
2023-10-04T21:36:32,0,9999,0,9999
2023-10-04T21:49:27,0,9999,0,9999
2023-10-04T22:02:24,0,9999,0,9999
2023-10-04T22:15:30,0,9999,0,9999
2023-10-04T22:28:26,0,9999,0,9999
2023-10-04T22:41:22,0,9999,0,9999
2023-10-04T22:54:19,0,9999,0,9999
2023-10-04T23:07:17,0,9999,0,9999
2023-10-04T23:20:13,0,9999,0,9999
2023-10-04T23:33:21,0,9999,0,9999
2023-10-04T23:46:18,0,9999,0,9999
2023-10-04T23:59:15,0,9999,0,9999
2023-10-05T00:12:14,0,9999,0,9999
2023-10-05T00:25:20,0,9999,0,9999
2023-10-05T00:38:20,0,9999,0,9999
2023-10-05T00:51:21,0,9999,0,9999
2023-10-05T01:04:23,0,9999,0,9999
2023-10-05T01:17:35,0,9999,0,9999
2023-10-05T01:30:35,0,9999,0,9999
2023-10-05T01:43:35,0,9999,0,9999
2023-10-05T01:56:40,0,9999,0,9999
2023-10-05T02:09:43,0,9999,0,9999
2023-10-05T02:22:41,0,9999,0,9999
2023-10-05T02:35:39,0,9999,0,9999
2023-10-05T02:48:36,0,9999,0,9999
2023-10-05T03:01:32,0,9999,0,9999
2023-10-05T03:14:32,0,9999,0,9999
2023-10-05T03:27:32,0,9999,0,9999
2023-10-05T03:40:34,0,9999,0,9999
2023-10-05T03:53:36,0,9999,0,9999
2023-10-05T04:06:39,0,9999,0,9999
2023-10-05T04:19:21,0,9999,0,9999
2023-10-05T04:32:25,0,9999,0,9999
2023-10-05T04:47:01,0,9999,0,9999
2023-10-05T05:00:04,0,9999,0,9999
2023-10-05T05:13:14,0,9999,0,9999
2023-10-05T05:26:16,0,9999,0,9999
2023-10-05T05:39:16,0,9999,0,9999
2023-10-05T05:52:25,0,9999,0,9999
2023-10-05T06:06:03,0,9999,0,9999
2023-10-05T06:19:12,0,9999,0,9999
2023-10-05T06:32:21,0,9999,0,9999
2023-10-05T06:45:29,0,9999,0,9999
2023-10-05T06:58:35,0,9999,0,9999
2023-10-05T07:11:48,0,9999,0,9999
2023-10-05T07:24:57,0,9999,0,9999
2023-10-05T07:38:03,0,9999,0,9999
2023-10-05T07:51:10,0,9999,0,9999
2023-10-05T08:04:17,0,9999,0,9999
2023-10-05T08:17:23,0,9999,0,9999
2023-10-05T08:30:39,0,9999,0,9999
2023-10-05T08:43:47,0,9999,0,9999
2023-10-05T08:56:52,0,9999,0,9999
