time,enrolled,available,waitlisted,total
2023-09-08T13:37:21,0,0,0,0
2023-09-08T13:50:26,0,0,0,0
2023-09-08T14:03:21,0,0,0,0
2023-09-08T14:16:18,0,5,0,5
2023-09-08T14:29:13,0,5,0,5
2023-09-08T14:42:09,0,5,0,5
2023-09-08T14:55:03,0,5,0,5
2023-09-08T15:08:09,0,5,0,5
2023-09-08T15:21:04,0,5,0,5
2023-09-08T15:33:59,0,5,0,5
2023-09-08T15:46:54,0,5,0,5
2023-09-08T15:59:49,0,5,0,5
2023-09-08T16:12:44,0,5,0,5
2023-09-08T16:25:39,0,5,0,5
2023-09-08T16:38:45,0,5,0,5
2023-09-08T16:51:39,0,5,0,5
2023-09-08T17:04:34,0,5,0,5
2023-09-08T17:17:31,0,5,0,5
2023-09-08T17:30:25,0,5,0,5
2023-09-08T17:43:20,0,5,0,5
2023-09-08T17:56:17,0,5,0,5
2023-09-08T18:09:12,0,5,0,5
2023-09-08T18:22:10,0,5,0,5
2023-09-08T18:35:16,0,5,0,5
2023-09-08T18:48:12,0,5,0,5
2023-09-08T19:01:07,0,5,0,5
2023-09-08T19:14:04,0,5,0,5
2023-09-08T19:26:59,0,5,0,5
2023-09-08T19:39:54,0,5,0,5
2023-09-08T19:52:49,0,5,0,5
2023-09-08T20:05:44,0,5,0,5
2023-09-08T20:18:39,0,5,0,5
2023-09-08T20:31:34,0,5,0,5
2023-09-08T20:44:30,0,5,0,5
2023-09-08T20:57:36,0,5,0,5
2023-09-08T21:10:31,0,5,0,5
2023-09-08T21:23:26,0,5,0,5
2023-09-08T21:36:21,0,5,0,5
2023-09-08T21:49:16,0,5,0,5
2023-09-08T22:02:11,0,5,0,5
2023-09-08T22:15:05,0,5,0,5
2023-09-08T22:28:00,0,5,0,5
2023-09-08T22:41:06,0,5,0,5
2023-09-08T22:54:00,0,5,0,5
2023-09-08T23:06:56,0,5,0,5
2023-09-08T23:19:51,0,5,0,5
2023-09-08T23:32:48,0,5,0,5
2023-09-08T23:45:43,0,5,0,5
2023-09-08T23:58:39,0,5,0,5
2023-09-09T00:11:39,0,5,0,5
2023-09-09T00:24:40,0,5,0,5
2023-09-09T00:37:38,0,5,0,5
2023-09-09T00:50:38,0,5,0,5
2023-09-09T01:03:37,0,5,0,5
2023-09-09T01:16:36,0,5,0,5
2023-09-09T01:29:48,0,5,0,5
2023-09-09T01:42:48,0,5,0,5
2023-09-09T01:55:48,0,5,0,5
2023-09-09T02:08:47,0,5,0,5
2023-09-09T02:21:44,0,5,0,5
2023-09-09T02:34:42,0,5,0,5
2023-09-09T02:47:38,0,5,0,5
2023-09-09T03:00:33,0,5,0,5
2023-09-09T03:13:29,0,5,0,5
