time,enrolled,available,waitlisted,total
2023-07-07T09:03:36,0,9999,0,9999
2023-07-07T09:16:01,0,9999,0,9999
2023-07-07T09:28:28,0,9999,0,9999
2023-07-07T09:40:52,0,9999,0,9999
2023-07-07T09:53:17,0,9999,0,9999
2023-07-07T10:05:42,0,9999,0,9999
2023-07-07T10:18:06,0,9999,0,9999
2023-07-07T10:30:31,0,9999,0,9999
2023-07-07T10:42:56,0,9999,0,9999
2023-07-07T10:55:21,0,9999,0,9999
2023-07-07T11:07:58,0,9999,0,9999
2023-07-07T11:20:23,0,9999,0,9999
2023-07-07T11:32:48,0,9999,0,9999
2023-07-07T11:45:12,0,9999,0,9999
2023-07-07T11:57:37,0,9999,0,9999
2023-07-07T12:10:02,0,9999,0,9999
2023-07-07T12:22:26,0,9999,0,9999
2023-07-07T12:34:51,0,9999,0,9999
2023-07-07T12:47:16,0,9999,0,9999
2023-07-07T12:59:41,0,9999,0,9999
2023-07-07T13:12:06,0,9999,0,9999
2023-07-07T13:24:31,0,9999,0,9999
2023-07-07T13:36:57,0,9999,0,9999
2023-07-07T13:49:34,0,9999,0,9999
2023-07-07T14:01:59,0,9999,0,9999
2023-07-07T14:14:23,0,9999,0,9999
2023-07-07T14:26:48,0,9999,0,9999
2023-07-07T14:39:13,0,9999,0,9999
2023-07-07T14:51:38,0,9999,0,9999
2023-07-07T15:04:04,0,9999,0,9999
2023-07-07T15:16:29,0,9999,0,9999
2023-07-07T15:28:53,0,9999,0,9999
2023-07-07T15:41:18,0,9999,0,9999
2023-07-07T15:53:42,0,9999,0,9999
2023-07-07T16:06:07,0,9999,0,9999
2023-07-07T16:18:32,0,9999,0,9999
2023-07-07T16:31:09,0,9999,0,9999
2023-07-07T16:43:34,0,9999,0,9999
2023-07-07T16:55:59,0,9999,0,9999
2023-07-07T17:08:24,0,9999,0,9999
2023-07-07T17:20:51,0,9999,0,9999
2023-07-07T17:33:15,0,9999,0,9999
2023-07-07T17:45:39,0,9999,0,9999
2023-07-07T17:58:04,0,9999,0,9999
2023-07-07T18:10:28,0,9999,0,9999
2023-07-07T18:22:53,0,9999,0,9999
2023-07-07T18:35:17,0,9999,0,9999
2023-07-07T18:47:52,0,9999,0,9999
2023-07-07T19:00:17,0,9999,0,9999
2023-07-07T19:12:42,0,9999,0,9999
2023-07-07T19:25:07,0,9999,0,9999
2023-07-07T19:37:33,0,9999,0,9999
2023-07-07T19:49:58,0,9999,0,9999
2023-07-07T20:02:23,0,9999,0,9999
2023-07-07T20:14:49,0,9999,0,9999
2023-07-07T20:27:13,0,9999,0,9999
2023-07-07T20:39:38,0,9999,0,9999
2023-07-07T20:52:03,0,9999,0,9999
2023-07-07T21:04:28,0,9999,0,9999
2023-07-07T21:16:55,0,9999,0,9999
2023-07-07T21:29:20,0,9999,0,9999
2023-07-07T21:41:45,0,9999,0,9999
2023-07-07T21:54:10,0,9999,0,9999
2023-07-07T22:06:34,0,9999,0,9999
2023-07-07T22:18:59,0,9999,0,9999
2023-07-07T22:31:35,0,9999,0,9999
2023-07-07T22:44:00,0,9999,0,9999
2023-07-07T22:56:25,0,9999,0,9999
2023-07-07T23:08:50,0,9999,0,9999
2023-07-07T23:21:16,0,9999,0,9999
2023-07-07T23:33:42,0,9999,0,9999
2023-07-07T23:46:07,0,9999,0,9999
2023-07-07T23:58:32,0,9999,0,9999
2023-07-08T00:10:59,0,9999,0,9999
2023-07-08T00:23:33,0,9999,0,9999
2023-07-08T00:36:02,0,9999,0,9999
2023-07-08T00:48:31,0,9999,0,9999
2023-07-08T01:01:00,0,9999,0,9999
2023-07-08T01:13:28,0,9999,0,9999
2023-07-08T01:25:57,0,9999,0,9999
2023-07-08T01:38:28,0,9999,0,9999
2023-07-08T01:50:58,0,9999,0,9999
2023-07-08T02:03:27,0,9999,0,9999
2023-07-08T02:16:06,0,9999,0,9999
2023-07-08T02:28:33,0,9999,0,9999
2023-07-08T02:40:58,0,9999,0,9999
2023-07-08T02:53:23,0,9999,0,9999
2023-07-08T03:05:48,0,9999,0,9999
2023-07-08T03:18:15,0,9999,0,9999
2023-07-08T03:30:42,0,9999,0,9999
2023-07-08T03:43:09,0,9999,0,9999
2023-07-08T03:55:37,0,9999,0,9999
2023-07-08T04:08:05,0,9999,0,9999
2023-07-08T04:27:51,0,9999,0,9999
2023-07-08T04:40:21,0,9999,0,9999
2023-07-08T04:52:49,0,9999,0,9999
2023-07-08T05:06:41,0,9999,0,9999
2023-07-08T05:19:30,0,9999,0,9999
2023-07-08T05:31:59,0,9999,0,9999
2023-07-08T05:44:28,0,9999,0,9999
2023-07-08T05:56:57,0,9999,0,9999
2023-07-08T06:09:27,0,9999,0,9999
2023-07-08T06:21:56,0,9999,0,9999
2023-07-08T06:34:24,0,9999,0,9999
2023-07-08T06:46:53,0,9999,0,9999
2023-07-08T06:59:22,0,9999,0,9999
2023-07-08T07:11:50,0,9999,0,9999
2023-07-08T07:24:17,0,9999,0,9999
2023-07-08T07:36:44,0,9999,0,9999
2023-07-08T07:49:22,0,9999,0,9999
2023-07-08T08:01:51,0,9999,0,9999
2023-07-08T08:14:19,0,9999,0,9999
2023-07-08T08:26:46,0,9999,0,9999
2023-07-08T08:39:14,0,9999,0,9999
2023-07-08T08:51:41,0,9999,0,9999
2023-07-08T09:04:09,0,9999,0,9999
2023-07-08T09:16:37,0,9999,0,9999
2023-07-08T09:29:04,0,9999,0,9999
2023-07-08T09:41:31,0,9999,0,9999
2023-07-08T09:53:59,0,9999,0,9999
2023-07-08T10:06:27,0,9999,0,9999
2023-07-08T10:18:54,0,9999,0,9999
2023-07-08T10:31:21,0,9999,0,9999
2023-07-08T10:43:49,0,9999,0,9999
2023-07-08T10:56:16,0,9999,0,9999
2023-07-08T11:08:42,0,9999,0,9999
2023-07-08T11:21:16,0,9999,0,9999
2023-07-08T11:33:40,0,9999,0,9999
2023-07-08T11:46:05,0,9999,0,9999
2023-07-08T11:58:29,0,9999,0,9999
2023-07-08T12:10:53,0,9999,0,9999
2023-07-08T12:23:17,0,9999,0,9999
2023-07-08T12:35:42,0,9999,0,9999
2023-07-08T12:48:06,0,9999,0,9999
2023-07-08T13:00:31,0,9999,0,9999
2023-07-08T13:12:55,0,9999,0,9999
2023-07-08T13:25:19,0,9999,0,9999
2023-07-08T13:37:44,0,9999,0,9999
2023-07-08T13:50:08,0,9999,0,9999
2023-07-08T14:02:35,0,9999,0,9999
2023-07-08T14:14:59,0,9999,0,9999
2023-07-08T14:27:24,0,9999,0,9999
2023-07-08T14:39:48,0,9999,0,9999
2023-07-08T14:52:12,0,9999,0,9999
2023-07-08T15:04:37,0,9999,0,9999
2023-07-08T15:17:11,0,9999,0,9999
2023-07-08T15:29:35,0,9999,0,9999
2023-07-08T15:41:59,0,9999,0,9999
2023-07-08T15:54:23,0,9999,0,9999
2023-07-08T16:06:47,0,9999,0,9999
2023-07-08T16:19:12,0,9999,0,9999
2023-07-08T16:31:37,0,9999,0,9999
2023-07-08T16:44:01,0,9999,0,9999
2023-07-08T16:56:26,0,9999,0,9999
2023-07-08T17:08:51,0,9999,0,9999
2023-07-08T17:21:17,0,9999,0,9999
2023-07-08T17:33:41,0,9999,0,9999
2023-07-08T17:46:06,0,9999,0,9999
2023-07-08T17:58:30,0,9999,0,9999
2023-07-08T18:10:54,0,9999,0,9999
2023-07-08T18:23:19,0,9999,0,9999
2023-07-08T18:35:43,0,9999,0,9999
2023-07-08T18:48:07,0,9999,0,9999
2023-07-08T19:00:32,0,9999,0,9999
2023-07-08T19:12:57,0,9999,0,9999
2023-07-08T19:25:32,0,9999,0,9999
2023-07-08T19:37:57,0,9999,0,9999
2023-07-08T19:50:21,0,9999,0,9999
2023-07-08T20:02:45,0,9999,0,9999
2023-07-08T20:15:10,0,9999,0,9999
2023-07-08T20:27:35,0,9999,0,9999
2023-07-08T20:39:59,0,9999,0,9999
2023-07-08T20:52:24,0,9999,0,9999
2023-07-08T21:04:49,0,9999,0,9999
2023-07-08T21:17:14,0,9999,0,9999
2023-07-08T21:29:39,0,9999,0,9999
2023-07-08T21:42:03,0,9999,0,9999
2023-07-08T21:54:28,0,9999,0,9999
2023-07-08T22:06:52,0,9999,0,9999
2023-07-08T22:19:17,0,9999,0,9999
2023-07-08T22:31:52,0,9999,0,9999
2023-07-08T22:44:17,0,9999,0,9999
2023-07-08T22:56:41,0,9999,0,9999
2023-07-08T23:09:07,0,9999,0,9999
2023-07-08T23:21:33,0,9999,0,9999
2023-07-08T23:33:59,0,9999,0,9999
2023-07-08T23:46:24,0,9999,0,9999
2023-07-08T23:58:49,0,9999,0,9999
2023-07-09T00:11:15,0,9999,0,9999
2023-07-09T00:23:47,0,9999,0,9999
2023-07-09T00:36:16,0,9999,0,9999
2023-07-09T00:48:46,0,9999,0,9999
2023-07-09T01:01:14,0,9999,0,9999
2023-07-09T01:13:50,0,9999,0,9999
2023-07-09T01:26:17,0,9999,0,9999
2023-07-09T01:38:47,0,9999,0,9999
2023-07-09T01:51:14,0,9999,0,9999
2023-07-09T02:03:42,0,9999,0,9999
2023-07-09T02:16:22,0,9999,0,9999
2023-07-09T02:28:50,0,9999,0,9999
2023-07-09T02:41:19,0,9999,0,9999
2023-07-09T02:53:45,0,9999,0,9999
2023-07-09T03:06:13,0,9999,0,9999
2023-07-09T03:18:41,0,9999,0,9999
2023-07-09T03:31:10,0,9999,0,9999
2023-07-09T03:43:37,0,9999,0,9999
2023-07-09T03:56:06,0,9999,0,9999
2023-07-09T04:08:34,0,9999,0,9999
2023-07-09T04:22:40,0,9999,0,9999
2023-07-09T04:35:10,0,9999,0,9999
2023-07-09T04:48:37,0,9999,0,9999
2023-07-09T05:01:54,0,9999,0,9999
2023-07-09T05:14:22,0,9999,0,9999
2023-07-09T05:26:51,0,9999,0,9999
2023-07-09T05:39:21,0,9999,0,9999
2023-07-09T05:51:50,0,9999,0,9999
2023-07-09T06:04:17,0,9999,0,9999
2023-07-09T06:16:45,0,9999,0,9999
2023-07-09T06:29:13,0,9999,0,9999
2023-07-09T06:41:41,0,9999,0,9999
2023-07-09T06:54:08,0,9999,0,9999
2023-07-09T07:06:35,0,9999,0,9999
2023-07-09T07:19:02,0,9999,0,9999
2023-07-09T07:31:28,0,9999,0,9999
2023-07-09T07:43:53,0,9999,0,9999
2023-07-09T07:56:19,0,9999,0,9999
2023-07-09T08:08:44,0,9999,0,9999
2023-07-09T08:21:09,0,9999,0,9999
2023-07-09T08:33:38,0,9999,0,9999
2023-07-09T08:46:04,0,9999,0,9999
2023-07-09T08:58:29,0,9999,0,9999
2023-07-09T09:10:54,0,9999,0,9999
2023-07-09T09:23:20,0,9999,0,9999
2023-07-09T09:35:46,0,9999,0,9999
2023-07-09T09:48:12,0,9999,0,9999
2023-07-09T10:00:38,0,9999,0,9999
2023-07-09T10:13:04,0,9999,0,9999
2023-07-09T10:25:38,0,9999,0,9999
2023-07-09T10:38:04,0,9999,0,9999
2023-07-09T10:50:30,0,9999,0,9999
2023-07-09T11:02:57,0,9999,0,9999
2023-07-09T11:15:24,0,9999,0,9999
2023-07-09T11:27:50,0,9999,0,9999
2023-07-09T11:40:15,0,9999,0,9999
2023-07-09T11:52:40,0,9999,0,9999
2023-07-09T12:05:05,0,9999,0,9999
2023-07-09T12:17:31,0,9999,0,9999
2023-07-09T12:29:56,0,9999,0,9999
2023-07-09T12:42:21,0,9999,0,9999
2023-07-09T12:54:47,0,9999,0,9999
2023-07-09T13:07:12,0,9999,0,9999
2023-07-09T13:19:36,0,9999,0,9999
2023-07-09T13:32:02,0,9999,0,9999
2023-07-09T13:44:26,0,9999,0,9999
2023-07-09T13:56:51,0,9999,0,9999
2023-07-09T14:09:15,0,9999,0,9999
2023-07-09T14:21:40,0,9999,0,9999
2023-07-09T14:34:15,0,9999,0,9999
2023-07-09T14:46:39,0,9999,0,9999
2023-07-09T14:59:04,0,9999,0,9999
2023-07-09T15:11:29,0,9999,0,9999
2023-07-09T15:23:54,0,9999,0,9999
2023-07-09T15:36:18,0,9999,0,9999
2023-07-09T15:48:42,0,9999,0,9999
2023-07-09T16:01:07,0,9999,0,9999
2023-07-09T16:13:32,0,9999,0,9999
2023-07-09T16:25:57,0,9999,0,9999
2023-07-09T16:38:23,0,9999,0,9999
2023-07-09T16:50:47,0,9999,0,9999
2023-07-09T17:03:12,0,9999,0,9999
2023-07-09T17:15:38,0,9999,0,9999
2023-07-09T17:28:14,0,9999,0,9999
2023-07-09T17:40:38,0,9999,0,9999
2023-07-09T17:53:03,0,9999,0,9999
2023-07-09T18:05:27,0,9999,0,9999
2023-07-09T18:17:51,0,9999,0,9999
2023-07-09T18:30:16,0,9999,0,9999
2023-07-09T18:42:42,0,9999,0,9999
2023-07-09T18:55:06,0,9999,0,9999
2023-07-09T19:07:33,0,9999,0,9999
2023-07-09T19:20:00,0,9999,0,9999
2023-07-09T19:32:26,0,9999,0,9999
2023-07-09T19:44:53,0,9999,0,9999
2023-07-09T19:57:19,0,9999,0,9999
2023-07-09T20:09:45,0,9999,0,9999
2023-07-09T20:22:10,0,9999,0,9999
2023-07-09T20:34:35,0,9999,0,9999
2023-07-09T20:47:00,0,9999,0,9999
2023-07-09T20:59:26,0,9999,0,9999
2023-07-09T21:12:02,0,9999,0,9999
2023-07-09T21:24:27,0,9999,0,9999
2023-07-09T21:36:53,0,9999,0,9999
2023-07-09T21:49:18,0,9999,0,9999
2023-07-09T22:01:43,0,9999,0,9999
2023-07-09T22:14:08,0,9999,0,9999
2023-07-09T22:26:33,0,9999,0,9999
2023-07-09T22:38:57,0,9999,0,9999
2023-07-09T22:51:22,0,9999,0,9999
2023-07-09T23:03:48,0,9999,0,9999
2023-07-09T23:16:13,0,9999,0,9999
2023-07-09T23:28:40,0,9999,0,9999
2023-07-09T23:41:15,0,9999,0,9999
2023-07-09T23:53:40,0,9999,0,9999
2023-07-10T00:06:07,0,9999,0,9999
2023-07-10T00:18:40,0,9999,0,9999
2023-07-10T00:31:14,0,9999,0,9999
2023-07-10T00:43:46,0,9999,0,9999
2023-07-10T00:56:15,0,9999,0,9999
2023-07-10T01:08:41,0,9999,0,9999
2023-07-10T01:21:09,0,9999,0,9999
2023-07-10T01:33:39,0,9999,0,9999
2023-07-10T01:46:09,0,9999,0,9999
2023-07-10T01:58:38,0,9999,0,9999
2023-07-10T02:11:16,0,9999,0,9999
2023-07-10T02:23:45,0,9999,0,9999
2023-07-10T02:36:14,0,9999,0,9999
2023-07-10T02:48:42,0,9999,0,9999
2023-07-10T03:01:10,0,9999,0,9999
2023-07-10T03:13:38,0,9999,0,9999
2023-07-10T03:26:06,0,9999,0,9999
2023-07-10T03:38:34,0,9999,0,9999
2023-07-10T03:51:01,0,9999,0,9999
2023-07-10T04:03:29,0,9999,0,9999
2023-07-10T04:18:06,0,9999,0,9999
2023-07-10T04:29:14,0,9999,0,9999
2023-07-10T04:41:44,0,9999,0,9999
2023-07-10T04:54:14,0,9999,0,9999
2023-07-10T05:06:44,0,9999,0,9999
2023-07-10T05:19:14,0,9999,0,9999
2023-07-10T05:31:43,0,9999,0,9999
2023-07-10T05:44:11,0,9999,0,9999
