time,enrolled,available,waitlisted,total
2023-07-05T08:13:07,0,9999,0,9999
2023-07-05T08:25:38,0,9999,0,9999
2023-07-05T08:38:04,0,9999,0,9999
2023-07-05T08:50:28,0,9999,0,9999
2023-07-05T09:02:53,0,9999,0,9999
2023-07-05T09:15:17,0,9999,0,9999
2023-07-05T09:27:40,0,9999,0,9999
2023-07-05T09:40:06,0,9999,0,9999
2023-07-05T09:52:30,0,9999,0,9999
2023-07-05T10:04:55,0,9999,0,9999
2023-07-05T10:17:19,1,9998,0,9999
2023-07-05T10:29:43,1,9998,0,9999
2023-07-05T10:42:17,1,9998,0,9999
2023-07-05T10:54:41,1,9998,0,9999
2023-07-05T11:07:07,1,9998,0,9999
2023-07-05T11:19:32,1,9998,0,9999
2023-07-05T11:31:56,1,9998,0,9999
2023-07-05T11:44:21,1,9998,0,9999
2023-07-05T11:56:45,1,9998,0,9999
2023-07-05T12:09:09,1,9998,0,9999
2023-07-05T12:21:44,1,9998,0,9999
2023-07-05T12:34:09,1,9998,0,9999
2023-07-05T12:46:34,1,9998,0,9999
2023-07-05T12:58:58,1,9998,0,9999
2023-07-05T13:11:22,1,9998,0,9999
2023-07-05T13:23:47,1,9998,0,9999
2023-07-05T13:36:11,1,9998,0,9999
2023-07-05T13:48:49,1,9998,0,9999
2023-07-05T14:01:14,1,9998,0,9999
2023-07-05T14:13:38,1,9998,0,9999
2023-07-05T14:26:03,1,9998,0,9999
2023-07-05T14:38:27,1,9998,0,9999
2023-07-05T14:50:52,1,9998,0,9999
2023-07-05T15:03:16,1,9998,0,9999
2023-07-05T15:15:40,1,9998,0,9999
2023-07-05T15:28:05,1,9998,0,9999
2023-07-05T15:40:40,1,9998,0,9999
2023-07-05T15:53:05,1,9998,0,9999
2023-07-05T16:05:29,1,9998,0,9999
2023-07-05T16:17:53,1,9998,0,9999
2023-07-05T16:30:18,1,9998,0,9999
2023-07-05T16:42:42,1,9998,0,9999
2023-07-05T16:55:06,1,9998,0,9999
2023-07-05T17:07:31,1,9998,0,9999
2023-07-05T17:19:56,1,9998,0,9999
2023-07-05T17:32:21,1,9998,0,9999
2023-07-05T17:44:45,1,9998,0,9999
2023-07-05T17:57:20,1,9998,0,9999
2023-07-05T18:09:46,1,9998,0,9999
2023-07-05T18:22:10,1,9998,0,9999
2023-07-05T18:34:34,1,9998,0,9999
2023-07-05T18:46:58,1,9998,0,9999
2023-07-05T18:59:22,1,9998,0,9999
2023-07-05T19:11:47,1,9998,0,9999
2023-07-05T19:24:12,1,9998,0,9999
2023-07-05T19:36:37,1,9998,0,9999
2023-07-05T19:49:00,1,9998,0,9999
2023-07-05T20:01:25,1,9998,0,9999
2023-07-05T20:13:49,1,9998,0,9999
2023-07-05T20:26:23,1,9998,0,9999
2023-07-05T20:38:47,1,9998,0,9999
2023-07-05T20:51:12,1,9998,0,9999
2023-07-05T21:03:36,1,9998,0,9999
2023-07-05T21:16:00,1,9998,0,9999
2023-07-05T21:28:24,1,9998,0,9999
2023-07-05T21:40:48,1,9998,0,9999
2023-07-05T21:53:12,1,9998,0,9999
2023-07-05T22:05:36,1,9998,0,9999
2023-07-05T22:18:00,1,9998,0,9999
2023-07-05T22:30:24,1,9998,0,9999
2023-07-05T22:42:48,1,9998,0,9999
2023-07-05T22:55:12,1,9998,0,9999
2023-07-05T23:07:46,1,9998,0,9999
2023-07-05T23:20:10,1,9998,0,9999
2023-07-05T23:32:34,1,9998,0,9999
2023-07-05T23:44:59,1,9998,0,9999
2023-07-05T23:57:23,1,9998,0,9999
2023-07-06T00:09:50,1,9998,0,9999
2023-07-06T00:22:21,1,9998,0,9999
2023-07-06T00:34:48,1,9998,0,9999
2023-07-06T00:47:16,1,9998,0,9999
2023-07-06T00:59:45,1,9998,0,9999
2023-07-06T01:12:13,1,9998,0,9999
2023-07-06T01:24:40,1,9998,0,9999
2023-07-06T01:37:09,1,9998,0,9999
2023-07-06T01:49:38,1,9998,0,9999
2023-07-06T02:02:17,1,9998,0,9999
2023-07-06T02:14:43,1,9998,0,9999
2023-07-06T02:27:08,1,9998,0,9999
2023-07-06T02:39:33,1,9998,0,9999
2023-07-06T02:51:58,1,9998,0,9999
2023-07-06T03:04:23,1,9998,0,9999
2023-07-06T03:16:51,1,9998,0,9999
2023-07-06T03:29:17,1,9998,0,9999
2023-07-06T03:41:43,1,9998,0,9999
2023-07-06T03:54:09,1,9998,0,9999
2023-07-06T04:08:46,1,9998,0,9999
2023-07-06T04:25:35,1,9998,0,9999
2023-07-06T04:38:31,1,9998,0,9999
2023-07-06T04:51:00,1,9998,0,9999
2023-07-06T05:03:27,1,9998,0,9999
2023-07-06T05:15:53,1,9998,0,9999
2023-07-06T05:28:18,1,9998,0,9999
2023-07-06T05:40:43,1,9998,0,9999
2023-07-06T05:53:11,1,9998,0,9999
2023-07-06T06:05:39,1,9998,0,9999
2023-07-06T06:18:07,1,9998,0,9999
2023-07-06T06:30:34,1,9998,0,9999
2023-07-06T06:43:00,1,9998,0,9999
2023-07-06T06:55:26,1,9998,0,9999
2023-07-06T07:07:55,1,9998,0,9999
2023-07-06T07:20:23,1,9998,0,9999
2023-07-06T07:32:50,1,9998,0,9999
2023-07-06T07:45:18,1,9998,0,9999
2023-07-06T07:57:46,1,9998,0,9999
2023-07-06T08:10:16,1,9998,0,9999
2023-07-06T08:22:43,1,9998,0,9999
2023-07-06T08:35:10,1,9998,0,9999
2023-07-06T08:47:37,1,9998,0,9999
2023-07-06T09:00:13,1,9998,0,9999
2023-07-06T09:12:39,1,9998,0,9999
2023-07-06T09:25:05,1,9998,0,9999
2023-07-06T09:37:32,1,9998,0,9999
2023-07-06T09:49:58,1,9998,0,9999
2023-07-06T10:02:24,1,9998,0,9999
2023-07-06T10:14:50,1,9998,0,9999
2023-07-06T10:27:16,1,9998,0,9999
2023-07-06T10:39:42,1,9998,0,9999
2023-07-06T10:52:07,1,9998,0,9999
2023-07-06T11:04:44,1,9998,0,9999
2023-07-06T11:17:09,1,9998,0,9999
2023-07-06T11:29:34,1,9998,0,9999
2023-07-06T11:41:58,1,9998,0,9999
2023-07-06T11:54:23,1,9998,0,9999
2023-07-06T12:06:48,1,9998,0,9999
2023-07-06T12:19:13,1,9998,0,9999
2023-07-06T12:31:38,1,9998,0,9999
2023-07-06T12:44:13,1,9998,0,9999
2023-07-06T12:56:38,1,9998,0,9999
2023-07-06T13:09:03,1,9998,0,9999
2023-07-06T13:21:27,1,9998,0,9999
2023-07-06T13:33:52,1,9998,0,9999
2023-07-06T13:46:17,1,9998,0,9999
2023-07-06T13:58:41,1,9998,0,9999
2023-07-06T14:11:06,1,9998,0,9999
2023-07-06T14:23:43,1,9998,0,9999
2023-07-06T14:36:08,1,9998,0,9999
2023-07-06T14:48:33,1,9998,0,9999
2023-07-06T15:00:57,1,9998,0,9999
2023-07-06T15:13:21,1,9998,0,9999
2023-07-06T15:25:46,1,9998,0,9999
2023-07-06T15:38:11,1,9998,0,9999
2023-07-06T15:50:36,1,9998,0,9999
2023-07-06T16:03:11,1,9998,0,9999
2023-07-06T16:15:35,1,9998,0,9999
2023-07-06T16:28:01,1,9998,0,9999
2023-07-06T16:40:26,1,9998,0,9999
2023-07-06T16:52:50,1,9998,0,9999
2023-07-06T17:05:16,1,9998,0,9999
2023-07-06T17:17:43,1,9998,0,9999
2023-07-06T17:30:08,1,9998,0,9999
2023-07-06T17:42:46,1,9998,0,9999
2023-07-06T17:55:18,1,9998,0,9999
2023-07-06T18:07:43,1,9998,0,9999
2023-07-06T18:20:07,1,9998,0,9999
2023-07-06T18:32:32,1,9998,0,9999
2023-07-06T18:44:57,1,9998,0,9999
2023-07-06T18:57:22,1,9998,0,9999
2023-07-06T19:09:48,1,9998,0,9999
2023-07-06T19:22:13,1,9998,0,9999
2023-07-06T19:34:38,1,9998,0,9999
2023-07-06T19:47:03,1,9998,0,9999
2023-07-06T19:59:28,1,9998,0,9999
2023-07-06T20:12:03,1,9998,0,9999
2023-07-06T20:24:29,1,9998,0,9999
2023-07-06T20:36:54,1,9998,0,9999
2023-07-06T20:49:19,1,9998,0,9999
2023-07-06T21:01:44,1,9998,0,9999
2023-07-06T21:14:09,1,9998,0,9999
2023-07-06T21:26:34,1,9998,0,9999
2023-07-06T21:38:59,1,9998,0,9999
2023-07-06T21:51:24,1,9998,0,9999
2023-07-06T22:03:50,1,9998,0,9999
2023-07-06T22:16:15,1,9998,0,9999
2023-07-06T22:28:39,1,9998,0,9999
2023-07-06T22:41:05,1,9998,0,9999
2023-07-06T22:53:29,1,9998,0,9999
2023-07-06T23:06:06,1,9998,0,9999
2023-07-06T23:18:31,1,9998,0,9999
2023-07-06T23:30:56,1,9998,0,9999
2023-07-06T23:43:22,1,9998,0,9999
2023-07-06T23:55:48,1,9998,0,9999
2023-07-07T00:08:14,1,9998,0,9999
2023-07-07T00:20:46,1,9998,0,9999
2023-07-07T00:33:15,1,9998,0,9999
2023-07-07T00:45:44,1,9998,0,9999
2023-07-07T00:58:13,1,9998,0,9999
2023-07-07T01:10:42,1,9998,0,9999
2023-07-07T01:23:11,1,9998,0,9999
2023-07-07T01:35:41,1,9998,0,9999
2023-07-07T01:48:11,1,9998,0,9999
2023-07-07T02:00:40,1,9998,0,9999
2023-07-07T02:13:18,1,9998,0,9999
2023-07-07T02:25:48,1,9998,0,9999
2023-07-07T02:38:29,1,9998,0,9999
2023-07-07T02:50:59,1,9998,0,9999
2023-07-07T03:03:26,1,9998,0,9999
2023-07-07T03:15:55,1,9998,0,9999
2023-07-07T03:28:23,1,9998,0,9999
2023-07-07T03:40:51,1,9998,0,9999
2023-07-07T03:53:18,1,9998,0,9999
2023-07-07T04:05:46,1,9998,0,9999
2023-07-07T04:29:10,1,9998,0,9999
2023-07-07T04:41:59,1,9998,0,9999
2023-07-07T04:54:29,1,9998,0,9999
2023-07-07T05:06:58,1,9998,0,9999
2023-07-07T05:19:26,1,9998,0,9999
2023-07-07T05:31:55,1,9998,0,9999
2023-07-07T05:44:24,1,9998,0,9999
2023-07-07T05:56:53,1,9998,0,9999
2023-07-07T06:09:21,1,9998,0,9999
2023-07-07T06:21:49,1,9998,0,9999
2023-07-07T06:34:17,1,9998,0,9999
2023-07-07T06:46:45,1,9998,0,9999
2023-07-07T06:59:13,1,9998,0,9999
2023-07-07T07:11:41,1,9998,0,9999
2023-07-07T07:24:08,1,9998,0,9999
2023-07-07T07:36:34,1,9998,0,9999
2023-07-07T07:48:59,1,9998,0,9999
2023-07-07T08:01:24,1,9998,0,9999
2023-07-07T08:13:52,1,9998,0,9999
2023-07-07T08:26:17,1,9998,0,9999
2023-07-07T08:38:51,1,9998,0,9999
