time,enrolled,available,waitlisted,total
2023-09-08T08:40:19,0,0,0,0
2023-09-08T08:53:15,0,0,0,0
2023-09-08T09:06:12,0,0,0,0
2023-09-08T09:19:09,0,0,0,0
2023-09-08T09:32:05,0,0,0,0
2023-09-08T09:45:02,0,0,0,0
2023-09-08T09:57:57,0,0,0,0
2023-09-08T10:10:54,0,0,0,0
2023-09-08T10:23:49,0,0,0,0
2023-09-08T10:36:57,0,0,0,0
2023-09-08T10:49:52,0,0,0,0
2023-09-08T11:02:47,0,0,0,0
2023-09-08T11:15:41,0,0,0,0
2023-09-08T11:28:37,0,0,0,0
2023-09-08T11:41:32,0,0,0,0
2023-09-08T11:54:27,0,0,0,0
2023-09-08T12:07:33,0,0,0,0
2023-09-08T12:20:28,0,0,0,0
2023-09-08T12:33:23,0,0,1,0
2023-09-08T12:46:17,0,0,1,0
2023-09-08T12:59:12,0,0,1,0
2023-09-08T13:12:07,0,0,1,0
2023-09-08T13:25:02,0,0,1,0
2023-09-08T13:37:57,0,0,1,0
2023-09-08T13:51:02,0,0,1,0
2023-09-08T14:03:57,0,0,1,0
2023-09-08T14:16:54,0,0,1,0
2023-09-08T14:29:49,0,0,1,0
2023-09-08T14:42:44,0,0,1,0
2023-09-08T14:55:39,0,0,1,0
2023-09-08T15:08:45,0,0,1,0
2023-09-08T15:21:40,0,0,1,0
2023-09-08T15:34:35,0,0,1,0
2023-09-08T15:47:30,0,0,1,0
2023-09-08T16:00:25,0,0,1,0
2023-09-08T16:13:20,0,0,1,0
2023-09-08T16:26:16,0,0,1,0
2023-09-08T16:39:21,0,0,1,0
2023-09-08T16:52:15,0,0,1,0
2023-09-08T17:05:10,0,0,1,0
2023-09-08T17:18:06,0,0,1,0
2023-09-08T17:31:01,0,0,1,0
2023-09-08T17:43:56,0,0,1,0
2023-09-08T17:56:53,0,0,1,0
2023-09-08T18:09:49,0,0,1,0
2023-09-08T18:22:46,0,0,1,0
2023-09-08T18:35:52,0,0,1,0
2023-09-08T18:48:48,0,0,1,0
2023-09-08T19:01:43,0,0,1,0
2023-09-08T19:14:40,0,0,1,0
2023-09-08T19:27:35,0,0,1,0
2023-09-08T19:40:30,0,0,1,0
2023-09-08T19:53:25,0,0,1,0
2023-09-08T20:06:20,0,0,1,0
2023-09-08T20:19:15,0,0,1,0
2023-09-08T20:32:10,0,0,1,0
2023-09-08T20:45:06,0,0,1,0
2023-09-08T20:58:12,0,0,1,0
2023-09-08T21:11:07,0,0,1,0
2023-09-08T21:24:02,0,0,1,0
2023-09-08T21:36:57,0,0,1,0
2023-09-08T21:49:52,0,0,1,0
2023-09-08T22:02:47,0,0,1,0
2023-09-08T22:15:41,0,0,1,0
2023-09-08T22:28:36,0,0,1,0
2023-09-08T22:41:42,0,0,1,0
2023-09-08T22:54:36,0,0,1,0
2023-09-08T23:07:32,0,0,1,0
2023-09-08T23:20:27,0,0,1,0
2023-09-08T23:33:23,0,0,1,0
2023-09-08T23:46:19,0,0,1,0
2023-09-08T23:59:15,0,0,1,0
2023-09-09T00:12:15,0,0,1,0
2023-09-09T00:25:16,0,0,1,0
2023-09-09T00:38:14,0,0,1,0
2023-09-09T00:51:14,0,0,1,0
2023-09-09T01:04:13,0,0,1,0
2023-09-09T01:17:24,0,0,1,0
2023-09-09T01:30:24,0,0,1,0
2023-09-09T01:43:24,0,0,1,0
2023-09-09T01:56:24,0,0,1,0
2023-09-09T02:09:23,0,0,1,0
2023-09-09T02:22:20,0,0,1,0
2023-09-09T02:35:18,0,0,1,0
2023-09-09T02:48:14,0,0,1,0
2023-09-09T03:01:09,0,0,1,0
2023-09-09T03:14:05,0,0,1,0
2023-09-09T03:27:03,0,0,1,0
2023-09-09T03:40:00,0,0,1,0
2023-09-09T03:52:56,0,0,1,0
2023-09-09T04:23:17,0,0,1,0
2023-09-09T04:36:20,0,0,1,0
2023-09-09T04:49:21,0,0,1,0
2023-09-09T05:02:22,0,0,1,0
2023-09-09T05:15:26,0,0,1,0
2023-09-09T05:28:26,0,0,1,0
2023-09-09T05:41:25,0,0,1,0
2023-09-09T05:54:24,0,0,1,0
2023-09-09T06:07:22,0,0,1,0
2023-09-09T06:20:21,0,0,1,0
2023-09-09T06:33:21,0,0,1,0
2023-09-09T06:46:20,0,0,1,0
2023-09-09T06:59:18,0,0,1,0
2023-09-09T07:12:17,0,0,1,0
2023-09-09T07:25:16,0,0,1,0
2023-09-09T07:38:14,0,0,1,0
2023-09-09T07:51:10,0,0,1,0
2023-09-09T08:04:17,0,0,1,0
2023-09-09T08:17:16,0,0,1,0
2023-09-09T08:30:14,0,0,1,0
2023-09-09T08:43:12,0,0,1,0
2023-09-09T08:56:11,0,0,1,0
2023-09-09T09:09:10,0,0,1,0
2023-09-09T09:22:08,0,0,1,0
